,note,length,diatonic root
0,43.0,0.125,5.0
1,48.0,0.5,5.0
2,47.0,0.25,1.0
3,48.0,0.25,1.0
4,45.0,0.625,1.0
5,47.0,0.125,1.0
6,48.0,0.25,1.0
7,45.0,0.5,1.0
8,50.0,0.25,4.0
9,50.0,0.25,4.0
10,53.0,0.25,4.0
11,48.0,1.125,6.0
12,52.0,0.25,1.0
13,48.0,0.25,1.0
14,45.0,0.125,1.0
15,47.0,0.5,1.0
16,45.0,0.25,7.0
17,43.0,0.25,7.0
18,45.0,1.875,7.0
19,43.0,0.125,5.0
20,48.0,0.5,5.0
21,47.0,0.25,1.0
22,48.0,0.25,1.0
23,45.0,0.625,1.0
24,47.0,0.125,1.0
25,48.0,0.25,1.0
26,45.0,0.5,1.0
27,50.0,0.25,4.0
28,50.0,0.25,4.0
29,53.0,0.25,4.0
30,48.0,1.125,6.0
31,52.0,0.25,1.0
32,48.0,0.25,1.0
33,45.0,0.125,1.0
34,47.0,0.5,1.0
35,45.0,0.25,7.0
36,43.0,0.25,7.0
37,48.0,2.5,7.0
38,52.0,0.125,1.0
39,50.0,0.25,1.0
40,52.0,0.25,1.0
41,59.0,0.375,1.0
42,57.0,0.25,3.0
43,55.0,0.75,3.0
44,52.0,0.25,6.0
45,50.0,0.125,6.0
46,52.0,0.125,6.0
47,55.0,0.25,6.0
48,52.0,1.125,3.0
49,50.0,0.25,2.0
50,48.0,0.25,2.0
51,50.0,0.125,2.0
52,55.0,0.625,2.0
53,52.0,0.375,2.0
54,50.0,2.25,2.0
55,52.0,0.125,1.0
56,50.0,0.125,1.0
57,52.0,0.25,1.0
58,59.0,0.5,1.0
59,57.0,0.25,3.0
60,55.0,0.75,3.0
61,52.0,0.25,6.0
62,50.0,0.25,6.0
63,52.0,0.125,6.0
64,55.0,0.25,6.0
65,52.0,1.125,3.0
66,50.0,0.25,2.0
67,48.0,0.25,2.0
68,50.0,0.125,2.0
69,55.0,0.625,2.0
70,52.0,0.375,2.0
71,50.0,1.625,2.0
72,43.0,0.25,5.0
73,48.0,0.5,5.0
74,47.0,0.25,1.0
75,48.0,0.25,1.0
76,45.0,0.5,1.0
77,47.0,0.25,1.0
78,48.0,0.25,1.0
79,45.0,0.5,1.0
80,50.0,0.25,4.0
81,50.0,0.25,4.0
82,53.0,0.25,4.0
83,48.0,1.125,6.0
84,52.0,0.25,1.0
85,48.0,0.25,1.0
86,45.0,0.125,1.0
87,47.0,0.5,1.0
88,45.0,0.25,7.0
89,43.0,0.25,7.0
90,45.0,2.0,7.0
91,48.0,0.5,5.0
92,47.0,0.25,1.0
93,48.0,0.25,1.0
94,45.0,0.625,1.0
95,47.0,0.125,1.0
96,48.0,0.25,1.0
97,45.0,0.5,1.0
98,50.0,0.25,4.0
99,50.0,0.25,4.0
100,53.0,0.25,4.0
101,48.0,1.125,6.0
102,52.0,0.25,1.0
103,48.0,0.25,1.0
104,45.0,0.125,1.0
105,47.0,0.5,1.0
106,45.0,0.25,7.0
107,43.0,0.25,7.0
108,48.0,1.0,7.0
109,52.0,0.5,3.0
110,53.0,0.25,5.0
111,50.0,4.0,5.0
112,52.0,0.25,1.0
113,50.0,0.25,1.0
114,52.0,0.125,1.0
115,59.0,0.375,1.0
116,57.0,0.25,3.0
117,55.0,0.75,3.0
118,52.0,0.25,6.0
119,50.0,0.25,6.0
120,52.0,0.125,6.0
121,55.0,0.25,6.0
122,52.0,1.125,3.0
123,50.0,0.25,2.0
124,48.0,0.25,2.0
125,50.0,0.125,2.0
126,55.0,0.125,2.0
127,53.0,0.25,2.0
128,52.0,0.375,2.0
129,50.0,2.5,2.0
130,52.0,0.125,1.0
131,50.0,0.125,1.0
132,52.0,0.25,1.0
133,59.0,0.5,1.0
134,57.0,0.25,3.0
135,55.0,0.75,3.0
136,52.0,0.25,6.0
137,50.0,0.125,6.0
138,52.0,0.125,6.0
139,55.0,0.25,6.0
140,52.0,1.125,3.0
141,50.0,0.25,2.0
142,48.0,0.25,2.0
143,50.0,0.125,2.0
144,55.0,0.375,2.0
145,52.0,0.375,2.0
146,50.0,2.0,2.0
147,43.0,0.125,5.0
148,48.0,0.5,5.0
149,47.0,0.25,1.0
150,48.0,0.25,1.0
151,45.0,0.5,1.0
152,47.0,0.25,1.0
153,48.0,0.25,1.0
154,45.0,0.5,1.0
155,50.0,0.25,4.0
156,50.0,0.25,4.0
157,53.0,0.25,4.0
158,48.0,1.125,6.0
159,52.0,0.25,1.0
160,48.0,0.25,1.0
161,45.0,0.125,1.0
162,47.0,0.5,1.0
163,45.0,0.25,7.0
164,43.0,0.125,7.0
165,45.0,2.5,7.0
166,45.0,0.125,1.0
167,47.0,0.25,1.0
168,48.0,0.25,1.0
169,45.0,3.5,1.0
170,52.0,0.25,1.0
171,48.0,0.25,1.0
172,45.0,0.125,1.0
173,47.0,0.5,1.0
174,45.0,0.25,7.0
175,43.0,0.25,7.0
176,48.0,1.0,7.0
177,52.0,1.0,3.0
