,note,length,diatonic root
0,48.0,0.125,4.0
1,48.0,0.125,4.0
2,52.0,0.25,4.0
3,55.0,0.25,1.0
4,55.0,0.25,1.0
5,55.0,0.125,1.0
6,55.0,0.125,1.0
7,57.0,0.75,1.0
8,48.0,0.125,4.0
9,48.0,0.125,4.0
10,52.0,0.25,4.0
11,55.0,0.25,1.0
12,55.0,0.125,1.0
13,55.0,0.25,1.0
14,55.0,0.125,1.0
15,57.0,0.75,1.0
16,48.0,0.125,4.0
17,48.0,0.125,4.0
18,52.0,0.25,4.0
19,55.0,0.25,1.0
20,55.0,0.125,1.0
21,55.0,0.25,1.0
22,57.0,0.25,1.0
23,53.0,0.375,7.0
24,52.0,0.125,7.0
25,55.0,0.125,4.0
26,53.0,0.125,4.0
27,50.0,1.875,4.0
28,45.0,0.125,7.0
29,45.0,0.125,7.0
30,48.0,0.25,7.0
31,55.0,0.25,1.0
32,55.0,0.25,1.0
33,55.0,0.125,1.0
34,55.0,0.125,1.0
35,57.0,0.75,1.0
36,48.0,0.125,4.0
37,48.0,0.125,4.0
38,52.0,0.25,4.0
39,55.0,0.25,1.0
40,55.0,0.125,1.0
41,55.0,0.25,1.0
42,55.0,0.125,1.0
43,57.0,0.75,1.0
44,48.0,0.125,4.0
45,48.0,0.125,4.0
46,55.0,0.5,4.0
47,55.0,0.25,1.0
48,55.0,0.125,1.0
49,57.0,0.25,1.0
50,53.0,0.375,7.0
51,52.0,0.25,7.0
52,55.0,0.125,4.0
53,53.0,0.125,4.0
54,50.0,1.875,4.0
55,45.0,0.125,7.0
56,41.0,0.25,7.0
57,48.0,0.25,4.0
58,52.0,0.25,4.0
59,50.0,0.125,1.0
60,48.0,0.125,1.0
61,48.0,0.25,1.0
62,50.0,0.125,4.0
63,48.0,0.125,4.0
64,52.0,0.25,4.0
65,48.0,0.25,1.0
66,45.0,0.125,1.0
67,48.0,0.25,4.0
68,50.0,0.125,4.0
69,52.0,0.25,4.0
70,50.0,0.125,1.0
71,48.0,0.125,1.0
72,50.0,0.125,1.0
73,48.0,0.125,4.0
74,48.0,0.125,4.0
75,50.0,0.125,4.0
76,52.0,0.25,4.0
77,48.0,0.25,1.0
78,45.0,0.125,1.0
79,48.0,0.25,4.0
80,52.0,0.375,4.0
81,50.0,0.125,1.0
82,48.0,0.125,1.0
83,48.0,0.25,1.0
84,48.0,0.125,4.0
85,50.0,0.125,4.0
86,52.0,0.5,4.0
87,53.0,0.125,1.0
88,48.0,0.125,7.0
89,50.0,0.125,7.0
90,48.0,0.125,7.0
91,50.0,0.25,7.0
92,50.0,0.125,7.0
93,48.0,0.125,7.0
94,47.0,1.0,7.0
95,53.0,0.25,5.0
96,50.0,0.25,7.0
97,50.0,0.25,7.0
98,52.0,0.125,7.0
99,48.0,0.125,7.0
100,47.0,0.75,7.0
101,50.0,0.125,5.0
102,52.0,0.125,5.0
103,53.0,0.125,5.0
104,50.0,0.25,7.0
105,50.0,0.125,7.0
106,52.0,0.25,7.0
107,41.0,0.25,7.0
108,45.0,2.75,7.0
109,52.0,0.125,4.0
110,53.0,0.25,4.0
111,53.0,0.125,4.0
112,53.0,0.25,4.0
113,52.0,0.125,4.0
114,55.0,0.25,4.0
115,48.0,4.0,4.0
116,48.0,0.125,4.0
117,52.0,0.25,4.0
118,55.0,0.125,1.0
119,55.0,0.25,1.0
120,55.0,0.125,1.0
121,57.0,1.125,1.0
122,48.0,0.125,4.0
123,52.0,0.25,4.0
124,55.0,0.125,1.0
125,55.0,0.25,1.0
126,52.0,0.125,1.0
127,57.0,1.0,1.0
128,48.0,0.125,4.0
129,48.0,0.125,4.0
130,52.0,0.25,4.0
131,55.0,0.25,1.0
132,55.0,0.25,1.0
133,55.0,0.125,1.0
134,57.0,0.25,1.0
135,53.0,0.125,7.0
136,52.0,0.375,7.0
137,55.0,0.25,4.0
138,55.0,0.125,4.0
139,50.0,1.75,4.0
140,45.0,0.125,7.0
141,45.0,0.125,7.0
142,48.0,0.25,7.0
143,55.0,0.25,1.0
144,55.0,0.25,1.0
145,55.0,0.125,1.0
146,57.0,0.875,1.0
147,55.0,0.25,4.0
148,52.0,0.25,4.0
149,55.0,0.125,1.0
150,55.0,0.25,1.0
151,55.0,0.25,1.0
152,55.0,0.125,1.0
153,57.0,0.75,1.0
154,48.0,0.125,4.0
155,48.0,0.125,4.0
156,52.0,0.25,4.0
157,55.0,0.25,1.0
158,55.0,0.125,1.0
159,55.0,0.25,1.0
160,57.0,0.5,1.0
161,52.0,0.25,7.0
162,52.0,0.125,4.0
163,55.0,0.25,4.0
164,50.0,1.875,4.0
165,45.0,0.125,7.0
166,41.0,0.25,7.0
167,48.0,0.25,4.0
168,52.0,0.25,4.0
169,50.0,0.125,1.0
170,48.0,0.125,1.0
171,48.0,0.25,1.0
172,50.0,0.125,4.0
173,48.0,0.125,4.0
174,52.0,0.25,4.0
175,48.0,0.25,1.0
176,45.0,0.125,1.0
177,48.0,0.25,4.0
178,50.0,0.125,4.0
179,52.0,0.25,4.0
180,50.0,0.125,1.0
181,48.0,0.125,1.0
182,50.0,0.125,1.0
183,48.0,0.125,4.0
184,48.0,0.125,4.0
185,50.0,0.125,4.0
186,52.0,0.25,4.0
187,48.0,0.25,1.0
188,45.0,0.125,1.0
189,48.0,0.25,4.0
190,52.0,0.5,4.0
191,48.0,0.125,1.0
192,50.0,0.125,1.0
193,48.0,0.125,4.0
194,48.0,0.125,4.0
195,50.0,0.125,4.0
196,52.0,0.5,4.0
197,53.0,0.125,1.0
198,48.0,0.125,7.0
199,50.0,0.125,7.0
200,48.0,0.125,7.0
201,50.0,0.25,7.0
202,50.0,0.125,7.0
203,48.0,0.125,7.0
204,47.0,1.0,7.0
205,53.0,0.25,5.0
206,50.0,0.25,7.0
207,50.0,0.25,7.0
208,52.0,0.125,7.0
209,48.0,0.125,7.0
210,47.0,0.75,7.0
211,50.0,0.125,5.0
212,52.0,0.125,5.0
213,53.0,0.125,5.0
214,50.0,0.25,7.0
215,50.0,0.125,7.0
216,52.0,0.25,7.0
217,41.0,0.25,7.0
218,45.0,2.75,7.0
219,53.0,0.125,4.0
220,53.0,0.25,4.0
221,53.0,0.125,4.0
222,53.0,0.25,4.0
223,52.0,0.125,4.0
224,55.0,0.25,4.0
225,48.0,0.875,4.0
226,57.0,0.125,1.0
227,55.0,4.0,1.0
228,55.0,0.125,4.0
229,55.0,0.125,4.0
230,50.0,0.125,2.0
231,50.0,0.25,2.0
232,52.0,0.25,2.0
233,52.0,0.125,2.0
234,50.0,0.125,2.0
235,53.0,0.125,2.0
236,53.0,0.125,2.0
237,53.0,0.125,2.0
238,50.0,0.25,2.0
239,50.0,0.625,2.0
240,60.0,0.125,5.0
241,59.0,0.125,5.0
242,60.0,0.125,5.0
243,59.0,0.125,5.0
244,60.0,0.125,5.0
245,59.0,0.125,5.0
246,62.0,0.125,5.0
247,59.0,0.125,5.0
248,57.0,0.125,5.0
249,55.0,0.125,5.0
250,57.0,0.125,5.0
251,59.0,0.25,5.0
252,50.0,0.125,5.0
253,53.0,0.125,5.0
254,53.0,0.25,1.0
255,52.0,0.125,1.0
256,53.0,0.125,1.0
257,52.0,0.125,1.0
258,53.0,0.125,1.0
259,55.0,0.375,1.0
260,52.0,0.125,1.0
261,50.0,0.125,1.0
262,48.0,0.25,1.0
263,55.0,0.125,1.0
264,53.0,0.125,1.0
265,55.0,0.125,1.0
266,50.0,0.125,2.0
267,52.0,0.125,2.0
268,50.0,0.125,2.0
269,52.0,0.125,2.0
270,52.0,0.125,2.0
271,53.0,0.25,2.0
272,52.0,0.125,2.0
273,50.0,0.125,2.0
274,53.0,4.0,2.0
275,48.0,0.125,4.0
276,52.0,0.25,4.0
277,55.0,0.25,1.0
278,55.0,0.25,1.0
279,55.0,0.125,1.0
280,55.0,0.125,1.0
281,57.0,0.625,1.0
282,48.0,0.125,4.0
283,48.0,0.125,4.0
284,48.0,0.125,4.0
285,52.0,0.25,4.0
286,55.0,0.25,1.0
287,55.0,0.25,1.0
288,55.0,0.125,1.0
289,55.0,0.125,1.0
290,57.0,0.75,1.0
291,48.0,0.125,4.0
292,48.0,0.125,4.0
293,52.0,0.25,4.0
294,55.0,0.25,1.0
295,55.0,0.25,1.0
296,55.0,0.125,1.0
297,57.0,0.5,1.0
298,52.0,0.25,7.0
299,55.0,0.125,4.0
300,55.0,0.125,4.0
301,50.0,1.875,4.0
302,45.0,0.125,7.0
303,45.0,0.125,7.0
304,48.0,0.25,7.0
305,55.0,0.25,1.0
306,55.0,0.25,1.0
307,55.0,0.125,1.0
308,57.0,0.75,1.0
309,48.0,0.125,4.0
310,48.0,0.25,4.0
311,52.0,0.25,4.0
312,55.0,0.25,1.0
313,55.0,0.25,1.0
314,55.0,0.125,1.0
315,55.0,0.125,1.0
316,57.0,0.75,1.0
317,48.0,0.125,4.0
318,48.0,0.125,4.0
319,52.0,0.25,4.0
320,55.0,0.125,1.0
321,55.0,0.25,1.0
322,55.0,0.25,1.0
323,57.0,0.25,1.0
324,53.0,0.25,7.0
325,52.0,0.25,7.0
326,55.0,0.125,4.0
327,50.0,2.0,4.0
328,45.0,0.125,7.0
329,41.0,0.25,7.0
330,48.0,0.25,4.0
331,52.0,0.25,4.0
332,50.0,0.125,1.0
333,48.0,0.125,1.0
334,48.0,0.25,1.0
335,50.0,0.125,4.0
336,48.0,0.125,4.0
337,52.0,0.25,4.0
338,48.0,0.25,1.0
339,45.0,0.125,1.0
340,48.0,0.25,4.0
341,50.0,0.125,4.0
342,52.0,0.25,4.0
343,50.0,0.125,1.0
344,48.0,0.125,1.0
345,50.0,0.125,1.0
346,48.0,0.125,4.0
347,48.0,0.125,4.0
348,50.0,0.125,4.0
349,52.0,0.25,4.0
350,48.0,0.25,1.0
351,45.0,0.125,1.0
352,48.0,0.25,4.0
353,50.0,0.125,4.0
354,52.0,0.375,4.0
355,48.0,0.125,1.0
356,50.0,0.125,1.0
357,48.0,0.125,4.0
358,48.0,0.125,4.0
359,50.0,0.125,4.0
360,52.0,0.5,4.0
361,53.0,0.125,1.0
362,48.0,0.125,7.0
363,50.0,0.125,7.0
364,48.0,0.125,7.0
365,50.0,0.25,7.0
366,50.0,0.125,7.0
367,48.0,0.125,7.0
368,47.0,1.0,7.0
369,53.0,0.25,5.0
370,50.0,0.25,7.0
371,50.0,0.25,7.0
372,52.0,0.125,7.0
373,48.0,0.125,7.0
374,47.0,0.75,7.0
375,50.0,0.125,5.0
376,52.0,0.125,5.0
377,53.0,0.125,5.0
378,50.0,0.25,7.0
379,50.0,0.125,7.0
380,52.0,0.25,7.0
381,41.0,0.25,7.0
382,45.0,2.75,7.0
383,53.0,0.125,4.0
384,53.0,0.25,4.0
385,52.0,0.125,4.0
386,53.0,0.25,4.0
387,52.0,0.125,4.0
388,55.0,0.25,4.0
389,48.0,1.125,4.0
390,57.0,0.25,7.0
391,57.0,0.125,7.0
392,57.0,0.25,7.0
393,60.0,0.125,4.0
394,50.0,1.125,4.0
395,57.0,0.125,7.0
396,57.0,4.0,7.0
397,67.0,4.0,1.0
398,52.0,0.25,4.0
399,55.0,0.125,1.0
400,55.0,0.25,1.0
401,57.0,1.5,1.0
402,52.0,0.25,4.0
403,55.0,0.125,1.0
404,52.0,0.125,1.0
405,55.0,0.25,1.0
