,note,length,diatonic root
0,76.0,0.25,1.0
1,76.0,0.25,1.0
2,74.0,0.125,1.0
3,76.0,0.125,1.0
4,76.0,0.125,1.0
5,74.0,0.125,1.0
6,72.0,0.125,1.0
7,77.0,0.125,1.0
8,69.0,1.0,4.0
9,72.0,0.125,1.0
10,76.0,0.125,1.0
11,76.0,0.125,1.0
12,76.0,0.125,1.0
13,74.0,0.125,1.0
14,72.0,0.25,1.0
15,72.0,0.125,1.0
16,72.0,0.125,1.0
17,77.0,0.125,1.0
18,69.0,0.75,4.0
19,72.0,0.125,4.0
20,76.0,0.25,4.0
21,76.0,0.125,1.0
22,74.0,0.125,1.0
23,76.0,0.25,1.0
24,74.0,0.125,1.0
25,72.0,0.125,1.0
26,77.0,0.125,1.0
27,69.0,0.625,4.0
28,72.0,0.125,4.0
29,72.0,0.125,4.0
30,76.0,0.25,4.0
31,76.0,0.125,1.0
32,74.0,0.375,1.0
33,74.0,0.125,1.0
34,72.0,0.125,1.0
35,77.0,0.125,1.0
36,69.0,0.625,4.0
37,72.0,0.125,4.0
38,72.0,0.125,4.0
39,76.0,0.25,4.0
40,76.0,0.125,1.0
41,74.0,0.125,1.0
42,76.0,0.25,1.0
43,74.0,0.125,1.0
44,72.0,0.125,1.0
45,77.0,0.125,1.0
46,69.0,0.75,4.0
47,72.0,0.125,4.0
48,76.0,0.25,4.0
49,76.0,0.125,1.0
50,74.0,0.125,1.0
51,76.0,0.25,1.0
52,74.0,0.125,1.0
53,72.0,0.125,1.0
54,77.0,0.125,1.0
55,69.0,0.75,4.0
56,72.0,0.125,4.0
57,76.0,0.25,4.0
58,76.0,0.125,1.0
59,74.0,0.125,1.0
60,76.0,0.25,1.0
61,74.0,0.125,1.0
62,72.0,0.125,1.0
63,77.0,0.125,1.0
64,69.0,0.625,4.0
65,72.0,0.125,4.0
66,72.0,0.125,4.0
67,72.0,0.125,4.0
68,76.0,0.125,4.0
69,71.0,0.125,2.0
70,65.0,0.625,2.0
71,65.0,0.125,2.0
72,69.0,0.75,2.0
73,72.0,0.125,4.0
74,77.0,0.125,4.0
75,77.0,0.125,4.0
76,77.0,0.125,4.0
77,76.0,4.0,4.0
78,60.0,0.125,4.0
79,64.0,0.25,4.0
80,64.0,0.125,1.0
81,60.0,0.125,1.0
82,64.0,0.125,1.0
83,62.0,0.125,1.0
84,62.0,0.125,1.0
85,60.0,0.125,1.0
86,64.0,0.25,1.0
87,57.0,1.0,4.0
88,60.0,0.125,1.0
89,64.0,0.125,1.0
90,64.0,0.125,1.0
91,64.0,0.125,1.0
92,60.0,0.25,1.0
93,62.0,0.125,1.0
94,60.0,0.125,1.0
95,62.0,0.125,1.0
96,57.0,0.75,1.0
97,60.0,0.125,4.0
98,64.0,0.25,4.0
99,64.0,0.125,1.0
100,62.0,0.125,1.0
101,64.0,0.125,1.0
102,62.0,0.125,1.0
103,64.0,0.25,1.0
104,62.0,0.125,1.0
105,60.0,0.125,1.0
106,64.0,0.125,1.0
107,57.0,0.625,4.0
108,60.0,0.125,4.0
109,60.0,0.25,4.0
110,64.0,0.25,4.0
111,64.0,0.25,1.0
112,64.0,0.125,1.0
113,64.0,0.125,1.0
114,62.0,0.125,1.0
115,62.0,0.125,1.0
116,57.0,0.75,1.0
117,60.0,0.25,4.0
118,64.0,0.25,4.0
119,64.0,0.125,1.0
120,64.0,0.125,1.0
121,64.0,0.25,1.0
122,62.0,0.125,1.0
123,60.0,0.125,1.0
124,62.0,0.125,1.0
125,57.0,0.75,4.0
126,60.0,0.25,4.0
127,64.0,0.25,4.0
128,64.0,0.125,1.0
129,64.0,0.125,1.0
130,64.0,0.25,1.0
131,62.0,0.125,1.0
132,60.0,0.125,1.0
133,62.0,0.125,1.0
