,note,length,diatonic root
0,57.0,0.375,1.0
1,55.0,0.125,1.0
2,57.0,0.125,1.0
3,55.0,0.5,1.0
4,52.0,0.125,6.0
5,50.0,0.625,2.0
6,52.0,0.125,5.0
7,55.0,0.125,5.0
8,52.0,0.125,5.0
9,57.0,0.375,1.0
10,55.0,0.125,1.0
11,57.0,0.125,6.0
12,55.0,0.375,6.0
13,52.0,0.125,2.0
14,50.0,0.625,2.0
15,52.0,0.125,5.0
16,55.0,0.125,5.0
17,57.0,0.25,1.0
18,55.0,0.125,1.0
19,57.0,0.125,1.0
20,55.0,0.5,6.0
21,52.0,0.125,2.0
22,50.0,0.5,2.0
23,50.0,0.125,5.0
24,48.0,0.125,5.0
25,45.0,0.125,5.0
26,48.0,0.125,1.0
27,48.0,0.125,1.0
28,50.0,0.125,1.0
29,52.0,0.125,1.0
30,45.0,0.25,1.0
31,48.0,0.125,6.0
32,50.0,0.125,6.0
33,52.0,0.125,6.0
34,50.0,0.25,6.0
35,60.0,0.125,2.0
36,59.0,0.125,2.0
37,57.0,0.125,2.0
38,60.0,0.125,5.0
39,59.0,0.125,5.0
40,57.0,0.375,5.0
41,57.0,0.125,1.0
42,55.0,0.125,1.0
43,57.0,0.125,1.0
44,55.0,0.625,1.0
45,52.0,0.125,2.0
46,50.0,0.5,2.0
47,52.0,0.125,5.0
48,55.0,0.125,5.0
49,52.0,0.125,5.0
50,57.0,0.375,5.0
51,55.0,0.125,1.0
52,57.0,0.125,1.0
53,55.0,0.375,6.0
54,52.0,0.125,6.0
55,50.0,0.625,2.0
56,52.0,0.125,5.0
57,55.0,0.125,5.0
58,52.0,0.125,5.0
59,57.0,0.375,5.0
60,55.0,0.125,1.0
61,57.0,0.125,6.0
62,55.0,0.375,6.0
63,52.0,0.125,2.0
64,50.0,0.5,2.0
65,50.0,0.125,5.0
66,48.0,0.25,5.0
67,45.0,0.125,1.0
68,48.0,1.625,1.0
69,48.0,0.25,1.0
70,50.0,0.25,1.0
71,50.0,0.125,2.0
72,50.0,0.125,2.0
73,52.0,0.125,2.0
74,48.0,0.125,2.0
75,50.0,0.375,5.0
76,48.0,0.125,5.0
77,50.0,0.125,1.0
78,52.0,0.125,1.0
79,48.0,0.625,1.0
80,43.0,0.125,1.0
81,50.0,0.375,1.0
82,50.0,0.125,2.0
83,50.0,0.125,2.0
84,48.0,0.125,5.0
85,57.0,0.375,5.0
86,55.0,0.125,1.0
87,57.0,0.125,1.0
88,52.0,0.875,1.0
89,50.0,0.125,2.0
90,50.0,0.125,2.0
91,50.0,0.25,2.0
92,48.0,0.125,5.0
93,50.0,0.25,5.0
94,52.0,0.125,1.0
95,48.0,0.625,1.0
96,41.0,0.125,6.0
97,48.0,0.125,6.0
98,50.0,0.125,2.0
99,48.0,0.25,2.0
100,48.0,0.125,2.0
101,50.0,0.125,2.0
102,52.0,0.125,2.0
103,52.0,0.125,2.0
104,50.0,0.125,2.0
105,60.0,0.125,2.0
106,59.0,0.125,2.0
107,57.0,0.125,2.0
108,60.0,0.125,5.0
109,59.0,0.125,5.0
110,57.0,0.375,5.0
111,57.0,0.25,1.0
112,55.0,0.125,1.0
113,57.0,0.125,6.0
114,55.0,0.375,6.0
115,52.0,0.125,2.0
116,50.0,0.5,2.0
117,52.0,0.125,5.0
118,55.0,0.125,5.0
119,52.0,0.125,5.0
120,57.0,0.375,5.0
121,55.0,0.125,1.0
122,57.0,0.125,1.0
123,55.0,0.375,6.0
124,52.0,0.125,6.0
125,50.0,0.5,2.0
126,60.0,0.125,5.0
127,59.0,0.125,5.0
128,57.0,0.125,5.0
129,52.0,0.25,5.0
130,57.0,0.25,1.0
131,55.0,0.125,1.0
132,57.0,0.125,1.0
133,55.0,0.5,6.0
134,52.0,0.125,2.0
135,50.0,0.5,2.0
136,50.0,0.125,5.0
137,48.0,0.125,5.0
138,45.0,0.125,5.0
139,48.0,0.25,1.0
140,50.0,0.125,1.0
141,48.0,2.5,1.0
142,60.0,0.125,6.0
143,59.0,0.125,2.0
144,57.0,0.125,2.0
145,52.0,0.125,2.0
146,55.0,0.125,2.0
147,57.0,0.125,5.0
148,59.0,0.125,5.0
149,57.0,0.125,5.0
150,55.0,0.875,5.0
151,60.0,0.125,6.0
152,59.0,0.125,6.0
153,59.0,0.125,2.0
154,57.0,0.125,2.0
155,52.0,0.125,2.0
156,55.0,0.125,2.0
157,52.0,0.125,5.0
158,55.0,0.25,5.0
159,59.0,0.125,5.0
160,57.0,0.625,1.0
161,59.0,0.125,6.0
162,57.0,0.375,6.0
163,52.0,0.375,2.0
164,50.0,0.25,5.0
165,50.0,0.125,5.0
166,48.0,0.125,5.0
167,45.0,0.125,5.0
168,48.0,0.125,1.0
169,48.0,0.125,1.0
170,50.0,0.125,1.0
171,48.0,0.125,1.0
172,45.0,0.5,1.0
173,60.0,0.125,6.0
174,59.0,0.125,2.0
175,57.0,0.125,2.0
176,55.0,0.125,2.0
177,57.0,0.125,2.0
178,60.0,0.125,5.0
179,59.0,0.125,5.0
180,57.0,1.125,5.0
181,60.0,0.125,6.0
182,60.0,0.125,6.0
183,59.0,0.125,2.0
184,59.0,0.125,2.0
185,57.0,0.125,2.0
186,52.0,0.125,2.0
187,55.0,0.125,5.0
188,52.0,0.125,5.0
189,59.0,0.375,5.0
190,57.0,0.625,1.0
191,60.0,0.25,6.0
192,57.0,0.125,6.0
193,59.0,0.125,2.0
194,57.0,0.125,2.0
195,55.0,0.125,2.0
196,52.0,0.125,2.0
197,55.0,0.125,2.0
198,52.0,0.125,5.0
199,55.0,0.125,5.0
200,59.0,0.125,5.0
201,57.0,0.625,5.0
202,59.0,0.125,6.0
203,57.0,0.375,6.0
204,52.0,0.375,2.0
205,50.0,0.375,2.0
206,50.0,0.125,5.0
207,48.0,0.125,5.0
208,45.0,0.125,5.0
209,48.0,1.625,1.0
210,48.0,0.25,1.0
211,50.0,0.25,1.0
212,50.0,0.125,2.0
213,50.0,0.125,2.0
214,52.0,0.125,2.0
215,48.0,0.125,2.0
216,50.0,0.375,5.0
217,48.0,0.125,5.0
218,50.0,0.125,1.0
219,52.0,0.125,1.0
220,48.0,0.625,1.0
221,43.0,0.125,1.0
222,50.0,0.375,1.0
223,50.0,0.125,2.0
224,50.0,0.125,2.0
225,48.0,0.125,5.0
226,57.0,0.375,5.0
227,55.0,0.125,1.0
228,57.0,0.25,1.0
229,52.0,0.625,1.0
230,50.0,0.125,2.0
231,50.0,0.125,2.0
232,50.0,0.125,2.0
233,48.0,0.125,5.0
234,50.0,0.375,5.0
235,52.0,0.125,1.0
236,48.0,0.625,1.0
237,41.0,0.125,6.0
238,48.0,0.125,6.0
239,50.0,0.125,2.0
240,48.0,0.25,2.0
241,48.0,0.125,2.0
242,50.0,0.125,2.0
243,52.0,0.125,2.0
244,50.0,0.125,2.0
245,60.0,0.125,2.0
246,60.0,0.125,2.0
247,59.0,0.125,2.0
248,59.0,0.125,5.0
249,57.0,0.125,5.0
250,57.0,0.125,5.0
251,52.0,0.25,5.0
252,57.0,0.25,1.0
253,55.0,0.125,1.0
254,57.0,0.125,6.0
255,55.0,0.5,6.0
256,52.0,0.125,2.0
257,50.0,0.375,2.0
258,52.0,0.125,5.0
259,55.0,0.125,5.0
260,52.0,0.125,5.0
261,57.0,0.375,5.0
262,55.0,0.125,1.0
263,57.0,0.125,1.0
264,55.0,0.375,6.0
265,52.0,0.125,6.0
266,50.0,0.375,2.0
267,57.0,0.125,2.0
268,60.0,0.125,5.0
269,59.0,0.125,5.0
270,57.0,0.375,5.0
271,57.0,0.125,1.0
272,55.0,0.125,1.0
273,57.0,0.125,1.0
274,55.0,0.625,6.0
275,52.0,0.125,2.0
276,50.0,0.375,2.0
277,50.0,0.125,5.0
278,48.0,0.25,5.0
279,45.0,0.125,1.0
