start,end,numeral,chromatic root,diatonic root,key,absolute root
1.00,3.00,vi,9,6,7,4
3.00,5.00,II,2,2,7,9
5.00,7.00,IV,5,4,7,0
7.00,10.00,I,0,1,7,7
10.00,11.00,vi,9,6,7,4
11.00,12.00,iii,4,3,7,11
12.00,13.00,V,7,5,7,2
13.00,14.00,I,0,1,7,7
14.00,15.00,vi,9,6,7,4
15.00,16.00,iii,4,3,7,11
16.00,17.00,V,7,5,7,2
17.00,19.00,I,0,1,7,7
19.00,21.00,vi,9,6,7,4
21.00,23.00,iio6,2,2,7,9
23.00,25.00,V,7,5,7,2
25.00,26.00,I,0,1,7,7
26.00,27.00,vi,9,6,7,4
27.00,28.00,iii,4,3,7,11
28.00,29.00,V,7,5,7,2
29.00,30.00,I,0,1,7,7
30.00,31.00,vi,9,6,7,4
31.00,32.00,iii,4,3,7,11
32.00,33.00,V,7,5,7,2
33.00,35.00,I,0,1,7,7
35.00,37.00,vi,9,6,7,4
37.00,39.00,iio6,2,2,7,9
39.00,41.00,V,7,5,7,2
41.00,43.00,vi,9,6,7,4
43.00,46.00,II,2,2,7,9
46.00,47.00,V,7,5,7,2
47.00,50.00,I,0,1,7,7
50.00,51.00,vi,9,6,7,4
51.00,52.00,iii,4,3,7,11
52.00,53.00,V,7,5,7,2
53.00,54.00,I,0,1,7,7
54.00,55.00,vi,9,6,7,4
55.00,56.00,iii,4,3,7,11
56.00,57.00,V,7,5,7,2
57.00,59.00,I,0,1,7,7
59.00,61.00,vi,9,6,7,4
61.00,63.00,iio6,2,2,7,9
63.00,65.00,V,7,5,7,2
65.00,67.00,vi,9,6,7,4
67.00,70.00,II,2,2,7,9
70.00,71.00,V,7,5,7,2
71.00,72.00,I,0,1,7,7
72.00,73.00,vi,9,6,7,4
73.00,74.00,iio6,2,2,7,9
74.00,75.00,V,7,5,7,2
75.00,76.00,I,0,1,7,7
76.00,77.00,vi,9,6,7,4
77.00,78.00,iio6,2,2,7,9
78.00,79.00,V,7,5,7,2
79.00,81.00,I,0,1,7,7
81.00,83.00,vi,9,6,7,4
83.00,85.00,IV,5,4,7,0
85.00,87.00,I,0,1,7,7
