,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,0.625,60.0,5.0,0.125,0.0,1.0,v7,7,5,7,2
1,0.75,60.0,5.0,0.125,0.0,1.0,v7,7,5,7,2
2,0.875,59.0,4.0,0.125,0.0,1.0,v7,7,5,7,2
3,1.0,62.0,7.0,0.5,0.0,1.0,v7,7,5,7,2
4,1.5,62.0,7.0,0.375,1.0,1.5,I,0,1,7,7
5,1.875,62.0,7.0,0.75,1.5,2.0,IV,5,4,7,0
6,2.625,62.0,7.0,0.125,2.0,3.0,I,0,1,7,7
7,2.75,62.0,7.0,0.125,2.0,3.0,I,0,1,7,7
8,2.875,60.0,5.0,0.125,2.0,3.0,I,0,1,7,7
9,3.0,62.0,7.0,0.125,2.0,3.0,I,0,1,7,7
10,3.125,65.0,10.0,0.5,3.0,4.0,bVII,10,7,7,5
11,3.625,62.0,7.0,0.125,3.0,4.0,bVII,10,7,7,5
12,3.75,60.0,5.0,0.125,3.0,4.0,bVII,10,7,7,5
13,3.875,62.0,7.0,0.125,3.0,4.0,bVII,10,7,7,5
14,4.0,60.0,5.0,0.125,3.0,4.0,bVII,10,7,7,5
15,4.125,59.0,4.0,0.5,4.0,5.5,I,0,1,7,7
16,4.625,60.0,5.0,0.125,4.0,5.5,I,0,1,7,7
17,4.75,60.0,5.0,0.125,4.0,5.5,I,0,1,7,7
18,4.875,59.0,4.0,0.125,4.0,5.5,I,0,1,7,7
19,5.0,62.0,7.0,0.5,4.0,5.5,I,0,1,7,7
20,5.5,62.0,7.0,0.375,4.0,5.5,I,0,1,7,7
21,5.875,62.0,7.0,0.75,5.5,6.0,IV,5,4,7,0
22,6.625,62.0,7.0,0.125,6.0,7.0,I,0,1,7,7
23,6.75,62.0,7.0,0.125,6.0,7.0,I,0,1,7,7
24,6.875,60.0,5.0,0.125,6.0,7.0,I,0,1,7,7
25,7.0,62.0,7.0,0.125,6.0,7.0,I,0,1,7,7
26,7.125,65.0,10.0,0.5,7.0,8.0,bVII,10,7,7,5
27,7.625,62.0,7.0,0.125,7.0,8.0,bVII,10,7,7,5
28,7.75,60.0,5.0,0.125,7.0,8.0,bVII,10,7,7,5
29,7.875,62.0,7.0,0.125,7.0,8.0,bVII,10,7,7,5
