,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
1,8.125,53.0,4.0,0.375,0.0,24.0,I,0,1,1,1
2,8.5,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
3,8.625,54.0,5.0,0.25,0.0,24.0,I,0,1,1,1
4,8.875,56.0,7.0,1.125,0.0,24.0,I,0,1,1,1
5,10.0,65.0,4.0,0.25,0.0,24.0,I,0,1,1,1
6,10.25,63.0,2.0,0.125,0.0,24.0,I,0,1,1,1
7,10.375,61.0,0.0,0.375,0.0,24.0,I,0,1,1,1
8,10.75,59.0,10.0,0.125,0.0,24.0,I,0,1,1,1
9,10.875,56.0,7.0,1.125,0.0,24.0,I,0,1,1,1
10,12.0,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
11,12.125,53.0,4.0,0.375,0.0,24.0,I,0,1,1,1
12,12.5,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
13,12.625,54.0,5.0,0.25,0.0,24.0,I,0,1,1,1
14,12.875,56.0,7.0,1.125,0.0,24.0,I,0,1,1,1
15,14.0,65.0,4.0,0.25,0.0,24.0,I,0,1,1,1
16,14.25,63.0,2.0,0.125,0.0,24.0,I,0,1,1,1
17,14.375,61.0,0.0,0.375,0.0,24.0,I,0,1,1,1
18,14.75,59.0,10.0,0.125,0.0,24.0,I,0,1,1,1
19,14.875,56.0,7.0,1.125,0.0,24.0,I,0,1,1,1
20,16.0,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
21,16.125,53.0,4.0,0.375,0.0,24.0,I,0,1,1,1
22,16.5,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
23,16.625,54.0,5.0,0.25,0.0,24.0,I,0,1,1,1
24,16.875,56.0,7.0,1.125,0.0,24.0,I,0,1,1,1
25,18.0,65.0,4.0,0.25,0.0,24.0,I,0,1,1,1
26,18.25,63.0,2.0,0.125,0.0,24.0,I,0,1,1,1
27,18.375,61.0,0.0,0.375,0.0,24.0,I,0,1,1,1
28,18.75,59.0,10.0,0.125,0.0,24.0,I,0,1,1,1
29,18.875,56.0,7.0,1.125,0.0,24.0,I,0,1,1,1
30,20.0,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
31,20.125,53.0,4.0,0.375,0.0,24.0,I,0,1,1,1
32,20.5,53.0,4.0,0.125,0.0,24.0,I,0,1,1,1
33,20.625,54.0,5.0,0.25,0.0,24.0,I,0,1,1,1
34,20.875,56.0,7.0,1.125,0.0,24.0,I,0,1,1,1
35,22.0,65.0,4.0,0.25,0.0,24.0,I,0,1,1,1
36,22.25,63.0,2.0,0.125,0.0,24.0,I,0,1,1,1
37,22.375,61.0,0.0,0.375,0.0,24.0,I,0,1,1,1
38,22.75,59.0,10.0,0.125,0.0,24.0,I,0,1,1,1
39,22.875,56.0,7.0,1.625,0.0,24.0,I,0,1,1,1
40,24.5,58.0,9.0,0.125,24.0,30.0,IV,5,4,1,6
41,24.625,59.0,10.0,0.25,24.0,30.0,IV,5,4,1,6
42,24.875,61.0,0.0,0.625,24.0,30.0,IV,5,4,1,6
43,25.5,58.0,9.0,0.125,24.0,30.0,IV,5,4,1,6
