,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,10.0,76.0,0.0,0.0619999999999993,9.0,10.0,IV6,5,4,4,9
1,10.062,76.0,0.0,0.1260000000000012,10.0,10.5,I,0,1,4,4
2,10.188,76.0,0.0,0.3739999999999988,10.0,10.5,I,0,1,4,4
3,10.562,74.0,10.0,0.0630000000000006,10.5,11.0,bVII,10,7,4,2
4,10.625,74.0,10.0,0.0630000000000006,10.5,11.0,bVII,10,7,4,2
5,10.688,74.0,10.0,0.0619999999999993,10.5,11.0,bVII,10,7,4,2
6,10.75,74.0,10.0,0.3119999999999994,10.5,11.0,bVII,10,7,4,2
7,11.062,74.0,10.0,0.0630000000000006,11.0,12.0,IV6,5,4,4,9
8,11.125,74.0,10.0,0.0630000000000006,11.0,12.0,IV6,5,4,4,9
9,11.188,74.0,10.0,0.0619999999999993,11.0,12.0,IV6,5,4,4,9
10,11.25,76.0,0.0,0.125,11.0,12.0,IV6,5,4,4,9
11,11.375,71.0,7.0,0.0630000000000006,11.0,12.0,IV6,5,4,4,9
12,11.438,69.0,5.0,0.1239999999999987,11.0,12.0,IV6,5,4,4,9
13,11.562,67.0,3.0,0.0630000000000006,11.0,12.0,IV6,5,4,4,9
14,11.625,71.0,7.0,0.125,11.0,12.0,IV6,5,4,4,9
15,11.75,69.0,5.0,0.0619999999999993,11.0,12.0,IV6,5,4,4,9
16,11.812,67.0,3.0,0.0630000000000006,11.0,12.0,IV6,5,4,4,9
17,11.875,69.0,5.0,0.0630000000000006,11.0,12.0,IV6,5,4,4,9
18,11.938,67.0,3.0,0.1869999999999994,11.0,12.0,IV6,5,4,4,9
19,12.125,74.0,10.0,0.125,12.0,12.5,I,0,1,4,4
20,12.25,74.0,10.0,0.375,12.0,12.5,I,0,1,4,4
21,12.625,74.0,10.0,0.0630000000000006,12.5,13.0,bVII,10,7,4,2
22,12.688,74.0,10.0,0.0619999999999993,12.5,13.0,bVII,10,7,4,2
23,12.75,74.0,10.0,0.375,12.5,13.0,bVII,10,7,4,2
24,13.125,71.0,7.0,0.125,13.0,14.0,IV6,5,4,4,9
25,13.25,71.0,7.0,0.125,13.0,14.0,IV6,5,4,4,9
26,13.375,71.0,7.0,0.125,13.0,14.0,IV6,5,4,4,9
27,13.5,74.0,10.0,0.0619999999999993,13.0,14.0,IV6,5,4,4,9
28,13.562,71.0,7.0,0.0630000000000006,13.0,14.0,IV6,5,4,4,9
29,13.625,69.0,5.0,0.0630000000000006,13.0,14.0,IV6,5,4,4,9
30,13.688,71.0,7.0,0.1239999999999987,13.0,14.0,IV6,5,4,4,9
31,13.812,71.0,7.0,0.0630000000000006,13.0,14.0,IV6,5,4,4,9
32,13.875,71.0,7.0,0.125,13.0,14.0,IV6,5,4,4,9
33,14.0,75.0,11.0,0.0619999999999993,13.0,14.0,IV6,5,4,4,9
34,14.062,75.0,11.0,0.0630000000000006,14.0,14.5,I,0,1,4,4
35,14.125,75.0,11.0,0.0630000000000006,14.0,14.5,I,0,1,4,4
36,14.188,71.0,7.0,0.0619999999999993,14.0,14.5,I,0,1,4,4
37,14.25,75.0,11.0,0.125,14.0,14.5,I,0,1,4,4
38,14.375,71.0,7.0,0.0630000000000006,14.0,14.5,I,0,1,4,4
39,14.438,67.0,3.0,0.0619999999999993,14.0,14.5,I,0,1,4,4
40,14.5,69.0,5.0,0.0619999999999993,14.0,14.5,I,0,1,4,4
41,14.562,67.0,3.0,0.0630000000000006,14.5,15.0,bVII,10,7,4,2
42,14.625,71.0,7.0,0.125,14.5,15.0,bVII,10,7,4,2
43,14.75,67.0,3.0,0.3119999999999994,14.5,15.0,bVII,10,7,4,2
44,15.062,71.0,7.0,0.0630000000000006,15.0,16.0,IV6,5,4,4,9
45,15.125,71.0,7.0,0.0630000000000006,15.0,16.0,IV6,5,4,4,9
46,15.188,71.0,7.0,0.0619999999999993,15.0,16.0,IV6,5,4,4,9
47,15.25,71.0,7.0,0.125,15.0,16.0,IV6,5,4,4,9
48,15.375,71.0,7.0,0.0630000000000006,15.0,16.0,IV6,5,4,4,9
49,15.438,71.0,7.0,0.0619999999999993,15.0,16.0,IV6,5,4,4,9
50,15.5,74.0,10.0,0.0619999999999993,15.0,16.0,IV6,5,4,4,9
51,15.562,74.0,10.0,0.0630000000000006,15.0,16.0,IV6,5,4,4,9
52,15.625,74.0,10.0,0.1869999999999994,15.0,16.0,IV6,5,4,4,9
53,15.812,76.0,0.0,0.0630000000000006,15.0,16.0,IV6,5,4,4,9
54,15.875,76.0,0.0,0.25,15.0,16.0,IV6,5,4,4,9
55,16.125,76.0,0.0,0.125,16.0,16.5,I,0,1,4,4
56,16.25,76.0,0.0,0.375,16.0,16.5,I,0,1,4,4
57,16.625,74.0,10.0,0.125,16.5,17.0,bVII,10,7,4,2
58,16.75,74.0,10.0,0.25,16.5,17.0,bVII,10,7,4,2
59,17.0,71.0,7.0,0.0620000000000011,16.5,17.0,bVII,10,7,4,2
60,17.062,71.0,7.0,0.0629999999999988,17.0,18.0,IV6,5,4,4,9
61,17.125,71.0,7.0,0.0629999999999988,17.0,18.0,IV6,5,4,4,9
62,17.188,71.0,7.0,0.0620000000000011,17.0,18.0,IV6,5,4,4,9
63,17.25,71.0,7.0,0.0620000000000011,17.0,18.0,IV6,5,4,4,9
64,17.312,71.0,7.0,0.0629999999999988,17.0,18.0,IV6,5,4,4,9
65,17.375,71.0,7.0,0.0629999999999988,17.0,18.0,IV6,5,4,4,9
66,17.438,71.0,7.0,0.0620000000000011,17.0,18.0,IV6,5,4,4,9
67,17.5,74.0,10.0,0.0620000000000011,17.0,18.0,IV6,5,4,4,9
68,17.562,74.0,10.0,0.0629999999999988,17.0,18.0,IV6,5,4,4,9
69,17.625,71.0,7.0,0.1870000000000011,17.0,18.0,IV6,5,4,4,9
70,17.812,71.0,7.0,0.0629999999999988,17.0,18.0,IV6,5,4,4,9
71,17.875,75.0,11.0,0.125,17.0,18.0,IV6,5,4,4,9
72,18.0,71.0,7.0,0.75,17.0,18.0,IV6,5,4,4,9
73,18.75,75.0,11.0,0.0620000000000011,18.0,20.0,V,7,5,4,11
74,18.812,71.0,7.0,0.1879999999999988,18.0,20.0,V,7,5,4,11
75,19.0,75.0,11.0,0.0620000000000011,18.0,20.0,V,7,5,4,11
76,19.062,71.0,7.0,0.6879999999999988,18.0,20.0,V,7,5,4,11
77,19.75,76.0,0.0,0.0620000000000011,18.0,20.0,V,7,5,4,11
78,19.812,76.0,0.0,0.25,18.0,20.0,V,7,5,4,11
79,20.062,71.0,7.0,0.75,20.0,22.0,IV,5,4,4,9
80,20.812,71.0,7.0,0.0629999999999988,20.0,22.0,IV,5,4,4,9
81,20.875,71.0,7.0,0.1870000000000011,20.0,22.0,IV,5,4,4,9
82,21.062,74.0,10.0,0.6879999999999988,20.0,22.0,IV,5,4,4,9
83,21.75,74.0,10.0,0.0620000000000011,20.0,22.0,IV,5,4,4,9
84,21.812,74.0,10.0,0.0629999999999988,20.0,22.0,IV,5,4,4,9
85,21.875,71.0,7.0,0.25,20.0,22.0,IV,5,4,4,9
86,22.125,69.0,5.0,0.1870000000000011,22.0,24.0,V,7,5,4,11
87,22.312,71.0,7.0,0.1879999999999988,22.0,24.0,V,7,5,4,11
88,22.5,75.0,11.0,0.1879999999999988,22.0,24.0,V,7,5,4,11
89,22.688,71.0,7.0,0.1870000000000011,22.0,24.0,V,7,5,4,11
90,22.875,75.0,11.0,0.25,22.0,24.0,V,7,5,4,11
91,23.125,69.0,5.0,0.1870000000000011,22.0,24.0,V,7,5,4,11
92,23.312,71.0,7.0,0.1879999999999988,22.0,24.0,V,7,5,4,11
93,23.5,74.0,10.0,0.1879999999999988,22.0,24.0,V,7,5,4,11
94,23.688,71.0,7.0,0.1240000000000023,22.0,24.0,V,7,5,4,11
95,23.812,74.0,10.0,0.0629999999999988,22.0,24.0,V,7,5,4,11
96,23.875,74.0,10.0,0.125,22.0,24.0,V,7,5,4,11
97,24.0,74.0,10.0,0.0620000000000011,22.0,24.0,V,7,5,4,11
98,24.062,74.0,10.0,0.1259999999999976,24.0,25.0,bIII,3,3,4,7
99,24.188,74.0,10.0,0.6240000000000023,24.0,25.0,bIII,3,3,4,7
100,24.812,74.0,10.0,0.0629999999999988,24.0,25.0,bIII,3,3,4,7
101,24.875,74.0,10.0,0.125,24.0,25.0,bIII,3,3,4,7
102,25.0,78.0,2.0,0.1879999999999988,24.0,25.0,bIII,3,3,4,7
103,25.188,74.0,10.0,0.1870000000000011,25.0,26.0,bVII,10,7,4,2
