,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.0,64.0,0.0,0.25,1.0,5.0,I,0,1,4,4
1,1.25,64.0,0.0,0.167,1.0,5.0,I,0,1,4,4
2,1.417,59.0,7.0,0.0829999999999999,1.0,5.0,I,0,1,4,4
3,1.5,62.0,10.0,0.25,1.0,5.0,I,0,1,4,4
4,1.75,64.0,0.0,0.25,1.0,5.0,I,0,1,4,4
5,2.0,64.0,0.0,0.25,1.0,5.0,I,0,1,4,4
6,2.25,64.0,0.0,0.25,1.0,5.0,I,0,1,4,4
7,2.5,62.0,10.0,0.25,1.0,5.0,I,0,1,4,4
8,2.75,64.0,0.0,0.4169999999999998,1.0,5.0,I,0,1,4,4
9,3.167,64.0,0.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
10,3.25,64.0,0.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
11,3.417,59.0,7.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
12,3.5,62.0,10.0,0.25,1.0,5.0,I,0,1,4,4
13,3.75,64.0,0.0,0.1669999999999998,1.0,5.0,I,0,1,4,4
14,3.917,64.0,0.0,0.0830000000000001,1.0,5.0,I,0,1,4,4
15,4.0,64.0,0.0,0.25,1.0,5.0,I,0,1,4,4
16,4.25,64.0,0.0,0.25,1.0,5.0,I,0,1,4,4
17,4.5,62.0,10.0,0.25,1.0,5.0,I,0,1,4,4
18,4.75,64.0,0.0,0.4169999999999998,1.0,5.0,I,0,1,4,4
19,5.167,67.0,3.0,0.0830000000000001,5.0,7.0,IV,5,4,4,9
20,5.25,67.0,3.0,0.1669999999999998,5.0,7.0,IV,5,4,4,9
21,5.417,67.0,3.0,0.0830000000000001,5.0,7.0,IV,5,4,4,9
22,5.5,64.0,0.0,0.25,5.0,7.0,IV,5,4,4,9
23,5.75,66.0,2.0,0.25,5.0,7.0,IV,5,4,4,9
24,6.0,67.0,3.0,0.25,5.0,7.0,IV,5,4,4,9
25,6.25,67.0,3.0,0.25,5.0,7.0,IV,5,4,4,9
26,6.5,64.0,0.0,0.25,5.0,7.0,IV,5,4,4,9
27,6.75,66.0,2.0,0.4169999999999998,5.0,7.0,IV,5,4,4,9
28,7.167,64.0,0.0,0.0830000000000001,7.0,9.0,I,0,1,4,4
29,7.25,64.0,0.0,0.1669999999999998,7.0,9.0,I,0,1,4,4
30,7.417,59.0,7.0,0.0830000000000001,7.0,9.0,I,0,1,4,4
31,7.5,62.0,10.0,0.25,7.0,9.0,I,0,1,4,4
32,7.75,64.0,0.0,0.1669999999999998,7.0,9.0,I,0,1,4,4
33,7.917,64.0,0.0,0.0830000000000001,7.0,9.0,I,0,1,4,4
34,8.0,64.0,0.0,0.25,7.0,9.0,I,0,1,4,4
35,8.25,64.0,0.0,0.25,7.0,9.0,I,0,1,4,4
36,8.5,62.0,10.0,0.25,7.0,9.0,I,0,1,4,4
37,8.75,64.0,0.0,0.4169999999999998,7.0,9.0,I,0,1,4,4
38,9.167,59.0,7.0,0.0830000000000001,9.0,10.0,V,7,5,4,11
39,9.25,59.0,7.0,0.1669999999999998,9.0,10.0,V,7,5,4,11
40,9.417,54.0,2.0,0.0830000000000001,9.0,10.0,V,7,5,4,11
41,9.5,57.0,5.0,0.25,9.0,10.0,V,7,5,4,11
42,9.75,59.0,7.0,0.1669999999999998,9.0,10.0,V,7,5,4,11
43,9.917,57.0,5.0,0.25,9.0,10.0,V,7,5,4,11
44,10.167,57.0,5.0,0.25,10.0,11.0,IV,5,4,4,9
45,10.417,55.0,3.0,0.25,10.0,11.0,IV,5,4,4,9
46,10.667,52.0,0.0,0.0830000000000001,10.0,11.0,IV,5,4,4,9
47,10.75,52.0,0.0,0.1669999999999998,10.0,11.0,IV,5,4,4,9
48,10.917,52.0,0.0,0.0830000000000001,10.0,11.0,IV,5,4,4,9
49,11.0,52.0,0.0,0.1669999999999998,10.0,11.0,IV,5,4,4,9
50,11.167,52.0,0.0,0.0830000000000001,11.0,21.0,I,0,1,4,4
51,11.25,52.0,0.0,0.1669999999999998,11.0,21.0,I,0,1,4,4
52,11.417,52.0,0.0,0.0830000000000001,11.0,21.0,I,0,1,4,4
53,11.5,52.0,0.0,0.1669999999999998,11.0,21.0,I,0,1,4,4
54,11.667,52.0,0.0,0.0830000000000001,11.0,21.0,I,0,1,4,4
55,11.75,52.0,0.0,0.1669999999999998,11.0,21.0,I,0,1,4,4
