,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,23.625,56.0,4.0,0.125,23.0,24.0,IV,5,4,4,9
1,23.75,57.0,5.0,0.125,23.0,24.0,IV,5,4,4,9
2,23.875,57.0,5.0,0.125,23.0,24.0,IV,5,4,4,9
3,24.0,56.0,4.0,0.125,23.0,24.0,IV,5,4,4,9
4,24.125,56.0,4.0,0.25,24.0,24.5,I,0,1,4,4
5,24.375,57.0,5.0,0.625,24.0,24.5,I,0,1,4,4
6,25.0,62.0,10.0,0.125,24.5,25.0,v7,7,5,4,11
7,25.125,62.0,10.0,0.25,25.0,26.0,IV,5,4,4,9
8,25.375,62.0,10.0,0.25,25.0,26.0,IV,5,4,4,9
9,25.625,61.0,9.0,0.25,25.0,26.0,IV,5,4,4,9
10,25.875,61.0,9.0,0.25,25.0,26.0,IV,5,4,4,9
11,26.125,59.0,7.0,0.0629999999999988,26.0,26.5,I,0,1,4,4
12,26.188,61.0,9.0,1.4370000000000012,26.0,26.5,I,0,1,4,4
13,27.625,57.0,5.0,0.125,27.0,28.0,IV,5,4,4,9
14,27.75,57.0,5.0,0.125,27.0,28.0,IV,5,4,4,9
15,27.875,56.0,4.0,0.25,27.0,28.0,IV,5,4,4,9
16,28.125,56.0,4.0,0.25,28.0,28.5,I,0,1,4,4
17,28.375,57.0,5.0,0.25,28.0,28.5,I,0,1,4,4
18,28.625,57.0,5.0,0.125,28.5,29.0,v7,7,5,4,11
19,28.75,57.0,5.0,0.125,28.5,29.0,v7,7,5,4,11
20,28.875,62.0,10.0,0.25,28.5,29.0,v7,7,5,4,11
21,29.125,62.0,10.0,0.125,29.0,30.0,IV,5,4,4,9
22,29.25,62.0,10.0,0.125,29.0,30.0,IV,5,4,4,9
23,29.375,62.0,10.0,0.125,29.0,30.0,IV,5,4,4,9
24,29.5,61.0,9.0,0.125,29.0,30.0,IV,5,4,4,9
25,29.625,61.0,9.0,0.125,29.0,30.0,IV,5,4,4,9
26,29.75,61.0,9.0,0.125,29.0,30.0,IV,5,4,4,9
27,29.875,61.0,9.0,0.25,29.0,30.0,IV,5,4,4,9
28,30.125,59.0,7.0,0.0629999999999988,30.0,30.5,I,0,1,4,4
29,30.188,61.0,9.0,1.4370000000000012,30.0,30.5,I,0,1,4,4
30,31.625,57.0,5.0,0.125,31.0,32.0,IV,5,4,4,9
31,31.75,57.0,5.0,0.125,31.0,32.0,IV,5,4,4,9
32,31.875,57.0,5.0,0.125,31.0,32.0,IV,5,4,4,9
33,32.0,56.0,4.0,0.25,31.0,32.0,IV,5,4,4,9
34,32.25,56.0,4.0,0.25,32.0,32.5,I,0,1,4,4
35,32.5,57.0,5.0,0.25,32.0,32.5,I,0,1,4,4
36,32.75,57.0,5.0,0.25,32.5,33.0,v7,7,5,4,11
37,33.0,62.0,10.0,0.25,32.5,33.0,v7,7,5,4,11
38,33.25,62.0,10.0,0.125,33.0,34.0,IV,5,4,4,9
39,33.375,64.0,0.0,0.125,33.0,34.0,IV,5,4,4,9
40,33.5,62.0,10.0,0.125,33.0,34.0,IV,5,4,4,9
41,33.625,61.0,9.0,0.25,33.0,34.0,IV,5,4,4,9
42,33.875,61.0,9.0,0.25,33.0,34.0,IV,5,4,4,9
43,34.125,61.0,9.0,1.5,34.0,34.5,I,0,1,4,4
44,35.625,56.0,4.0,0.125,35.0,36.0,IV,5,4,4,9
45,35.75,57.0,5.0,0.125,35.0,36.0,IV,5,4,4,9
46,35.875,57.0,5.0,0.125,35.0,36.0,IV,5,4,4,9
47,36.0,56.0,4.0,0.25,35.0,36.0,IV,5,4,4,9
48,36.25,56.0,4.0,0.25,36.0,36.5,I,0,1,4,4
49,36.5,57.0,5.0,0.125,36.0,36.5,I,0,1,4,4
50,36.625,57.0,5.0,0.125,36.5,37.0,v7,7,5,4,11
51,36.75,57.0,5.0,0.125,36.5,37.0,v7,7,5,4,11
52,36.875,57.0,5.0,0.125,36.5,37.0,v7,7,5,4,11
53,37.0,62.0,10.0,0.125,36.5,37.0,v7,7,5,4,11
54,37.125,62.0,10.0,0.125,37.0,38.0,IV,5,4,4,9
55,37.25,62.0,10.0,0.125,37.0,38.0,IV,5,4,4,9
56,37.375,62.0,10.0,0.25,37.0,38.0,IV,5,4,4,9
57,37.625,61.0,9.0,0.0630000000000023,37.0,38.0,IV,5,4,4,9
58,37.688,61.0,9.0,0.1869999999999976,37.0,38.0,IV,5,4,4,9
59,37.875,61.0,9.0,0.25,37.0,38.0,IV,5,4,4,9
60,38.125,59.0,7.0,0.0630000000000023,38.0,38.5,I,0,1,4,4
61,38.188,61.0,9.0,1.8119999999999976,38.0,38.5,I,0,1,4,4
62,40.0,59.0,7.0,0.125,39.0,40.0,IV,5,4,4,9
63,40.125,59.0,7.0,0.125,40.0,40.5,I,0,1,4,4
64,40.25,59.0,7.0,0.125,40.0,40.5,I,0,1,4,4
65,40.375,59.0,7.0,0.125,40.0,40.5,I,0,1,4,4
66,40.5,59.0,7.0,0.125,40.0,40.5,I,0,1,4,4
67,40.625,59.0,7.0,0.125,40.5,41.0,v7,7,5,4,11
