,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.25,47.0,0.0,0.25,2.0,4.0,I,0,1,11,11
1,3.5,51.0,4.0,0.25,2.0,4.0,I,0,1,11,11
2,3.75,54.0,7.0,0.1669999999999998,2.0,4.0,I,0,1,11,11
3,3.917,59.0,0.0,0.0830000000000001,2.0,4.0,I,0,1,11,11
4,4.0,56.0,9.0,1.1669999999999998,2.0,4.0,I,0,1,11,11
5,5.167,56.0,9.0,0.4160000000000003,4.0,6.0,IV,5,4,11,4
6,5.583,52.0,5.0,0.0839999999999996,4.0,6.0,IV,5,4,11,4
7,5.667,47.0,0.0,0.0830000000000001,4.0,6.0,IV,5,4,11,4
8,5.75,56.0,9.0,0.1669999999999998,4.0,6.0,IV,5,4,11,4
9,5.917,54.0,7.0,0.0830000000000001,4.0,6.0,IV,5,4,11,4
10,6.0,56.0,9.0,0.0830000000000001,4.0,6.0,IV,5,4,11,4
11,6.083,54.0,7.0,1.1669999999999998,6.0,8.0,I,0,1,11,11
12,7.25,56.0,9.0,0.25,6.0,8.0,I,0,1,11,11
13,7.5,56.0,9.0,0.1669999999999998,6.0,8.0,I,0,1,11,11
14,7.667,54.0,7.0,0.0830000000000001,6.0,8.0,I,0,1,11,11
15,7.75,51.0,4.0,0.1669999999999998,6.0,8.0,I,0,1,11,11
16,7.917,51.0,4.0,0.0830000000000001,6.0,8.0,I,0,1,11,11
17,8.0,49.0,2.0,1.25,6.0,8.0,I,0,1,11,11
18,9.25,56.0,9.0,0.1669999999999998,8.0,10.0,V7,7,5,11,6
19,9.417,56.0,9.0,0.3330000000000002,8.0,10.0,V7,7,5,11,6
20,9.75,56.0,9.0,0.1669999999999998,8.0,10.0,V7,7,5,11,6
21,9.917,56.0,9.0,0.0830000000000001,8.0,10.0,V7,7,5,11,6
22,10.0,54.0,7.0,1.25,8.0,10.0,V7,7,5,11,6
23,11.25,47.0,0.0,0.25,11.0,12.0,I,0,1,11,11
24,11.5,51.0,4.0,0.25,11.0,12.0,I,0,1,11,11
25,11.75,54.0,7.0,0.1669999999999998,11.0,12.0,I,0,1,11,11
26,11.917,59.0,0.0,0.0830000000000001,11.0,12.0,I,0,1,11,11
27,12.0,56.0,9.0,1.1669999999999998,11.0,12.0,I,0,1,11,11
28,13.167,56.0,9.0,0.4160000000000003,12.0,14.0,IV,5,4,11,4
29,13.583,52.0,5.0,0.0839999999999996,12.0,14.0,IV,5,4,11,4
30,13.667,47.0,0.0,0.0830000000000001,12.0,14.0,IV,5,4,11,4
31,13.75,56.0,9.0,0.1669999999999998,12.0,14.0,IV,5,4,11,4
32,13.917,54.0,7.0,0.0830000000000001,12.0,14.0,IV,5,4,11,4
33,14.0,56.0,9.0,0.0830000000000001,12.0,14.0,IV,5,4,11,4
34,14.083,54.0,7.0,1.1669999999999998,14.0,16.0,I,0,1,11,11
35,15.25,56.0,9.0,0.25,14.0,16.0,I,0,1,11,11
36,15.5,56.0,9.0,0.1669999999999998,14.0,16.0,I,0,1,11,11
37,15.667,54.0,7.0,0.0830000000000001,14.0,16.0,I,0,1,11,11
38,15.75,51.0,4.0,0.1669999999999998,14.0,16.0,I,0,1,11,11
39,15.917,51.0,4.0,0.0830000000000001,14.0,16.0,I,0,1,11,11
40,16.0,49.0,2.0,1.25,14.0,16.0,I,0,1,11,11
41,17.25,56.0,9.0,0.25,16.0,18.0,V7,7,5,11,6
42,17.5,56.0,9.0,0.1670000000000016,16.0,18.0,V7,7,5,11,6
43,17.667,54.0,7.0,0.0829999999999984,16.0,18.0,V7,7,5,11,6
44,17.75,50.0,3.0,0.1670000000000016,16.0,18.0,V7,7,5,11,6
45,17.917,49.0,2.0,0.0829999999999984,16.0,18.0,V7,7,5,11,6
46,18.0,47.0,0.0,1.25,16.0,18.0,V7,7,5,11,6
47,19.25,54.0,7.0,0.25,19.0,21.0,I,0,1,11,11
48,19.5,49.0,2.0,0.1670000000000016,19.0,21.0,I,0,1,11,11
49,19.667,51.0,4.0,0.1659999999999968,19.0,21.0,I,0,1,11,11
50,19.833,52.0,5.0,0.1670000000000016,19.0,21.0,I,0,1,11,11
51,20.0,54.0,7.0,0.4170000000000016,19.0,21.0,I,0,1,11,11
52,20.417,54.0,7.0,0.0829999999999984,19.0,21.0,I,0,1,11,11
53,20.5,54.0,7.0,0.75,19.0,21.0,I,0,1,11,11
54,21.25,54.0,7.0,0.25,21.0,21.5,ii7,2,2,11,1
55,21.5,49.0,2.0,0.1670000000000016,21.0,21.5,ii7,2,2,11,1
56,21.667,51.0,4.0,0.1659999999999968,21.5,22.0,V,7,5,11,6
57,21.833,52.0,5.0,0.1670000000000016,21.5,22.0,V,7,5,11,6
58,22.0,54.0,7.0,1.25,21.5,22.0,V,7,5,11,6
59,23.25,54.0,7.0,0.25,22.0,23.5,I,0,1,11,11
60,23.5,53.0,6.0,0.1670000000000016,22.0,23.5,I,0,1,11,11
61,23.667,54.0,7.0,0.1659999999999968,23.5,24.0,V7/iii,11,7,11,10
