,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,7.625,56.0,4.0,0.25,7.0,8.0,V,7,5,4,11
1,7.875,57.0,5.0,0.125,7.0,8.0,V,7,5,4,11
2,8.0,57.0,5.0,0.25,7.0,8.0,V,7,5,4,11
3,8.25,56.0,4.0,0.25,8.0,10.0,I,0,1,4,4
4,8.5,54.0,2.0,0.125,8.0,10.0,I,0,1,4,4
5,8.625,52.0,0.0,0.25,8.0,10.0,I,0,1,4,4
6,8.875,57.0,5.0,0.25,8.0,10.0,I,0,1,4,4
7,9.125,56.0,4.0,0.25,8.0,10.0,I,0,1,4,4
8,9.375,56.0,4.0,0.125,8.0,10.0,I,0,1,4,4
9,9.5,54.0,2.0,0.25,8.0,10.0,I,0,1,4,4
10,9.75,52.0,0.0,0.125,8.0,10.0,I,0,1,4,4
11,9.875,52.0,0.0,0.125,8.0,10.0,I,0,1,4,4
12,10.0,52.0,0.0,0.125,8.0,10.0,I,0,1,4,4
13,10.125,52.0,0.0,0.125,10.0,11.0,IV,5,4,4,9
14,10.25,52.0,0.0,0.125,10.0,11.0,IV,5,4,4,9
15,10.375,52.0,0.0,0.125,10.0,11.0,IV,5,4,4,9
16,10.5,52.0,0.0,0.125,10.0,11.0,IV,5,4,4,9
17,10.625,52.0,0.0,0.125,10.0,11.0,IV,5,4,4,9
18,10.75,52.0,0.0,0.125,10.0,11.0,IV,5,4,4,9
19,10.875,52.0,0.0,0.75,10.0,11.0,IV,5,4,4,9
20,11.625,57.0,5.0,0.25,11.0,12.0,V,7,5,4,11
21,11.875,57.0,5.0,0.25,11.0,12.0,V,7,5,4,11
22,12.125,56.0,4.0,0.25,12.0,14.0,I,0,1,4,4
23,12.375,54.0,2.0,0.25,12.0,14.0,I,0,1,4,4
24,12.625,52.0,0.0,0.25,12.0,14.0,I,0,1,4,4
25,12.875,57.0,5.0,0.25,12.0,14.0,I,0,1,4,4
26,13.125,56.0,4.0,0.125,12.0,14.0,I,0,1,4,4
27,13.25,56.0,4.0,0.125,12.0,14.0,I,0,1,4,4
28,13.375,54.0,2.0,0.25,12.0,14.0,I,0,1,4,4
29,13.625,52.0,0.0,0.125,12.0,14.0,I,0,1,4,4
30,13.75,52.0,0.0,0.25,12.0,14.0,I,0,1,4,4
31,14.0,61.0,9.0,0.125,12.0,14.0,I,0,1,4,4
32,14.125,61.0,9.0,0.25,14.0,15.0,IV,5,4,4,9
33,14.375,61.0,9.0,0.25,14.0,15.0,IV,5,4,4,9
34,14.625,59.0,7.0,0.25,14.0,15.0,IV,5,4,4,9
35,14.875,59.0,7.0,1.125,14.0,15.0,IV,5,4,4,9
36,16.0,63.0,11.0,0.25,15.0,16.0,V,7,5,4,11
37,16.25,64.0,0.0,0.125,16.0,17.0,IV,5,4,4,9
38,16.375,64.0,0.0,0.25,16.0,17.0,IV,5,4,4,9
39,16.625,64.0,0.0,0.125,16.0,17.0,IV,5,4,4,9
40,16.75,64.0,0.0,0.25,16.0,17.0,IV,5,4,4,9
41,17.0,63.0,11.0,0.25,16.0,17.0,IV,5,4,4,9
42,17.25,64.0,0.0,0.25,17.0,18.0,vi64,9,6,4,1
43,17.5,64.0,0.0,0.25,17.0,18.0,vi64,9,6,4,1
44,17.75,64.0,0.0,0.25,17.0,18.0,vi64,9,6,4,1
45,18.0,63.0,11.0,0.25,17.0,18.0,vi64,9,6,4,1
46,18.25,64.0,0.0,0.125,18.0,19.0,ii7,2,2,4,6
47,18.375,64.0,0.0,0.125,18.0,19.0,ii7,2,2,4,6
48,18.5,64.0,0.0,0.125,18.0,19.0,ii7,2,2,4,6
49,18.625,64.0,0.0,0.125,18.0,19.0,ii7,2,2,4,6
50,18.75,64.0,0.0,0.25,18.0,19.0,ii7,2,2,4,6
51,19.0,64.0,0.0,0.125,18.0,19.0,ii7,2,2,4,6
52,19.125,64.0,0.0,0.125,19.0,20.0,vi64,9,6,4,1
53,19.25,64.0,0.0,0.25,19.0,20.0,vi64,9,6,4,1
54,19.5,61.0,9.0,0.125,19.0,20.0,vi64,9,6,4,1
55,19.625,61.0,9.0,0.125,19.0,20.0,vi64,9,6,4,1
56,19.75,61.0,9.0,0.125,19.0,20.0,vi64,9,6,4,1
57,19.875,61.0,9.0,0.125,19.0,20.0,vi64,9,6,4,1
58,20.0,59.0,7.0,1.25,19.0,20.0,vi64,9,6,4,1
