,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.125,60.0,2.0,0.0419999999999998,4.0,4.75,I,0,1,10,10
1,4.167,62.0,4.0,0.125,4.0,4.75,I,0,1,10,10
2,4.292,53.0,7.0,0.5830000000000002,4.0,4.75,I,0,1,10,10
3,4.875,54.0,8.0,0.2080000000000001,4.75,5.0,iv6/ii,7,5,10,5
4,5.083,55.0,9.0,0.1669999999999998,5.0,6.0,V7/ii,9,6,10,7
5,5.25,59.0,1.0,0.125,5.0,6.0,V7/ii,9,6,10,7
6,5.375,62.0,4.0,0.125,5.0,6.0,V7/ii,9,6,10,7
7,5.5,67.0,9.0,0.0830000000000001,5.0,6.0,V7/ii,9,6,10,7
8,5.583,65.0,7.0,0.0419999999999998,5.0,6.0,V7/ii,9,6,10,7
9,5.625,67.0,9.0,0.0419999999999998,5.0,6.0,V7/ii,9,6,10,7
10,5.667,65.0,7.0,0.4580000000000002,5.0,6.0,V7/ii,9,6,10,7
11,6.125,62.0,4.0,0.0830000000000001,6.0,8.0,ii,2,2,10,0
12,6.208,63.0,5.0,0.1669999999999998,6.0,8.0,ii,2,2,10,0
13,6.375,65.0,7.0,0.125,6.0,8.0,ii,2,2,10,0
14,6.5,67.0,9.0,1.25,6.0,8.0,ii,2,2,10,0
15,7.75,65.0,7.0,0.0830000000000001,6.0,8.0,ii,2,2,10,0
16,7.833,67.0,9.0,0.0839999999999996,6.0,8.0,ii,2,2,10,0
17,7.917,65.0,7.0,0.0830000000000001,6.0,8.0,ii,2,2,10,0
18,8.0,67.0,9.0,0.1669999999999998,6.0,8.0,ii,2,2,10,0
19,8.167,57.0,11.0,0.8330000000000002,8.0,9.5,V,7,5,10,5
20,9.0,53.0,7.0,0.1669999999999998,8.0,9.5,V,7,5,10,5
21,9.167,57.0,11.0,0.1660000000000003,8.0,9.5,V,7,5,10,5
22,9.333,60.0,2.0,0.1669999999999998,8.0,9.5,V,7,5,10,5
23,9.5,70.0,0.0,0.1669999999999998,8.0,9.5,V,7,5,10,5
24,9.667,67.0,9.0,0.0830000000000001,9.5,10.0,viix42/V,6,4,10,4
25,9.75,69.0,11.0,0.1669999999999998,9.5,10.0,viix42/V,6,4,10,4
26,9.917,67.0,9.0,0.2080000000000001,9.5,10.0,viix42/V,6,4,10,4
27,10.125,67.0,9.0,0.0419999999999998,10.0,10.5,I,0,1,10,10
28,10.167,65.0,7.0,0.0830000000000001,10.0,10.5,I,0,1,10,10
29,10.25,67.0,9.0,0.0830000000000001,10.0,10.5,I,0,1,10,10
30,10.333,65.0,7.0,1.834,10.0,10.5,I,0,1,10,10
31,12.167,60.0,2.0,0.0410000000000003,12.0,12.75,I,0,1,10,10
32,12.208,62.0,4.0,0.125,12.0,12.75,I,0,1,10,10
33,12.333,62.0,4.0,0.0419999999999998,12.0,12.75,I,0,1,10,10
34,12.375,53.0,7.0,0.5419999999999998,12.0,12.75,I,0,1,10,10
35,12.917,54.0,8.0,0.0830000000000001,12.75,13.0,iv6/ii,7,5,10,5
36,13.0,55.0,9.0,0.1669999999999998,12.75,13.0,iv6/ii,7,5,10,5
37,13.167,59.0,1.0,0.25,13.0,14.0,V7/ii,9,6,10,7
38,13.417,62.0,4.0,0.0830000000000001,13.0,14.0,V7/ii,9,6,10,7
39,13.5,65.0,7.0,0.125,13.0,14.0,V7/ii,9,6,10,7
40,13.625,67.0,9.0,0.25,13.0,14.0,V7/ii,9,6,10,7
41,13.875,65.0,7.0,0.0419999999999998,13.0,14.0,V7/ii,9,6,10,7
42,13.917,67.0,9.0,0.0410000000000003,13.0,14.0,V7/ii,9,6,10,7
43,13.958,65.0,7.0,0.0419999999999998,13.0,14.0,V7/ii,9,6,10,7
44,14.0,62.0,4.0,0.1669999999999998,13.0,14.0,V7/ii,9,6,10,7
45,14.167,63.0,5.0,0.125,14.0,16.0,ii,2,2,10,0
46,14.292,67.0,9.0,1.375,14.0,16.0,ii,2,2,10,0
47,15.667,65.0,7.0,0.125,14.0,16.0,ii,2,2,10,0
48,15.792,67.0,9.0,0.0410000000000003,14.0,16.0,ii,2,2,10,0
49,15.833,65.0,7.0,0.0839999999999996,14.0,16.0,ii,2,2,10,0
50,15.917,67.0,9.0,0.0410000000000003,14.0,16.0,ii,2,2,10,0
51,15.958,65.0,7.0,0.1249999999999982,14.0,16.0,ii,2,2,10,0
52,16.083,67.0,9.0,0.1670000000000016,16.0,18.0,V,7,5,10,5
53,16.25,57.0,11.0,0.6670000000000016,16.0,18.0,V,7,5,10,5
54,16.917,53.0,7.0,0.0829999999999984,16.0,18.0,V,7,5,10,5
55,17.0,53.0,7.0,0.1670000000000016,16.0,18.0,V,7,5,10,5
56,17.167,57.0,11.0,0.2079999999999984,16.0,18.0,V,7,5,10,5
57,17.375,60.0,2.0,0.125,16.0,18.0,V,7,5,10,5
58,17.5,63.0,5.0,0.4170000000000016,16.0,18.0,V,7,5,10,5
59,17.917,62.0,4.0,0.0829999999999984,16.0,18.0,V,7,5,10,5
60,18.0,60.0,2.0,0.0829999999999984,16.0,18.0,V,7,5,10,5
61,18.083,60.0,2.0,0.0840000000000031,18.0,18.5,I,0,1,10,10
62,18.167,58.0,0.0,1.75,18.0,18.5,I,0,1,10,10
63,19.917,69.0,11.0,0.0829999999999984,19.5,20.0,V65/IV,0,1,10,10
64,20.0,70.0,0.0,0.1670000000000016,19.5,20.0,V65/IV,0,1,10,10
65,20.167,67.0,9.0,0.8329999999999984,20.0,21.5,IV,5,4,10,3
66,21.0,57.0,11.0,0.0829999999999984,20.0,21.5,IV,5,4,10,3
67,21.083,58.0,0.0,0.2920000000000016,20.0,21.5,IV,5,4,10,3
68,21.375,63.0,5.0,0.125,20.0,21.5,IV,5,4,10,3
69,21.5,67.0,9.0,0.125,20.0,21.5,IV,5,4,10,3
70,21.625,70.0,0.0,0.125,21.5,22.0,viix7/V,6,4,10,4
71,21.75,70.0,0.0,0.0829999999999984,21.5,22.0,viix7/V,6,4,10,4
72,21.833,69.0,11.0,0.1670000000000016,21.5,22.0,viix7/V,6,4,10,4
73,22.0,67.0,9.0,0.125,21.5,22.0,viix7/V,6,4,10,4
74,22.125,70.0,0.0,0.125,22.0,24.0,I,0,1,10,10
75,22.25,65.0,7.0,1.75,22.0,24.0,I,0,1,10,10
76,24.0,70.0,0.0,0.125,22.0,24.0,I,0,1,10,10
77,24.125,67.0,9.0,0.875,24.0,26.0,V7/V,2,2,10,0
78,25.0,58.0,0.0,0.0829999999999984,24.0,26.0,V7/V,2,2,10,0
79,25.083,60.0,2.0,0.3340000000000032,24.0,26.0,V7/V,2,2,10,0
80,25.417,64.0,6.0,0.0829999999999984,24.0,26.0,V7/V,2,2,10,0
81,25.5,67.0,9.0,0.125,24.0,26.0,V7/V,2,2,10,0
82,25.625,69.0,11.0,0.0829999999999984,24.0,26.0,V7/V,2,2,10,0
83,25.708,70.0,0.0,0.2090000000000031,24.0,26.0,V7/V,2,2,10,0
84,25.917,69.0,11.0,0.0829999999999984,24.0,26.0,V7/V,2,2,10,0
85,26.0,67.0,9.0,0.125,24.0,26.0,V7/V,2,2,10,0
86,26.125,69.0,11.0,0.7079999999999984,26.0,28.0,V7,7,5,10,5
87,26.833,67.0,9.0,0.0840000000000031,26.0,28.0,V7,7,5,10,5
88,26.917,69.0,11.0,0.0409999999999968,26.0,28.0,V7,7,5,10,5
89,26.958,67.0,9.0,0.0420000000000015,26.0,28.0,V7,7,5,10,5
90,27.0,69.0,11.0,0.0420000000000015,26.0,28.0,V7,7,5,10,5
91,27.042,67.0,9.0,0.4579999999999984,26.0,28.0,V7,7,5,10,5
92,27.5,65.0,7.0,0.6670000000000016,26.0,28.0,V7,7,5,10,5
93,28.167,60.0,2.0,0.0409999999999968,28.0,28.75,I,0,1,10,10
94,28.208,62.0,4.0,0.0840000000000031,28.0,28.75,I,0,1,10,10
95,28.292,53.0,7.0,0.625,28.0,28.75,I,0,1,10,10
96,28.917,54.0,8.0,0.0829999999999984,28.75,29.0,iv6/ii,7,5,10,5
97,29.0,55.0,9.0,0.0829999999999984,28.75,29.0,iv6/ii,7,5,10,5
98,29.083,59.0,1.0,0.3340000000000032,29.0,30.0,V7/ii,9,6,10,7
99,29.417,62.0,4.0,0.125,29.0,30.0,V7/ii,9,6,10,7
100,29.542,65.0,7.0,0.0829999999999984,29.0,30.0,V7/ii,9,6,10,7
101,29.625,67.0,9.0,0.0829999999999984,29.0,30.0,V7/ii,9,6,10,7
