,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.625,54.0,4.0,0.125,0.0,8.0,I,0,1,2,2
1,1.75,54.0,4.0,0.062,0.0,8.0,I,0,1,2,2
2,1.812,57.0,7.0,0.1879999999999999,0.0,8.0,I,0,1,2,2
3,2.0,59.0,9.0,0.75,0.0,8.0,I,0,1,2,2
4,2.75,54.0,4.0,0.125,0.0,8.0,I,0,1,2,2
5,2.875,57.0,7.0,0.125,0.0,8.0,I,0,1,2,2
6,3.0,59.0,9.0,0.75,0.0,8.0,I,0,1,2,2
7,3.75,54.0,4.0,0.125,0.0,8.0,I,0,1,2,2
8,3.875,57.0,7.0,0.125,0.0,8.0,I,0,1,2,2
9,4.0,59.0,9.0,0.5,0.0,8.0,I,0,1,2,2
10,4.5,61.0,11.0,0.375,0.0,8.0,I,0,1,2,2
11,4.875,57.0,7.0,0.125,0.0,8.0,I,0,1,2,2
12,5.0,54.0,4.0,0.75,0.0,8.0,I,0,1,2,2
13,5.75,61.0,11.0,0.125,0.0,8.0,I,0,1,2,2
14,5.875,62.0,0.0,0.125,0.0,8.0,I,0,1,2,2
15,6.0,64.0,2.0,0.125,0.0,8.0,I,0,1,2,2
16,6.125,62.0,0.0,0.125,0.0,8.0,I,0,1,2,2
17,6.25,62.0,0.0,0.125,0.0,8.0,I,0,1,2,2
18,6.375,62.0,0.0,0.25,0.0,8.0,I,0,1,2,2
19,6.625,62.0,0.0,0.125,0.0,8.0,I,0,1,2,2
20,6.75,61.0,11.0,0.125,0.0,8.0,I,0,1,2,2
21,6.875,62.0,0.0,0.125,0.0,8.0,I,0,1,2,2
22,7.0,64.0,2.0,0.25,0.0,8.0,I,0,1,2,2
23,7.25,62.0,0.0,0.125,0.0,8.0,I,0,1,2,2
24,7.375,62.0,0.0,0.375,0.0,8.0,I,0,1,2,2
25,7.75,61.0,11.0,0.125,0.0,8.0,I,0,1,2,2
26,7.875,62.0,0.0,0.125,0.0,8.0,I,0,1,2,2
27,8.0,64.0,2.0,0.375,0.0,8.0,I,0,1,2,2
28,8.375,62.0,0.0,0.125,8.0,9.0,IV,5,4,2,7
29,8.5,59.0,9.0,0.25,8.0,9.0,IV,5,4,2,7
30,8.75,55.0,5.0,0.25,8.0,9.0,IV,5,4,2,7
31,9.0,52.0,2.0,0.75,8.0,9.0,IV,5,4,2,7
32,9.75,59.0,9.0,0.125,9.0,10.0,iih65,2,2,2,4
33,9.875,59.0,9.0,0.125,9.0,10.0,iih65,2,2,2,4
34,10.0,59.0,9.0,0.125,9.0,10.0,iih65,2,2,2,4
35,10.125,57.0,7.0,0.25,10.0,11.0,I,0,1,2,2
36,10.375,57.0,7.0,0.5,10.0,11.0,I,0,1,2,2
37,10.875,57.0,7.0,0.25,10.0,11.0,I,0,1,2,2
38,11.125,59.0,9.0,0.125,11.0,13.0,V7,7,5,2,9
39,11.25,61.0,11.0,0.125,11.0,13.0,V7,7,5,2,9
40,11.375,59.0,9.0,0.125,11.0,13.0,V7,7,5,2,9
41,11.5,57.0,7.0,0.75,11.0,13.0,V7,7,5,2,9
42,12.25,57.0,7.0,0.25,11.0,13.0,V7,7,5,2,9
43,12.5,59.0,9.0,0.25,11.0,13.0,V7,7,5,2,9
44,12.75,61.0,11.0,0.25,11.0,13.0,V7,7,5,2,9
45,13.0,62.0,0.0,0.125,11.0,13.0,V7,7,5,2,9
46,13.125,57.0,7.0,0.125,13.0,14.0,I,0,1,2,2
47,13.25,59.0,9.0,0.125,13.0,14.0,I,0,1,2,2
48,13.375,54.0,4.0,0.125,13.0,14.0,I,0,1,2,2
49,13.5,57.0,7.0,0.5,13.0,14.0,I,0,1,2,2
50,14.0,57.0,7.0,0.125,13.0,14.0,I,0,1,2,2
51,14.125,66.0,4.0,0.25,14.0,15.0,iii,4,3,2,6
52,14.375,61.0,11.0,0.625,14.0,15.0,iii,4,3,2,6
53,15.0,62.0,0.0,0.125,14.0,15.0,iii,4,3,2,6
54,15.125,57.0,7.0,0.125,15.0,16.0,I,0,1,2,2
55,15.25,59.0,9.0,0.125,15.0,16.0,I,0,1,2,2
56,15.375,54.0,4.0,0.125,15.0,16.0,I,0,1,2,2
57,15.5,57.0,7.0,0.5,15.0,16.0,I,0,1,2,2
58,16.0,57.0,7.0,0.125,15.0,16.0,I,0,1,2,2
59,16.125,66.0,4.0,0.25,16.0,17.0,iii,4,3,2,6
60,16.375,61.0,11.0,0.5,16.0,17.0,iii,4,3,2,6
61,16.875,57.0,7.0,0.125,16.0,17.0,iii,4,3,2,6
62,17.0,55.0,5.0,0.75,16.0,17.0,iii,4,3,2,6
63,17.75,55.0,5.0,0.125,17.0,18.0,IV,5,4,2,7
64,17.875,55.0,5.0,0.125,17.0,18.0,IV,5,4,2,7
65,18.0,54.0,4.0,0.75,17.0,18.0,IV,5,4,2,7
66,18.75,50.0,0.0,0.125,18.0,19.0,V7,7,5,2,9
