,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,36.25,67.0,3.0,0.125,0.0,44.0,i,0,1,4,4
1,36.375,67.0,3.0,0.125,0.0,44.0,i,0,1,4,4
2,36.5,67.0,3.0,0.25,0.0,44.0,i,0,1,4,4
3,36.75,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
4,36.875,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
5,37.0,64.0,0.0,0.25,0.0,44.0,i,0,1,4,4
6,37.25,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
7,37.375,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
8,37.5,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
9,37.625,62.0,10.0,0.25,0.0,44.0,i,0,1,4,4
10,37.875,64.0,0.0,0.375,0.0,44.0,i,0,1,4,4
11,38.25,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
12,38.375,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
13,38.5,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
14,38.625,59.0,7.0,0.125,0.0,44.0,i,0,1,4,4
15,38.75,62.0,10.0,0.125,0.0,44.0,i,0,1,4,4
16,38.875,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
17,39.0,62.0,10.0,0.125,0.0,44.0,i,0,1,4,4
18,39.125,64.0,0.0,1.0,0.0,44.0,i,0,1,4,4
19,40.125,59.0,7.0,0.125,0.0,44.0,i,0,1,4,4
20,40.25,67.0,3.0,0.125,0.0,44.0,i,0,1,4,4
21,40.375,67.0,3.0,0.125,0.0,44.0,i,0,1,4,4
22,40.5,67.0,3.0,0.25,0.0,44.0,i,0,1,4,4
23,40.75,62.0,10.0,0.125,0.0,44.0,i,0,1,4,4
24,40.875,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
25,41.0,64.0,0.0,0.25,0.0,44.0,i,0,1,4,4
26,41.25,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
27,41.375,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
28,41.5,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
29,41.625,62.0,10.0,0.25,0.0,44.0,i,0,1,4,4
30,41.875,64.0,0.0,0.375,0.0,44.0,i,0,1,4,4
31,42.25,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
32,42.375,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
33,42.5,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
34,42.625,59.0,7.0,0.125,0.0,44.0,i,0,1,4,4
35,42.75,62.0,10.0,0.125,0.0,44.0,i,0,1,4,4
36,42.875,64.0,0.0,0.125,0.0,44.0,i,0,1,4,4
37,43.0,62.0,10.0,0.125,0.0,44.0,i,0,1,4,4
38,43.125,64.0,0.0,1.375,0.0,44.0,i,0,1,4,4
39,44.5,66.0,2.0,0.125,44.0,51.0,ii,2,2,4,6
40,44.625,66.0,2.0,0.25,44.0,51.0,ii,2,2,4,6
41,44.875,66.0,2.0,0.25,44.0,51.0,ii,2,2,4,6
42,45.125,66.0,2.0,0.25,44.0,51.0,ii,2,2,4,6
43,45.375,69.0,5.0,0.125,44.0,51.0,ii,2,2,4,6
44,45.5,68.0,4.0,0.125,44.0,51.0,ii,2,2,4,6
45,45.625,66.0,2.0,0.875,44.0,51.0,ii,2,2,4,6
46,46.5,69.0,5.0,0.125,44.0,51.0,ii,2,2,4,6
47,46.625,68.0,4.0,0.125,44.0,51.0,ii,2,2,4,6
48,46.75,66.0,2.0,0.125,44.0,51.0,ii,2,2,4,6
49,46.875,69.0,5.0,0.25,44.0,51.0,ii,2,2,4,6
50,47.125,66.0,2.0,0.25,44.0,51.0,ii,2,2,4,6
51,47.375,66.0,2.0,0.25,44.0,51.0,ii,2,2,4,6
52,47.625,61.0,9.0,0.375,44.0,51.0,ii,2,2,4,6
53,48.0,66.0,2.0,0.5,44.0,51.0,ii,2,2,4,6
54,48.5,64.0,0.0,0.375,44.0,51.0,ii,2,2,4,6
55,48.875,66.0,2.0,1.125,44.0,51.0,ii,2,2,4,6
56,50.0,66.0,2.0,0.375,44.0,51.0,ii,2,2,4,6
57,50.375,64.0,0.0,0.125,44.0,51.0,ii,2,2,4,6
58,50.5,64.0,0.0,0.375,44.0,51.0,ii,2,2,4,6
59,50.875,68.0,4.0,0.125,44.0,51.0,ii,2,2,4,6
60,51.0,64.0,0.0,1.0,44.0,51.0,ii,2,2,4,6
61,52.0,66.0,2.0,0.375,51.0,52.0,i,0,1,4,4
62,52.375,64.0,0.0,0.25,52.0,53.0,ii,2,2,4,6
63,52.625,64.0,0.0,0.25,52.0,53.0,ii,2,2,4,6
64,52.875,64.0,0.0,1.0,52.0,53.0,ii,2,2,4,6
65,53.875,59.0,7.0,0.125,53.0,71.0,i,0,1,4,4
66,54.0,62.0,10.0,0.125,53.0,71.0,i,0,1,4,4
67,54.125,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
68,54.25,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
69,54.375,59.0,7.0,0.125,53.0,71.0,i,0,1,4,4
70,54.5,62.0,10.0,0.125,53.0,71.0,i,0,1,4,4
71,54.625,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
72,54.75,64.0,0.0,8.5,53.0,71.0,i,0,1,4,4
73,63.25,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
74,63.375,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
75,63.5,67.0,3.0,0.25,53.0,71.0,i,0,1,4,4
76,63.75,62.0,10.0,0.125,53.0,71.0,i,0,1,4,4
77,63.875,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
78,64.0,64.0,0.0,0.25,53.0,71.0,i,0,1,4,4
79,64.25,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
80,64.375,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
81,64.5,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
82,64.625,67.0,3.0,0.25,53.0,71.0,i,0,1,4,4
83,64.875,67.0,3.0,0.0630000000000023,53.0,71.0,i,0,1,4,4
84,64.938,66.0,2.0,0.0619999999999976,53.0,71.0,i,0,1,4,4
85,65.0,64.0,0.0,0.25,53.0,71.0,i,0,1,4,4
86,65.25,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
87,65.375,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
88,65.5,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
89,65.625,59.0,7.0,0.125,53.0,71.0,i,0,1,4,4
90,65.75,62.0,10.0,0.125,53.0,71.0,i,0,1,4,4
91,65.875,64.0,0.0,0.125,53.0,71.0,i,0,1,4,4
92,66.0,62.0,10.0,0.125,53.0,71.0,i,0,1,4,4
93,66.125,64.0,0.0,1.125,53.0,71.0,i,0,1,4,4
94,67.25,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
95,67.375,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
96,67.5,67.0,3.0,0.25,53.0,71.0,i,0,1,4,4
97,67.75,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
98,67.875,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
99,68.0,67.0,3.0,0.25,53.0,71.0,i,0,1,4,4
100,68.25,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
101,68.375,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
102,68.5,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
103,68.625,64.0,0.0,0.25,53.0,71.0,i,0,1,4,4
104,68.875,64.0,0.0,0.375,53.0,71.0,i,0,1,4,4
105,69.25,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
106,69.375,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
107,69.5,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
108,69.625,67.0,3.0,0.125,53.0,71.0,i,0,1,4,4
109,69.75,67.0,3.0,0.0619999999999976,53.0,71.0,i,0,1,4,4
110,69.812,66.0,2.0,0.0630000000000023,53.0,71.0,i,0,1,4,4
111,69.875,64.0,0.0,0.75,53.0,71.0,i,0,1,4,4
112,70.625,67.0,3.0,0.875,53.0,71.0,i,0,1,4,4
113,71.5,66.0,2.0,0.125,71.0,78.0,ii,2,2,4,6
114,71.625,66.0,2.0,0.25,71.0,78.0,ii,2,2,4,6
115,71.875,66.0,2.0,0.25,71.0,78.0,ii,2,2,4,6
116,72.125,66.0,2.0,0.25,71.0,78.0,ii,2,2,4,6
117,72.375,69.0,5.0,0.125,71.0,78.0,ii,2,2,4,6
118,72.5,68.0,4.0,0.125,71.0,78.0,ii,2,2,4,6
119,72.625,66.0,2.0,0.875,71.0,78.0,ii,2,2,4,6
120,73.5,69.0,5.0,0.125,71.0,78.0,ii,2,2,4,6
121,73.625,68.0,4.0,0.125,71.0,78.0,ii,2,2,4,6
122,73.75,66.0,2.0,0.125,71.0,78.0,ii,2,2,4,6
123,73.875,69.0,5.0,0.25,71.0,78.0,ii,2,2,4,6
124,74.125,66.0,2.0,0.25,71.0,78.0,ii,2,2,4,6
125,74.375,66.0,2.0,0.25,71.0,78.0,ii,2,2,4,6
126,74.625,61.0,9.0,0.375,71.0,78.0,ii,2,2,4,6
127,75.0,66.0,2.0,0.5,71.0,78.0,ii,2,2,4,6
128,75.5,64.0,0.0,0.375,71.0,78.0,ii,2,2,4,6
129,75.875,66.0,2.0,1.125,71.0,78.0,ii,2,2,4,6
130,77.0,66.0,2.0,0.375,71.0,78.0,ii,2,2,4,6
131,77.375,64.0,0.0,0.125,71.0,78.0,ii,2,2,4,6
132,77.5,64.0,0.0,0.375,71.0,78.0,ii,2,2,4,6
133,77.875,68.0,4.0,0.125,71.0,78.0,ii,2,2,4,6
134,78.0,68.0,4.0,0.125,71.0,78.0,ii,2,2,4,6
135,78.125,64.0,0.0,0.875,78.0,79.0,i,0,1,4,4
136,79.0,66.0,2.0,0.375,78.0,79.0,i,0,1,4,4
137,79.375,64.0,0.0,0.25,79.0,80.0,ii,2,2,4,6
138,79.625,64.0,0.0,0.25,79.0,80.0,ii,2,2,4,6
139,79.875,64.0,0.0,1.0,79.0,80.0,ii,2,2,4,6
140,80.875,59.0,7.0,0.125,80.0,91.0,i,0,1,4,4
141,81.0,64.0,0.0,0.125,80.0,91.0,i,0,1,4,4
142,81.125,64.0,0.0,0.125,80.0,91.0,i,0,1,4,4
143,81.25,64.0,0.0,0.125,80.0,91.0,i,0,1,4,4
144,81.375,59.0,7.0,0.125,80.0,91.0,i,0,1,4,4
145,81.5,62.0,10.0,0.125,80.0,91.0,i,0,1,4,4
146,81.625,64.0,0.0,0.125,80.0,91.0,i,0,1,4,4
147,81.75,64.0,0.0,32.25,80.0,91.0,i,0,1,4,4
148,114.0,54.0,2.0,0.25,100.0,114.0,i,0,1,4,4
149,114.25,54.0,2.0,0.125,114.0,125.0,ii,2,2,4,6
150,114.375,54.0,2.0,0.125,114.0,125.0,ii,2,2,4,6
151,114.5,54.0,2.0,0.125,114.0,125.0,ii,2,2,4,6
152,114.625,54.0,2.0,0.25,114.0,125.0,ii,2,2,4,6
