,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.875,53.0,0.0,0.0630000000000001,3.5,4.0,V,7,5,5,0
1,3.938,55.0,2.0,0.0619999999999998,3.5,4.0,V,7,5,5,0
2,4.0,57.0,4.0,0.375,3.5,4.0,V,7,5,5,0
3,4.375,53.0,0.0,0.625,4.0,4.5,I,0,1,5,5
4,5.0,53.0,0.0,0.25,4.5,5.25,IV,5,4,5,10
5,5.25,53.0,0.0,0.125,4.5,5.25,IV,5,4,5,10
6,5.375,55.0,2.0,0.1870000000000002,5.25,5.5,I,0,1,5,5
7,5.562,57.0,4.0,0.3129999999999997,5.5,6.0,V,7,5,5,0
8,5.875,57.0,4.0,0.125,5.5,6.0,V,7,5,5,0
9,6.0,57.0,4.0,0.375,5.5,6.0,V,7,5,5,0
10,6.375,53.0,0.0,0.5,6.0,6.5,I,0,1,5,5
11,6.875,53.0,0.0,0.0629999999999997,6.5,7.25,IV,5,4,5,10
12,6.938,53.0,0.0,0.0620000000000002,6.5,7.25,IV,5,4,5,10
13,7.0,53.0,0.0,0.125,6.5,7.25,IV,5,4,5,10
14,7.125,53.0,0.0,0.0629999999999997,6.5,7.25,IV,5,4,5,10
15,7.188,53.0,0.0,0.1870000000000002,6.5,7.25,IV,5,4,5,10
16,7.375,55.0,2.0,0.5,7.25,7.5,I,0,1,5,5
17,7.875,53.0,0.0,0.0629999999999997,7.5,8.0,V,7,5,5,0
18,7.938,55.0,2.0,0.0620000000000002,7.5,8.0,V,7,5,5,0
19,8.0,57.0,4.0,0.375,7.5,8.0,V,7,5,5,0
20,8.375,53.0,0.0,0.5630000000000006,8.0,8.5,I,0,1,5,5
21,8.938,41.0,0.0,0.0619999999999993,8.5,9.25,IV,5,4,5,10
22,9.0,53.0,0.0,0.125,8.5,9.25,IV,5,4,5,10
23,9.125,53.0,0.0,0.0630000000000006,8.5,9.25,IV,5,4,5,10
24,9.188,53.0,0.0,0.1869999999999994,8.5,9.25,IV,5,4,5,10
25,9.375,55.0,2.0,0.1869999999999994,9.25,9.5,I,0,1,5,5
26,9.562,57.0,4.0,0.3130000000000006,9.5,10.0,V,7,5,5,0
27,9.875,57.0,4.0,0.125,9.5,10.0,V,7,5,5,0
28,10.0,57.0,4.0,0.375,9.5,10.0,V,7,5,5,0
29,10.375,53.0,0.0,0.5,10.0,10.5,I,0,1,5,5
30,10.875,53.0,0.0,0.0630000000000006,10.5,11.25,IV,5,4,5,10
31,10.938,53.0,0.0,0.0619999999999993,10.5,11.25,IV,5,4,5,10
32,11.0,53.0,0.0,0.125,10.5,11.25,IV,5,4,5,10
33,11.125,53.0,0.0,0.25,10.5,11.25,IV,5,4,5,10
34,11.375,55.0,2.0,2.5,11.25,11.5,I,0,1,5,5
35,13.875,53.0,0.0,0.0630000000000006,13.5,14.0,V,7,5,5,0
36,13.938,55.0,2.0,0.0619999999999993,13.5,14.0,V,7,5,5,0
37,14.0,57.0,4.0,0.375,13.5,14.0,V,7,5,5,0
38,14.375,53.0,0.0,0.625,14.0,14.5,I,0,1,5,5
39,15.0,53.0,0.0,0.0619999999999993,14.5,15.25,IV,5,4,5,10
40,15.062,53.0,0.0,0.0630000000000006,14.5,15.25,IV,5,4,5,10
41,15.125,53.0,0.0,0.125,14.5,15.25,IV,5,4,5,10
42,15.25,53.0,0.0,0.125,14.5,15.25,IV,5,4,5,10
43,15.375,55.0,2.0,0.1869999999999994,15.25,15.5,I,0,1,5,5
44,15.562,57.0,4.0,0.3130000000000006,15.5,16.0,V,7,5,5,0
45,15.875,57.0,4.0,0.0630000000000006,15.5,16.0,V,7,5,5,0
