,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,24.25,64.0,3.0,0.5,24.0,33.0,I,0,1,1,1
1,24.75,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
2,24.875,64.0,3.0,0.25,24.0,33.0,I,0,1,1,1
3,25.125,66.0,5.0,0.25,24.0,33.0,I,0,1,1,1
4,25.375,66.0,5.0,0.25,24.0,33.0,I,0,1,1,1
5,25.625,61.0,0.0,0.625,24.0,33.0,I,0,1,1,1
6,26.25,64.0,3.0,0.375,24.0,33.0,I,0,1,1,1
7,26.625,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
8,26.75,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
9,26.875,64.0,3.0,0.375,24.0,33.0,I,0,1,1,1
10,27.25,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
11,27.375,61.0,0.0,0.875,24.0,33.0,I,0,1,1,1
12,28.25,64.0,3.0,0.125,24.0,33.0,I,0,1,1,1
13,28.375,64.0,3.0,0.25,24.0,33.0,I,0,1,1,1
14,28.625,61.0,0.0,0.375,24.0,33.0,I,0,1,1,1
15,29.0,64.0,3.0,0.125,24.0,33.0,I,0,1,1,1
16,29.125,66.0,5.0,0.25,24.0,33.0,I,0,1,1,1
17,29.375,66.0,5.0,0.25,24.0,33.0,I,0,1,1,1
18,29.625,61.0,0.0,0.75,24.0,33.0,I,0,1,1,1
19,30.375,64.0,3.0,0.125,24.0,33.0,I,0,1,1,1
20,30.5,63.0,2.0,0.125,24.0,33.0,I,0,1,1,1
21,30.625,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
22,30.75,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
23,30.875,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
24,31.0,64.0,3.0,0.125,24.0,33.0,I,0,1,1,1
25,31.125,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
26,31.25,61.0,0.0,0.125,24.0,33.0,I,0,1,1,1
27,31.375,61.0,0.0,0.875,24.0,33.0,I,0,1,1,1
28,32.25,73.0,0.0,0.625,24.0,33.0,I,0,1,1,1
29,32.875,76.0,3.0,0.25,24.0,33.0,I,0,1,1,1
30,33.125,76.0,3.0,1.0,33.0,34.0,bVII,10,7,1,11
31,34.125,73.0,0.0,0.125,34.0,35.0,bVI,8,6,1,9
32,34.25,73.0,0.0,0.125,34.0,35.0,bVI,8,6,1,9
33,34.375,71.0,10.0,0.125,34.0,35.0,bVI,8,6,1,9
34,34.5,73.0,0.0,0.125,34.0,35.0,bVI,8,6,1,9
35,34.625,73.0,0.0,0.125,34.0,35.0,bVI,8,6,1,9
36,34.75,73.0,0.0,0.375,34.0,35.0,bVI,8,6,1,9
37,35.125,73.0,0.0,0.125,35.0,36.0,bVII,10,7,1,11
38,35.25,73.0,0.0,0.125,35.0,36.0,bVII,10,7,1,11
39,35.375,75.0,2.0,0.125,35.0,36.0,bVII,10,7,1,11
40,35.5,76.0,3.0,0.125,35.0,36.0,bVII,10,7,1,11
41,35.625,73.0,0.0,0.125,35.0,36.0,bVII,10,7,1,11
42,35.75,73.0,0.0,0.25,35.0,36.0,bVII,10,7,1,11
43,36.0,73.0,0.0,0.875,35.0,36.0,bVII,10,7,1,11
44,36.875,76.0,3.0,0.25,36.0,37.0,I,0,1,1,1
45,37.125,76.0,3.0,1.0,37.0,38.0,bVII,10,7,1,11
46,38.125,73.0,0.0,0.125,38.0,39.0,bVI,8,6,1,9
47,38.25,73.0,0.0,0.125,38.0,39.0,bVI,8,6,1,9
48,38.375,71.0,10.0,0.125,38.0,39.0,bVI,8,6,1,9
49,38.5,73.0,0.0,0.125,38.0,39.0,bVI,8,6,1,9
50,38.625,73.0,0.0,0.125,38.0,39.0,bVI,8,6,1,9
51,38.75,73.0,0.0,0.375,38.0,39.0,bVI,8,6,1,9
52,39.125,73.0,0.0,0.125,39.0,40.0,bVII,10,7,1,11
53,39.25,73.0,0.0,0.125,39.0,40.0,bVII,10,7,1,11
54,39.375,75.0,2.0,0.125,39.0,40.0,bVII,10,7,1,11
55,39.5,76.0,3.0,0.125,39.0,40.0,bVII,10,7,1,11
56,39.625,73.0,0.0,0.125,39.0,40.0,bVII,10,7,1,11
57,39.75,73.0,0.0,0.25,39.0,40.0,bVII,10,7,1,11
58,40.0,73.0,0.0,4.25,39.0,40.0,bVII,10,7,1,11
59,44.25,64.0,3.0,0.375,40.0,53.0,I,0,1,1,1
60,44.625,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
61,44.75,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
62,44.875,64.0,3.0,0.25,40.0,53.0,I,0,1,1,1
63,45.125,66.0,5.0,0.25,40.0,53.0,I,0,1,1,1
64,45.375,66.0,5.0,0.25,40.0,53.0,I,0,1,1,1
65,45.625,61.0,0.0,0.625,40.0,53.0,I,0,1,1,1
66,46.25,64.0,3.0,0.375,40.0,53.0,I,0,1,1,1
67,46.625,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
68,46.75,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
69,46.875,64.0,3.0,0.375,40.0,53.0,I,0,1,1,1
70,47.25,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
71,47.375,61.0,0.0,0.875,40.0,53.0,I,0,1,1,1
72,48.25,64.0,3.0,0.125,40.0,53.0,I,0,1,1,1
73,48.375,63.0,2.0,0.25,40.0,53.0,I,0,1,1,1
74,48.625,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
75,48.75,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
76,48.875,64.0,3.0,0.25,40.0,53.0,I,0,1,1,1
77,49.125,66.0,5.0,0.25,40.0,53.0,I,0,1,1,1
78,49.375,66.0,5.0,0.25,40.0,53.0,I,0,1,1,1
79,49.625,61.0,0.0,0.625,40.0,53.0,I,0,1,1,1
80,50.25,66.0,5.0,0.25,40.0,53.0,I,0,1,1,1
81,50.5,64.0,3.0,0.125,40.0,53.0,I,0,1,1,1
82,50.625,61.0,0.0,0.25,40.0,53.0,I,0,1,1,1
83,50.875,64.0,3.0,0.375,40.0,53.0,I,0,1,1,1
84,51.25,61.0,0.0,0.125,40.0,53.0,I,0,1,1,1
85,51.375,61.0,0.0,0.875,40.0,53.0,I,0,1,1,1
86,52.25,73.0,0.0,0.625,40.0,53.0,I,0,1,1,1
87,52.875,76.0,3.0,0.25,40.0,53.0,I,0,1,1,1
88,53.125,71.0,10.0,1.0,53.0,54.0,bVII,10,7,1,11
89,54.125,73.0,0.0,0.125,54.0,55.0,bVI,8,6,1,9
90,54.25,73.0,0.0,0.125,54.0,55.0,bVI,8,6,1,9
91,54.375,71.0,10.0,0.125,54.0,55.0,bVI,8,6,1,9
92,54.5,73.0,0.0,0.125,54.0,55.0,bVI,8,6,1,9
93,54.625,73.0,0.0,0.125,54.0,55.0,bVI,8,6,1,9
94,54.75,71.0,10.0,0.375,54.0,55.0,bVI,8,6,1,9
95,55.125,73.0,0.0,0.125,55.0,56.0,bVII,10,7,1,11
96,55.25,73.0,0.0,0.125,55.0,56.0,bVII,10,7,1,11
97,55.375,73.0,0.0,0.125,55.0,56.0,bVII,10,7,1,11
98,55.5,76.0,3.0,0.125,55.0,56.0,bVII,10,7,1,11
99,55.625,73.0,0.0,0.125,55.0,56.0,bVII,10,7,1,11
100,55.75,73.0,0.0,0.25,55.0,56.0,bVII,10,7,1,11
101,56.0,73.0,0.0,0.875,55.0,56.0,bVII,10,7,1,11
102,56.875,76.0,3.0,0.25,56.0,57.0,I,0,1,1,1
103,57.125,71.0,10.0,1.0,57.0,58.0,bVII,10,7,1,11
104,58.125,73.0,0.0,0.125,58.0,59.0,bVI,8,6,1,9
105,58.25,73.0,0.0,0.125,58.0,59.0,bVI,8,6,1,9
106,58.375,71.0,10.0,0.125,58.0,59.0,bVI,8,6,1,9
107,58.5,73.0,0.0,0.125,58.0,59.0,bVI,8,6,1,9
108,58.625,73.0,0.0,0.125,58.0,59.0,bVI,8,6,1,9
109,58.75,73.0,0.0,0.375,58.0,59.0,bVI,8,6,1,9
110,59.125,73.0,0.0,0.125,59.0,60.0,bVII,10,7,1,11
111,59.25,73.0,0.0,0.125,59.0,60.0,bVII,10,7,1,11
112,59.375,75.0,2.0,0.125,59.0,60.0,bVII,10,7,1,11
113,59.5,76.0,3.0,0.125,59.0,60.0,bVII,10,7,1,11
114,59.625,75.0,2.0,0.125,59.0,60.0,bVII,10,7,1,11
115,59.75,75.0,2.0,0.25,59.0,60.0,bVII,10,7,1,11
116,60.0,73.0,0.0,0.25,59.0,60.0,bVII,10,7,1,11
117,60.25,69.0,8.0,20.0,60.0,69.0,I,0,1,1,1
118,80.25,73.0,0.0,0.75,80.0,81.0,I,0,1,1,1
119,81.0,76.0,3.0,0.125,80.0,81.0,I,0,1,1,1
120,81.125,76.0,3.0,1.0,81.0,82.0,bVII,10,7,1,11
121,82.125,73.0,0.0,0.125,82.0,83.0,bVI,8,6,1,9
122,82.25,73.0,0.0,0.125,82.0,83.0,bVI,8,6,1,9
123,82.375,71.0,10.0,0.125,82.0,83.0,bVI,8,6,1,9
124,82.5,73.0,0.0,0.125,82.0,83.0,bVI,8,6,1,9
125,82.625,73.0,0.0,0.125,82.0,83.0,bVI,8,6,1,9
126,82.75,73.0,0.0,0.375,82.0,83.0,bVI,8,6,1,9
127,83.125,71.0,10.0,0.125,83.0,84.0,bVII,10,7,1,11
128,83.25,73.0,0.0,0.125,83.0,84.0,bVII,10,7,1,11
129,83.375,71.0,10.0,0.125,83.0,84.0,bVII,10,7,1,11
130,83.5,76.0,3.0,0.125,83.0,84.0,bVII,10,7,1,11
131,83.625,73.0,0.0,0.125,83.0,84.0,bVII,10,7,1,11
132,83.75,73.0,0.0,0.5,83.0,84.0,bVII,10,7,1,11
133,84.25,76.0,3.0,0.125,84.0,85.0,I,0,1,1,1
134,84.375,75.0,2.0,0.125,84.0,85.0,I,0,1,1,1
135,84.5,73.0,0.0,0.375,84.0,85.0,I,0,1,1,1
136,84.875,76.0,3.0,0.25,84.0,85.0,I,0,1,1,1
137,85.125,76.0,3.0,0.375,85.0,86.0,bVII,10,7,1,11
138,85.5,73.0,0.0,0.25,85.0,86.0,bVII,10,7,1,11
139,85.75,71.0,10.0,0.375,85.0,86.0,bVII,10,7,1,11
140,86.125,71.0,10.0,0.125,86.0,87.0,bVI,8,6,1,9
141,86.25,73.0,0.0,0.125,86.0,87.0,bVI,8,6,1,9
142,86.375,71.0,10.0,0.125,86.0,87.0,bVI,8,6,1,9
143,86.5,73.0,0.0,0.125,86.0,87.0,bVI,8,6,1,9
144,86.625,73.0,0.0,0.125,86.0,87.0,bVI,8,6,1,9
145,86.75,73.0,0.0,0.375,86.0,87.0,bVI,8,6,1,9
146,87.125,71.0,10.0,0.125,87.0,88.0,bVII,10,7,1,11
147,87.25,73.0,0.0,0.125,87.0,88.0,bVII,10,7,1,11
148,87.375,71.0,10.0,0.125,87.0,88.0,bVII,10,7,1,11
149,87.5,76.0,3.0,0.125,87.0,88.0,bVII,10,7,1,11
150,87.625,73.0,0.0,0.125,87.0,88.0,bVII,10,7,1,11
151,87.75,73.0,0.0,0.5,87.0,88.0,bVII,10,7,1,11
152,88.25,76.0,3.0,0.125,88.0,89.0,I,0,1,1,1
153,88.375,75.0,2.0,0.125,88.0,89.0,I,0,1,1,1
154,88.5,73.0,0.0,0.5,88.0,89.0,I,0,1,1,1
155,89.0,76.0,3.0,0.125,88.0,89.0,I,0,1,1,1
156,89.125,76.0,3.0,0.875,89.0,90.0,bVII,10,7,1,11
157,90.0,73.0,0.0,0.25,89.0,90.0,bVII,10,7,1,11
158,90.25,73.0,0.0,0.125,90.0,91.0,bVI,8,6,1,9
159,90.375,71.0,10.0,0.125,90.0,91.0,bVI,8,6,1,9
160,90.5,73.0,0.0,0.125,90.0,91.0,bVI,8,6,1,9
161,90.625,73.0,0.0,0.125,90.0,91.0,bVI,8,6,1,9
162,90.75,73.0,0.0,0.375,90.0,91.0,bVI,8,6,1,9
163,91.125,71.0,10.0,0.125,91.0,92.0,bVII,10,7,1,11
164,91.25,73.0,0.0,0.125,91.0,92.0,bVII,10,7,1,11
165,91.375,71.0,10.0,0.125,91.0,92.0,bVII,10,7,1,11
166,91.5,76.0,3.0,0.125,91.0,92.0,bVII,10,7,1,11
167,91.625,73.0,0.0,0.125,91.0,92.0,bVII,10,7,1,11
168,91.75,73.0,0.0,0.25,91.0,92.0,bVII,10,7,1,11
169,92.0,73.0,0.0,0.375,91.0,92.0,bVII,10,7,1,11
170,92.375,70.0,9.0,0.25,92.0,105.0,I,0,1,1,1
171,92.625,64.0,3.0,0.5,92.0,105.0,I,0,1,1,1
172,93.125,61.0,0.0,3.125,92.0,105.0,I,0,1,1,1
173,96.25,64.0,3.0,0.375,92.0,105.0,I,0,1,1,1
174,96.625,61.0,0.0,0.25,92.0,105.0,I,0,1,1,1
175,96.875,64.0,3.0,0.25,92.0,105.0,I,0,1,1,1
176,97.125,66.0,5.0,0.25,92.0,105.0,I,0,1,1,1
177,97.375,66.0,5.0,0.25,92.0,105.0,I,0,1,1,1
178,97.625,61.0,0.0,0.625,92.0,105.0,I,0,1,1,1
179,98.25,64.0,3.0,0.375,92.0,105.0,I,0,1,1,1
180,98.625,61.0,0.0,0.125,92.0,105.0,I,0,1,1,1
181,98.75,61.0,0.0,0.125,92.0,105.0,I,0,1,1,1
182,98.875,64.0,3.0,0.375,92.0,105.0,I,0,1,1,1
183,99.25,61.0,0.0,0.125,92.0,105.0,I,0,1,1,1
184,99.375,61.0,0.0,0.875,92.0,105.0,I,0,1,1,1
