,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,2.375,53.0,0.0,0.125,0.0,5.0,I,0,1,5,5
1,2.5,55.0,2.0,0.125,0.0,5.0,I,0,1,5,5
2,2.625,57.0,4.0,0.25,0.0,5.0,I,0,1,5,5
3,2.875,55.0,2.0,0.5,0.0,5.0,I,0,1,5,5
4,3.375,53.0,0.0,0.125,0.0,5.0,I,0,1,5,5
5,3.5,55.0,2.0,0.125,0.0,5.0,I,0,1,5,5
6,3.625,57.0,4.0,0.25,0.0,5.0,I,0,1,5,5
7,3.875,57.0,4.0,0.125,0.0,5.0,I,0,1,5,5
8,4.0,58.0,5.0,0.375,0.0,5.0,I,0,1,5,5
9,4.375,57.0,4.0,0.125,0.0,5.0,I,0,1,5,5
10,4.5,55.0,2.0,0.25,0.0,5.0,I,0,1,5,5
11,4.75,55.0,2.0,1.625,0.0,5.0,I,0,1,5,5
12,6.375,58.0,5.0,0.125,6.0,9.0,IV,5,4,5,10
13,6.5,60.0,7.0,0.125,6.0,9.0,IV,5,4,5,10
14,6.625,62.0,9.0,0.25,6.0,9.0,IV,5,4,5,10
15,6.875,60.0,7.0,0.5,6.0,9.0,IV,5,4,5,10
16,7.375,58.0,5.0,0.125,6.0,9.0,IV,5,4,5,10
17,7.5,60.0,7.0,0.125,6.0,9.0,IV,5,4,5,10
18,7.625,62.0,9.0,0.25,6.0,9.0,IV,5,4,5,10
19,7.875,65.0,0.0,0.125,6.0,9.0,IV,5,4,5,10
20,8.0,58.0,5.0,0.375,6.0,9.0,IV,5,4,5,10
21,8.375,60.0,7.0,0.125,6.0,9.0,IV,5,4,5,10
22,8.5,60.0,7.0,0.125,6.0,9.0,IV,5,4,5,10
23,8.625,62.0,9.0,0.125,6.0,9.0,IV,5,4,5,10
24,8.75,60.0,7.0,1.625,6.0,9.0,IV,5,4,5,10
25,10.375,53.0,0.0,0.125,9.0,13.0,I,0,1,5,5
26,10.5,55.0,2.0,0.125,9.0,13.0,I,0,1,5,5
27,10.625,57.0,4.0,0.25,9.0,13.0,I,0,1,5,5
28,10.875,55.0,2.0,0.5,9.0,13.0,I,0,1,5,5
29,11.375,53.0,0.0,0.125,9.0,13.0,I,0,1,5,5
30,11.5,55.0,2.0,0.125,9.0,13.0,I,0,1,5,5
31,11.625,57.0,4.0,0.25,9.0,13.0,I,0,1,5,5
32,11.875,57.0,4.0,0.125,9.0,13.0,I,0,1,5,5
33,12.0,58.0,5.0,0.375,9.0,13.0,I,0,1,5,5
34,12.375,57.0,4.0,0.125,9.0,13.0,I,0,1,5,5
35,12.5,55.0,2.0,0.125,9.0,13.0,I,0,1,5,5
36,12.625,55.0,2.0,0.25,9.0,13.0,I,0,1,5,5
37,12.875,55.0,2.0,1.5,9.0,13.0,I,0,1,5,5
38,14.375,58.0,5.0,0.125,14.0,17.0,IV,5,4,5,10
39,14.5,60.0,7.0,0.125,14.0,17.0,IV,5,4,5,10
40,14.625,62.0,9.0,0.25,14.0,17.0,IV,5,4,5,10
41,14.875,60.0,7.0,0.5,14.0,17.0,IV,5,4,5,10
42,15.375,58.0,5.0,0.125,14.0,17.0,IV,5,4,5,10
43,15.5,60.0,7.0,0.125,14.0,17.0,IV,5,4,5,10
44,15.625,62.0,9.0,0.25,14.0,17.0,IV,5,4,5,10
45,15.875,65.0,0.0,0.125,14.0,17.0,IV,5,4,5,10
46,16.0,58.0,5.0,0.125,14.0,17.0,IV,5,4,5,10
47,16.125,58.0,5.0,0.25,14.0,17.0,IV,5,4,5,10
48,16.375,60.0,7.0,0.25,14.0,17.0,IV,5,4,5,10
49,16.625,62.0,9.0,0.125,14.0,17.0,IV,5,4,5,10
50,16.75,60.0,7.0,1.875,14.0,17.0,IV,5,4,5,10
51,18.625,69.0,4.0,0.125,18.0,19.0,vi,9,6,5,2
52,18.75,67.0,2.0,0.125,18.0,19.0,vi,9,6,5,2
53,18.875,69.0,4.0,0.25,18.0,19.0,vi,9,6,5,2
54,19.125,72.0,7.0,0.25,19.0,20.0,IV,5,4,5,10
55,19.375,65.0,0.0,0.25,19.0,20.0,IV,5,4,5,10
56,19.625,65.0,0.0,0.125,19.0,20.0,IV,5,4,5,10
57,19.75,67.0,2.0,1.125,19.0,20.0,IV,5,4,5,10
58,20.875,70.0,5.0,0.25,20.0,22.0,V,7,5,5,0
59,21.125,67.0,2.0,0.125,20.0,22.0,V,7,5,5,0
60,21.25,65.0,0.0,0.125,20.0,22.0,V,7,5,5,0
61,21.375,64.0,11.0,0.25,20.0,22.0,V,7,5,5,0
62,21.625,65.0,0.0,0.25,20.0,22.0,V,7,5,5,0
63,21.875,64.0,11.0,0.125,20.0,22.0,V,7,5,5,0
64,22.0,62.0,9.0,0.625,20.0,22.0,V,7,5,5,0
65,22.625,69.0,4.0,0.125,22.0,23.0,vi,9,6,5,2
66,22.75,67.0,2.0,0.125,22.0,23.0,vi,9,6,5,2
67,22.875,69.0,4.0,0.25,22.0,23.0,vi,9,6,5,2
68,23.125,72.0,7.0,0.25,23.0,24.0,IV,5,4,5,10
69,23.375,65.0,0.0,0.25,23.0,24.0,IV,5,4,5,10
70,23.625,65.0,0.0,0.125,23.0,24.0,IV,5,4,5,10
71,23.75,67.0,2.0,0.5,23.0,24.0,IV,5,4,5,10
72,24.25,65.0,0.0,0.125,24.0,26.0,V,7,5,5,0
73,24.375,67.0,2.0,0.125,24.0,26.0,V,7,5,5,0
74,24.5,65.0,0.0,0.125,24.0,26.0,V,7,5,5,0
75,24.625,69.0,4.0,0.25,24.0,26.0,V,7,5,5,0
76,24.875,67.0,2.0,1.75,24.0,26.0,V,7,5,5,0
77,26.625,69.0,4.0,0.125,26.0,27.0,vi,9,6,5,2
78,26.75,67.0,2.0,0.125,26.0,27.0,vi,9,6,5,2
79,26.875,69.0,4.0,0.25,26.0,27.0,vi,9,6,5,2
80,27.125,72.0,7.0,0.25,27.0,28.0,IV,5,4,5,10
81,27.375,65.0,0.0,0.25,27.0,28.0,IV,5,4,5,10
82,27.625,65.0,0.0,0.125,27.0,28.0,IV,5,4,5,10
83,27.75,67.0,2.0,1.125,27.0,28.0,IV,5,4,5,10
84,28.875,70.0,5.0,0.25,28.0,30.0,V,7,5,5,0
85,29.125,67.0,2.0,0.125,28.0,30.0,V,7,5,5,0
86,29.25,65.0,0.0,0.125,28.0,30.0,V,7,5,5,0
87,29.375,64.0,11.0,0.25,28.0,30.0,V,7,5,5,0
88,29.625,65.0,0.0,0.75,28.0,30.0,V,7,5,5,0
89,30.375,53.0,0.0,0.125,30.0,33.0,I,0,1,5,5
90,30.5,55.0,2.0,0.125,30.0,33.0,I,0,1,5,5
91,30.625,57.0,4.0,0.25,30.0,33.0,I,0,1,5,5
92,30.875,55.0,2.0,1.125,30.0,33.0,I,0,1,5,5
93,32.0,58.0,5.0,0.125,30.0,33.0,I,0,1,5,5
94,32.125,58.0,5.0,0.125,30.0,33.0,I,0,1,5,5
95,32.25,58.0,5.0,0.125,30.0,33.0,I,0,1,5,5
96,32.375,57.0,4.0,0.125,30.0,33.0,I,0,1,5,5
97,32.5,55.0,2.0,0.375,30.0,33.0,I,0,1,5,5
98,32.875,55.0,2.0,1.5,30.0,33.0,I,0,1,5,5
99,34.375,58.0,5.0,0.125,34.0,37.0,IV,5,4,5,10
100,34.5,60.0,7.0,0.125,34.0,37.0,IV,5,4,5,10
101,34.625,62.0,9.0,0.25,34.0,37.0,IV,5,4,5,10
102,34.875,60.0,7.0,0.5,34.0,37.0,IV,5,4,5,10
103,35.375,58.0,5.0,0.125,34.0,37.0,IV,5,4,5,10
104,35.5,60.0,7.0,0.125,34.0,37.0,IV,5,4,5,10
