,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,7.875,54.0,4.0,1.625,6.0,8.0,IV,5,4,2,7
1,9.5,54.0,4.0,0.125,8.0,10.0,I,0,1,2,2
2,9.625,52.0,2.0,0.125,8.0,10.0,I,0,1,2,2
3,9.75,50.0,0.0,0.125,8.0,10.0,I,0,1,2,2
4,9.875,50.0,0.0,1.875,8.0,10.0,I,0,1,2,2
5,11.75,52.0,2.0,0.125,10.0,12.0,IV,5,4,2,7
6,11.875,54.0,4.0,1.625,10.0,12.0,IV,5,4,2,7
7,13.5,54.0,4.0,0.125,12.0,14.0,I,0,1,2,2
8,13.625,54.0,4.0,0.125,12.0,14.0,I,0,1,2,2
9,13.75,50.0,0.0,0.125,12.0,14.0,I,0,1,2,2
10,13.875,50.0,0.0,2.0,12.0,14.0,I,0,1,2,2
11,15.875,52.0,2.0,0.125,14.0,16.0,IV,5,4,2,7
12,16.0,55.0,5.0,0.125,14.0,16.0,IV,5,4,2,7
13,16.125,55.0,5.0,1.25,16.0,18.0,bVII,10,7,2,0
14,17.375,55.0,5.0,0.125,16.0,18.0,bVII,10,7,2,0
15,17.5,55.0,5.0,0.125,16.0,18.0,bVII,10,7,2,0
16,17.625,57.0,7.0,0.125,16.0,18.0,bVII,10,7,2,0
17,17.75,59.0,9.0,0.125,16.0,18.0,bVII,10,7,2,0
18,17.875,57.0,7.0,1.875,16.0,18.0,bVII,10,7,2,0
19,19.75,54.0,4.0,0.125,18.0,20.0,I,0,1,2,2
20,19.875,47.0,9.0,0.125,18.0,20.0,I,0,1,2,2
21,20.0,55.0,5.0,0.125,18.0,20.0,I,0,1,2,2
22,20.125,52.0,2.0,1.375,20.0,21.0,v,7,5,2,9
23,21.5,50.0,0.0,0.125,21.0,22.0,ii,2,2,2,4
24,21.625,45.0,7.0,0.125,21.0,22.0,ii,2,2,2,4
25,21.75,50.0,0.0,0.125,21.0,22.0,ii,2,2,2,4
26,21.875,47.0,9.0,0.125,21.0,22.0,ii,2,2,2,4
27,22.0,45.0,7.0,1.5,21.0,22.0,ii,2,2,2,4
28,23.5,54.0,4.0,0.125,22.0,24.0,I,0,1,2,2
29,23.625,50.0,0.0,0.125,22.0,24.0,I,0,1,2,2
30,23.75,45.0,7.0,0.125,22.0,24.0,I,0,1,2,2
31,23.875,60.0,10.0,0.125,22.0,24.0,I,0,1,2,2
32,24.0,57.0,7.0,1.5,22.0,24.0,I,0,1,2,2
33,25.5,47.0,9.0,0.125,25.0,26.0,IVd7,5,4,2,7
34,25.625,50.0,0.0,0.125,25.0,26.0,IVd7,5,4,2,7
35,25.75,50.0,0.0,0.125,25.0,26.0,IVd7,5,4,2,7
36,25.875,47.0,9.0,0.125,25.0,26.0,IVd7,5,4,2,7
37,26.0,45.0,7.0,1.875,25.0,26.0,IVd7,5,4,2,7
38,27.875,45.0,7.0,0.125,26.0,30.0,I,0,1,2,2
39,28.0,54.0,4.0,1.375,26.0,30.0,I,0,1,2,2
40,29.375,45.0,7.0,0.125,26.0,30.0,I,0,1,2,2
41,29.5,54.0,4.0,0.125,26.0,30.0,I,0,1,2,2
42,29.625,50.0,0.0,0.125,26.0,30.0,I,0,1,2,2
43,29.75,47.0,9.0,0.125,26.0,30.0,I,0,1,2,2
44,29.875,52.0,2.0,0.125,26.0,30.0,I,0,1,2,2
45,30.0,50.0,0.0,1.875,26.0,30.0,I,0,1,2,2
46,31.875,45.0,7.0,0.125,30.0,32.0,IV,5,4,2,7
47,32.0,54.0,4.0,0.125,30.0,32.0,IV,5,4,2,7
48,32.125,54.0,4.0,1.375,32.0,34.0,I,0,1,2,2
49,33.5,50.0,0.0,0.125,32.0,34.0,I,0,1,2,2
50,33.625,53.0,3.0,0.125,32.0,34.0,I,0,1,2,2
51,33.75,54.0,4.0,0.1880000000000024,32.0,34.0,I,0,1,2,2
52,33.938,47.0,9.0,0.0619999999999976,32.0,34.0,I,0,1,2,2
53,34.0,50.0,0.0,1.625,32.0,34.0,I,0,1,2,2
54,35.625,57.0,7.0,0.125,34.0,36.0,IV,5,4,2,7
55,35.75,57.0,7.0,0.125,34.0,36.0,IV,5,4,2,7
56,35.875,57.0,7.0,0.125,34.0,36.0,IV,5,4,2,7
57,36.0,54.0,4.0,1.375,34.0,36.0,IV,5,4,2,7
58,37.375,45.0,7.0,0.125,36.0,38.0,I,0,1,2,2
59,37.5,50.0,0.0,0.125,36.0,38.0,I,0,1,2,2
60,37.625,50.0,0.0,0.125,36.0,38.0,I,0,1,2,2
61,37.75,50.0,0.0,0.125,36.0,38.0,I,0,1,2,2
62,37.875,50.0,0.0,1.75,36.0,38.0,I,0,1,2,2
63,39.625,59.0,9.0,0.125,38.0,40.0,IV,5,4,2,7
64,39.75,57.0,7.0,0.125,38.0,40.0,IV,5,4,2,7
65,39.875,59.0,9.0,0.125,38.0,40.0,IV,5,4,2,7
66,40.0,57.0,7.0,1.375,38.0,40.0,IV,5,4,2,7
67,41.375,42.0,4.0,0.125,40.0,42.0,I,0,1,2,2
