,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,0.25,81.0,4.0,0.25,0.0,1.0,V7/IV,0,1,5,5
1,0.5,81.0,4.0,0.25,0.0,1.0,V7/IV,0,1,5,5
2,0.75,79.0,2.0,0.25,0.0,1.0,V7/IV,0,1,5,5
3,1.0,77.0,0.0,0.417,0.0,1.0,V7/IV,0,1,5,5
4,1.417,74.0,9.0,0.0829999999999999,1.0,3.0,IV,5,4,5,10
5,1.5,74.0,9.0,0.9169999999999998,1.0,3.0,IV,5,4,5,10
6,2.417,58.0,5.0,0.1660000000000003,1.0,3.0,IV,5,4,5,10
7,2.583,58.0,5.0,0.0839999999999996,1.0,3.0,IV,5,4,5,10
8,2.667,60.0,7.0,0.0830000000000001,1.0,3.0,IV,5,4,5,10
9,2.75,62.0,9.0,0.1669999999999998,1.0,3.0,IV,5,4,5,10
10,2.917,60.0,7.0,1.5,1.0,3.0,IV,5,4,5,10
11,4.417,53.0,0.0,0.1660000000000003,3.0,5.0,I,0,1,5,5
12,4.583,57.0,4.0,0.1669999999999998,3.0,5.0,I,0,1,5,5
13,4.75,62.0,9.0,0.1669999999999998,3.0,5.0,I,0,1,5,5
14,4.917,60.0,7.0,0.4160000000000003,3.0,5.0,I,0,1,5,5
15,5.333,58.0,5.0,0.0839999999999996,5.0,7.0,V7,7,5,5,0
16,5.417,55.0,2.0,0.0830000000000001,5.0,7.0,V7,7,5,5,0
17,5.5,52.0,11.0,0.0419999999999998,5.0,7.0,V7,7,5,5,0
18,5.542,50.0,9.0,0.0410000000000003,5.0,7.0,V7,7,5,5,0
19,5.583,48.0,7.0,0.8339999999999996,5.0,7.0,V7,7,5,5,0
20,6.417,55.0,2.0,0.125,5.0,7.0,V7,7,5,5,0
21,6.542,57.0,4.0,0.0410000000000003,5.0,7.0,V7,7,5,5,0
22,6.583,53.0,0.0,0.25,5.0,7.0,V7,7,5,5,0
23,6.833,55.0,2.0,0.0839999999999996,5.0,7.0,V7,7,5,5,0
24,6.917,57.0,4.0,0.0830000000000001,5.0,7.0,V7,7,5,5,0
25,7.0,55.0,2.0,0.0419999999999998,5.0,7.0,V7,7,5,5,0
26,7.042,57.0,4.0,1.2080000000000002,7.0,9.0,I,0,1,5,5
27,8.25,81.0,4.0,0.25,7.0,9.0,I,0,1,5,5
28,8.5,81.0,4.0,0.25,7.0,9.0,I,0,1,5,5
29,8.75,79.0,2.0,0.25,7.0,9.0,I,0,1,5,5
30,9.0,77.0,0.0,0.4169999999999998,7.0,9.0,I,0,1,5,5
31,9.417,74.0,9.0,0.0830000000000001,9.0,11.0,IV,5,4,5,10
32,9.5,74.0,9.0,0.9169999999999998,9.0,11.0,IV,5,4,5,10
33,10.417,58.0,5.0,0.1660000000000003,9.0,11.0,IV,5,4,5,10
34,10.583,58.0,5.0,0.125,9.0,11.0,IV,5,4,5,10
35,10.708,60.0,7.0,0.125,9.0,11.0,IV,5,4,5,10
