,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,6.875,62.0,7.0,0.125,6.5,8.0,I,0,1,7,7
1,7.0,62.0,7.0,0.25,6.5,8.0,I,0,1,7,7
2,7.25,62.0,7.0,0.25,6.5,8.0,I,0,1,7,7
3,7.5,59.0,4.0,0.25,6.5,8.0,I,0,1,7,7
4,7.75,62.0,7.0,0.125,6.5,8.0,I,0,1,7,7
5,7.875,60.0,5.0,0.375,6.5,8.0,I,0,1,7,7
6,8.25,64.0,9.0,0.25,8.0,8.5,IV,5,4,7,0
7,8.5,62.0,7.0,0.5,8.0,8.5,IV,5,4,7,0
8,9.0,59.0,4.0,0.125,8.5,10.0,I,0,1,7,7
9,9.125,59.0,4.0,0.25,8.5,10.0,I,0,1,7,7
10,9.375,57.0,2.0,0.125,8.5,10.0,I,0,1,7,7
11,9.5,59.0,4.0,0.0619999999999993,8.5,10.0,I,0,1,7,7
12,9.562,57.0,2.0,0.1880000000000006,8.5,10.0,I,0,1,7,7
13,9.75,59.0,4.0,0.125,8.5,10.0,I,0,1,7,7
14,9.875,55.0,0.0,0.375,8.5,10.0,I,0,1,7,7
15,10.25,60.0,5.0,0.25,10.0,10.5,IV,5,4,7,0
16,10.5,59.0,4.0,0.5,10.0,10.5,IV,5,4,7,0
17,11.0,59.0,4.0,0.125,10.5,12.0,I,0,1,7,7
18,11.125,59.0,4.0,0.25,10.5,12.0,I,0,1,7,7
19,11.375,57.0,2.0,0.125,10.5,12.0,I,0,1,7,7
20,11.5,59.0,4.0,0.0619999999999993,10.5,12.0,I,0,1,7,7
21,11.562,57.0,2.0,0.1880000000000006,10.5,12.0,I,0,1,7,7
22,11.75,59.0,4.0,0.125,10.5,12.0,I,0,1,7,7
23,11.875,55.0,0.0,0.625,10.5,12.0,I,0,1,7,7
24,12.5,57.0,2.0,0.125,12.0,13.0,V,7,5,7,2
25,12.625,54.0,11.0,0.375,12.0,13.0,V,7,5,7,2
26,13.0,55.0,0.0,3.875,12.0,13.0,V,7,5,7,2
27,16.875,62.0,7.0,0.125,16.5,18.0,I,0,1,7,7
28,17.0,62.0,7.0,0.25,16.5,18.0,I,0,1,7,7
29,17.25,62.0,7.0,0.25,16.5,18.0,I,0,1,7,7
30,17.5,59.0,4.0,0.125,16.5,18.0,I,0,1,7,7
31,17.625,59.0,4.0,0.125,16.5,18.0,I,0,1,7,7
32,17.75,62.0,7.0,0.125,16.5,18.0,I,0,1,7,7
33,17.875,60.0,5.0,0.375,16.5,18.0,I,0,1,7,7
34,18.25,64.0,9.0,0.25,18.0,18.5,IV,5,4,7,0
35,18.5,62.0,7.0,0.5,18.0,18.5,IV,5,4,7,0
36,19.0,59.0,4.0,0.125,18.5,20.0,I,0,1,7,7
37,19.125,59.0,4.0,0.25,18.5,20.0,I,0,1,7,7
38,19.375,57.0,2.0,0.125,18.5,20.0,I,0,1,7,7
39,19.5,59.0,4.0,0.0620000000000011,18.5,20.0,I,0,1,7,7
40,19.562,57.0,2.0,0.1879999999999988,18.5,20.0,I,0,1,7,7
41,19.75,59.0,4.0,0.125,18.5,20.0,I,0,1,7,7
42,19.875,55.0,0.0,0.375,18.5,20.0,I,0,1,7,7
43,20.25,60.0,5.0,0.25,20.0,20.5,IV,5,4,7,0
44,20.5,59.0,4.0,0.5,20.0,20.5,IV,5,4,7,0
45,21.0,59.0,4.0,0.125,20.5,22.0,I,0,1,7,7
46,21.125,59.0,4.0,0.25,20.5,22.0,I,0,1,7,7
