,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,2.375,60.0,10.0,0.125,1.0,5.0,I,0,1,2,2
1,2.5,62.0,0.0,0.125,1.0,5.0,I,0,1,2,2
2,2.625,60.0,10.0,0.125,1.0,5.0,I,0,1,2,2
3,2.75,62.0,0.0,0.125,1.0,5.0,I,0,1,2,2
4,2.875,65.0,3.0,0.25,1.0,5.0,I,0,1,2,2
5,3.125,62.0,0.0,1.375,1.0,5.0,I,0,1,2,2
6,4.5,65.0,3.0,0.125,1.0,5.0,I,0,1,2,2
7,4.625,67.0,5.0,0.125,1.0,5.0,I,0,1,2,2
8,4.75,69.0,7.0,0.125,1.0,5.0,I,0,1,2,2
9,4.875,67.0,5.0,0.125,1.0,5.0,I,0,1,2,2
10,5.0,65.0,3.0,0.125,1.0,5.0,I,0,1,2,2
11,5.125,67.0,5.0,1.25,5.0,7.0,IV,5,4,2,7
12,6.375,60.0,10.0,0.125,5.0,7.0,IV,5,4,2,7
13,6.5,62.0,0.0,0.125,5.0,7.0,IV,5,4,2,7
14,6.625,60.0,10.0,0.125,5.0,7.0,IV,5,4,2,7
15,6.75,62.0,0.0,0.125,5.0,7.0,IV,5,4,2,7
16,6.875,65.0,3.0,0.25,5.0,7.0,IV,5,4,2,7
17,7.125,62.0,0.0,1.625,7.0,9.0,I,0,1,2,2
18,8.75,69.0,7.0,0.125,7.0,9.0,I,0,1,2,2
19,8.875,69.0,7.0,0.875,7.0,9.0,I,0,1,2,2
20,9.75,67.0,5.0,0.125,9.0,10.0,V,7,5,2,9
21,9.875,67.0,5.0,0.625,9.0,10.0,V,7,5,2,9
22,10.5,65.0,3.0,0.125,10.0,11.0,IV,5,4,2,7
23,10.625,67.0,5.0,0.125,10.0,11.0,IV,5,4,2,7
24,10.75,65.0,3.0,0.125,10.0,11.0,IV,5,4,2,7
25,10.875,69.0,7.0,1.625,10.0,11.0,IV,5,4,2,7
26,12.5,68.0,6.0,0.125,11.0,17.0,I,0,1,2,2
27,12.625,68.0,6.0,0.125,11.0,17.0,I,0,1,2,2
28,12.75,69.0,7.0,0.125,11.0,17.0,I,0,1,2,2
29,12.875,65.0,3.0,0.125,11.0,17.0,I,0,1,2,2
30,13.0,62.0,0.0,1.375,11.0,17.0,I,0,1,2,2
31,14.375,57.0,7.0,0.125,11.0,17.0,I,0,1,2,2
32,14.5,62.0,0.0,0.125,11.0,17.0,I,0,1,2,2
33,14.625,60.0,10.0,0.125,11.0,17.0,I,0,1,2,2
34,14.75,62.0,0.0,0.125,11.0,17.0,I,0,1,2,2
35,14.875,65.0,3.0,0.1869999999999994,11.0,17.0,I,0,1,2,2
36,15.062,64.0,2.0,0.0630000000000006,11.0,17.0,I,0,1,2,2
37,15.125,62.0,0.0,1.375,11.0,17.0,I,0,1,2,2
38,16.5,65.0,3.0,0.125,11.0,17.0,I,0,1,2,2
39,16.625,67.0,5.0,0.25,11.0,17.0,I,0,1,2,2
40,16.875,68.0,6.0,0.0629999999999988,11.0,17.0,I,0,1,2,2
