,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.188,55.0,7.0,0.0620000000000002,4.0,5.0,I,0,1,0,0
1,4.25,55.0,7.0,0.125,4.0,5.0,I,0,1,0,0
2,4.375,55.0,7.0,0.125,4.0,5.0,I,0,1,0,0
3,4.5,55.0,7.0,0.25,4.0,5.0,I,0,1,0,0
4,4.75,59.0,11.0,0.125,4.0,5.0,I,0,1,0,0
5,4.875,59.0,11.0,0.0629999999999997,4.0,5.0,I,0,1,0,0
6,4.938,57.0,9.0,1.3120000000000005,4.0,5.0,I,0,1,0,0
7,6.25,55.0,7.0,0.125,6.0,7.0,I,0,1,0,0
8,6.375,55.0,7.0,0.125,6.0,7.0,I,0,1,0,0
9,6.5,55.0,7.0,0.125,6.0,7.0,I,0,1,0,0
10,6.625,59.0,11.0,0.125,6.0,7.0,I,0,1,0,0
11,6.75,59.0,11.0,0.125,6.0,7.0,I,0,1,0,0
12,6.875,59.0,11.0,0.0629999999999997,6.0,7.0,I,0,1,0,0
13,6.938,57.0,9.0,1.3120000000000005,6.0,7.0,I,0,1,0,0
14,8.25,55.0,7.0,0.125,8.0,9.0,I,0,1,0,0
15,8.375,55.0,7.0,0.375,8.0,9.0,I,0,1,0,0
16,8.75,59.0,11.0,0.125,8.0,9.0,I,0,1,0,0
17,8.875,59.0,11.0,0.0630000000000006,8.0,9.0,I,0,1,0,0
18,8.938,57.0,9.0,1.5,8.0,9.0,I,0,1,0,0
19,10.438,55.0,7.0,0.0619999999999993,10.0,11.0,I,0,1,0,0
20,10.5,55.0,7.0,0.0619999999999993,10.0,11.0,I,0,1,0,0
21,10.562,55.0,7.0,0.1880000000000006,10.0,11.0,I,0,1,0,0
22,10.75,59.0,11.0,0.125,10.0,11.0,I,0,1,0,0
23,10.875,59.0,11.0,0.125,10.0,11.0,I,0,1,0,0
24,11.0,57.0,9.0,1.1880000000000006,10.0,11.0,I,0,1,0,0
25,12.188,57.0,9.0,0.0619999999999993,11.0,12.5,IV,5,4,0,5
26,12.25,60.0,0.0,0.0619999999999993,11.0,12.5,IV,5,4,0,5
27,12.312,57.0,9.0,0.1260000000000012,11.0,12.5,IV,5,4,0,5
28,12.438,60.0,0.0,0.3119999999999994,11.0,12.5,IV,5,4,0,5
29,12.75,64.0,4.0,0.125,12.5,13.0,vi64,9,6,0,9
30,12.875,64.0,4.0,0.125,12.5,13.0,vi64,9,6,0,9
31,13.0,62.0,2.0,0.125,12.5,13.0,vi64,9,6,0,9
32,13.125,57.0,9.0,0.875,13.0,13.5,ii,2,2,0,2
33,14.0,59.0,11.0,0.125,13.5,14.0,IV64,5,4,0,5
34,14.125,59.0,11.0,0.375,14.0,16.0,V,7,5,0,7
35,14.5,59.0,11.0,0.25,14.0,16.0,V,7,5,0,7
36,14.75,60.0,0.0,0.125,14.0,16.0,V,7,5,0,7
37,14.875,62.0,2.0,0.625,14.0,16.0,V,7,5,0,7
38,15.5,64.0,4.0,0.125,14.0,16.0,V,7,5,0,7
39,15.625,67.0,7.0,0.25,14.0,16.0,V,7,5,0,7
40,15.875,64.0,4.0,0.0630000000000006,14.0,16.0,V,7,5,0,7
41,15.938,62.0,2.0,0.0619999999999993,14.0,16.0,V,7,5,0,7
42,16.0,60.0,0.0,0.375,14.0,16.0,V,7,5,0,7
43,16.375,55.0,7.0,0.0629999999999988,16.0,17.0,I,0,1,0,0
44,16.438,55.0,7.0,0.0620000000000011,16.0,17.0,I,0,1,0,0
45,16.5,55.0,7.0,0.0620000000000011,16.0,17.0,I,0,1,0,0
46,16.562,55.0,7.0,0.0629999999999988,16.0,17.0,I,0,1,0,0
47,16.625,55.0,7.0,0.125,16.0,17.0,I,0,1,0,0
48,16.75,59.0,11.0,0.125,16.0,17.0,I,0,1,0,0
49,16.875,59.0,11.0,0.125,16.0,17.0,I,0,1,0,0
50,17.0,57.0,9.0,1.1879999999999988,16.0,17.0,I,0,1,0,0
51,18.188,52.0,4.0,0.0620000000000011,18.0,19.0,I,0,1,0,0
52,18.25,55.0,7.0,0.0620000000000011,18.0,19.0,I,0,1,0,0
53,18.312,55.0,7.0,0.0629999999999988,18.0,19.0,I,0,1,0,0
54,18.375,55.0,7.0,0.375,18.0,19.0,I,0,1,0,0
55,18.75,59.0,11.0,0.125,18.0,19.0,I,0,1,0,0
56,18.875,59.0,11.0,0.0629999999999988,18.0,19.0,I,0,1,0,0
57,18.938,57.0,9.0,1.3120000000000012,18.0,19.0,I,0,1,0,0
58,20.25,55.0,7.0,0.0620000000000011,20.0,21.0,I,0,1,0,0
59,20.312,55.0,7.0,0.0629999999999988,20.0,21.0,I,0,1,0,0
60,20.375,55.0,7.0,0.0629999999999988,20.0,21.0,I,0,1,0,0
61,20.438,55.0,7.0,0.3120000000000011,20.0,21.0,I,0,1,0,0
62,20.75,59.0,11.0,0.125,20.0,21.0,I,0,1,0,0
63,20.875,59.0,11.0,0.0629999999999988,20.0,21.0,I,0,1,0,0
64,20.938,57.0,9.0,0.1870000000000011,20.0,21.0,I,0,1,0,0
65,21.125,57.0,9.0,1.125,21.0,22.0,IV,5,4,0,5
66,22.25,55.0,7.0,0.0620000000000011,22.0,23.0,I,0,1,0,0
67,22.312,55.0,7.0,0.1259999999999976,22.0,23.0,I,0,1,0,0
68,22.438,55.0,7.0,0.0620000000000011,22.0,23.0,I,0,1,0,0
69,22.5,55.0,7.0,0.125,22.0,23.0,I,0,1,0,0
70,22.625,59.0,11.0,0.25,22.0,23.0,I,0,1,0,0
71,22.875,59.0,11.0,0.0629999999999988,22.0,23.0,I,0,1,0,0
72,22.938,57.0,9.0,1.1870000000000012,22.0,23.0,I,0,1,0,0
73,24.125,57.0,9.0,0.125,23.0,24.5,IV,5,4,0,5
74,24.25,60.0,0.0,0.125,23.0,24.5,IV,5,4,0,5
75,24.375,57.0,9.0,0.125,23.0,24.5,IV,5,4,0,5
76,24.5,60.0,0.0,0.25,23.0,24.5,IV,5,4,0,5
77,24.75,64.0,4.0,0.125,24.5,25.0,vi64,9,6,0,9
