,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,5.625,61.0,9.0,0.125,5.5,6.0,IV,5,4,4,9
1,5.75,64.0,0.0,0.125,5.5,6.0,IV,5,4,4,9
2,5.875,64.0,0.0,0.125,5.5,6.0,IV,5,4,4,9
3,6.0,68.0,4.0,0.25,5.5,6.0,IV,5,4,4,9
4,6.25,64.0,0.0,0.125,6.0,6.5,I,0,1,4,4
5,6.375,64.0,0.0,0.125,6.0,6.5,I,0,1,4,4
6,6.5,66.0,2.0,0.125,6.0,6.5,I,0,1,4,4
7,6.625,64.0,0.0,0.25,6.5,7.0,IV,5,4,4,9
8,6.875,61.0,9.0,0.0629999999999997,6.5,7.0,IV,5,4,4,9
9,6.938,59.0,7.0,0.6870000000000003,6.5,7.0,IV,5,4,4,9
10,7.625,61.0,9.0,0.125,7.5,8.0,IV,5,4,4,9
11,7.75,64.0,0.0,0.125,7.5,8.0,IV,5,4,4,9
12,7.875,64.0,0.0,0.125,7.5,8.0,IV,5,4,4,9
13,8.0,68.0,4.0,0.25,7.5,8.0,IV,5,4,4,9
14,8.25,68.0,4.0,0.25,8.0,8.5,I,0,1,4,4
15,8.5,64.0,0.0,0.0619999999999993,8.0,8.5,I,0,1,4,4
16,8.562,66.0,2.0,0.0630000000000006,8.5,9.0,IV,5,4,4,9
17,8.625,64.0,0.0,0.1869999999999994,8.5,9.0,IV,5,4,4,9
18,8.812,64.0,0.0,0.1880000000000006,8.5,9.0,IV,5,4,4,9
19,9.0,61.0,9.0,0.625,8.5,9.0,IV,5,4,4,9
20,9.625,61.0,9.0,0.125,9.5,10.0,IV,5,4,4,9
21,9.75,64.0,0.0,0.125,9.5,10.0,IV,5,4,4,9
22,9.875,64.0,0.0,0.125,9.5,10.0,IV,5,4,4,9
23,10.0,68.0,4.0,0.25,9.5,10.0,IV,5,4,4,9
24,10.25,68.0,4.0,0.125,10.0,10.5,I,0,1,4,4
25,10.375,68.0,4.0,0.125,10.0,10.5,I,0,1,4,4
26,10.5,66.0,2.0,0.125,10.0,10.5,I,0,1,4,4
27,10.625,64.0,0.0,0.25,10.5,11.0,IV,5,4,4,9
28,10.875,61.0,9.0,0.0630000000000006,10.5,11.0,IV,5,4,4,9
29,10.938,59.0,7.0,0.0619999999999993,10.5,11.0,IV,5,4,4,9
30,11.0,61.0,9.0,0.625,10.5,11.0,IV,5,4,4,9
31,11.625,61.0,9.0,0.125,11.5,12.0,IV,5,4,4,9
