,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.0,59.0,2.0,0.0829999999999999,1.0,3.0,I,0,1,9,9
1,1.083,61.0,4.0,0.084,1.0,3.0,I,0,1,9,9
2,1.167,61.0,4.0,0.916,1.0,3.0,I,0,1,9,9
3,2.083,59.0,2.0,0.0839999999999996,1.0,3.0,I,0,1,9,9
4,2.167,57.0,0.0,1.0,1.0,3.0,I,0,1,9,9
5,3.167,61.0,4.0,0.1660000000000003,3.0,5.0,V,7,5,9,4
6,3.333,59.0,2.0,0.0839999999999996,3.0,5.0,V,7,5,9,4
7,3.417,61.0,4.0,0.0830000000000001,3.0,5.0,V,7,5,9,4
8,3.5,59.0,2.0,0.4169999999999998,3.0,5.0,V,7,5,9,4
9,3.917,57.0,0.0,0.0830000000000001,3.0,5.0,V,7,5,9,4
10,4.0,56.0,11.0,1.1669999999999998,3.0,5.0,V,7,5,9,4
11,5.167,56.0,11.0,0.1660000000000003,5.0,7.0,I,0,1,9,9
12,5.333,59.0,2.0,0.25,5.0,7.0,I,0,1,9,9
13,5.583,59.0,2.0,0.0839999999999996,5.0,7.0,I,0,1,9,9
14,5.667,57.0,0.0,3.1110000000000007,5.0,7.0,I,0,1,9,9
15,8.778,64.0,7.0,0.0549999999999997,7.0,9.0,V,7,5,9,4
16,8.833,66.0,9.0,0.1669999999999998,7.0,9.0,V,7,5,9,4
17,9.0,69.0,0.0,1.2219999999999995,7.0,9.0,V,7,5,9,4
18,10.222,66.0,9.0,0.0280000000000004,9.0,11.0,I,0,1,9,9
19,10.25,64.0,7.0,0.6389999999999993,9.0,11.0,I,0,1,9,9
20,10.889,61.0,4.0,0.1110000000000006,9.0,11.0,I,0,1,9,9
21,11.0,64.0,7.0,0.1110000000000006,9.0,11.0,I,0,1,9,9
22,11.111,64.0,7.0,0.0559999999999991,11.0,13.0,V/vi,4,3,9,1
23,11.167,66.0,9.0,0.1110000000000006,11.0,13.0,V/vi,4,3,9,1
24,11.278,64.0,7.0,0.1109999999999988,11.0,13.0,V/vi,4,3,9,1
