,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.0,57.0,4.0,0.0940000000000003,3.5,4.0,V7,7,5,5,0
1,4.094,55.0,2.0,0.0309999999999996,4.0,6.0,I,0,1,5,5
2,4.125,57.0,4.0,0.0940000000000003,4.0,6.0,I,0,1,5,5
3,4.219,55.0,2.0,0.0309999999999996,4.0,6.0,I,0,1,5,5
4,4.25,57.0,4.0,1.125,4.0,6.0,I,0,1,5,5
5,5.375,48.0,7.0,0.125,4.0,6.0,I,0,1,5,5
6,5.5,57.0,4.0,0.125,4.0,6.0,I,0,1,5,5
7,5.625,58.0,5.0,0.125,4.0,6.0,I,0,1,5,5
8,5.75,60.0,7.0,0.25,4.0,6.0,I,0,1,5,5
9,6.0,64.0,11.0,0.25,4.0,6.0,I,0,1,5,5
10,6.25,60.0,7.0,0.125,6.0,8.0,vi7,9,6,5,2
11,6.375,60.0,7.0,1.0,6.0,8.0,vi7,9,6,5,2
12,7.375,53.0,0.0,0.125,6.0,8.0,vi7,9,6,5,2
13,7.5,57.0,4.0,0.125,6.0,8.0,vi7,9,6,5,2
14,7.625,58.0,5.0,0.125,6.0,8.0,vi7,9,6,5,2
15,7.75,60.0,7.0,0.25,6.0,8.0,vi7,9,6,5,2
16,8.0,60.0,7.0,0.0619999999999993,6.0,8.0,vi7,9,6,5,2
17,8.062,62.0,9.0,0.1880000000000006,8.0,12.0,IV,5,4,5,10
18,8.25,58.0,5.0,0.125,8.0,12.0,IV,5,4,5,10
19,8.375,58.0,5.0,1.0,8.0,12.0,IV,5,4,5,10
20,9.375,53.0,0.0,0.0630000000000006,8.0,12.0,IV,5,4,5,10
21,9.438,53.0,0.0,0.0619999999999993,8.0,12.0,IV,5,4,5,10
22,9.5,58.0,5.0,0.1880000000000006,8.0,12.0,IV,5,4,5,10
23,9.688,58.0,5.0,0.1239999999999987,8.0,12.0,IV,5,4,5,10
24,9.812,58.0,5.0,0.1880000000000006,8.0,12.0,IV,5,4,5,10
25,10.0,61.0,8.0,0.375,8.0,12.0,IV,5,4,5,10
26,10.375,60.0,7.0,0.125,8.0,12.0,IV,5,4,5,10
27,10.5,58.0,5.0,0.375,8.0,12.0,IV,5,4,5,10
28,10.875,58.0,5.0,0.125,8.0,12.0,IV,5,4,5,10
29,11.0,53.0,0.0,1.0,8.0,12.0,IV,5,4,5,10
30,12.0,67.0,2.0,0.625,8.0,12.0,IV,5,4,5,10
31,12.625,64.0,11.0,0.1869999999999994,12.5,13.0,ii,2,2,5,7
32,12.812,62.0,9.0,0.1880000000000006,12.5,13.0,ii,2,2,5,7
33,13.0,60.0,7.0,0.5,12.5,13.0,ii,2,2,5,7
34,13.5,57.0,4.0,0.125,13.0,13.5,I,0,1,5,5
35,13.625,55.0,2.0,0.125,13.5,14.0,vii,11,7,5,4
36,13.75,53.0,0.0,0.25,13.5,14.0,vii,11,7,5,4
37,14.0,64.0,11.0,0.375,13.5,14.0,vii,11,7,5,4
38,14.375,62.0,9.0,0.0630000000000006,14.0,16.0,vi7,9,6,5,2
39,14.438,60.0,7.0,0.0619999999999993,14.0,16.0,vi7,9,6,5,2
40,14.5,64.0,11.0,1.375,14.0,16.0,vi7,9,6,5,2
41,15.875,62.0,9.0,0.125,14.0,16.0,vi7,9,6,5,2
42,16.0,67.0,2.0,0.5,14.0,16.0,vi7,9,6,5,2
43,16.5,69.0,4.0,0.0620000000000011,16.0,16.5,iii,4,3,5,9
44,16.562,67.0,2.0,0.0629999999999988,16.5,17.0,ii,2,2,5,7
45,16.625,65.0,0.0,0.25,16.5,17.0,ii,2,2,5,7
46,16.875,60.0,7.0,0.125,16.5,17.0,ii,2,2,5,7
47,17.0,58.0,5.0,0.125,16.5,17.0,ii,2,2,5,7
48,17.125,57.0,4.0,0.1870000000000011,17.0,17.5,I,0,1,5,5
49,17.312,57.0,4.0,0.1879999999999988,17.0,17.5,I,0,1,5,5
50,17.5,57.0,4.0,0.25,17.0,17.5,I,0,1,5,5
51,17.75,67.0,2.0,0.25,17.5,18.0,iii7,4,3,5,9
52,18.0,64.0,11.0,0.375,17.5,18.0,iii7,4,3,5,9
53,18.375,62.0,9.0,0.0629999999999988,18.0,20.0,vi7,9,6,5,2
