,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.875,56.0,7.0,0.125,8.0,10.0,IV,5,4,1,6
1,9.0,58.0,9.0,0.125,8.0,10.0,IV,5,4,1,6
2,9.125,56.0,7.0,0.125,8.0,10.0,IV,5,4,1,6
3,9.25,58.0,9.0,0.0619999999999993,8.0,10.0,IV,5,4,1,6
4,9.312,56.0,7.0,0.0630000000000006,8.0,10.0,IV,5,4,1,6
5,9.375,58.0,9.0,0.5,8.0,10.0,IV,5,4,1,6
6,9.875,58.0,9.0,0.0630000000000006,8.0,10.0,IV,5,4,1,6
7,9.938,58.0,9.0,0.0619999999999993,8.0,10.0,IV,5,4,1,6
8,10.0,60.0,11.0,0.125,8.0,10.0,IV,5,4,1,6
9,10.125,59.0,10.0,0.125,10.0,11.0,V,7,5,1,8
10,10.25,60.0,11.0,0.125,10.0,11.0,V,7,5,1,8
11,10.375,59.0,10.0,0.125,10.0,11.0,V,7,5,1,8
12,10.5,58.0,9.0,0.25,10.0,11.0,V,7,5,1,8
13,10.75,56.0,7.0,0.125,10.0,11.0,V,7,5,1,8
14,10.875,61.0,0.0,0.5,10.0,11.0,V,7,5,1,8
15,11.375,61.0,0.0,0.0630000000000006,11.0,12.0,vi,9,6,1,10
16,11.438,61.0,0.0,0.0619999999999993,11.0,12.0,vi,9,6,1,10
17,11.5,56.0,7.0,0.125,11.0,12.0,vi,9,6,1,10
18,11.625,56.0,7.0,0.125,11.0,12.0,vi,9,6,1,10
19,11.75,54.0,5.0,1.125,11.0,12.0,vi,9,6,1,10
20,12.875,56.0,7.0,0.125,12.0,14.0,IV,5,4,1,6
21,13.0,58.0,9.0,0.125,12.0,14.0,IV,5,4,1,6
22,13.125,56.0,7.0,0.125,12.0,14.0,IV,5,4,1,6
23,13.25,58.0,9.0,0.0619999999999993,12.0,14.0,IV,5,4,1,6
24,13.312,56.0,7.0,0.0630000000000006,12.0,14.0,IV,5,4,1,6
25,13.375,58.0,9.0,0.25,12.0,14.0,IV,5,4,1,6
26,13.625,54.0,5.0,0.25,12.0,14.0,IV,5,4,1,6
27,13.875,54.0,5.0,0.0630000000000006,12.0,14.0,IV,5,4,1,6
28,13.938,54.0,5.0,0.0619999999999993,12.0,14.0,IV,5,4,1,6
29,14.0,60.0,11.0,0.125,12.0,14.0,IV,5,4,1,6
30,14.125,58.0,9.0,0.125,14.0,15.0,V,7,5,1,8
31,14.25,59.0,10.0,0.0619999999999993,14.0,15.0,V,7,5,1,8
32,14.312,58.0,9.0,0.0630000000000006,14.0,15.0,V,7,5,1,8
33,14.375,58.0,9.0,0.1869999999999994,14.0,15.0,V,7,5,1,8
34,14.562,56.0,7.0,0.0630000000000006,14.0,15.0,V,7,5,1,8
35,14.625,58.0,9.0,0.375,14.0,15.0,V,7,5,1,8
36,15.0,61.0,0.0,0.125,14.0,15.0,V,7,5,1,8
37,15.125,61.0,0.0,0.125,15.0,16.0,vi,9,6,1,10
38,15.25,61.0,0.0,0.125,15.0,16.0,vi,9,6,1,10
39,15.375,56.0,7.0,0.125,15.0,16.0,vi,9,6,1,10
40,15.5,56.0,7.0,0.125,15.0,16.0,vi,9,6,1,10
41,15.625,54.0,5.0,1.25,15.0,16.0,vi,9,6,1,10
42,16.875,56.0,7.0,0.125,16.0,18.0,IV,5,4,1,6
43,17.0,58.0,9.0,0.125,16.0,18.0,IV,5,4,1,6
44,17.125,58.0,9.0,0.125,16.0,18.0,IV,5,4,1,6
45,17.25,58.0,9.0,0.125,16.0,18.0,IV,5,4,1,6
46,17.375,56.0,7.0,0.125,16.0,18.0,IV,5,4,1,6
47,17.5,58.0,9.0,0.375,16.0,18.0,IV,5,4,1,6
48,17.875,58.0,9.0,0.0629999999999988,16.0,18.0,IV,5,4,1,6
49,17.938,58.0,9.0,0.0620000000000011,16.0,18.0,IV,5,4,1,6
50,18.0,60.0,11.0,0.125,16.0,18.0,IV,5,4,1,6
51,18.125,59.0,10.0,0.125,18.0,19.0,V,7,5,1,8
52,18.25,58.0,9.0,0.125,18.0,19.0,V,7,5,1,8
53,18.375,58.0,9.0,0.125,18.0,19.0,V,7,5,1,8
54,18.5,58.0,9.0,0.125,18.0,19.0,V,7,5,1,8
55,18.625,56.0,7.0,0.0629999999999988,18.0,19.0,V,7,5,1,8
56,18.688,58.0,9.0,0.3120000000000011,18.0,19.0,V,7,5,1,8
57,19.0,61.0,0.0,0.125,18.0,19.0,V,7,5,1,8
58,19.125,61.0,0.0,0.125,19.0,20.0,vi,9,6,1,10
59,19.25,61.0,0.0,0.125,19.0,20.0,vi,9,6,1,10
60,19.375,56.0,7.0,0.125,19.0,20.0,vi,9,6,1,10
61,19.5,56.0,7.0,0.125,19.0,20.0,vi,9,6,1,10
62,19.625,56.0,7.0,0.125,19.0,20.0,vi,9,6,1,10
63,19.75,54.0,5.0,0.875,19.0,20.0,vi,9,6,1,10
64,20.625,56.0,7.0,0.125,20.0,22.0,IV,5,4,1,6
65,20.75,56.0,7.0,0.125,20.0,22.0,IV,5,4,1,6
66,20.875,56.0,7.0,0.125,20.0,22.0,IV,5,4,1,6
67,21.0,58.0,9.0,0.125,20.0,22.0,IV,5,4,1,6
68,21.125,57.0,8.0,0.125,20.0,22.0,IV,5,4,1,6
69,21.25,58.0,9.0,0.125,20.0,22.0,IV,5,4,1,6
70,21.375,58.0,9.0,0.25,20.0,22.0,IV,5,4,1,6
71,21.625,58.0,9.0,0.125,20.0,22.0,IV,5,4,1,6
72,21.75,58.0,9.0,0.125,20.0,22.0,IV,5,4,1,6
73,21.875,59.0,10.0,0.125,20.0,22.0,IV,5,4,1,6
74,22.0,60.0,11.0,0.125,20.0,22.0,IV,5,4,1,6
75,22.125,59.0,10.0,0.125,22.0,23.0,V,7,5,1,8
76,22.25,60.0,11.0,0.125,22.0,23.0,V,7,5,1,8
77,22.375,59.0,10.0,0.125,22.0,23.0,V,7,5,1,8
78,22.5,60.0,11.0,0.125,22.0,23.0,V,7,5,1,8
79,22.625,56.0,7.0,0.125,22.0,23.0,V,7,5,1,8
80,22.75,58.0,9.0,0.125,22.0,23.0,V,7,5,1,8
81,22.875,56.0,7.0,0.125,22.0,23.0,V,7,5,1,8
82,23.0,61.0,0.0,0.125,22.0,23.0,V,7,5,1,8
83,23.125,61.0,0.0,0.125,23.0,24.0,vi,9,6,1,10
84,23.25,61.0,0.0,0.125,23.0,24.0,vi,9,6,1,10
85,23.375,61.0,0.0,0.125,23.0,24.0,vi,9,6,1,10
86,23.5,61.0,0.0,0.125,23.0,24.0,vi,9,6,1,10
87,23.625,58.0,9.0,0.5,23.0,24.0,vi,9,6,1,10
88,24.125,56.0,7.0,0.125,24.0,25.0,V,7,5,1,8
89,24.25,58.0,9.0,0.125,24.0,25.0,V,7,5,1,8
90,24.375,61.0,0.0,0.125,24.0,25.0,V,7,5,1,8
91,24.5,61.0,0.0,0.25,24.0,25.0,V,7,5,1,8
92,24.75,58.0,9.0,0.25,24.0,25.0,V,7,5,1,8
