,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.125,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
1,4.25,66.0,0.0,0.0620000000000002,0.0,12.0,I,0,1,6,6
2,4.312,64.0,10.0,0.1259999999999994,0.0,12.0,I,0,1,6,6
3,4.438,66.0,0.0,0.4370000000000003,0.0,12.0,I,0,1,6,6
4,4.875,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
5,5.0,66.0,0.0,0.125,0.0,12.0,I,0,1,6,6
6,5.125,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
7,5.25,66.0,0.0,0.125,0.0,12.0,I,0,1,6,6
8,5.375,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
9,5.5,68.0,2.0,0.25,0.0,12.0,I,0,1,6,6
10,5.75,66.0,0.0,0.375,0.0,12.0,I,0,1,6,6
11,6.125,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
12,6.25,66.0,0.0,0.125,0.0,12.0,I,0,1,6,6
13,6.375,64.0,10.0,0.0629999999999997,0.0,12.0,I,0,1,6,6
14,6.438,66.0,0.0,0.4370000000000003,0.0,12.0,I,0,1,6,6
15,6.875,66.0,0.0,0.125,0.0,12.0,I,0,1,6,6
16,7.0,70.0,4.0,0.125,0.0,12.0,I,0,1,6,6
17,7.125,73.0,7.0,0.125,0.0,12.0,I,0,1,6,6
18,7.25,70.0,4.0,0.125,0.0,12.0,I,0,1,6,6
19,7.375,68.0,2.0,0.125,0.0,12.0,I,0,1,6,6
20,7.5,66.0,0.0,0.25,0.0,12.0,I,0,1,6,6
21,7.75,68.0,2.0,0.375,0.0,12.0,I,0,1,6,6
22,8.125,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
23,8.25,66.0,0.0,0.0619999999999993,0.0,12.0,I,0,1,6,6
24,8.312,64.0,10.0,0.1260000000000012,0.0,12.0,I,0,1,6,6
25,8.438,66.0,0.0,0.4369999999999994,0.0,12.0,I,0,1,6,6
26,8.875,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
27,9.0,66.0,0.0,0.125,0.0,12.0,I,0,1,6,6
28,9.125,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
29,9.25,66.0,0.0,0.125,0.0,12.0,I,0,1,6,6
30,9.375,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
31,9.5,68.0,2.0,0.25,0.0,12.0,I,0,1,6,6
32,9.75,66.0,0.0,0.375,0.0,12.0,I,0,1,6,6
33,10.125,64.0,10.0,0.125,0.0,12.0,I,0,1,6,6
34,10.25,66.0,0.0,0.0619999999999993,0.0,12.0,I,0,1,6,6
35,10.312,64.0,10.0,0.1260000000000012,0.0,12.0,I,0,1,6,6
36,10.438,66.0,0.0,0.4369999999999994,0.0,12.0,I,0,1,6,6
37,10.875,66.0,0.0,0.0630000000000006,0.0,12.0,I,0,1,6,6
38,10.938,66.0,0.0,0.0619999999999993,0.0,12.0,I,0,1,6,6
39,11.0,70.0,4.0,0.125,0.0,12.0,I,0,1,6,6
40,11.125,68.0,2.0,0.0630000000000006,0.0,12.0,I,0,1,6,6
41,11.188,68.0,2.0,0.1239999999999987,0.0,12.0,I,0,1,6,6
42,11.312,66.0,0.0,0.1260000000000012,0.0,12.0,I,0,1,6,6
43,11.438,68.0,2.0,0.1239999999999987,0.0,12.0,I,0,1,6,6
44,11.562,63.0,9.0,0.1880000000000006,0.0,12.0,I,0,1,6,6
45,11.75,63.0,9.0,0.0619999999999993,0.0,12.0,I,0,1,6,6
46,11.812,66.0,0.0,0.1880000000000006,0.0,12.0,I,0,1,6,6
47,12.0,68.0,2.0,0.25,0.0,12.0,I,0,1,6,6
48,12.25,66.0,0.0,0.125,12.0,13.0,IV,5,4,6,11
49,12.375,66.0,0.0,0.5,12.0,13.0,IV,5,4,6,11
50,12.875,70.0,4.0,0.25,12.0,13.0,IV,5,4,6,11
51,13.125,70.0,4.0,0.25,13.0,14.0,V,7,5,6,1
52,13.375,68.0,2.0,0.0630000000000006,13.0,14.0,V,7,5,6,1
53,13.438,66.0,0.0,0.0619999999999993,13.0,14.0,V,7,5,6,1
54,13.5,63.0,9.0,0.25,13.0,14.0,V,7,5,6,1
55,13.75,63.0,9.0,0.0619999999999993,13.0,14.0,V,7,5,6,1
56,13.812,61.0,7.0,0.1260000000000012,13.0,14.0,V,7,5,6,1
57,13.938,63.0,9.0,0.1869999999999994,13.0,14.0,V,7,5,6,1
58,14.125,66.0,0.0,0.25,14.0,24.0,I,0,1,6,6
59,14.375,63.0,9.0,0.0630000000000006,14.0,24.0,I,0,1,6,6
60,14.438,61.0,7.0,0.0619999999999993,14.0,24.0,I,0,1,6,6
61,14.5,58.0,4.0,0.125,14.0,24.0,I,0,1,6,6
