,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,31.75,65.0,3.0,0.0620000000000011,31.5,32.0,iio,2,2,2,4
1,31.812,62.0,0.0,0.0629999999999988,31.5,32.0,iio,2,2,2,4
2,31.875,60.0,10.0,0.0629999999999988,31.5,32.0,iio,2,2,2,4
3,31.938,69.0,7.0,0.1239999999999987,31.5,32.0,iio,2,2,2,4
4,32.062,62.0,0.0,0.0630000000000023,32.0,33.0,i,0,1,2,2
5,32.125,65.0,3.0,0.125,32.0,33.0,i,0,1,2,2
6,32.25,62.0,0.0,0.0619999999999976,32.0,33.0,i,0,1,2,2
7,32.312,62.0,0.0,0.0630000000000023,32.0,33.0,i,0,1,2,2
8,32.375,65.0,3.0,0.125,32.0,33.0,i,0,1,2,2
9,32.5,62.0,0.0,0.0619999999999976,32.0,33.0,i,0,1,2,2
10,32.562,62.0,0.0,0.0630000000000023,32.0,33.0,i,0,1,2,2
11,32.625,65.0,3.0,0.125,32.0,33.0,i,0,1,2,2
12,32.75,62.0,0.0,0.0619999999999976,32.0,33.0,i,0,1,2,2
13,32.812,62.0,0.0,0.0630000000000023,32.0,33.0,i,0,1,2,2
14,32.875,65.0,3.0,0.125,32.0,33.0,i,0,1,2,2
15,33.0,62.0,0.0,0.0619999999999976,32.0,33.0,i,0,1,2,2
16,33.062,62.0,0.0,0.0630000000000023,33.0,33.5,bVI,8,6,2,10
17,33.125,62.0,0.0,0.0630000000000023,33.0,33.5,bVI,8,6,2,10
18,33.188,62.0,0.0,0.0619999999999976,33.0,33.5,bVI,8,6,2,10
19,33.25,65.0,3.0,0.0619999999999976,33.0,33.5,bVI,8,6,2,10
20,33.312,65.0,3.0,0.0630000000000023,33.0,33.5,bVI,8,6,2,10
21,33.375,62.0,0.0,0.0630000000000023,33.0,33.5,bVI,8,6,2,10
22,33.438,62.0,0.0,0.0619999999999976,33.0,33.5,bVI,8,6,2,10
23,33.5,65.0,3.0,0.1880000000000024,33.0,33.5,bVI,8,6,2,10
24,33.688,62.0,0.0,0.0619999999999976,33.5,34.0,bVII,10,7,2,0
25,33.75,62.0,0.0,0.0619999999999976,33.5,34.0,bVII,10,7,2,0
26,33.812,62.0,0.0,0.0630000000000023,33.5,34.0,bVII,10,7,2,0
27,33.875,62.0,0.0,0.0630000000000023,33.5,34.0,bVII,10,7,2,0
28,33.938,65.0,3.0,0.1239999999999952,33.5,34.0,bVII,10,7,2,0
29,34.062,65.0,3.0,0.1260000000000047,34.0,35.0,i,0,1,2,2
30,34.188,62.0,0.0,0.0619999999999976,34.0,35.0,i,0,1,2,2
31,34.25,65.0,3.0,0.125,34.0,35.0,i,0,1,2,2
