,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,59.0,2.0,0.875,7.0,8.0,i,0,1,9,9
1,8.875,57.0,0.0,0.875,8.0,9.0,bVII,10,7,9,7
2,9.75,57.0,0.0,0.125,9.0,11.0,i,0,1,9,9
3,9.875,59.0,2.0,0.125,9.0,11.0,i,0,1,9,9
4,10.0,57.0,0.0,1.125,9.0,11.0,i,0,1,9,9
5,11.125,55.0,10.0,0.125,11.0,13.0,v,7,5,9,4
6,11.25,59.0,2.0,0.125,11.0,13.0,v,7,5,9,4
7,11.375,59.0,2.0,0.375,11.0,13.0,v,7,5,9,4
8,11.75,55.0,10.0,0.125,11.0,13.0,v,7,5,9,4
9,11.875,59.0,2.0,0.375,11.0,13.0,v,7,5,9,4
10,12.25,55.0,10.0,0.125,11.0,13.0,v,7,5,9,4
11,12.375,60.0,3.0,0.25,11.0,13.0,v,7,5,9,4
12,12.625,59.0,2.0,0.25,11.0,13.0,v,7,5,9,4
13,12.875,59.0,2.0,0.25,11.0,13.0,v,7,5,9,4
14,13.125,57.0,0.0,0.75,13.0,15.0,i,0,1,9,9
15,13.875,52.0,7.0,0.125,13.0,15.0,i,0,1,9,9
16,14.0,60.0,3.0,0.25,13.0,15.0,i,0,1,9,9
17,14.25,60.0,3.0,0.25,13.0,15.0,i,0,1,9,9
18,14.5,60.0,3.0,0.25,13.0,15.0,i,0,1,9,9
19,14.75,60.0,3.0,0.125,13.0,15.0,i,0,1,9,9
20,14.875,59.0,2.0,0.25,13.0,15.0,i,0,1,9,9
21,15.125,55.0,10.0,0.75,15.0,17.0,v,7,5,9,4
22,15.875,55.0,10.0,0.125,15.0,17.0,v,7,5,9,4
23,16.0,59.0,2.0,0.125,15.0,17.0,v,7,5,9,4
24,16.125,59.0,2.0,0.25,15.0,17.0,v,7,5,9,4
25,16.375,60.0,3.0,0.375,15.0,17.0,v,7,5,9,4
26,16.75,59.0,2.0,0.125,15.0,17.0,v,7,5,9,4
27,16.875,57.0,0.0,2.375,15.0,17.0,v,7,5,9,4
28,19.25,59.0,2.0,0.25,19.0,21.0,v,7,5,9,4
29,19.5,59.0,2.0,0.25,19.0,21.0,v,7,5,9,4
30,19.75,59.0,2.0,0.25,19.0,21.0,v,7,5,9,4
31,20.0,60.0,3.0,0.5,19.0,21.0,v,7,5,9,4
32,20.5,59.0,2.0,0.375,19.0,21.0,v,7,5,9,4
33,20.875,57.0,0.0,1.5,19.0,21.0,v,7,5,9,4
34,22.375,57.0,0.0,0.125,21.0,23.0,iv,5,4,9,2
35,22.5,57.0,0.0,0.125,21.0,23.0,iv,5,4,9,2
36,22.625,59.0,2.0,0.25,21.0,23.0,iv,5,4,9,2
37,22.875,55.0,10.0,1.375,21.0,23.0,iv,5,4,9,2
38,24.25,60.0,3.0,0.25,23.0,25.0,bVII,10,7,9,7
39,24.5,60.0,3.0,0.125,23.0,25.0,bVII,10,7,9,7
40,24.625,60.0,3.0,0.125,23.0,25.0,bVII,10,7,9,7
41,24.75,59.0,2.0,0.125,23.0,25.0,bVII,10,7,9,7
42,24.875,59.0,2.0,0.125,23.0,25.0,bVII,10,7,9,7
43,25.0,57.0,0.0,1.25,23.0,25.0,bVII,10,7,9,7
44,26.25,60.0,3.0,0.25,25.0,27.0,i,0,1,9,9
45,26.5,60.0,3.0,0.125,25.0,27.0,i,0,1,9,9
46,26.625,60.0,3.0,0.125,25.0,27.0,i,0,1,9,9
47,26.75,57.0,0.0,0.125,25.0,27.0,i,0,1,9,9
48,26.875,59.0,2.0,0.625,25.0,27.0,i,0,1,9,9
49,27.5,59.0,2.0,0.5,27.0,29.0,v,7,5,9,4
50,28.0,60.0,3.0,0.25,27.0,29.0,v,7,5,9,4
51,28.25,60.0,3.0,0.25,27.0,29.0,v,7,5,9,4
52,28.5,60.0,3.0,0.25,27.0,29.0,v,7,5,9,4
53,28.75,59.0,2.0,0.125,27.0,29.0,v,7,5,9,4
54,28.875,59.0,2.0,0.125,27.0,29.0,v,7,5,9,4
55,29.0,57.0,0.0,1.25,27.0,29.0,v,7,5,9,4
56,30.25,60.0,3.0,0.25,29.0,31.0,i,0,1,9,9
57,30.5,60.0,3.0,0.25,29.0,31.0,i,0,1,9,9
58,30.75,57.0,0.0,0.125,29.0,31.0,i,0,1,9,9
59,30.875,59.0,2.0,0.5,29.0,31.0,i,0,1,9,9
60,31.375,59.0,2.0,0.5,31.0,33.0,v,7,5,9,4
61,31.875,59.0,2.0,0.75,31.0,33.0,v,7,5,9,4
62,32.625,60.0,3.0,0.125,31.0,33.0,v,7,5,9,4
63,32.75,59.0,2.0,0.125,31.0,33.0,v,7,5,9,4
64,32.875,59.0,2.0,0.25,31.0,33.0,v,7,5,9,4
65,33.125,57.0,0.0,0.25,33.0,35.0,i,0,1,9,9
66,33.375,55.0,10.0,0.125,33.0,35.0,i,0,1,9,9
