,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,60.0,57.0,0.0,0.5,56.0,64.0,I,0,1,9,9
1,60.5,57.0,0.0,0.5,56.0,64.0,I,0,1,9,9
2,61.0,57.0,0.0,0.25,56.0,64.0,I,0,1,9,9
3,61.25,55.0,10.0,0.5,56.0,64.0,I,0,1,9,9
4,61.75,60.0,3.0,0.5,56.0,64.0,I,0,1,9,9
5,62.25,57.0,0.0,0.25,56.0,64.0,I,0,1,9,9
6,62.5,57.0,0.0,1.25,56.0,64.0,I,0,1,9,9
7,63.75,55.0,10.0,0.125,56.0,64.0,I,0,1,9,9
8,63.875,55.0,10.0,0.125,56.0,64.0,I,0,1,9,9
9,64.0,52.0,7.0,0.125,56.0,64.0,I,0,1,9,9
10,64.125,52.0,7.0,0.125,64.0,72.0,V,7,5,9,4
11,64.25,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
12,64.5,52.0,7.0,1.25,64.0,72.0,V,7,5,9,4
13,65.75,52.0,7.0,0.125,64.0,72.0,V,7,5,9,4
14,65.875,52.0,7.0,0.125,64.0,72.0,V,7,5,9,4
15,66.0,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
16,66.25,52.0,7.0,0.125,64.0,72.0,V,7,5,9,4
17,66.375,52.0,7.0,1.625,64.0,72.0,V,7,5,9,4
18,68.0,52.0,7.0,0.5,64.0,72.0,V,7,5,9,4
19,68.5,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
20,68.75,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
21,69.0,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
22,69.25,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
23,69.5,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
24,69.75,52.0,7.0,0.25,64.0,72.0,V,7,5,9,4
25,70.0,55.0,10.0,0.5,64.0,72.0,V,7,5,9,4
26,70.5,52.0,7.0,1.5,64.0,72.0,V,7,5,9,4
27,72.0,57.0,0.0,0.25,64.0,72.0,V,7,5,9,4
28,72.25,57.0,0.0,0.75,72.0,80.0,I,0,1,9,9
29,73.0,57.0,0.0,0.25,72.0,80.0,I,0,1,9,9
30,73.25,57.0,0.0,0.125,72.0,80.0,I,0,1,9,9
31,73.375,57.0,0.0,0.25,72.0,80.0,I,0,1,9,9
32,73.625,57.0,0.0,0.875,72.0,80.0,I,0,1,9,9
33,74.5,60.0,3.0,0.5,72.0,80.0,I,0,1,9,9
34,75.0,57.0,0.0,1.0,72.0,80.0,I,0,1,9,9
35,76.0,57.0,0.0,0.5,72.0,80.0,I,0,1,9,9
36,76.5,57.0,0.0,0.5,72.0,80.0,I,0,1,9,9
37,77.0,57.0,0.0,0.25,72.0,80.0,I,0,1,9,9
