,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,66.0,4.0,0.125,7.0,8.0,I,0,1,2,2
1,8.125,64.0,2.0,0.25,8.0,9.0,V,7,5,2,9
2,8.375,64.0,2.0,0.125,8.0,9.0,V,7,5,2,9
3,8.5,64.0,2.0,0.125,8.0,9.0,V,7,5,2,9
4,8.625,64.0,2.0,0.125,8.0,9.0,V,7,5,2,9
5,8.75,66.0,4.0,0.25,8.0,9.0,V,7,5,2,9
6,9.0,64.0,2.0,0.125,8.0,9.0,V,7,5,2,9
7,9.125,62.0,0.0,0.125,9.0,10.0,IV,5,4,2,7
8,9.25,62.0,0.0,0.25,9.0,10.0,IV,5,4,2,7
9,9.5,62.0,0.0,0.125,9.0,10.0,IV,5,4,2,7
10,9.625,62.0,0.0,0.125,9.0,10.0,IV,5,4,2,7
11,9.75,62.0,0.0,0.25,9.0,10.0,IV,5,4,2,7
12,10.0,66.0,4.0,0.25,9.0,10.0,IV,5,4,2,7
13,10.25,69.0,7.0,0.125,10.0,12.0,I,0,1,2,2
14,10.375,66.0,4.0,1.5,10.0,12.0,I,0,1,2,2
15,11.875,64.0,2.0,0.125,10.0,12.0,I,0,1,2,2
16,12.0,66.0,4.0,0.25,10.0,12.0,I,0,1,2,2
17,12.25,66.0,4.0,0.25,12.0,13.0,V,7,5,2,9
18,12.5,66.0,4.0,0.125,12.0,13.0,V,7,5,2,9
19,12.625,66.0,4.0,0.125,12.0,13.0,V,7,5,2,9
20,12.75,64.0,2.0,0.0619999999999993,12.0,13.0,V,7,5,2,9
21,12.812,66.0,4.0,0.1880000000000006,12.0,13.0,V,7,5,2,9
22,13.0,64.0,2.0,0.125,12.0,13.0,V,7,5,2,9
23,13.125,62.0,0.0,0.125,13.0,14.0,IV,5,4,2,7
24,13.25,62.0,0.0,0.125,13.0,14.0,IV,5,4,2,7
25,13.375,62.0,0.0,0.25,13.0,14.0,IV,5,4,2,7
26,13.625,62.0,0.0,0.25,13.0,14.0,IV,5,4,2,7
27,13.875,69.0,7.0,0.25,13.0,14.0,IV,5,4,2,7
28,14.125,62.0,0.0,0.125,14.0,16.0,I,0,1,2,2
29,14.25,64.0,2.0,0.25,14.0,16.0,I,0,1,2,2
30,14.5,66.0,4.0,1.375,14.0,16.0,I,0,1,2,2
31,15.875,57.0,7.0,0.125,14.0,16.0,I,0,1,2,2
32,16.0,59.0,9.0,0.125,14.0,16.0,I,0,1,2,2
33,16.125,62.0,0.0,0.375,16.0,17.0,IV,5,4,2,7
34,16.5,65.0,3.0,0.125,16.0,17.0,IV,5,4,2,7
35,16.625,64.0,2.0,0.125,16.0,17.0,IV,5,4,2,7
36,16.75,62.0,0.0,0.125,16.0,17.0,IV,5,4,2,7
37,16.875,64.0,2.0,0.125,16.0,17.0,IV,5,4,2,7
38,17.0,66.0,4.0,0.625,16.0,17.0,IV,5,4,2,7
39,17.625,66.0,4.0,0.125,17.0,18.0,I,0,1,2,2
40,17.75,67.0,5.0,0.25,17.0,18.0,I,0,1,2,2
41,18.0,69.0,7.0,0.25,17.0,18.0,I,0,1,2,2
42,18.25,71.0,9.0,0.25,18.0,19.0,IV,5,4,2,7
43,18.5,64.0,2.0,0.125,18.0,19.0,IV,5,4,2,7
44,18.625,62.0,0.0,0.375,18.0,19.0,IV,5,4,2,7
45,19.0,64.0,2.0,0.75,18.0,19.0,IV,5,4,2,7
