,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.688,64.0,4.0,0.1869999999999998,0.0,5.0,I,0,1,0,0
1,3.875,62.0,2.0,0.125,0.0,5.0,I,0,1,0,0
2,4.0,64.0,4.0,0.25,0.0,5.0,I,0,1,0,0
3,4.25,60.0,0.0,0.4379999999999997,0.0,5.0,I,0,1,0,0
4,4.688,62.0,2.0,0.0620000000000002,0.0,5.0,I,0,1,0,0
5,4.75,60.0,0.0,0.6879999999999997,0.0,5.0,I,0,1,0,0
6,5.438,60.0,0.0,0.0620000000000002,5.0,6.0,IV,5,4,0,5
7,5.5,62.0,2.0,0.125,5.0,6.0,IV,5,4,0,5
8,5.625,60.0,0.0,0.0629999999999997,5.0,6.0,IV,5,4,0,5
9,5.688,62.0,2.0,0.0620000000000002,5.0,6.0,IV,5,4,0,5
10,5.75,60.0,0.0,0.375,5.0,6.0,IV,5,4,0,5
11,6.125,57.0,9.0,0.0629999999999997,6.0,7.0,I,0,1,0,0
12,6.188,55.0,7.0,1.6870000000000005,6.0,7.0,I,0,1,0,0
13,7.875,60.0,0.0,0.0629999999999997,7.0,8.0,IV,5,4,0,5
14,7.938,62.0,2.0,0.1870000000000002,7.0,8.0,IV,5,4,0,5
15,8.125,64.0,4.0,0.25,8.0,9.0,I,0,1,0,0
16,8.375,60.0,0.0,0.375,8.0,9.0,I,0,1,0,0
17,8.75,60.0,0.0,0.0619999999999993,8.0,9.0,I,0,1,0,0
18,8.812,57.0,9.0,0.0630000000000006,8.0,9.0,I,0,1,0,0
19,8.875,60.0,0.0,0.75,8.0,9.0,I,0,1,0,0
20,9.625,60.0,0.0,0.0630000000000006,9.0,10.0,IV,5,4,0,5
21,9.688,62.0,2.0,0.1239999999999987,9.0,10.0,IV,5,4,0,5
22,9.812,60.0,0.0,0.1260000000000012,9.0,10.0,IV,5,4,0,5
23,9.938,57.0,9.0,0.0619999999999993,9.0,10.0,IV,5,4,0,5
24,10.0,60.0,0.0,0.125,9.0,10.0,IV,5,4,0,5
25,10.125,57.0,9.0,0.0630000000000006,10.0,11.0,I,0,1,0,0
26,10.188,55.0,7.0,1.8119999999999996,10.0,11.0,I,0,1,0,0
27,12.0,55.0,7.0,0.5,11.0,12.0,IV,5,4,0,5
28,12.5,57.0,9.0,0.5,12.0,12.5,I,0,1,0,0
29,13.0,60.0,0.0,0.5,12.5,13.0,ii,2,2,0,2
30,13.5,62.0,2.0,0.25,13.0,13.5,IV,5,4,0,5
31,13.75,64.0,4.0,0.25,13.5,14.0,V,7,5,0,7
32,14.0,55.0,7.0,0.25,13.5,14.0,V,7,5,0,7
33,14.25,55.0,7.0,0.25,14.0,14.5,I,0,1,0,0
34,14.5,57.0,9.0,0.25,14.0,14.5,I,0,1,0,0
35,14.75,57.0,9.0,0.25,14.5,15.0,ii,2,2,0,2
36,15.0,60.0,0.0,0.25,14.5,15.0,ii,2,2,0,2
37,15.25,60.0,0.0,0.25,15.0,15.5,IV,5,4,0,5
38,15.5,62.0,2.0,0.1880000000000006,15.0,15.5,IV,5,4,0,5
39,15.688,60.0,0.0,0.0619999999999993,15.5,16.0,V,7,5,0,7
40,15.75,57.0,9.0,0.25,15.5,16.0,V,7,5,0,7
41,16.0,60.0,0.0,0.125,15.5,16.0,V,7,5,0,7
42,16.125,55.0,7.0,0.375,16.0,18.0,I,0,1,0,0
43,16.5,60.0,0.0,0.125,16.0,18.0,I,0,1,0,0
44,16.625,55.0,7.0,0.375,16.0,18.0,I,0,1,0,0
45,17.0,64.0,4.0,0.125,16.0,18.0,I,0,1,0,0
46,17.125,60.0,0.0,0.375,16.0,18.0,I,0,1,0,0
47,17.5,55.0,7.0,0.125,16.0,18.0,I,0,1,0,0
48,17.625,57.0,9.0,0.125,16.0,18.0,I,0,1,0,0
49,17.75,60.0,0.0,0.375,16.0,18.0,I,0,1,0,0
50,18.125,60.0,0.0,0.125,18.0,19.0,ii,2,2,0,2
51,18.25,62.0,2.0,0.125,18.0,19.0,ii,2,2,0,2
52,18.375,60.0,0.0,0.125,18.0,19.0,ii,2,2,0,2
53,18.5,57.0,9.0,0.0620000000000011,18.0,19.0,ii,2,2,0,2
54,18.562,60.0,0.0,0.4379999999999988,18.0,19.0,ii,2,2,0,2
55,19.0,64.0,4.0,0.125,18.0,19.0,ii,2,2,0,2
56,19.125,62.0,2.0,0.5,19.0,20.0,V,7,5,0,7
57,19.625,60.0,0.0,0.1870000000000011,19.0,20.0,V,7,5,0,7
58,19.812,62.0,2.0,0.1879999999999988,19.0,20.0,V,7,5,0,7
59,20.0,69.0,9.0,0.875,19.0,20.0,V,7,5,0,7
60,20.875,64.0,4.0,0.25,20.0,21.0,I,0,1,0,0
61,21.125,62.0,2.0,0.0420000000000015,21.0,22.0,IV,5,4,0,5
62,21.167,64.0,4.0,0.0409999999999968,21.0,22.0,IV,5,4,0,5
63,21.208,62.0,2.0,0.0420000000000015,21.0,22.0,IV,5,4,0,5
64,21.25,60.0,0.0,0.125,21.0,22.0,IV,5,4,0,5
65,21.375,60.0,0.0,0.25,21.0,22.0,IV,5,4,0,5
66,21.625,55.0,7.0,0.0629999999999988,21.0,22.0,IV,5,4,0,5
67,21.688,60.0,0.0,0.0620000000000011,21.0,22.0,IV,5,4,0,5
68,21.75,62.0,2.0,0.125,21.0,22.0,IV,5,4,0,5
69,21.875,60.0,0.0,0.125,21.0,22.0,IV,5,4,0,5
70,22.0,57.0,9.0,0.125,21.0,22.0,IV,5,4,0,5
71,22.125,55.0,7.0,1.6870000000000012,22.0,23.0,I,0,1,0,0
72,23.812,57.0,9.0,0.0629999999999988,23.0,24.0,IV,5,4,0,5
73,23.875,60.0,0.0,0.0629999999999988,23.0,24.0,IV,5,4,0,5
74,23.938,62.0,2.0,0.25,23.0,24.0,IV,5,4,0,5
75,24.188,64.0,4.0,0.0620000000000011,24.0,25.0,I,0,1,0,0
76,24.25,62.0,2.0,0.125,24.0,25.0,I,0,1,0,0
77,24.375,62.0,2.0,0.125,24.0,25.0,I,0,1,0,0
78,24.5,60.0,0.0,0.0620000000000011,24.0,25.0,I,0,1,0,0
79,24.562,57.0,9.0,0.8129999999999988,24.0,25.0,I,0,1,0,0
80,25.375,60.0,0.0,0.0629999999999988,25.0,26.0,IV,5,4,0,5
81,25.438,62.0,2.0,0.1240000000000023,25.0,26.0,IV,5,4,0,5
82,25.562,60.0,0.0,0.3129999999999988,25.0,26.0,IV,5,4,0,5
83,25.875,60.0,0.0,0.0629999999999988,25.0,26.0,IV,5,4,0,5
84,25.938,57.0,9.0,0.1870000000000011,25.0,26.0,IV,5,4,0,5
85,26.125,55.0,7.0,1.5,26.0,27.0,I,0,1,0,0
86,27.625,64.0,4.0,0.0629999999999988,27.0,28.0,IV,5,4,0,5
87,27.688,62.0,2.0,0.0620000000000011,27.0,28.0,IV,5,4,0,5
88,27.75,64.0,4.0,0.25,27.0,28.0,IV,5,4,0,5
89,28.0,55.0,7.0,0.5,27.0,28.0,IV,5,4,0,5
90,28.5,57.0,9.0,0.5,28.0,28.5,I,0,1,0,0
91,29.0,60.0,0.0,0.5,28.5,29.0,ii,2,2,0,2
92,29.5,62.0,2.0,0.25,29.0,29.5,IV,5,4,0,5
93,29.75,64.0,4.0,0.25,29.5,30.0,V,7,5,0,7
94,30.0,55.0,7.0,0.25,29.5,30.0,V,7,5,0,7
95,30.25,55.0,7.0,0.25,30.0,30.5,I,0,1,0,0
96,30.5,57.0,9.0,0.25,30.0,30.5,I,0,1,0,0
97,30.75,64.0,4.0,0.25,30.5,31.0,ii,2,2,0,2
98,31.0,62.0,2.0,0.0620000000000011,30.5,31.0,ii,2,2,0,2
99,31.062,60.0,0.0,0.0629999999999988,31.0,31.5,IV,5,4,0,5
100,31.125,57.0,9.0,0.125,31.0,31.5,IV,5,4,0,5
101,31.25,60.0,0.0,0.25,31.0,31.5,IV,5,4,0,5
102,31.5,62.0,2.0,0.1879999999999988,31.0,31.5,IV,5,4,0,5
103,31.688,60.0,0.0,0.0620000000000011,31.5,32.0,V,7,5,0,7
104,31.75,57.0,9.0,0.25,31.5,32.0,V,7,5,0,7
105,32.0,60.0,0.0,0.125,31.5,32.0,V,7,5,0,7
106,32.125,55.0,7.0,0.375,32.0,34.0,I,0,1,0,0
107,32.5,60.0,0.0,0.125,32.0,34.0,I,0,1,0,0
108,32.625,55.0,7.0,0.375,32.0,34.0,I,0,1,0,0
109,33.0,64.0,4.0,0.125,32.0,34.0,I,0,1,0,0
110,33.125,60.0,0.0,0.375,32.0,34.0,I,0,1,0,0
111,33.5,55.0,7.0,0.125,32.0,34.0,I,0,1,0,0
112,33.625,57.0,9.0,0.125,32.0,34.0,I,0,1,0,0
113,33.75,60.0,0.0,0.375,32.0,34.0,I,0,1,0,0
114,34.125,60.0,0.0,0.125,34.0,35.0,ii,2,2,0,2
115,34.25,62.0,2.0,0.125,34.0,35.0,ii,2,2,0,2
116,34.375,60.0,0.0,0.125,34.0,35.0,ii,2,2,0,2
117,34.5,57.0,9.0,0.125,34.0,35.0,ii,2,2,0,2
118,34.625,60.0,0.0,0.375,34.0,35.0,ii,2,2,0,2
119,35.0,64.0,4.0,0.125,34.0,35.0,ii,2,2,0,2
120,35.125,62.0,2.0,0.375,35.0,36.0,V,7,5,0,7
121,35.5,69.0,9.0,0.5,35.0,36.0,V,7,5,0,7
122,36.0,64.0,4.0,0.375,35.0,36.0,V,7,5,0,7
123,36.375,69.0,9.0,0.125,36.0,41.0,I,0,1,0,0
124,36.5,64.0,4.0,5.0,36.0,41.0,I,0,1,0,0
125,41.5,60.0,0.0,0.125,41.0,42.0,IV,5,4,0,5
126,41.625,62.0,2.0,0.25,41.0,42.0,IV,5,4,0,5
127,41.875,64.0,4.0,1.625,41.0,42.0,IV,5,4,0,5
128,43.5,57.0,9.0,0.125,43.0,44.0,IV,5,4,0,5
129,43.625,60.0,0.0,0.25,43.0,44.0,IV,5,4,0,5
130,43.875,62.0,2.0,1.8130000000000024,43.0,44.0,IV,5,4,0,5
131,45.688,69.0,9.0,0.3119999999999976,45.0,46.0,V,7,5,0,7
132,46.0,64.0,4.0,0.25,45.0,46.0,V,7,5,0,7
133,46.25,67.0,7.0,0.0619999999999976,46.0,47.0,iii,4,3,0,4
134,46.312,64.0,4.0,0.5630000000000024,46.0,47.0,iii,4,3,0,4
135,46.875,62.0,2.0,0.0630000000000023,46.0,47.0,iii,4,3,0,4
136,46.938,60.0,0.0,0.0619999999999976,46.0,47.0,iii,4,3,0,4
137,47.0,57.0,7.0,0.625,46.0,47.0,iii,4,3,0,4
138,47.625,66.0,4.0,0.25,47.0,48.0,V,7,5,2,9
139,47.875,66.0,4.0,0.125,47.0,48.0,V,7,5,2,9
140,48.0,66.0,4.0,0.125,47.0,48.0,V,7,5,2,9
141,48.125,64.0,2.0,0.125,48.0,49.0,I,0,1,2,2
142,48.25,62.0,0.0,0.125,48.0,49.0,I,0,1,2,2
143,48.375,62.0,0.0,0.0630000000000023,48.0,49.0,I,0,1,2,2
144,48.438,64.0,2.0,0.0619999999999976,48.0,49.0,I,0,1,2,2
145,48.5,66.0,4.0,0.125,48.0,49.0,I,0,1,2,2
146,48.625,62.0,0.0,0.125,48.0,49.0,I,0,1,2,2
147,48.75,62.0,0.0,0.125,48.0,49.0,I,0,1,2,2
148,48.875,59.0,9.0,0.5,48.0,49.0,I,0,1,2,2
149,49.375,64.0,2.0,0.5,49.0,50.0,IV,5,4,2,7
150,49.875,62.0,0.0,0.125,49.0,50.0,IV,5,4,2,7
151,50.0,59.0,9.0,0.125,49.0,50.0,IV,5,4,2,7
152,50.125,61.0,11.0,0.0630000000000023,50.0,51.0,I,0,1,2,2
153,50.188,59.0,9.0,0.0619999999999976,50.0,51.0,I,0,1,2,2
154,50.25,57.0,7.0,0.3119999999999976,50.0,51.0,I,0,1,2,2
155,50.562,55.0,5.0,0.0630000000000023,50.0,51.0,I,0,1,2,2
156,50.625,54.0,4.0,1.0,50.0,51.0,I,0,1,2,2
157,51.625,66.0,4.0,0.125,51.0,52.0,IV,5,4,2,7
158,51.75,64.0,2.0,0.375,51.0,52.0,IV,5,4,2,7
