,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.625,64.0,0.0,0.1869999999999998,0.0,4.0,I,0,1,4,4
1,3.812,61.0,9.0,0.0630000000000001,0.0,4.0,I,0,1,4,4
2,3.875,59.0,7.0,0.125,0.0,4.0,I,0,1,4,4
3,4.0,61.0,9.0,0.1879999999999997,0.0,4.0,I,0,1,4,4
4,4.188,64.0,0.0,1.4370000000000005,4.0,7.0,IV,5,4,4,9
5,5.625,64.0,0.0,0.1870000000000002,4.0,7.0,IV,5,4,4,9
6,5.812,61.0,9.0,0.0629999999999997,4.0,7.0,IV,5,4,4,9
7,5.875,59.0,7.0,0.625,4.0,7.0,IV,5,4,4,9
8,6.5,64.0,0.0,0.25,4.0,7.0,IV,5,4,4,9
9,6.75,64.0,0.0,0.125,4.0,7.0,IV,5,4,4,9
10,6.875,55.0,3.0,0.25,4.0,7.0,IV,5,4,4,9
11,7.125,52.0,0.0,2.125,7.0,10.0,I,0,1,4,4
12,9.25,64.0,0.0,0.375,7.0,10.0,I,0,1,4,4
13,9.625,61.0,9.0,0.125,7.0,10.0,I,0,1,4,4
14,9.75,59.0,7.0,0.25,7.0,10.0,I,0,1,4,4
15,10.0,61.0,9.0,0.1880000000000006,7.0,10.0,I,0,1,4,4
16,10.188,64.0,0.0,1.4369999999999994,10.0,13.0,IV,5,4,4,9
17,11.625,64.0,0.0,0.25,10.0,13.0,IV,5,4,4,9
18,11.875,59.0,7.0,0.625,10.0,13.0,IV,5,4,4,9
19,12.5,64.0,0.0,0.25,10.0,13.0,IV,5,4,4,9
20,12.75,64.0,0.0,0.125,10.0,13.0,IV,5,4,4,9
21,12.875,55.0,3.0,0.25,10.0,13.0,IV,5,4,4,9
22,13.125,52.0,0.0,1.625,13.0,15.0,I,0,1,4,4
23,14.75,56.0,4.0,0.0619999999999993,13.0,15.0,I,0,1,4,4
24,14.812,57.0,5.0,0.1260000000000012,13.0,15.0,I,0,1,4,4
25,14.938,59.0,7.0,0.3119999999999994,13.0,15.0,I,0,1,4,4
26,15.25,61.0,9.0,0.0619999999999993,15.0,16.0,V,7,5,4,11
27,15.312,63.0,11.0,0.1260000000000012,15.0,16.0,V,7,5,4,11
28,15.438,59.0,7.0,0.6869999999999994,15.0,16.0,V,7,5,4,11
29,16.125,54.0,2.0,0.1870000000000011,16.0,17.0,IV,5,4,4,9
30,16.312,55.0,3.0,0.1879999999999988,16.0,17.0,IV,5,4,4,9
