,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.0,60.0,0.0,0.5,3.5,4.0,V,7,5,0,7
1,4.5,59.0,11.0,0.125,4.0,4.5,I,0,1,0,0
2,4.625,60.0,0.0,0.125,4.5,5.0,V6,7,5,0,7
3,4.75,59.0,11.0,0.125,4.5,5.0,V6,7,5,0,7
4,4.875,57.0,9.0,1.125,4.5,5.0,V6,7,5,0,7
5,6.0,64.0,4.0,0.5,5.5,6.0,IV,5,4,0,5
6,6.5,65.0,5.0,0.125,6.0,6.5,I,0,1,0,0
7,6.625,64.0,4.0,0.125,6.5,7.0,IV,5,4,0,5
8,6.75,62.0,2.0,0.125,6.5,7.0,IV,5,4,0,5
9,6.875,60.0,0.0,1.125,6.5,7.0,IV,5,4,0,5
10,8.0,60.0,0.0,0.5,7.5,8.0,V,7,5,0,7
11,8.5,59.0,11.0,0.125,8.0,8.5,I,0,1,0,0
12,8.625,62.0,2.0,0.125,8.5,9.0,V6,7,5,0,7
13,8.75,59.0,11.0,0.125,8.5,9.0,V6,7,5,0,7
14,8.875,57.0,9.0,1.125,8.5,9.0,V6,7,5,0,7
15,10.0,64.0,4.0,0.5,9.5,10.0,IV,5,4,0,5
16,10.5,65.0,5.0,0.125,10.0,10.5,I,0,1,0,0
17,10.625,64.0,4.0,0.125,10.5,11.0,IV,5,4,0,5
18,10.75,62.0,2.0,0.125,10.5,11.0,IV,5,4,0,5
19,10.875,60.0,0.0,0.75,10.5,11.0,IV,5,4,0,5
20,11.625,64.0,4.0,0.25,11.5,12.0,V,7,5,0,7
21,11.875,64.0,4.0,0.25,11.5,12.0,V,7,5,0,7
22,12.125,64.0,4.0,0.125,12.0,12.5,I,0,1,0,0
23,12.25,64.0,4.0,0.125,12.0,12.5,I,0,1,0,0
24,12.375,67.0,7.0,0.125,12.0,12.5,I,0,1,0,0
25,12.5,67.0,7.0,0.125,12.0,12.5,I,0,1,0,0
26,12.625,64.0,4.0,0.125,12.5,13.0,V6,7,5,0,7
27,12.75,64.0,4.0,0.25,12.5,13.0,V6,7,5,0,7
28,13.0,64.0,4.0,0.125,12.5,13.0,V6,7,5,0,7
29,13.125,64.0,4.0,0.0630000000000006,13.0,13.5,vi,9,6,0,9
30,13.188,64.0,4.0,0.1239999999999987,13.0,13.5,vi,9,6,0,9
31,13.312,60.0,0.0,0.1260000000000012,13.0,13.5,vi,9,6,0,9
32,13.438,57.0,9.0,0.8119999999999994,13.0,13.5,vi,9,6,0,9
33,14.25,64.0,4.0,0.0619999999999993,14.0,14.5,I,0,1,0,0
34,14.312,64.0,4.0,0.0630000000000006,14.0,14.5,I,0,1,0,0
35,14.375,64.0,4.0,0.0630000000000006,14.0,14.5,I,0,1,0,0
36,14.438,64.0,4.0,0.0619999999999993,14.0,14.5,I,0,1,0,0
37,14.5,62.0,2.0,0.125,14.0,14.5,I,0,1,0,0
38,14.625,64.0,4.0,0.1869999999999994,14.5,15.0,V6,7,5,0,7
39,14.812,59.0,11.0,0.1260000000000012,14.5,15.0,V6,7,5,0,7
40,14.938,62.0,2.0,0.1869999999999994,14.5,15.0,V6,7,5,0,7
41,15.125,60.0,0.0,1.125,15.0,15.5,vi,9,6,0,9
42,16.25,64.0,4.0,0.0620000000000011,16.0,16.5,I,0,1,0,0
43,16.312,64.0,4.0,0.0629999999999988,16.0,16.5,I,0,1,0,0
44,16.375,64.0,4.0,0.0629999999999988,16.0,16.5,I,0,1,0,0
45,16.438,64.0,4.0,0.0620000000000011,16.0,16.5,I,0,1,0,0
46,16.5,67.0,7.0,0.1879999999999988,16.0,16.5,I,0,1,0,0
47,16.688,64.0,4.0,0.1240000000000023,16.5,17.0,V6,7,5,0,7
48,16.812,65.0,5.0,0.1259999999999976,16.5,17.0,V6,7,5,0,7
49,16.938,67.0,7.0,0.1240000000000023,16.5,17.0,V6,7,5,0,7
50,17.062,64.0,4.0,0.1259999999999976,17.0,17.5,vi,9,6,0,9
51,17.188,60.0,0.0,0.4370000000000011,17.0,17.5,vi,9,6,0,9
52,17.625,64.0,4.0,0.5629999999999988,17.5,18.0,IV,5,4,0,5
53,18.188,64.0,4.0,0.1240000000000023,18.0,18.5,I,0,1,0,0
54,18.312,64.0,4.0,0.0629999999999988,18.0,18.5,I,0,1,0,0
55,18.375,64.0,4.0,0.125,18.0,18.5,I,0,1,0,0
56,18.5,64.0,4.0,0.0620000000000011,18.0,18.5,I,0,1,0,0
57,18.562,64.0,4.0,0.1879999999999988,18.5,19.0,V6,7,5,0,7
58,18.75,65.0,5.0,0.0620000000000011,18.5,19.0,V6,7,5,0,7
59,18.812,64.0,4.0,0.1259999999999976,18.5,19.0,V6,7,5,0,7
60,18.938,62.0,2.0,0.0620000000000011,18.5,19.0,V6,7,5,0,7
61,19.0,60.0,0.0,0.625,18.5,19.0,V6,7,5,0,7
62,19.625,57.0,9.0,0.5,19.5,20.0,IV,5,4,0,5
63,20.125,64.0,4.0,0.125,20.0,20.5,I,0,1,0,0
64,20.25,67.0,7.0,0.125,20.0,20.5,I,0,1,0,0
65,20.375,67.0,7.0,0.125,20.0,20.5,I,0,1,0,0
66,20.5,67.0,7.0,0.25,20.0,20.5,I,0,1,0,0
67,20.75,64.0,4.0,0.25,20.5,21.0,V6,7,5,0,7
68,21.0,67.0,7.0,0.125,20.5,21.0,V6,7,5,0,7
69,21.125,67.0,7.0,0.1870000000000011,21.0,21.5,vi,9,6,0,9
70,21.312,64.0,4.0,0.1879999999999988,21.0,21.5,vi,9,6,0,9
71,21.5,60.0,0.0,0.875,21.0,21.5,vi,9,6,0,9
72,22.375,64.0,4.0,0.125,22.0,22.5,I,0,1,0,0
73,22.5,62.0,2.0,0.25,22.0,22.5,I,0,1,0,0
74,22.75,60.0,0.0,0.125,22.5,23.0,V6,7,5,0,7
75,22.875,64.0,4.0,0.0629999999999988,22.5,23.0,V6,7,5,0,7
76,22.938,62.0,2.0,0.0620000000000011,22.5,23.0,V6,7,5,0,7
77,23.0,60.0,0.0,0.625,22.5,23.0,V6,7,5,0,7
78,23.625,62.0,2.0,0.5,23.5,24.0,IV,5,4,0,5
79,24.125,64.0,4.0,0.125,24.0,24.5,I,0,1,0,0
80,24.25,67.0,7.0,0.125,24.0,24.5,I,0,1,0,0
81,24.375,67.0,7.0,0.125,24.0,24.5,I,0,1,0,0
82,24.5,67.0,7.0,0.1879999999999988,24.0,24.5,I,0,1,0,0
83,24.688,64.0,4.0,0.25,24.5,25.0,V6,7,5,0,7
84,24.938,65.0,5.0,0.0620000000000011,24.5,25.0,V6,7,5,0,7
85,25.0,67.0,7.0,0.1879999999999988,24.5,25.0,V6,7,5,0,7
86,25.188,64.0,4.0,0.0620000000000011,25.0,25.5,vi,9,6,0,9
87,25.25,67.0,7.0,0.1879999999999988,25.0,25.5,vi,9,6,0,9
88,25.438,64.0,4.0,0.0620000000000011,25.0,25.5,vi,9,6,0,9
89,25.5,60.0,0.0,0.6879999999999988,25.0,25.5,vi,9,6,0,9
90,26.188,64.0,4.0,0.1240000000000023,26.0,26.5,I,0,1,0,0
91,26.312,64.0,4.0,0.1259999999999976,26.0,26.5,I,0,1,0,0
92,26.438,64.0,4.0,0.1240000000000023,26.0,26.5,I,0,1,0,0
93,26.562,65.0,5.0,0.1259999999999976,26.5,27.0,V6,7,5,0,7
94,26.688,64.0,4.0,0.1870000000000011,26.5,27.0,V6,7,5,0,7
95,26.875,62.0,2.0,0.25,26.5,27.0,V6,7,5,0,7
96,27.125,60.0,0.0,0.5,27.0,27.5,vi,9,6,0,9
97,27.625,62.0,2.0,0.375,27.5,28.0,IV,5,4,0,5
98,28.0,60.0,0.0,0.5,27.5,28.0,IV,5,4,0,5
99,28.5,59.0,11.0,0.125,28.0,28.5,I,0,1,0,0
100,28.625,60.0,0.0,0.125,28.5,29.0,V6,7,5,0,7
101,28.75,59.0,11.0,0.125,28.5,29.0,V6,7,5,0,7
102,28.875,57.0,9.0,1.125,28.5,29.0,V6,7,5,0,7
103,30.0,64.0,4.0,0.5,29.5,30.0,IV,5,4,0,5
104,30.5,65.0,5.0,0.125,30.0,30.5,I,0,1,0,0
105,30.625,64.0,4.0,0.125,30.5,31.0,IV,5,4,0,5
106,30.75,62.0,2.0,0.125,30.5,31.0,IV,5,4,0,5
107,30.875,60.0,0.0,0.5,30.5,31.0,IV,5,4,0,5
108,31.375,64.0,4.0,0.25,31.0,31.5,I,0,1,0,0
109,31.625,62.0,2.0,0.6869999999999976,31.5,32.0,V,7,5,0,7
110,32.312,64.0,4.0,0.0630000000000023,32.0,32.5,I,0,1,0,0
111,32.375,64.0,4.0,0.0630000000000023,32.0,32.5,I,0,1,0,0
112,32.438,64.0,4.0,0.0619999999999976,32.0,32.5,I,0,1,0,0
113,32.5,62.0,2.0,0.125,32.0,32.5,I,0,1,0,0
114,32.625,64.0,4.0,0.375,32.5,33.0,V6,7,5,0,7
115,33.0,57.0,9.0,0.125,32.5,33.0,V6,7,5,0,7
116,33.125,60.0,0.0,0.125,33.0,33.5,vi,9,6,0,9
117,33.25,62.0,2.0,0.125,33.0,33.5,vi,9,6,0,9
118,33.375,64.0,4.0,0.125,33.0,33.5,vi,9,6,0,9
119,33.5,62.0,2.0,0.75,33.0,33.5,vi,9,6,0,9
120,34.25,64.0,4.0,0.25,34.0,34.5,I,0,1,0,0
121,34.5,65.0,5.0,0.125,34.0,34.5,I,0,1,0,0
122,34.625,64.0,4.0,0.125,34.5,35.0,IV,5,4,0,5
123,34.75,62.0,2.0,0.125,34.5,35.0,IV,5,4,0,5
124,34.875,60.0,0.0,0.5,34.5,35.0,IV,5,4,0,5
125,35.375,64.0,4.0,0.25,35.0,35.5,I,0,1,0,0
126,35.625,64.0,4.0,0.25,35.5,36.0,V,7,5,0,7
127,35.875,64.0,4.0,0.25,35.5,36.0,V,7,5,0,7
128,36.125,64.0,4.0,0.125,36.0,36.5,I,0,1,0,0
129,36.25,67.0,7.0,0.125,36.0,36.5,I,0,1,0,0
130,36.375,67.0,7.0,0.125,36.0,36.5,I,0,1,0,0
131,36.5,64.0,4.0,0.125,36.0,36.5,I,0,1,0,0
132,36.625,64.0,4.0,0.375,36.5,37.0,V6,7,5,0,7
133,37.0,64.0,4.0,0.125,36.5,37.0,V6,7,5,0,7
134,37.125,64.0,4.0,0.0630000000000023,37.0,37.5,vi,9,6,0,9
135,37.188,64.0,4.0,0.1239999999999952,37.0,37.5,vi,9,6,0,9
136,37.312,60.0,0.0,0.1260000000000047,37.0,37.5,vi,9,6,0,9
137,37.438,57.0,9.0,0.8119999999999976,37.0,37.5,vi,9,6,0,9
138,38.25,64.0,4.0,0.0619999999999976,38.0,38.5,I,0,1,0,0
139,38.312,64.0,4.0,0.0630000000000023,38.0,38.5,I,0,1,0,0
140,38.375,64.0,4.0,0.0630000000000023,38.0,38.5,I,0,1,0,0
141,38.438,64.0,4.0,0.0619999999999976,38.0,38.5,I,0,1,0,0
142,38.5,62.0,2.0,0.125,38.0,38.5,I,0,1,0,0
143,38.625,64.0,4.0,0.1869999999999976,38.5,39.0,V6,7,5,0,7
144,38.812,59.0,11.0,0.1260000000000047,38.5,39.0,V6,7,5,0,7
145,38.938,62.0,2.0,0.1869999999999976,38.5,39.0,V6,7,5,0,7
146,39.125,60.0,0.0,0.5630000000000024,39.0,39.5,vi,9,6,0,9
147,39.688,62.0,2.0,0.4369999999999976,39.5,40.0,IV,5,4,0,5
148,40.125,64.0,4.0,0.125,40.0,40.5,I,0,1,0,0
149,40.25,64.0,4.0,0.125,40.0,40.5,I,0,1,0,0
150,40.375,64.0,4.0,0.1869999999999976,40.0,40.5,I,0,1,0,0
151,40.562,67.0,7.0,0.1260000000000047,40.5,41.0,V6,7,5,0,7
152,40.688,64.0,4.0,0.1239999999999952,40.5,41.0,V6,7,5,0,7
153,40.812,67.0,7.0,0.1260000000000047,40.5,41.0,V6,7,5,0,7
154,40.938,64.0,4.0,0.1239999999999952,40.5,41.0,V6,7,5,0,7
155,41.062,67.0,7.0,0.1260000000000047,41.0,41.5,vi,9,6,0,9
156,41.188,64.0,4.0,0.0619999999999976,41.0,41.5,vi,9,6,0,9
157,41.25,60.0,0.0,0.4380000000000024,41.0,41.5,vi,9,6,0,9
158,41.688,57.0,9.0,0.1239999999999952,41.5,42.0,IV,5,4,0,5
159,41.812,62.0,2.0,0.4380000000000024,41.5,42.0,IV,5,4,0,5
160,42.25,64.0,4.0,0.0619999999999976,42.0,42.5,I,0,1,0,0
161,42.312,64.0,4.0,0.0630000000000023,42.0,42.5,I,0,1,0,0
162,42.375,64.0,4.0,0.0630000000000023,42.0,42.5,I,0,1,0,0
163,42.438,64.0,4.0,0.0619999999999976,42.0,42.5,I,0,1,0,0
164,42.5,62.0,2.0,0.125,42.0,42.5,I,0,1,0,0
165,42.625,62.0,2.0,0.125,42.5,43.0,V6,7,5,0,7
166,42.75,64.0,4.0,0.1880000000000024,42.5,43.0,V6,7,5,0,7
167,42.938,64.0,4.0,0.0619999999999976,42.5,43.0,V6,7,5,0,7
