,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.0,59.0,7.0,0.5,7.0,10.5,I,0,1,4,4
1,8.5,61.0,9.0,0.1669999999999998,7.0,10.5,I,0,1,4,4
2,8.667,59.0,7.0,0.1660000000000003,7.0,10.5,I,0,1,4,4
3,8.833,57.0,5.0,0.0839999999999996,7.0,10.5,I,0,1,4,4
4,8.917,56.0,4.0,0.5830000000000002,7.0,10.5,I,0,1,4,4
5,9.5,54.0,2.0,0.1669999999999998,7.0,10.5,I,0,1,4,4
6,9.667,57.0,5.0,0.0830000000000001,7.0,10.5,I,0,1,4,4
7,9.75,56.0,4.0,0.25,7.0,10.5,I,0,1,4,4
8,10.0,52.0,0.0,0.5,7.0,10.5,I,0,1,4,4
9,10.5,50.0,10.0,0.1669999999999998,7.0,10.5,I,0,1,4,4
10,10.667,57.0,5.0,0.1660000000000003,10.5,11.0,v,7,5,4,11
11,10.833,49.0,9.0,0.1669999999999998,10.5,11.0,v,7,5,4,11
12,11.0,47.0,7.0,1.0,10.5,11.0,v,7,5,4,11
13,12.0,59.0,7.0,0.5,11.0,14.5,I,0,1,4,4
14,12.5,61.0,9.0,0.1669999999999998,11.0,14.5,I,0,1,4,4
15,12.667,59.0,7.0,0.1660000000000003,11.0,14.5,I,0,1,4,4
16,12.833,57.0,5.0,0.1669999999999998,11.0,14.5,I,0,1,4,4
17,13.0,56.0,4.0,0.5,11.0,14.5,I,0,1,4,4
18,13.5,54.0,2.0,0.1669999999999998,11.0,14.5,I,0,1,4,4
19,13.667,57.0,5.0,0.1660000000000003,11.0,14.5,I,0,1,4,4
20,13.833,56.0,4.0,0.1669999999999998,11.0,14.5,I,0,1,4,4
21,14.0,52.0,0.0,0.5,11.0,14.5,I,0,1,4,4
22,14.5,50.0,10.0,0.1669999999999998,11.0,14.5,I,0,1,4,4
23,14.667,57.0,5.0,0.1660000000000003,14.5,15.0,v,7,5,4,11
24,14.833,49.0,9.0,0.1669999999999998,14.5,15.0,v,7,5,4,11
25,15.0,47.0,7.0,0.8330000000000002,14.5,15.0,v,7,5,4,11
26,15.833,52.0,0.0,0.1669999999999998,15.0,18.0,I,0,1,4,4
27,16.0,59.0,7.0,0.1670000000000016,15.0,18.0,I,0,1,4,4
28,16.167,59.0,7.0,0.1659999999999968,15.0,18.0,I,0,1,4,4
29,16.333,59.0,7.0,0.1670000000000016,15.0,18.0,I,0,1,4,4
30,16.5,59.0,7.0,0.1670000000000016,15.0,18.0,I,0,1,4,4
31,16.667,57.0,5.0,0.1659999999999968,15.0,18.0,I,0,1,4,4
32,16.833,57.0,5.0,0.1670000000000016,15.0,18.0,I,0,1,4,4
33,17.0,57.0,5.0,0.1670000000000016,15.0,18.0,I,0,1,4,4
34,17.167,55.0,3.0,0.1659999999999968,15.0,18.0,I,0,1,4,4
35,17.333,55.0,3.0,0.1670000000000016,15.0,18.0,I,0,1,4,4
36,17.5,55.0,3.0,0.0829999999999984,15.0,18.0,I,0,1,4,4
37,17.583,57.0,5.0,0.25,15.0,18.0,I,0,1,4,4
38,17.833,55.0,3.0,0.0840000000000031,15.0,18.0,I,0,1,4,4
39,17.917,57.0,5.0,1.9159999999999968,15.0,18.0,I,0,1,4,4
40,19.833,62.0,10.0,0.1670000000000016,18.0,20.0,IV,5,4,4,9
41,20.0,71.0,7.0,0.1670000000000016,18.0,20.0,IV,5,4,4,9
