,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,59.125,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
1,59.25,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
2,59.375,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
3,59.5,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
4,59.625,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
5,59.75,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
6,59.875,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
7,60.0,58.0,0.0,1.125,0.0,208.0,i,0,1,10,10
8,61.125,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
9,61.25,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
10,61.375,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
11,61.5,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
12,61.625,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
13,61.75,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
14,61.875,63.0,5.0,0.25,0.0,208.0,i,0,1,10,10
15,62.125,61.0,3.0,0.5,0.0,208.0,i,0,1,10,10
16,62.625,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
17,62.75,58.0,0.0,0.25,0.0,208.0,i,0,1,10,10
18,63.0,58.0,0.0,0.625,0.0,208.0,i,0,1,10,10
19,63.625,58.0,0.0,0.375,0.0,208.0,i,0,1,10,10
20,64.0,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
21,64.125,63.0,5.0,0.125,0.0,208.0,i,0,1,10,10
22,64.25,65.0,7.0,0.125,0.0,208.0,i,0,1,10,10
23,64.375,61.0,3.0,0.75,0.0,208.0,i,0,1,10,10
24,65.125,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
25,65.25,58.0,0.0,0.25,0.0,208.0,i,0,1,10,10
26,65.5,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
27,65.625,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
28,65.75,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
29,65.875,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
30,66.0,58.0,0.0,1.875,0.0,208.0,i,0,1,10,10
31,67.875,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
32,68.0,65.0,7.0,0.125,0.0,208.0,i,0,1,10,10
33,68.125,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
34,68.25,63.0,5.0,0.125,0.0,208.0,i,0,1,10,10
35,68.375,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
36,68.5,63.0,5.0,0.125,0.0,208.0,i,0,1,10,10
37,68.625,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
38,68.75,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
39,68.875,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
40,69.0,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
41,69.125,58.0,0.0,0.75,0.0,208.0,i,0,1,10,10
42,69.875,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
43,70.0,53.0,7.0,0.125,0.0,208.0,i,0,1,10,10
44,70.125,55.0,9.0,0.125,0.0,208.0,i,0,1,10,10
45,70.25,53.0,7.0,0.125,0.0,208.0,i,0,1,10,10
46,70.375,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
47,70.5,56.0,10.0,0.25,0.0,208.0,i,0,1,10,10
48,70.75,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
49,70.875,58.0,0.0,0.25,0.0,208.0,i,0,1,10,10
50,71.125,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
51,71.25,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
52,71.375,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
53,71.5,58.0,0.0,0.5,0.0,208.0,i,0,1,10,10
54,72.0,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
55,72.125,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
56,72.25,63.0,5.0,0.125,0.0,208.0,i,0,1,10,10
57,72.375,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
58,72.5,63.0,5.0,0.125,0.0,208.0,i,0,1,10,10
59,72.625,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
60,72.75,63.0,5.0,0.0619999999999976,0.0,208.0,i,0,1,10,10
61,72.812,65.0,7.0,0.0630000000000023,0.0,208.0,i,0,1,10,10
62,72.875,61.0,3.0,0.5,0.0,208.0,i,0,1,10,10
63,73.375,53.0,7.0,0.125,0.0,208.0,i,0,1,10,10
64,73.5,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
65,73.625,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
66,73.75,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
67,73.875,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
68,74.0,58.0,0.0,2.0,0.0,208.0,i,0,1,10,10
69,76.0,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
70,76.125,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
71,76.25,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
72,76.375,56.0,10.0,0.125,0.0,208.0,i,0,1,10,10
73,76.5,58.0,0.0,0.25,0.0,208.0,i,0,1,10,10
74,76.75,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
75,76.875,61.0,3.0,1.25,0.0,208.0,i,0,1,10,10
76,78.125,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
77,78.25,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
78,78.375,58.0,0.0,0.125,0.0,208.0,i,0,1,10,10
79,78.5,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
80,78.625,61.0,3.0,0.125,0.0,208.0,i,0,1,10,10
