,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.0,65.0,0.0,0.125,1.0,1.5,I,0,1,5,5
1,1.125,62.0,9.0,0.042,1.0,1.5,I,0,1,5,5
2,1.167,60.0,7.0,0.75,1.0,1.5,I,0,1,5,5
3,1.917,70.0,5.0,0.4999999999999998,1.75,2.0,V,7,5,5,0
4,2.417,70.0,5.0,0.0830000000000001,2.0,2.5,I,0,1,5,5
5,2.5,68.0,3.0,0.0419999999999998,2.0,2.5,I,0,1,5,5
6,2.542,67.0,2.0,0.0410000000000003,2.5,3.0,V,7,5,5,0
7,2.583,65.0,0.0,0.0419999999999998,2.5,3.0,V,7,5,5,0
8,2.625,63.0,10.0,0.0419999999999998,2.5,3.0,V,7,5,5,0
9,2.667,60.0,7.0,0.25,2.5,3.0,V,7,5,5,0
10,2.917,65.0,0.0,0.2080000000000001,2.5,3.0,V,7,5,5,0
11,3.125,63.0,10.0,0.0419999999999998,3.0,3.5,I,0,1,5,5
12,3.167,60.0,7.0,1.0830000000000002,3.0,3.5,I,0,1,5,5
13,4.25,63.0,10.0,0.0830000000000001,4.0,4.5,I,0,1,5,5
14,4.333,65.0,0.0,0.0839999999999996,4.0,4.5,I,0,1,5,5
15,4.417,67.0,2.0,0.0830000000000001,4.0,4.5,I,0,1,5,5
16,4.5,65.0,0.0,0.0419999999999998,4.0,4.5,I,0,1,5,5
17,4.542,63.0,10.0,0.0410000000000003,4.5,5.0,V,7,5,5,0
18,4.583,60.0,7.0,0.25,4.5,5.0,V,7,5,5,0
19,4.833,67.0,2.0,0.5,4.5,5.0,V,7,5,5,0
20,5.333,68.0,3.0,0.5,5.0,5.5,I,0,1,5,5
21,5.833,70.0,5.0,0.1669999999999998,5.5,6.0,vi,9,6,5,2
22,6.0,65.0,0.0,0.3330000000000002,5.5,6.0,vi,9,6,5,2
23,6.333,68.0,3.0,0.0839999999999996,6.0,6.5,II,2,2,5,7
24,6.417,65.0,0.0,0.0410000000000003,6.0,6.5,II,2,2,5,7
25,6.458,62.0,9.0,0.0419999999999998,6.0,6.5,II,2,2,5,7
26,6.5,60.0,7.0,0.1669999999999998,6.0,6.5,II,2,2,5,7
27,6.667,60.0,7.0,0.0830000000000001,6.5,7.0,V,7,5,5,0
28,6.75,65.0,0.0,0.0830000000000001,6.5,7.0,V,7,5,5,0
29,6.833,62.0,9.0,0.0839999999999996,6.5,7.0,V,7,5,5,0
30,6.917,65.0,0.0,0.1660000000000003,6.5,7.0,V,7,5,5,0
31,7.083,68.0,3.0,1.1669999999999998,7.0,7.5,I,0,1,5,5
32,8.25,70.0,5.0,0.1669999999999998,8.0,9.5,I,0,1,5,5
33,8.417,70.0,5.0,0.25,8.0,9.5,I,0,1,5,5
34,8.667,60.0,7.0,0.0830000000000001,8.0,9.5,I,0,1,5,5
35,8.75,65.0,0.0,0.0830000000000001,8.0,9.5,I,0,1,5,5
36,8.833,62.0,9.0,0.0839999999999996,8.0,9.5,I,0,1,5,5
37,8.917,65.0,0.0,0.0830000000000001,8.0,9.5,I,0,1,5,5
38,9.0,65.0,0.0,0.0830000000000001,8.0,9.5,I,0,1,5,5
