,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.0,50.0,7.0,0.625,3.0,4.75,I,0,1,7,7
1,4.625,50.0,7.0,0.0629999999999997,3.0,4.75,I,0,1,7,7
2,4.688,50.0,7.0,0.0620000000000002,3.0,4.75,I,0,1,7,7
3,4.75,52.0,9.0,0.0620000000000002,3.0,4.75,I,0,1,7,7
4,4.812,50.0,7.0,0.0629999999999997,4.75,5.0,IV,5,4,7,0
5,4.875,48.0,5.0,0.125,4.75,5.0,IV,5,4,7,0
6,5.0,50.0,7.0,1.875,4.75,5.0,IV,5,4,7,0
7,6.875,47.0,4.0,0.0629999999999997,6.0,7.75,I,0,1,7,7
8,6.938,47.0,4.0,0.0620000000000002,6.0,7.75,I,0,1,7,7
9,7.0,47.0,4.0,0.625,6.0,7.75,I,0,1,7,7
10,7.625,47.0,4.0,0.0629999999999997,6.0,7.75,I,0,1,7,7
11,7.688,48.0,5.0,0.1240000000000005,6.0,7.75,I,0,1,7,7
12,7.812,47.0,4.0,0.0629999999999997,7.75,8.0,V,7,5,7,2
13,7.875,45.0,2.0,0.125,7.75,8.0,V,7,5,7,2
14,8.0,47.0,4.0,2.0,7.75,8.0,V,7,5,7,2
15,10.0,50.0,7.0,0.625,9.0,10.75,I,0,1,7,7
16,10.625,50.0,7.0,0.0630000000000006,9.0,10.75,I,0,1,7,7
17,10.688,52.0,9.0,0.1239999999999987,9.0,10.75,I,0,1,7,7
18,10.812,50.0,7.0,0.0630000000000006,10.75,11.0,IV,5,4,7,0
19,10.875,48.0,5.0,0.0630000000000006,10.75,11.0,IV,5,4,7,0
20,10.938,50.0,7.0,2.0619999999999994,10.75,11.0,IV,5,4,7,0
21,13.0,47.0,4.0,0.1669999999999998,12.0,13.67,I,0,1,7,7
22,13.167,47.0,4.0,0.0830000000000001,12.0,13.67,I,0,1,7,7
23,13.25,47.0,4.0,0.25,12.0,13.67,I,0,1,7,7
24,13.5,47.0,4.0,0.0830000000000001,12.0,13.67,I,0,1,7,7
25,13.583,43.0,0.0,0.1669999999999998,12.0,13.67,I,0,1,7,7
26,13.75,45.0,2.0,0.0830000000000001,13.67,14.0,V,7,5,7,2
27,13.833,42.0,11.0,0.1669999999999998,13.67,14.0,V,7,5,7,2
28,14.0,43.0,0.0,1.0,13.67,14.0,V,7,5,7,2
29,15.0,50.0,7.0,0.25,14.0,15.0,I,0,1,7,7
