,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,11.625,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
1,11.75,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
2,11.875,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
3,12.0,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
4,12.125,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
5,12.25,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
6,12.375,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
7,12.5,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
8,12.625,63.0,0.0,0.125,10.0,13.0,I,0,1,3,3
9,12.75,63.0,0.0,0.125,10.0,13.0,I,0,1,3,3
10,12.875,63.0,0.0,0.125,10.0,13.0,I,0,1,3,3
11,13.0,66.0,3.0,0.125,10.0,13.0,I,0,1,3,3
12,13.125,63.0,0.0,0.125,13.0,14.0,IV,5,4,3,8
13,13.25,63.0,0.0,0.125,13.0,14.0,IV,5,4,3,8
14,13.375,61.0,10.0,0.125,13.0,14.0,IV,5,4,3,8
15,13.5,63.0,0.0,0.125,13.0,14.0,IV,5,4,3,8
16,13.625,63.0,0.0,0.125,13.0,14.0,IV,5,4,3,8
17,13.75,63.0,0.0,0.125,13.0,14.0,IV,5,4,3,8
18,13.875,67.0,4.0,1.75,13.0,14.0,IV,5,4,3,8
19,15.625,66.0,3.0,0.125,14.0,16.0,I,0,1,3,3
20,15.75,66.0,3.0,0.125,14.0,16.0,I,0,1,3,3
21,15.875,66.0,3.0,0.125,14.0,16.0,I,0,1,3,3
22,16.0,66.0,3.0,0.125,14.0,16.0,I,0,1,3,3
23,16.125,66.0,3.0,0.125,16.0,18.0,IV,5,4,3,8
24,16.25,66.0,3.0,0.125,16.0,18.0,IV,5,4,3,8
25,16.375,66.0,3.0,0.125,16.0,18.0,IV,5,4,3,8
26,16.5,66.0,3.0,0.125,16.0,18.0,IV,5,4,3,8
27,16.625,63.0,0.0,0.125,16.0,18.0,IV,5,4,3,8
28,16.75,63.0,0.0,0.125,16.0,18.0,IV,5,4,3,8
29,16.875,66.0,3.0,0.125,16.0,18.0,IV,5,4,3,8
30,17.0,65.0,2.0,0.125,16.0,18.0,IV,5,4,3,8
31,17.125,63.0,0.0,0.375,16.0,18.0,IV,5,4,3,8
32,17.5,65.0,2.0,0.125,16.0,18.0,IV,5,4,3,8
33,17.625,63.0,0.0,0.125,16.0,18.0,IV,5,4,3,8
34,17.75,63.0,0.0,0.125,16.0,18.0,IV,5,4,3,8
35,17.875,60.0,9.0,1.875,16.0,18.0,IV,5,4,3,8
36,19.75,66.0,3.0,0.125,18.0,20.0,I,0,1,3,3
37,19.875,66.0,3.0,0.25,18.0,20.0,I,0,1,3,3
38,20.125,66.0,3.0,0.125,20.0,21.0,V,7,5,3,10
39,20.25,65.0,2.0,0.125,20.0,21.0,V,7,5,3,10
40,20.375,63.0,0.0,0.25,20.0,21.0,V,7,5,3,10
41,20.625,60.0,9.0,0.25,20.0,21.0,V,7,5,3,10
42,20.875,58.0,7.0,0.125,20.0,21.0,V,7,5,3,10
43,21.0,60.0,9.0,0.125,20.0,21.0,V,7,5,3,10
44,21.125,60.0,9.0,0.125,21.0,22.0,IV,5,4,3,8
45,21.25,63.0,0.0,0.0620000000000011,21.0,22.0,IV,5,4,3,8
46,21.312,63.0,0.0,0.0629999999999988,21.0,22.0,IV,5,4,3,8
47,21.375,63.0,0.0,0.125,21.0,22.0,IV,5,4,3,8
48,21.5,66.0,3.0,0.25,21.0,22.0,IV,5,4,3,8
49,21.75,60.0,9.0,0.125,21.0,22.0,IV,5,4,3,8
50,21.875,60.0,9.0,1.75,21.0,22.0,IV,5,4,3,8
51,23.625,58.0,7.0,0.125,22.0,25.0,I,0,1,3,3
52,23.75,60.0,9.0,0.125,22.0,25.0,I,0,1,3,3
53,23.875,60.0,9.0,0.125,22.0,25.0,I,0,1,3,3
54,24.0,63.0,0.0,0.125,22.0,25.0,I,0,1,3,3
55,24.125,63.0,0.0,0.125,22.0,25.0,I,0,1,3,3
56,24.25,65.0,2.0,0.125,22.0,25.0,I,0,1,3,3
57,24.375,66.0,3.0,0.25,22.0,25.0,I,0,1,3,3
58,24.625,65.0,2.0,0.125,22.0,25.0,I,0,1,3,3
59,24.75,63.0,0.0,0.125,22.0,25.0,I,0,1,3,3
60,24.875,63.0,0.0,0.125,22.0,25.0,I,0,1,3,3
61,25.0,65.0,2.0,0.25,22.0,25.0,I,0,1,3,3
62,25.25,65.0,2.0,0.25,25.0,26.0,IV,5,4,3,8
63,25.5,65.0,2.0,0.125,25.0,26.0,IV,5,4,3,8
64,25.625,63.0,0.0,0.125,25.0,26.0,IV,5,4,3,8
65,25.75,63.0,0.0,0.125,25.0,26.0,IV,5,4,3,8
66,25.875,66.0,3.0,2.0,25.0,26.0,IV,5,4,3,8
67,27.875,58.0,7.0,0.125,26.0,28.0,I,0,1,3,3
68,28.0,66.0,3.0,0.25,26.0,28.0,I,0,1,3,3
69,28.25,65.0,2.0,0.125,28.0,30.0,IV,5,4,3,8
70,28.375,65.0,2.0,0.125,28.0,30.0,IV,5,4,3,8
71,28.5,65.0,2.0,0.125,28.0,30.0,IV,5,4,3,8
72,28.625,63.0,0.0,0.125,28.0,30.0,IV,5,4,3,8
73,28.75,63.0,0.0,0.125,28.0,30.0,IV,5,4,3,8
74,28.875,63.0,0.0,0.125,28.0,30.0,IV,5,4,3,8
75,29.0,66.0,3.0,0.25,28.0,30.0,IV,5,4,3,8
76,29.25,65.0,2.0,0.125,28.0,30.0,IV,5,4,3,8
77,29.375,63.0,0.0,0.125,28.0,30.0,IV,5,4,3,8
78,29.5,65.0,2.0,0.125,28.0,30.0,IV,5,4,3,8
79,29.625,63.0,0.0,0.125,28.0,30.0,IV,5,4,3,8
80,29.75,63.0,0.0,0.125,28.0,30.0,IV,5,4,3,8
81,29.875,60.0,9.0,0.125,28.0,30.0,IV,5,4,3,8
82,30.0,58.0,7.0,1.75,28.0,30.0,IV,5,4,3,8
83,31.75,66.0,3.0,0.125,30.0,32.0,I,0,1,3,3
84,31.875,66.0,3.0,0.25,30.0,32.0,I,0,1,3,3
85,32.125,66.0,3.0,0.125,32.0,33.0,V,7,5,3,10
86,32.25,65.0,2.0,0.125,32.0,33.0,V,7,5,3,10
87,32.375,63.0,0.0,0.25,32.0,33.0,V,7,5,3,10
88,32.625,60.0,9.0,0.125,32.0,33.0,V,7,5,3,10
89,32.75,58.0,7.0,0.25,32.0,33.0,V,7,5,3,10
90,33.0,66.0,3.0,0.25,32.0,33.0,V,7,5,3,10
91,33.25,63.0,0.0,0.125,33.0,34.0,IV,5,4,3,8
92,33.375,65.0,2.0,0.25,33.0,34.0,IV,5,4,3,8
93,33.625,63.0,0.0,0.125,33.0,34.0,IV,5,4,3,8
94,33.75,63.0,0.0,0.125,33.0,34.0,IV,5,4,3,8
95,33.875,60.0,9.0,1.75,33.0,34.0,IV,5,4,3,8
