,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,7.125,52.0,2.0,0.125,7.0,8.5,I,0,1,2,2
1,7.25,50.0,0.0,0.125,7.0,8.5,I,0,1,2,2
2,7.375,50.0,0.0,0.125,7.0,8.5,I,0,1,2,2
3,7.5,55.0,5.0,0.125,7.0,8.5,I,0,1,2,2
4,7.625,50.0,0.0,0.125,7.0,8.5,I,0,1,2,2
5,7.75,50.0,0.0,0.125,7.0,8.5,I,0,1,2,2
6,7.875,48.0,10.0,0.125,7.0,8.5,I,0,1,2,2
7,8.0,50.0,0.0,1.25,7.0,8.5,I,0,1,2,2
8,9.25,50.0,0.0,0.125,9.0,10.5,I,0,1,2,2
9,9.375,50.0,0.0,0.125,9.0,10.5,I,0,1,2,2
10,9.5,53.0,3.0,0.125,9.0,10.5,I,0,1,2,2
11,9.625,50.0,0.0,0.125,9.0,10.5,I,0,1,2,2
12,9.75,53.0,3.0,0.125,9.0,10.5,I,0,1,2,2
13,9.875,53.0,3.0,0.125,9.0,10.5,I,0,1,2,2
14,10.0,50.0,0.0,0.125,9.0,10.5,I,0,1,2,2
15,10.125,48.0,10.0,1.0,9.0,10.5,I,0,1,2,2
16,11.125,57.0,7.0,0.25,11.0,12.0,I,0,1,2,2
17,11.375,57.0,7.0,0.125,11.0,12.0,I,0,1,2,2
18,11.5,60.0,10.0,0.125,11.0,12.0,I,0,1,2,2
19,11.625,57.0,7.0,0.125,11.0,12.0,I,0,1,2,2
20,11.75,57.0,7.0,0.125,11.0,12.0,I,0,1,2,2
21,11.875,57.0,7.0,0.125,11.0,12.0,I,0,1,2,2
22,12.0,57.0,7.0,0.125,11.0,12.0,I,0,1,2,2
23,12.125,55.0,5.0,1.0,12.0,12.5,IV,5,4,2,7
24,13.125,50.0,0.0,0.125,13.0,14.0,IV,5,4,2,7
25,13.25,50.0,0.0,0.125,13.0,14.0,IV,5,4,2,7
26,13.375,50.0,0.0,0.125,13.0,14.0,IV,5,4,2,7
27,13.5,53.0,3.0,0.125,13.0,14.0,IV,5,4,2,7
28,13.625,50.0,0.0,0.125,13.0,14.0,IV,5,4,2,7
29,13.75,53.0,3.0,0.125,13.0,14.0,IV,5,4,2,7
30,13.875,53.0,3.0,0.125,13.0,14.0,IV,5,4,2,7
31,14.0,50.0,0.0,1.125,13.0,14.0,IV,5,4,2,7
32,15.125,57.0,7.0,0.25,15.0,16.0,I,0,1,2,2
33,15.375,57.0,7.0,0.125,15.0,16.0,I,0,1,2,2
34,15.5,60.0,10.0,0.125,15.0,16.0,I,0,1,2,2
35,15.625,57.0,7.0,0.125,15.0,16.0,I,0,1,2,2
36,15.75,59.0,9.0,0.125,15.0,16.0,I,0,1,2,2
37,15.875,60.0,10.0,0.125,15.0,16.0,I,0,1,2,2
38,16.0,57.0,7.0,0.125,15.0,16.0,I,0,1,2,2
39,16.125,55.0,5.0,0.375,16.0,18.0,V,7,5,2,9
40,16.5,57.0,7.0,0.75,16.0,18.0,V,7,5,2,9
41,17.25,50.0,0.0,0.125,16.0,18.0,V,7,5,2,9
42,17.375,50.0,0.0,0.125,16.0,18.0,V,7,5,2,9
43,17.5,54.0,4.0,0.125,16.0,18.0,V,7,5,2,9
44,17.625,50.0,0.0,0.125,16.0,18.0,V,7,5,2,9
45,17.75,53.0,3.0,0.125,16.0,18.0,V,7,5,2,9
46,17.875,53.0,3.0,0.125,16.0,18.0,V,7,5,2,9
47,18.0,50.0,0.0,1.125,16.0,18.0,V,7,5,2,9
48,19.125,53.0,3.0,0.125,19.0,20.5,I,0,1,2,2
49,19.25,52.0,2.0,0.125,19.0,20.5,I,0,1,2,2
50,19.375,50.0,0.0,0.125,19.0,20.5,I,0,1,2,2
51,19.5,57.0,7.0,0.25,19.0,20.5,I,0,1,2,2
52,19.75,57.0,7.0,0.25,19.0,20.5,I,0,1,2,2
53,20.0,57.0,7.0,0.125,19.0,20.5,I,0,1,2,2
54,20.125,50.0,0.0,1.0,19.0,20.5,I,0,1,2,2
55,21.125,52.0,2.0,0.125,21.0,22.5,I,0,1,2,2
56,21.25,50.0,0.0,0.125,21.0,22.5,I,0,1,2,2
57,21.375,50.0,0.0,0.125,21.0,22.5,I,0,1,2,2
58,21.5,53.0,3.0,0.125,21.0,22.5,I,0,1,2,2
59,21.625,50.0,0.0,0.125,21.0,22.5,I,0,1,2,2
60,21.75,53.0,3.0,0.125,21.0,22.5,I,0,1,2,2
61,21.875,53.0,3.0,0.125,21.0,22.5,I,0,1,2,2
62,22.0,50.0,0.0,0.125,21.0,22.5,I,0,1,2,2
63,22.125,48.0,10.0,1.0,21.0,22.5,I,0,1,2,2
64,23.125,57.0,7.0,0.125,23.0,24.0,I,0,1,2,2
65,23.25,57.0,7.0,0.125,23.0,24.0,I,0,1,2,2
