,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.25,62.0,4.0,0.125,3.5,6.0,I,0,1,10,10
1,4.375,62.0,4.0,0.125,3.5,6.0,I,0,1,10,10
2,4.5,63.0,5.0,0.125,3.5,6.0,I,0,1,10,10
3,4.625,62.0,4.0,0.25,3.5,6.0,I,0,1,10,10
4,4.875,58.0,0.0,0.375,3.5,6.0,I,0,1,10,10
5,5.25,53.0,7.0,0.125,3.5,6.0,I,0,1,10,10
6,5.375,55.0,9.0,0.125,3.5,6.0,I,0,1,10,10
7,5.5,60.0,2.0,0.125,3.5,6.0,I,0,1,10,10
8,5.625,58.0,0.0,0.3129999999999997,3.5,6.0,I,0,1,10,10
9,5.938,56.0,10.0,0.5620000000000003,3.5,6.0,I,0,1,10,10
10,6.5,56.0,10.0,0.1879999999999997,6.0,8.0,v,7,5,10,5
11,6.688,58.0,0.0,0.1870000000000002,6.0,8.0,v,7,5,10,5
12,6.875,60.0,2.0,0.125,6.0,8.0,v,7,5,10,5
13,7.0,53.0,7.0,1.5,6.0,8.0,v,7,5,10,5
14,8.5,56.0,10.0,0.1880000000000006,8.0,10.0,V7/ii,9,6,10,7
15,8.688,58.0,0.0,0.1869999999999994,8.0,10.0,V7/ii,9,6,10,7
16,8.875,59.0,1.0,0.125,8.0,10.0,V7/ii,9,6,10,7
17,9.0,53.0,7.0,0.875,8.0,10.0,V7/ii,9,6,10,7
18,9.875,53.0,7.0,0.125,8.0,10.0,V7/ii,9,6,10,7
19,10.0,65.0,7.0,0.25,8.0,10.0,V7/ii,9,6,10,7
20,10.25,63.0,5.0,0.25,10.0,11.0,IV,5,4,10,3
21,10.5,62.0,4.0,0.25,10.0,11.0,IV,5,4,10,3
22,10.75,60.0,2.0,0.25,10.0,11.0,IV,5,4,10,3
23,11.0,59.0,1.0,0.0619999999999993,10.0,11.0,IV,5,4,10,3
24,11.062,60.0,2.0,0.0630000000000006,11.0,12.0,V/ii,9,6,10,7
25,11.125,62.0,4.0,0.875,11.0,12.0,V/ii,9,6,10,7
26,12.0,62.0,4.0,0.1669999999999998,11.0,12.0,V/ii,9,6,10,7
27,12.167,58.0,0.0,0.1660000000000003,12.0,13.0,IV,5,4,10,3
28,12.333,55.0,9.0,0.1669999999999998,12.0,13.0,IV,5,4,10,3
29,12.5,62.0,4.0,0.1669999999999998,12.0,13.0,IV,5,4,10,3
30,12.667,58.0,0.0,0.1660000000000003,12.0,13.0,IV,5,4,10,3
31,12.833,53.0,7.0,0.1669999999999998,12.0,13.0,IV,5,4,10,3
32,13.0,60.0,2.0,0.125,12.0,13.0,IV,5,4,10,3
33,13.125,58.0,0.0,0.875,13.0,14.0,I,0,1,10,10
34,14.0,60.0,2.0,0.1880000000000006,13.0,14.0,I,0,1,10,10
35,14.188,60.0,2.0,0.1869999999999994,14.0,16.0,V,7,5,10,5
36,14.375,60.0,2.0,0.125,14.0,16.0,V,7,5,10,5
37,14.5,60.0,2.0,0.1880000000000006,14.0,16.0,V,7,5,10,5
38,14.688,60.0,2.0,0.1869999999999994,14.0,16.0,V,7,5,10,5
39,14.875,60.0,2.0,0.125,14.0,16.0,V,7,5,10,5
40,15.0,60.0,2.0,0.375,14.0,16.0,V,7,5,10,5
41,15.375,60.0,2.0,0.75,14.0,16.0,V,7,5,10,5
42,16.125,58.0,0.0,0.125,16.0,16.5,vi,9,6,10,7
43,16.25,58.0,0.0,0.125,16.0,16.5,vi,9,6,10,7
44,16.375,58.0,0.0,0.125,16.0,16.5,vi,9,6,10,7
45,16.5,62.0,4.0,0.125,16.0,16.5,vi,9,6,10,7
46,16.625,60.0,2.0,0.125,16.5,17.0,iii6,4,3,10,2
