,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,2.375,59.0,4.0,0.125,0.0,4.0,I,0,1,7,7
1,2.5,59.0,4.0,0.125,0.0,4.0,I,0,1,7,7
2,2.625,60.0,5.0,0.125,0.0,4.0,I,0,1,7,7
3,2.75,57.0,2.0,0.125,0.0,4.0,I,0,1,7,7
4,2.875,59.0,4.0,1.5,0.0,4.0,I,0,1,7,7
5,4.375,60.0,5.0,0.125,4.0,6.0,IV,5,4,7,0
6,4.5,60.0,5.0,0.125,4.0,6.0,IV,5,4,7,0
7,4.625,60.0,5.0,0.0629999999999997,4.0,6.0,IV,5,4,7,0
8,4.688,62.0,7.0,0.1870000000000002,4.0,6.0,IV,5,4,7,0
9,4.875,60.0,5.0,1.5,4.0,6.0,IV,5,4,7,0
10,6.375,62.0,7.0,0.125,6.0,7.0,V,7,5,7,2
11,6.5,62.0,7.0,0.125,6.0,7.0,V,7,5,7,2
12,6.625,62.0,7.0,0.25,6.0,7.0,V,7,5,7,2
13,6.875,62.0,7.0,0.0629999999999997,6.0,7.0,V,7,5,7,2
14,6.938,60.0,5.0,0.1870000000000002,6.0,7.0,V,7,5,7,2
15,7.125,60.0,5.0,0.25,7.0,8.0,IV,5,4,7,0
16,7.375,60.0,5.0,0.25,7.0,8.0,IV,5,4,7,0
17,7.625,60.0,5.0,0.0629999999999997,7.0,8.0,IV,5,4,7,0
18,7.688,62.0,7.0,0.1870000000000002,7.0,8.0,IV,5,4,7,0
19,7.875,60.0,5.0,0.125,7.0,8.0,IV,5,4,7,0
20,8.0,59.0,4.0,0.1880000000000006,7.0,8.0,IV,5,4,7,0
21,8.188,59.0,4.0,0.0619999999999993,8.0,12.0,I,0,1,7,7
22,8.25,57.0,2.0,0.125,8.0,12.0,I,0,1,7,7
23,8.375,59.0,4.0,0.0630000000000006,8.0,12.0,I,0,1,7,7
24,8.438,57.0,2.0,0.0619999999999993,8.0,12.0,I,0,1,7,7
