,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,14.125,67.0,3.0,0.125,2.0,15.5,i,0,1,4,4
1,14.25,67.0,3.0,0.125,2.0,15.5,i,0,1,4,4
2,14.375,67.0,3.0,0.125,2.0,15.5,i,0,1,4,4
3,14.5,67.0,3.0,0.375,2.0,15.5,i,0,1,4,4
4,14.875,59.0,7.0,0.125,2.0,15.5,i,0,1,4,4
5,15.0,62.0,10.0,0.0619999999999993,2.0,15.5,i,0,1,4,4
6,15.062,62.0,10.0,0.0630000000000006,2.0,15.5,i,0,1,4,4
7,15.125,62.0,10.0,0.125,2.0,15.5,i,0,1,4,4
8,15.25,62.0,10.0,0.125,2.0,15.5,i,0,1,4,4
9,15.375,64.0,0.0,0.75,2.0,15.5,i,0,1,4,4
10,16.125,62.0,10.0,0.0629999999999988,16.0,17.5,i,0,1,4,4
11,16.188,62.0,10.0,0.1870000000000011,16.0,17.5,i,0,1,4,4
12,16.375,62.0,10.0,0.125,16.0,17.5,i,0,1,4,4
13,16.5,62.0,10.0,0.125,16.0,17.5,i,0,1,4,4
14,16.625,64.0,0.0,0.25,16.0,17.5,i,0,1,4,4
15,16.875,64.0,0.0,0.125,16.0,17.5,i,0,1,4,4
16,17.0,62.0,10.0,0.125,16.0,17.5,i,0,1,4,4
17,17.125,58.0,6.0,0.125,16.0,17.5,i,0,1,4,4
18,17.25,57.0,5.0,0.125,16.0,17.5,i,0,1,4,4
19,17.375,57.0,5.0,0.125,16.0,17.5,i,0,1,4,4
20,17.5,55.0,3.0,0.625,16.0,17.5,i,0,1,4,4
21,18.125,62.0,10.0,0.125,18.0,19.5,i,0,1,4,4
22,18.25,62.0,10.0,0.125,18.0,19.5,i,0,1,4,4
23,18.375,62.0,10.0,0.125,18.0,19.5,i,0,1,4,4
24,18.5,62.0,10.0,0.125,18.0,19.5,i,0,1,4,4
25,18.625,64.0,0.0,0.25,18.0,19.5,i,0,1,4,4
26,18.875,64.0,0.0,0.125,18.0,19.5,i,0,1,4,4
27,19.0,62.0,10.0,0.125,18.0,19.5,i,0,1,4,4
28,19.125,59.0,7.0,0.0629999999999988,18.0,19.5,i,0,1,4,4
29,19.188,57.0,5.0,0.0620000000000011,18.0,19.5,i,0,1,4,4
30,19.25,57.0,5.0,0.125,18.0,19.5,i,0,1,4,4
31,19.375,57.0,5.0,0.125,18.0,19.5,i,0,1,4,4
32,19.5,55.0,3.0,0.625,18.0,19.5,i,0,1,4,4
33,20.125,62.0,10.0,0.0629999999999988,20.0,21.5,i,0,1,4,4
34,20.188,62.0,10.0,0.0620000000000011,20.0,21.5,i,0,1,4,4
35,20.25,62.0,10.0,0.125,20.0,21.5,i,0,1,4,4
36,20.375,62.0,10.0,0.125,20.0,21.5,i,0,1,4,4
37,20.5,64.0,0.0,0.25,20.0,21.5,i,0,1,4,4
38,20.75,64.0,0.0,0.125,20.0,21.5,i,0,1,4,4
39,20.875,59.0,7.0,0.125,20.0,21.5,i,0,1,4,4
40,21.0,62.0,10.0,0.125,20.0,21.5,i,0,1,4,4
41,21.125,61.0,9.0,0.125,20.0,21.5,i,0,1,4,4
42,21.25,57.0,5.0,0.125,20.0,21.5,i,0,1,4,4
43,21.375,57.0,5.0,0.125,20.0,21.5,i,0,1,4,4
44,21.5,55.0,3.0,0.125,20.0,21.5,i,0,1,4,4
45,21.625,62.0,10.0,0.125,21.5,21.75,bVII,10,7,4,2
46,21.75,64.0,0.0,0.0620000000000011,21.5,21.75,bVII,10,7,4,2
47,21.812,62.0,10.0,0.0629999999999988,21.75,22.0,IV,5,4,4,9
48,21.875,64.0,0.0,0.75,21.75,22.0,IV,5,4,4,9
49,22.625,60.0,8.0,0.125,22.0,23.0,bVI,8,6,4,0
50,22.75,62.0,10.0,0.125,22.0,23.0,bVI,8,6,4,0
51,22.875,64.0,0.0,0.25,22.0,23.0,bVI,8,6,4,0
52,23.125,62.0,10.0,0.125,23.0,24.0,bIII,3,3,4,7
53,23.25,57.0,5.0,0.125,23.0,24.0,bIII,3,3,4,7
54,23.375,55.0,3.0,0.5,23.0,24.0,bIII,3,3,4,7
55,23.875,65.0,1.0,0.1870000000000011,23.0,24.0,bIII,3,3,4,7
