,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,1.667,71.0,2.0,0.25,1.5,2.0,V,7,5,9,4
1,1.917,72.0,3.0,0.0829999999999999,1.5,2.0,V,7,5,9,4
2,2.0,71.0,2.0,0.1669999999999998,1.5,2.0,V,7,5,9,4
3,2.167,69.0,0.0,0.0830000000000001,2.0,4.0,IV,5,4,9,2
4,2.25,69.0,0.0,0.1669999999999998,2.0,4.0,IV,5,4,9,2
5,2.417,66.0,9.0,0.0830000000000001,2.0,4.0,IV,5,4,9,2
6,2.5,69.0,0.0,0.4169999999999998,2.0,4.0,IV,5,4,9,2
7,2.917,69.0,0.0,0.0830000000000001,2.0,4.0,IV,5,4,9,2
8,3.0,69.0,0.0,0.1669999999999998,2.0,4.0,IV,5,4,9,2
9,3.167,69.0,0.0,0.25,2.0,4.0,IV,5,4,9,2
10,3.417,69.0,0.0,0.0830000000000001,2.0,4.0,IV,5,4,9,2
11,3.5,72.0,3.0,0.1669999999999998,2.0,4.0,IV,5,4,9,2
12,3.667,72.0,3.0,0.1660000000000003,2.0,4.0,IV,5,4,9,2
13,3.833,72.0,3.0,0.1669999999999998,2.0,4.0,IV,5,4,9,2
14,4.0,71.0,2.0,0.1669999999999998,2.0,4.0,IV,5,4,9,2
15,4.167,69.0,0.0,0.0830000000000001,4.0,6.0,I,0,1,9,9
16,4.25,69.0,0.0,0.1669999999999998,4.0,6.0,I,0,1,9,9
17,4.417,66.0,9.0,0.0830000000000001,4.0,6.0,I,0,1,9,9
18,4.5,69.0,0.0,0.4169999999999998,4.0,6.0,I,0,1,9,9
19,4.917,69.0,0.0,0.0830000000000001,4.0,6.0,I,0,1,9,9
20,5.0,69.0,0.0,0.1669999999999998,4.0,6.0,I,0,1,9,9
21,5.167,69.0,0.0,0.25,4.0,6.0,I,0,1,9,9
22,5.417,69.0,0.0,0.0830000000000001,4.0,6.0,I,0,1,9,9
23,5.5,72.0,3.0,0.1669999999999998,4.0,6.0,I,0,1,9,9
24,5.667,72.0,3.0,0.25,4.0,6.0,I,0,1,9,9
25,5.917,72.0,3.0,0.0830000000000001,4.0,6.0,I,0,1,9,9
26,6.0,71.0,2.0,0.1669999999999998,4.0,6.0,I,0,1,9,9
27,6.167,69.0,0.0,0.0830000000000001,6.0,8.0,IV,5,4,9,2
28,6.25,69.0,0.0,0.1669999999999998,6.0,8.0,IV,5,4,9,2
29,6.417,66.0,9.0,0.0830000000000001,6.0,8.0,IV,5,4,9,2
30,6.5,69.0,0.0,0.4169999999999998,6.0,8.0,IV,5,4,9,2
31,6.917,69.0,0.0,0.0830000000000001,6.0,8.0,IV,5,4,9,2
32,7.0,69.0,0.0,0.1669999999999998,6.0,8.0,IV,5,4,9,2
33,7.167,69.0,0.0,0.0830000000000001,6.0,8.0,IV,5,4,9,2
34,7.25,69.0,0.0,0.1669999999999998,6.0,8.0,IV,5,4,9,2
35,7.417,69.0,0.0,0.0830000000000001,6.0,8.0,IV,5,4,9,2
36,7.5,71.0,2.0,0.1669999999999998,6.0,8.0,IV,5,4,9,2
37,7.667,69.0,0.0,0.3330000000000002,6.0,8.0,IV,5,4,9,2
38,8.0,72.0,3.0,0.1669999999999998,6.0,8.0,IV,5,4,9,2
39,8.167,72.0,3.0,0.0830000000000001,8.0,9.0,I,0,1,9,9
40,8.25,71.0,2.0,0.1669999999999998,8.0,9.0,I,0,1,9,9
41,8.417,72.0,3.0,0.0830000000000001,8.0,9.0,I,0,1,9,9
42,8.5,69.0,0.0,0.1669999999999998,8.0,9.0,I,0,1,9,9
43,8.667,66.0,9.0,0.25,8.0,9.0,I,0,1,9,9
44,8.917,64.0,7.0,0.25,8.0,9.0,I,0,1,9,9
45,9.167,68.0,11.0,0.0830000000000001,9.0,9.5,V,7,5,9,4
46,9.25,68.0,11.0,0.1669999999999998,9.0,9.5,V,7,5,9,4
47,9.417,69.0,0.0,0.25,9.0,9.5,V,7,5,9,4
48,9.667,69.0,0.0,0.25,9.5,10.0,I,0,1,9,9
49,9.917,69.0,0.0,0.0830000000000001,9.5,10.0,I,0,1,9,9
50,10.0,71.0,2.0,0.1669999999999998,9.5,10.0,I,0,1,9,9
51,10.167,71.0,2.0,0.0830000000000001,10.0,11.0,IV,5,4,9,2
52,10.25,69.0,0.0,0.1669999999999998,10.0,11.0,IV,5,4,9,2
53,10.417,66.0,9.0,0.0830000000000001,10.0,11.0,IV,5,4,9,2
54,10.5,69.0,0.0,0.1669999999999998,10.0,11.0,IV,5,4,9,2
55,10.667,69.0,0.0,0.0830000000000001,10.0,11.0,IV,5,4,9,2
56,10.75,71.0,2.0,0.1669999999999998,10.0,11.0,IV,5,4,9,2
57,10.917,69.0,0.0,0.25,10.0,11.0,IV,5,4,9,2
58,11.167,72.0,3.0,0.0830000000000001,11.0,12.0,I,0,1,9,9
59,11.25,69.0,0.0,0.1669999999999998,11.0,12.0,I,0,1,9,9
60,11.417,66.0,9.0,0.0830000000000001,11.0,12.0,I,0,1,9,9
61,11.5,69.0,0.0,0.1669999999999998,11.0,12.0,I,0,1,9,9
62,11.667,69.0,0.0,0.25,11.0,12.0,I,0,1,9,9
63,11.917,69.0,0.0,0.0830000000000001,11.0,12.0,I,0,1,9,9
64,12.0,71.0,2.0,0.1669999999999998,11.0,12.0,I,0,1,9,9
65,12.167,69.0,0.0,0.0830000000000001,12.0,13.0,IV,5,4,9,2
66,12.25,69.0,0.0,0.1669999999999998,12.0,13.0,IV,5,4,9,2
67,12.417,66.0,9.0,0.0830000000000001,12.0,13.0,IV,5,4,9,2
68,12.5,69.0,0.0,0.1669999999999998,12.0,13.0,IV,5,4,9,2
69,12.667,69.0,0.0,0.0830000000000001,12.0,13.0,IV,5,4,9,2
70,12.75,71.0,2.0,0.1669999999999998,12.0,13.0,IV,5,4,9,2
71,12.917,69.0,0.0,0.25,12.0,13.0,IV,5,4,9,2
72,13.167,72.0,3.0,0.0830000000000001,13.0,14.0,I,0,1,9,9
73,13.25,71.0,2.0,0.1669999999999998,13.0,14.0,I,0,1,9,9
74,13.417,69.0,0.0,0.25,13.0,14.0,I,0,1,9,9
75,13.667,71.0,2.0,0.0830000000000001,13.0,14.0,I,0,1,9,9
76,13.75,69.0,0.0,0.1669999999999998,13.0,14.0,I,0,1,9,9
77,13.917,69.0,0.0,0.25,13.0,14.0,I,0,1,9,9
78,14.167,71.0,2.0,0.0830000000000001,14.0,15.0,IV,5,4,9,2
79,14.25,69.0,0.0,0.1669999999999998,14.0,15.0,IV,5,4,9,2
80,14.417,66.0,9.0,0.0830000000000001,14.0,15.0,IV,5,4,9,2
81,14.5,69.0,0.0,0.1669999999999998,14.0,15.0,IV,5,4,9,2
82,14.667,69.0,0.0,0.0830000000000001,14.0,15.0,IV,5,4,9,2
83,14.75,71.0,2.0,0.1669999999999998,14.0,15.0,IV,5,4,9,2
84,14.917,69.0,0.0,0.25,14.0,15.0,IV,5,4,9,2
85,15.167,72.0,3.0,0.0830000000000001,15.0,16.0,I,0,1,9,9
86,15.25,69.0,0.0,0.1669999999999998,15.0,16.0,I,0,1,9,9
87,15.417,66.0,9.0,0.0830000000000001,15.0,16.0,I,0,1,9,9
88,15.5,69.0,0.0,0.1669999999999998,15.0,16.0,I,0,1,9,9
89,15.667,69.0,0.0,0.0830000000000001,15.0,16.0,I,0,1,9,9
90,15.75,71.0,2.0,0.1669999999999998,15.0,16.0,I,0,1,9,9
91,15.917,69.0,0.0,0.0830000000000001,15.0,16.0,I,0,1,9,9
92,16.0,71.0,2.0,0.25,15.0,16.0,I,0,1,9,9
93,16.25,71.0,2.0,0.25,16.0,17.0,V/V,2,2,9,11
94,16.5,71.0,2.0,0.25,16.0,17.0,V/V,2,2,9,11
95,16.75,71.0,2.0,0.25,16.0,17.0,V/V,2,2,9,11
96,17.0,64.0,7.0,0.25,16.0,17.0,V/V,2,2,9,11
97,17.25,64.0,7.0,0.25,17.0,18.0,V,7,5,9,4
98,17.5,64.0,7.0,0.25,17.0,18.0,V,7,5,9,4
99,17.75,71.0,2.0,0.1670000000000016,17.0,18.0,V,7,5,9,4
100,17.917,72.0,3.0,0.0829999999999984,17.0,18.0,V,7,5,9,4
101,18.0,71.0,2.0,0.1670000000000016,17.0,18.0,V,7,5,9,4
102,18.167,69.0,0.0,0.0829999999999984,18.0,20.0,IV,5,4,9,2
103,18.25,69.0,0.0,0.1670000000000016,18.0,20.0,IV,5,4,9,2
104,18.417,66.0,9.0,0.0829999999999984,18.0,20.0,IV,5,4,9,2
105,18.5,69.0,0.0,0.4170000000000016,18.0,20.0,IV,5,4,9,2
106,18.917,69.0,0.0,0.0829999999999984,18.0,20.0,IV,5,4,9,2
107,19.0,69.0,0.0,0.1670000000000016,18.0,20.0,IV,5,4,9,2
108,19.167,69.0,0.0,0.25,18.0,20.0,IV,5,4,9,2
109,19.417,69.0,0.0,0.0829999999999984,18.0,20.0,IV,5,4,9,2
110,19.5,72.0,3.0,0.1670000000000016,18.0,20.0,IV,5,4,9,2
111,19.667,72.0,3.0,0.0829999999999984,18.0,20.0,IV,5,4,9,2
112,19.75,72.0,3.0,0.1670000000000016,18.0,20.0,IV,5,4,9,2
113,19.917,72.0,3.0,0.0829999999999984,18.0,20.0,IV,5,4,9,2
114,20.0,71.0,2.0,0.1670000000000016,18.0,20.0,IV,5,4,9,2
115,20.167,69.0,0.0,0.0829999999999984,20.0,22.0,I,0,1,9,9
116,20.25,69.0,0.0,0.1670000000000016,20.0,22.0,I,0,1,9,9
117,20.417,66.0,9.0,0.0829999999999984,20.0,22.0,I,0,1,9,9
118,20.5,69.0,0.0,0.4170000000000016,20.0,22.0,I,0,1,9,9
119,20.917,69.0,0.0,0.0829999999999984,20.0,22.0,I,0,1,9,9
120,21.0,69.0,0.0,0.1670000000000016,20.0,22.0,I,0,1,9,9
121,21.167,69.0,0.0,0.25,20.0,22.0,I,0,1,9,9
122,21.417,69.0,0.0,0.0829999999999984,20.0,22.0,I,0,1,9,9
123,21.5,72.0,3.0,0.1670000000000016,20.0,22.0,I,0,1,9,9
124,21.667,72.0,3.0,0.25,20.0,22.0,I,0,1,9,9
125,21.917,72.0,3.0,0.0829999999999984,20.0,22.0,I,0,1,9,9
126,22.0,71.0,2.0,0.1670000000000016,20.0,22.0,I,0,1,9,9
127,22.167,69.0,0.0,0.0829999999999984,22.0,24.0,IV,5,4,9,2
128,22.25,69.0,0.0,0.1670000000000016,22.0,24.0,IV,5,4,9,2
129,22.417,66.0,9.0,0.0829999999999984,22.0,24.0,IV,5,4,9,2
130,22.5,69.0,0.0,0.4170000000000016,22.0,24.0,IV,5,4,9,2
131,22.917,69.0,0.0,0.0829999999999984,22.0,24.0,IV,5,4,9,2
132,23.0,69.0,0.0,0.1670000000000016,22.0,24.0,IV,5,4,9,2
133,23.167,69.0,0.0,0.0829999999999984,22.0,24.0,IV,5,4,9,2
134,23.25,69.0,0.0,0.1670000000000016,22.0,24.0,IV,5,4,9,2
135,23.417,69.0,0.0,0.0829999999999984,22.0,24.0,IV,5,4,9,2
136,23.5,71.0,2.0,0.1670000000000016,22.0,24.0,IV,5,4,9,2
137,23.667,69.0,0.0,0.3329999999999984,22.0,24.0,IV,5,4,9,2
138,24.0,72.0,3.0,0.1670000000000016,22.0,24.0,IV,5,4,9,2
139,24.167,72.0,3.0,0.0829999999999984,24.0,25.0,I,0,1,9,9
140,24.25,71.0,2.0,0.1670000000000016,24.0,25.0,I,0,1,9,9
141,24.417,72.0,3.0,0.0829999999999984,24.0,25.0,I,0,1,9,9
142,24.5,69.0,0.0,0.1670000000000016,24.0,25.0,I,0,1,9,9
143,24.667,66.0,9.0,0.25,24.0,25.0,I,0,1,9,9
144,24.917,64.0,7.0,0.25,24.0,25.0,I,0,1,9,9
145,25.167,68.0,11.0,0.0829999999999984,25.0,25.5,V,7,5,9,4
146,25.25,68.0,11.0,0.1670000000000016,25.0,25.5,V,7,5,9,4
147,25.417,69.0,0.0,12.25,25.0,25.5,V,7,5,9,4
148,37.667,72.0,3.0,0.3329999999999984,37.5,38.0,V,7,5,9,4
149,38.0,71.0,2.0,0.1670000000000016,37.5,38.0,V,7,5,9,4
150,38.167,69.0,0.0,0.0829999999999984,38.0,40.0,IV,5,4,9,2
151,38.25,69.0,0.0,0.1670000000000016,38.0,40.0,IV,5,4,9,2
152,38.417,66.0,9.0,0.0829999999999984,38.0,40.0,IV,5,4,9,2
153,38.5,69.0,0.0,0.4170000000000016,38.0,40.0,IV,5,4,9,2
154,38.917,69.0,0.0,0.0829999999999984,38.0,40.0,IV,5,4,9,2
155,39.0,69.0,0.0,0.1670000000000016,38.0,40.0,IV,5,4,9,2
