,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,8.25,59.0,4.0,0.125,7.5,8.5,I,0,1,7,7
1,8.375,62.0,7.0,0.125,7.5,8.5,I,0,1,7,7
2,8.5,64.0,9.0,0.25,7.5,8.5,I,0,1,7,7
3,8.75,59.0,4.0,0.125,8.5,9.5,IV,5,4,7,0
4,8.875,59.0,4.0,0.125,8.5,9.5,IV,5,4,7,0
5,9.0,59.0,4.0,0.25,8.5,9.5,IV,5,4,7,0
6,9.25,57.0,2.0,0.125,8.5,9.5,IV,5,4,7,0
7,9.375,57.0,2.0,0.125,8.5,9.5,IV,5,4,7,0
8,9.5,55.0,0.0,0.125,8.5,9.5,IV,5,4,7,0
9,9.625,57.0,2.0,0.125,9.5,10.0,V,7,5,7,2
10,9.75,59.0,4.0,0.125,9.5,10.0,V,7,5,7,2
11,9.875,57.0,2.0,0.125,9.5,10.0,V,7,5,7,2
12,10.0,55.0,0.0,0.125,9.5,10.0,V,7,5,7,2
13,10.125,57.0,2.0,0.125,10.0,10.5,I,0,1,7,7
14,10.25,57.0,2.0,0.125,10.0,10.5,I,0,1,7,7
15,10.375,57.0,2.0,0.125,10.0,10.5,I,0,1,7,7
16,10.5,57.0,2.0,0.125,10.0,10.5,I,0,1,7,7
17,10.625,55.0,0.0,0.25,10.5,11.5,IV,5,4,7,0
18,10.875,55.0,0.0,0.75,10.5,11.5,IV,5,4,7,0
19,11.625,67.0,0.0,0.125,11.5,12.5,I,0,1,7,7
20,11.75,67.0,0.0,0.125,11.5,12.5,I,0,1,7,7
21,11.875,67.0,0.0,0.125,11.5,12.5,I,0,1,7,7
22,12.0,67.0,0.0,0.125,11.5,12.5,I,0,1,7,7
23,12.125,66.0,11.0,0.125,11.5,12.5,I,0,1,7,7
24,12.25,64.0,9.0,0.125,11.5,12.5,I,0,1,7,7
25,12.375,66.0,11.0,0.0630000000000006,11.5,12.5,I,0,1,7,7
26,12.438,64.0,9.0,0.0619999999999993,11.5,12.5,I,0,1,7,7
27,12.5,62.0,7.0,0.0619999999999993,11.5,12.5,I,0,1,7,7
28,12.562,60.0,5.0,0.1880000000000006,12.5,13.5,IV,5,4,7,0
29,12.75,59.0,4.0,0.0619999999999993,12.5,13.5,IV,5,4,7,0
30,12.812,57.0,2.0,0.0630000000000006,12.5,13.5,IV,5,4,7,0
31,12.875,59.0,4.0,0.0310000000000005,12.5,13.5,IV,5,4,7,0
32,12.906,57.0,2.0,0.032,12.5,13.5,IV,5,4,7,0
33,12.938,55.0,0.0,0.1239999999999987,12.5,13.5,IV,5,4,7,0
34,13.062,57.0,2.0,0.1880000000000006,12.5,13.5,IV,5,4,7,0
35,13.25,57.0,2.0,0.125,12.5,13.5,IV,5,4,7,0
36,13.375,57.0,2.0,0.125,12.5,13.5,IV,5,4,7,0
37,13.5,55.0,0.0,0.125,12.5,13.5,IV,5,4,7,0
38,13.625,55.0,0.0,0.5,13.5,14.0,V,7,5,7,2
39,14.125,64.0,9.0,0.25,14.0,14.5,I,0,1,7,7
40,14.375,59.0,4.0,0.125,14.0,14.5,I,0,1,7,7
41,14.5,57.0,2.0,0.125,14.0,14.5,I,0,1,7,7
42,14.625,55.0,0.0,0.125,14.5,15.5,IV,5,4,7,0
43,14.75,55.0,0.0,0.125,14.5,15.5,IV,5,4,7,0
44,14.875,55.0,0.0,0.75,14.5,15.5,IV,5,4,7,0
45,15.625,62.0,7.0,0.125,15.5,16.5,I,0,1,7,7
46,15.75,64.0,9.0,0.125,15.5,16.5,I,0,1,7,7
47,15.875,62.0,7.0,0.125,15.5,16.5,I,0,1,7,7
48,16.0,67.0,0.0,0.375,15.5,16.5,I,0,1,7,7
49,16.375,64.0,9.0,0.125,15.5,16.5,I,0,1,7,7
50,16.5,67.0,0.0,0.1670000000000016,15.5,16.5,I,0,1,7,7
51,16.667,64.0,9.0,0.1659999999999968,16.5,17.5,IV,5,4,7,0
52,16.833,62.0,7.0,0.1670000000000016,16.5,17.5,IV,5,4,7,0
53,17.0,64.0,9.0,0.625,16.5,17.5,IV,5,4,7,0
54,17.625,62.0,7.0,0.125,17.5,18.0,V,7,5,7,2
55,17.75,64.0,9.0,0.125,17.5,18.0,V,7,5,7,2
56,17.875,62.0,7.0,0.125,17.5,18.0,V,7,5,7,2
57,18.0,69.0,2.0,0.25,17.5,18.0,V,7,5,7,2
58,18.25,67.0,0.0,0.25,18.0,18.5,I,0,1,7,7
59,18.5,67.0,0.0,0.1670000000000016,18.0,18.5,I,0,1,7,7
