,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.062,54.0,9.0,0.0630000000000001,2.0,3.5,I,0,1,9,9
1,3.125,57.0,0.0,0.125,2.0,3.5,I,0,1,9,9
2,3.25,57.0,0.0,0.125,2.0,3.5,I,0,1,9,9
3,3.375,57.0,0.0,0.0630000000000001,2.0,3.5,I,0,1,9,9
4,3.438,61.0,4.0,0.1239999999999996,2.0,3.5,I,0,1,9,9
5,3.562,61.0,4.0,0.0630000000000001,3.5,4.0,iii,4,3,9,1
6,3.625,61.0,4.0,0.25,3.5,4.0,iii,4,3,9,1
7,3.875,61.0,4.0,0.125,3.5,4.0,iii,4,3,9,1
8,4.0,59.0,2.0,0.0620000000000002,3.5,4.0,iii,4,3,9,1
9,4.062,57.0,0.0,0.0629999999999997,4.0,4.5,IV,5,4,9,2
10,4.125,57.0,0.0,0.125,4.0,4.5,IV,5,4,9,2
11,4.25,57.0,0.0,0.125,4.0,4.5,IV,5,4,9,2
12,4.375,57.0,0.0,0.125,4.0,4.5,IV,5,4,9,2
13,4.5,57.0,0.0,0.5620000000000003,4.0,4.5,IV,5,4,9,2
14,5.062,54.0,9.0,0.0629999999999997,4.5,5.5,I,0,1,9,9
15,5.125,57.0,0.0,0.125,4.5,5.5,I,0,1,9,9
16,5.25,57.0,0.0,0.125,4.5,5.5,I,0,1,9,9
17,5.375,57.0,0.0,0.0629999999999997,4.5,5.5,I,0,1,9,9
18,5.438,61.0,4.0,0.3740000000000005,4.5,5.5,I,0,1,9,9
19,5.812,61.0,4.0,0.1879999999999997,5.5,6.0,iii,4,3,9,1
20,6.0,59.0,2.0,0.125,5.5,6.0,iii,4,3,9,1
21,6.125,57.0,0.0,0.0629999999999997,6.0,6.5,IV,5,4,9,2
22,6.188,57.0,0.0,0.1240000000000005,6.0,6.5,IV,5,4,9,2
23,6.312,57.0,0.0,0.1259999999999994,6.0,6.5,IV,5,4,9,2
24,6.438,66.0,9.0,0.1240000000000005,6.0,6.5,IV,5,4,9,2
25,6.562,61.0,4.0,0.0629999999999997,6.5,7.5,I,0,1,9,9
26,6.625,64.0,7.0,0.5,6.5,7.5,I,0,1,9,9
27,7.125,66.0,9.0,0.125,6.5,7.5,I,0,1,9,9
28,7.25,66.0,9.0,0.0620000000000002,6.5,7.5,I,0,1,9,9
29,7.312,66.0,9.0,0.0629999999999997,6.5,7.5,I,0,1,9,9
30,7.375,66.0,9.0,0.0629999999999997,6.5,7.5,I,0,1,9,9
31,7.438,64.0,7.0,0.0620000000000002,6.5,7.5,I,0,1,9,9
32,7.5,66.0,9.0,0.125,6.5,7.5,I,0,1,9,9
33,7.625,61.0,4.0,0.1870000000000002,7.5,8.0,iii,4,3,9,1
34,7.812,61.0,4.0,0.1259999999999994,7.5,8.0,iii,4,3,9,1
35,7.938,59.0,2.0,0.0620000000000002,7.5,8.0,iii,4,3,9,1
36,8.0,59.0,2.0,0.125,7.5,8.0,iii,4,3,9,1
37,8.125,57.0,0.0,0.125,8.0,8.5,IV,5,4,9,2
38,8.25,57.0,0.0,0.125,8.0,8.5,IV,5,4,9,2
39,8.375,54.0,9.0,0.0630000000000006,8.0,8.5,IV,5,4,9,2
40,8.438,57.0,0.0,0.6239999999999988,8.0,8.5,IV,5,4,9,2
41,9.062,54.0,9.0,0.0630000000000006,8.5,9.5,I,0,1,9,9
42,9.125,57.0,0.0,0.125,8.5,9.5,I,0,1,9,9
43,9.25,57.0,0.0,0.1880000000000006,8.5,9.5,I,0,1,9,9
44,9.438,57.0,0.0,0.0619999999999993,8.5,9.5,I,0,1,9,9
45,9.5,61.0,4.0,0.125,8.5,9.5,I,0,1,9,9
46,9.625,61.0,4.0,0.0630000000000006,9.5,10.0,iii,4,3,9,1
47,9.688,61.0,4.0,0.3119999999999994,9.5,10.0,iii,4,3,9,1
48,10.0,59.0,2.0,0.0619999999999993,9.5,10.0,iii,4,3,9,1
49,10.062,57.0,0.0,0.0630000000000006,10.0,10.5,IV,5,4,9,2
50,10.125,57.0,0.0,0.0630000000000006,10.0,10.5,IV,5,4,9,2
51,10.188,57.0,0.0,0.1239999999999987,10.0,10.5,IV,5,4,9,2
