,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,36.125,64.0,0.0,0.375,36.0,40.0,I,0,1,4,4
1,36.5,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
2,36.625,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
3,36.75,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
4,36.875,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
5,37.0,67.0,3.0,0.125,36.0,40.0,I,0,1,4,4
6,37.125,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
7,37.25,62.0,10.0,0.125,36.0,40.0,I,0,1,4,4
8,37.375,64.0,0.0,0.875,36.0,40.0,I,0,1,4,4
9,38.25,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
10,38.375,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
11,38.5,67.0,3.0,0.125,36.0,40.0,I,0,1,4,4
12,38.625,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
13,38.75,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
14,38.875,64.0,0.0,0.125,36.0,40.0,I,0,1,4,4
15,39.0,67.0,3.0,0.125,36.0,40.0,I,0,1,4,4
16,39.125,64.0,0.0,0.25,36.0,40.0,I,0,1,4,4
17,39.375,64.0,0.0,0.25,36.0,40.0,I,0,1,4,4
18,39.625,62.0,10.0,0.25,36.0,40.0,I,0,1,4,4
19,39.875,59.0,7.0,0.125,36.0,40.0,I,0,1,4,4
20,40.0,57.0,5.0,0.125,36.0,40.0,I,0,1,4,4
21,40.125,55.0,3.0,0.125,40.0,42.0,IV,5,4,4,9
22,40.25,57.0,5.0,1.375,40.0,42.0,IV,5,4,4,9
23,41.625,64.0,0.0,0.125,40.0,42.0,IV,5,4,4,9
24,41.75,59.0,7.0,0.25,40.0,42.0,IV,5,4,4,9
25,42.0,64.0,0.0,1.625,40.0,42.0,IV,5,4,4,9
26,43.625,64.0,0.0,0.25,42.0,44.0,I,0,1,4,4
27,43.875,59.0,7.0,0.125,42.0,44.0,I,0,1,4,4
28,44.0,62.0,10.0,4.25,42.0,44.0,I,0,1,4,4
29,48.25,64.0,0.0,0.125,48.0,52.0,I,0,1,4,4
30,48.375,62.0,10.0,0.125,48.0,52.0,I,0,1,4,4
31,48.5,64.0,0.0,0.25,48.0,52.0,I,0,1,4,4
32,48.75,64.0,0.0,0.125,48.0,52.0,I,0,1,4,4
33,48.875,62.0,10.0,0.125,48.0,52.0,I,0,1,4,4
34,49.0,64.0,0.0,0.125,48.0,52.0,I,0,1,4,4
35,49.125,62.0,10.0,0.125,48.0,52.0,I,0,1,4,4
36,49.25,64.0,0.0,1.0,48.0,52.0,I,0,1,4,4
37,50.25,64.0,0.0,0.125,48.0,52.0,I,0,1,4,4
38,50.375,67.0,3.0,0.25,48.0,52.0,I,0,1,4,4
39,50.625,67.0,3.0,0.125,48.0,52.0,I,0,1,4,4
40,50.75,64.0,0.0,0.25,48.0,52.0,I,0,1,4,4
41,51.0,68.0,4.0,0.125,48.0,52.0,I,0,1,4,4
42,51.125,64.0,0.0,0.25,48.0,52.0,I,0,1,4,4
43,51.375,64.0,0.0,0.25,48.0,52.0,I,0,1,4,4
44,51.625,62.0,10.0,0.25,48.0,52.0,I,0,1,4,4
45,51.875,58.0,6.0,0.25,48.0,52.0,I,0,1,4,4
46,52.125,57.0,5.0,0.25,52.0,54.0,IV,5,4,4,9
47,52.375,55.0,3.0,0.25,52.0,54.0,IV,5,4,4,9
48,52.625,52.0,0.0,1.0,52.0,54.0,IV,5,4,4,9
49,53.625,64.0,0.0,0.125,52.0,54.0,IV,5,4,4,9
50,53.75,59.0,7.0,0.25,52.0,54.0,IV,5,4,4,9
51,54.0,64.0,0.0,1.625,52.0,54.0,IV,5,4,4,9
52,55.625,64.0,0.0,0.25,54.0,56.0,I,0,1,4,4
53,55.875,59.0,7.0,0.125,54.0,56.0,I,0,1,4,4
54,56.0,62.0,10.0,4.25,54.0,56.0,I,0,1,4,4
55,60.25,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
56,60.375,62.0,10.0,0.125,60.0,64.0,I,0,1,4,4
57,60.5,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
58,60.625,64.0,0.0,0.625,60.0,64.0,I,0,1,4,4
59,61.25,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
60,61.375,62.0,10.0,0.125,60.0,64.0,I,0,1,4,4
61,61.5,64.0,0.0,0.625,60.0,64.0,I,0,1,4,4
62,62.125,62.0,10.0,0.125,60.0,64.0,I,0,1,4,4
63,62.25,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
64,62.375,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
65,62.5,67.0,3.0,0.125,60.0,64.0,I,0,1,4,4
66,62.625,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
67,62.75,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
68,62.875,64.0,0.0,0.125,60.0,64.0,I,0,1,4,4
69,63.0,67.0,3.0,0.125,60.0,64.0,I,0,1,4,4
70,63.125,64.0,0.0,0.25,60.0,64.0,I,0,1,4,4
71,63.375,64.0,0.0,0.25,60.0,64.0,I,0,1,4,4
72,63.625,62.0,10.0,0.25,60.0,64.0,I,0,1,4,4
73,63.875,57.0,5.0,0.5,60.0,64.0,I,0,1,4,4
74,64.375,55.0,3.0,0.25,64.0,66.0,IV,5,4,4,9
75,64.625,52.0,0.0,0.75,64.0,66.0,IV,5,4,4,9
76,65.375,59.0,7.0,0.125,64.0,66.0,IV,5,4,4,9
77,65.5,64.0,0.0,0.125,64.0,66.0,IV,5,4,4,9
78,65.625,64.0,0.0,0.125,64.0,66.0,IV,5,4,4,9
79,65.75,59.0,7.0,0.125,64.0,66.0,IV,5,4,4,9
80,65.875,64.0,0.0,1.625,64.0,66.0,IV,5,4,4,9
81,67.5,64.0,0.0,0.125,66.0,68.0,I,0,1,4,4
82,67.625,64.0,0.0,0.125,66.0,68.0,I,0,1,4,4
83,67.75,59.0,7.0,0.125,66.0,68.0,I,0,1,4,4
84,67.875,62.0,10.0,16.375,66.0,68.0,I,0,1,4,4
85,84.25,64.0,0.0,0.125,84.0,88.0,I,0,1,4,4
86,84.375,64.0,0.0,0.125,84.0,88.0,I,0,1,4,4
87,84.5,67.0,3.0,0.125,84.0,88.0,I,0,1,4,4
88,84.625,64.0,0.0,0.125,84.0,88.0,I,0,1,4,4
89,84.75,64.0,0.0,0.25,84.0,88.0,I,0,1,4,4
90,85.0,67.0,3.0,0.125,84.0,88.0,I,0,1,4,4
91,85.125,62.0,10.0,0.125,84.0,88.0,I,0,1,4,4
92,85.25,64.0,0.0,1.0,84.0,88.0,I,0,1,4,4
93,86.25,64.0,0.0,0.125,84.0,88.0,I,0,1,4,4
94,86.375,67.0,3.0,0.25,84.0,88.0,I,0,1,4,4
95,86.625,69.0,5.0,0.125,84.0,88.0,I,0,1,4,4
96,86.75,67.0,3.0,0.25,84.0,88.0,I,0,1,4,4
97,87.0,70.0,6.0,0.125,84.0,88.0,I,0,1,4,4
98,87.125,70.0,6.0,0.125,84.0,88.0,I,0,1,4,4
99,87.25,69.0,5.0,0.25,84.0,88.0,I,0,1,4,4
100,87.5,67.0,3.0,0.125,84.0,88.0,I,0,1,4,4
101,87.625,64.0,0.0,0.25,84.0,88.0,I,0,1,4,4
102,87.875,57.0,5.0,1.75,84.0,88.0,I,0,1,4,4
103,89.625,64.0,0.0,0.125,88.0,90.0,IV,5,4,4,9
104,89.75,59.0,7.0,0.25,88.0,90.0,IV,5,4,4,9
105,90.0,64.0,0.0,1.625,88.0,90.0,IV,5,4,4,9
106,91.625,64.0,0.0,0.25,90.0,92.0,I,0,1,4,4
107,91.875,59.0,7.0,0.125,90.0,92.0,I,0,1,4,4
108,92.0,62.0,10.0,4.25,90.0,92.0,I,0,1,4,4
109,96.25,64.0,0.0,0.125,96.0,100.0,I,0,1,4,4
110,96.375,62.0,10.0,0.125,96.0,100.0,I,0,1,4,4
111,96.5,64.0,0.0,0.25,96.0,100.0,I,0,1,4,4
112,96.75,64.0,0.0,0.125,96.0,100.0,I,0,1,4,4
113,96.875,64.0,0.0,0.125,96.0,100.0,I,0,1,4,4
114,97.0,67.0,3.0,0.125,96.0,100.0,I,0,1,4,4
115,97.125,64.0,0.0,0.25,96.0,100.0,I,0,1,4,4
116,97.375,64.0,0.0,0.875,96.0,100.0,I,0,1,4,4
117,98.25,64.0,0.0,0.125,96.0,100.0,I,0,1,4,4
118,98.375,64.0,0.0,0.125,96.0,100.0,I,0,1,4,4
119,98.5,67.0,3.0,0.125,96.0,100.0,I,0,1,4,4
120,98.625,64.0,0.0,0.125,96.0,100.0,I,0,1,4,4
121,98.75,67.0,3.0,0.25,96.0,100.0,I,0,1,4,4
122,99.0,64.0,0.0,0.125,96.0,100.0,I,0,1,4,4
123,99.125,67.0,3.0,0.25,96.0,100.0,I,0,1,4,4
124,99.375,64.0,0.0,0.25,96.0,100.0,I,0,1,4,4
125,99.625,64.0,0.0,0.5,96.0,100.0,I,0,1,4,4
126,100.125,57.0,5.0,0.375,100.0,102.0,IV,5,4,4,9
127,100.5,52.0,0.0,1.0,100.0,102.0,IV,5,4,4,9
128,101.5,64.0,0.0,0.125,100.0,102.0,IV,5,4,4,9
129,101.625,64.0,0.0,0.25,100.0,102.0,IV,5,4,4,9
130,101.875,64.0,0.0,1.75,100.0,102.0,IV,5,4,4,9
131,103.625,64.0,0.0,0.25,102.0,104.0,I,0,1,4,4
132,103.875,59.0,7.0,0.125,102.0,104.0,I,0,1,4,4
133,104.0,62.0,10.0,2.5,102.0,104.0,I,0,1,4,4
134,106.5,64.0,0.0,0.75,106.0,107.25,I,0,1,4,4
