,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,19.625,51.0,7.0,0.125,2.0,138.0,I,0,1,8,8
1,19.75,53.0,9.0,0.25,2.0,138.0,I,0,1,8,8
2,20.0,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
3,20.125,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
4,20.25,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
5,20.375,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
6,20.5,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
7,20.625,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
8,20.75,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
9,20.875,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
10,21.125,53.0,9.0,0.5,2.0,138.0,I,0,1,8,8
11,21.625,51.0,7.0,0.125,2.0,138.0,I,0,1,8,8
12,21.75,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
13,21.875,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
14,22.0,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
15,22.25,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
16,22.375,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
17,22.625,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
18,22.75,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
19,22.875,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
20,23.125,53.0,9.0,0.5,2.0,138.0,I,0,1,8,8
21,23.625,51.0,7.0,0.125,2.0,138.0,I,0,1,8,8
22,23.75,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
23,23.875,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
24,24.0,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
25,24.25,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
26,24.5,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
27,24.75,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
28,24.875,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
29,25.0,56.0,0.0,0.375,2.0,138.0,I,0,1,8,8
30,25.375,53.0,9.0,0.625,2.0,138.0,I,0,1,8,8
31,26.0,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
32,26.25,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
33,26.375,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
34,26.5,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
35,26.75,53.0,9.0,0.25,2.0,138.0,I,0,1,8,8
36,27.0,51.0,7.0,0.625,2.0,138.0,I,0,1,8,8
37,27.625,51.0,7.0,0.125,2.0,138.0,I,0,1,8,8
38,27.75,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
39,27.875,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
40,28.0,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
41,28.25,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
42,28.5,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
43,28.75,53.0,9.0,0.25,2.0,138.0,I,0,1,8,8
44,29.0,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
45,29.125,53.0,9.0,0.25,2.0,138.0,I,0,1,8,8
46,29.375,53.0,9.0,0.625,2.0,138.0,I,0,1,8,8
47,30.0,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
48,30.125,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
49,30.25,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
50,30.375,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
51,30.5,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
52,30.75,54.0,10.0,0.25,2.0,138.0,I,0,1,8,8
53,31.0,56.0,0.0,0.75,2.0,138.0,I,0,1,8,8
54,31.75,53.0,9.0,0.25,2.0,138.0,I,0,1,8,8
55,32.0,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
56,32.125,56.0,0.0,0.375,2.0,138.0,I,0,1,8,8
57,32.5,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
58,32.625,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
59,32.75,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
60,32.875,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
61,33.0,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
62,33.125,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
63,33.375,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
64,33.5,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
65,33.75,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
66,33.875,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
67,34.0,59.0,3.0,0.125,2.0,138.0,I,0,1,8,8
68,34.125,59.0,3.0,0.25,2.0,138.0,I,0,1,8,8
69,34.375,59.0,3.0,0.25,2.0,138.0,I,0,1,8,8
70,34.625,56.0,0.0,0.25,2.0,138.0,I,0,1,8,8
71,34.875,53.0,9.0,0.125,2.0,138.0,I,0,1,8,8
72,35.0,51.0,7.0,1.0,2.0,138.0,I,0,1,8,8
73,36.0,59.0,3.0,0.5,2.0,138.0,I,0,1,8,8
74,36.5,58.0,2.0,0.25,2.0,138.0,I,0,1,8,8
75,36.75,56.0,0.0,0.125,2.0,138.0,I,0,1,8,8
