,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.688,71.0,7.0,0.1240000000000005,3.0,4.75,i,0,1,4,4
1,4.812,71.0,7.0,0.25,4.75,5.0,bVII,10,7,4,2
2,5.062,71.0,7.0,0.0629999999999997,5.0,5.75,i,0,1,4,4
3,5.125,69.0,5.0,0.125,5.0,5.75,i,0,1,4,4
4,5.25,67.0,3.0,0.0620000000000002,5.0,5.75,i,0,1,4,4
5,5.312,62.0,10.0,0.3759999999999994,5.0,5.75,i,0,1,4,4
6,5.688,64.0,0.0,0.0620000000000002,5.0,5.75,i,0,1,4,4
7,5.75,62.0,10.0,0.0620000000000002,5.0,5.75,i,0,1,4,4
8,5.812,64.0,0.0,0.0629999999999997,5.75,6.0,bVII,10,7,4,2
9,5.875,64.0,0.0,0.1870000000000002,5.75,6.0,bVII,10,7,4,2
10,6.062,67.0,3.0,0.1879999999999997,6.0,6.75,i,0,1,4,4
11,6.25,64.0,0.0,0.0620000000000002,6.0,6.75,i,0,1,4,4
12,6.312,62.0,10.0,0.3759999999999994,6.0,6.75,i,0,1,4,4
13,6.688,71.0,7.0,0.1240000000000005,6.0,6.75,i,0,1,4,4
14,6.812,71.0,7.0,0.0629999999999997,6.75,7.0,bVII,10,7,4,2
15,6.875,71.0,7.0,0.125,6.75,7.0,bVII,10,7,4,2
16,7.0,71.0,7.0,0.1879999999999997,6.75,7.0,bVII,10,7,4,2
17,7.188,69.0,5.0,0.1240000000000005,7.0,7.75,i,0,1,4,4
18,7.312,67.0,3.0,0.4379999999999997,7.0,7.75,i,0,1,4,4
19,7.75,64.0,0.0,0.125,7.0,7.75,i,0,1,4,4
20,7.875,64.0,0.0,0.125,7.75,8.0,bVII,10,7,4,2
21,8.0,67.0,3.0,0.0619999999999993,7.75,8.0,bVII,10,7,4,2
22,8.062,68.0,4.0,0.1260000000000012,8.0,8.75,i,0,1,4,4
23,8.188,64.0,0.0,0.0619999999999993,8.0,8.75,i,0,1,4,4
24,8.25,62.0,10.0,0.75,8.0,8.75,i,0,1,4,4
25,9.0,69.0,5.0,0.0619999999999993,8.75,9.0,bVII,10,7,4,2
26,9.062,71.0,7.0,0.1260000000000012,9.0,9.75,i,0,1,4,4
27,9.188,69.0,5.0,0.1869999999999994,9.0,9.75,i,0,1,4,4
28,9.375,67.0,3.0,0.125,9.0,9.75,i,0,1,4,4
29,9.5,64.0,0.0,0.0619999999999993,9.0,9.75,i,0,1,4,4
30,9.562,62.0,10.0,0.5,9.0,9.75,i,0,1,4,4
31,10.062,59.0,7.0,0.0630000000000006,10.0,10.75,i,0,1,4,4
32,10.125,64.0,0.0,0.0630000000000006,10.0,10.75,i,0,1,4,4
33,10.188,62.0,10.0,0.0619999999999993,10.0,10.75,i,0,1,4,4
34,10.25,64.0,0.0,0.1880000000000006,10.0,10.75,i,0,1,4,4
35,10.438,67.0,3.0,0.1869999999999994,10.0,10.75,i,0,1,4,4
36,10.625,62.0,10.0,0.4369999999999994,10.0,10.75,i,0,1,4,4
37,11.062,59.0,7.0,0.0630000000000006,11.0,11.75,i,0,1,4,4
38,11.125,71.0,7.0,0.0630000000000006,11.0,11.75,i,0,1,4,4
39,11.188,71.0,7.0,0.0619999999999993,11.0,11.75,i,0,1,4,4
40,11.25,69.0,5.0,0.0619999999999993,11.0,11.75,i,0,1,4,4
41,11.312,69.0,5.0,0.0630000000000006,11.0,11.75,i,0,1,4,4
42,11.375,71.0,7.0,0.125,11.0,11.75,i,0,1,4,4
43,11.5,69.0,5.0,0.0619999999999993,11.0,11.75,i,0,1,4,4
44,11.562,67.0,3.0,0.5,11.0,11.75,i,0,1,4,4
45,12.062,64.0,0.0,0.0630000000000006,12.0,12.75,i,0,1,4,4
46,12.125,71.0,7.0,0.0630000000000006,12.0,12.75,i,0,1,4,4
47,12.188,71.0,7.0,0.0619999999999993,12.0,12.75,i,0,1,4,4
48,12.25,69.0,5.0,0.0619999999999993,12.0,12.75,i,0,1,4,4
49,12.312,69.0,5.0,0.0630000000000006,12.0,12.75,i,0,1,4,4
50,12.375,71.0,7.0,0.125,12.0,12.75,i,0,1,4,4
51,12.5,69.0,5.0,0.125,12.0,12.75,i,0,1,4,4
52,12.625,67.0,3.0,0.375,12.0,12.75,i,0,1,4,4
53,13.0,71.0,7.0,0.625,12.75,13.0,bVII,10,7,4,2
54,13.625,62.0,10.0,0.0630000000000006,13.0,13.75,i,0,1,4,4
55,13.688,62.0,10.0,0.0619999999999993,13.0,13.75,i,0,1,4,4
56,13.75,62.0,10.0,0.0619999999999993,13.0,13.75,i,0,1,4,4
57,13.812,62.0,10.0,0.0630000000000006,13.75,14.0,bVII,10,7,4,2
58,13.875,62.0,10.0,0.0630000000000006,13.75,14.0,bVII,10,7,4,2
59,13.938,62.0,10.0,0.0619999999999993,13.75,14.0,bVII,10,7,4,2
60,14.0,64.0,0.0,0.625,13.75,14.0,bVII,10,7,4,2
61,14.625,62.0,10.0,0.0630000000000006,14.0,14.75,i,0,1,4,4
62,14.688,62.0,10.0,0.0619999999999993,14.0,14.75,i,0,1,4,4
63,14.75,62.0,10.0,0.0619999999999993,14.0,14.75,i,0,1,4,4
64,14.812,62.0,10.0,0.0630000000000006,14.75,15.0,bVII,10,7,4,2
65,14.875,62.0,10.0,0.0630000000000006,14.75,15.0,bVII,10,7,4,2
66,14.938,62.0,10.0,0.0619999999999993,14.75,15.0,bVII,10,7,4,2
