,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,3.917,63.0,3.0,0.25,0.0,8.0,I,0,1,0,0
1,4.167,63.0,3.0,0.0830000000000001,0.0,8.0,I,0,1,0,0
2,4.25,62.0,2.0,0.1669999999999998,0.0,8.0,I,0,1,0,0
3,4.417,60.0,0.0,0.0830000000000001,0.0,8.0,I,0,1,0,0
4,4.5,64.0,4.0,0.1669999999999998,0.0,8.0,I,0,1,0,0
5,4.667,60.0,0.0,0.25,0.0,8.0,I,0,1,0,0
6,4.917,63.0,3.0,0.3330000000000002,0.0,8.0,I,0,1,0,0
7,5.25,62.0,2.0,0.0830000000000001,0.0,8.0,I,0,1,0,0
8,5.333,60.0,0.0,0.1669999999999998,0.0,8.0,I,0,1,0,0
9,5.5,63.0,3.0,0.1669999999999998,0.0,8.0,I,0,1,0,0
10,5.667,57.0,9.0,0.0830000000000001,0.0,8.0,I,0,1,0,0
11,5.75,60.0,0.0,0.1669999999999998,0.0,8.0,I,0,1,0,0
12,5.917,60.0,0.0,0.0830000000000001,0.0,8.0,I,0,1,0,0
13,6.0,60.0,0.0,1.6669999999999998,0.0,8.0,I,0,1,0,0
14,7.667,55.0,7.0,0.0830000000000001,0.0,8.0,I,0,1,0,0
15,7.75,57.0,9.0,0.1669999999999998,0.0,8.0,I,0,1,0,0
16,7.917,60.0,0.0,0.0830000000000001,0.0,8.0,I,0,1,0,0
17,8.0,63.0,3.0,0.1669999999999998,0.0,8.0,I,0,1,0,0
18,8.167,63.0,3.0,0.0830000000000001,8.0,10.0,IV,5,4,0,5
19,8.25,63.0,3.0,0.1669999999999998,8.0,10.0,IV,5,4,0,5
20,8.417,60.0,0.0,0.0830000000000001,8.0,10.0,IV,5,4,0,5
21,8.5,63.0,3.0,0.1669999999999998,8.0,10.0,IV,5,4,0,5
22,8.667,60.0,0.0,0.3330000000000002,8.0,10.0,IV,5,4,0,5
23,9.0,63.0,3.0,0.1669999999999998,8.0,10.0,IV,5,4,0,5
24,9.167,63.0,3.0,0.0830000000000001,8.0,10.0,IV,5,4,0,5
