,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.25,60.0,0.0,0.125,0.0,6.0,I,0,1,0,0
1,4.375,60.0,0.0,0.375,0.0,6.0,I,0,1,0,0
2,4.75,62.0,2.0,0.125,0.0,6.0,I,0,1,0,0
3,4.875,62.0,2.0,0.25,0.0,6.0,I,0,1,0,0
4,5.125,60.0,0.0,0.625,0.0,6.0,I,0,1,0,0
5,5.75,64.0,4.0,0.25,0.0,6.0,I,0,1,0,0
6,6.0,64.0,4.0,0.5,0.0,6.0,I,0,1,0,0
7,6.5,62.0,2.0,1.75,6.0,7.0,ii65,2,2,0,2
8,8.25,60.0,0.0,0.125,8.0,10.0,I,0,1,0,0
9,8.375,60.0,0.0,0.375,8.0,10.0,I,0,1,0,0
10,8.75,62.0,2.0,0.125,8.0,10.0,I,0,1,0,0
11,8.875,62.0,2.0,0.25,8.0,10.0,I,0,1,0,0
12,9.125,60.0,0.0,0.625,8.0,10.0,I,0,1,0,0
13,9.75,69.0,9.0,0.25,8.0,10.0,I,0,1,0,0
14,10.0,69.0,9.0,0.5,8.0,10.0,I,0,1,0,0
15,10.5,67.0,7.0,1.25,10.0,12.0,V43,7,5,0,7
16,11.75,65.0,5.0,0.125,10.0,12.0,V43,7,5,0,7
17,11.875,64.0,4.0,0.875,10.0,12.0,V43,7,5,0,7
18,12.75,59.0,11.0,0.125,12.0,14.0,V/vi,4,3,0,4
19,12.875,64.0,4.0,0.75,12.0,14.0,V/vi,4,3,0,4
20,13.625,62.0,2.0,0.375,12.0,14.0,V/vi,4,3,0,4
21,14.0,62.0,2.0,0.125,12.0,14.0,V/vi,4,3,0,4
22,14.125,60.0,0.0,0.125,14.0,16.0,vi,9,6,0,9
23,14.25,59.0,11.0,0.125,14.0,16.0,vi,9,6,0,9
24,14.375,62.0,2.0,0.25,14.0,16.0,vi,9,6,0,9
25,14.625,60.0,0.0,0.125,14.0,16.0,vi,9,6,0,9
26,14.75,57.0,9.0,1.5,14.0,16.0,vi,9,6,0,9
27,16.25,60.0,0.0,0.25,16.0,17.0,IV,5,4,0,5
28,16.5,60.0,0.0,0.25,16.0,17.0,IV,5,4,0,5
29,16.75,64.0,4.0,0.25,16.0,17.0,IV,5,4,0,5
30,17.0,64.0,4.0,0.25,16.0,17.0,IV,5,4,0,5
31,17.25,62.0,2.0,0.5,17.0,18.0,V,7,5,0,7
32,17.75,62.0,2.0,0.25,17.0,18.0,V,7,5,0,7
33,18.0,62.0,2.0,0.375,17.0,18.0,V,7,5,0,7
34,18.375,60.0,0.0,0.125,18.0,22.0,I,0,1,0,0
35,18.5,60.0,0.0,1.75,18.0,22.0,I,0,1,0,0
36,20.25,60.0,0.0,0.25,18.0,22.0,I,0,1,0,0
37,20.5,60.0,0.0,0.25,18.0,22.0,I,0,1,0,0
38,20.75,62.0,2.0,0.25,18.0,22.0,I,0,1,0,0
39,21.0,62.0,2.0,0.25,18.0,22.0,I,0,1,0,0
40,21.25,60.0,0.0,0.75,18.0,22.0,I,0,1,0,0
41,22.0,64.0,4.0,0.375,18.0,22.0,I,0,1,0,0
42,22.375,62.0,2.0,0.125,22.0,23.0,ii65,2,2,0,2
43,22.5,62.0,2.0,1.75,22.0,23.0,ii65,2,2,0,2
44,24.25,60.0,0.0,0.25,24.0,26.0,I,0,1,0,0
45,24.5,60.0,0.0,0.25,24.0,26.0,I,0,1,0,0
46,24.75,62.0,2.0,0.25,24.0,26.0,I,0,1,0,0
47,25.0,62.0,2.0,0.25,24.0,26.0,I,0,1,0,0
48,25.25,60.0,0.0,0.75,24.0,26.0,I,0,1,0,0
49,26.0,69.0,9.0,0.375,24.0,26.0,I,0,1,0,0
50,26.375,67.0,7.0,0.125,26.0,28.0,V43,7,5,0,7
51,26.5,67.0,7.0,1.25,26.0,28.0,V43,7,5,0,7
52,27.75,65.0,5.0,0.125,26.0,28.0,V43,7,5,0,7
53,27.875,64.0,4.0,0.875,26.0,28.0,V43,7,5,0,7
54,28.75,59.0,11.0,0.125,28.0,30.0,V/vi,4,3,0,4
55,28.875,64.0,4.0,0.75,28.0,30.0,V/vi,4,3,0,4
56,29.625,62.0,2.0,0.375,28.0,30.0,V/vi,4,3,0,4
57,30.0,62.0,2.0,0.125,28.0,30.0,V/vi,4,3,0,4
58,30.125,60.0,0.0,0.125,30.0,32.0,vi,9,6,0,9
59,30.25,59.0,11.0,0.125,30.0,32.0,vi,9,6,0,9
60,30.375,62.0,2.0,0.375,30.0,32.0,vi,9,6,0,9
61,30.75,60.0,0.0,0.125,30.0,32.0,vi,9,6,0,9
62,30.875,57.0,9.0,1.375,30.0,32.0,vi,9,6,0,9
63,32.25,60.0,0.0,0.25,32.0,33.0,IV,5,4,0,5
64,32.5,60.0,0.0,0.25,32.0,33.0,IV,5,4,0,5
65,32.75,64.0,4.0,0.25,32.0,33.0,IV,5,4,0,5
66,33.0,64.0,4.0,0.25,32.0,33.0,IV,5,4,0,5
67,33.25,62.0,2.0,0.5,33.0,34.0,V,7,5,0,7
68,33.75,62.0,2.0,0.25,33.0,34.0,V,7,5,0,7
69,34.0,62.0,2.0,0.375,33.0,34.0,V,7,5,0,7
70,34.375,60.0,0.0,0.125,34.0,36.0,I,0,1,0,0
71,34.5,60.0,0.0,1.75,34.0,36.0,I,0,1,0,0
72,36.25,69.0,9.0,0.25,36.0,38.0,IV,5,4,0,5
73,36.5,69.0,9.0,0.25,36.0,38.0,IV,5,4,0,5
74,36.75,69.0,9.0,0.25,36.0,38.0,IV,5,4,0,5
75,37.0,69.0,9.0,0.75,36.0,38.0,IV,5,4,0,5
76,37.75,69.0,9.0,0.25,36.0,38.0,IV,5,4,0,5
77,38.0,69.0,9.0,0.375,36.0,38.0,IV,5,4,0,5
78,38.375,67.0,7.0,0.125,38.0,40.0,iii,4,3,0,4
79,38.5,67.0,7.0,1.75,38.0,40.0,iii,4,3,0,4
80,40.25,69.0,9.0,0.25,40.0,42.0,IV,5,4,0,5
81,40.5,69.0,9.0,0.25,40.0,42.0,IV,5,4,0,5
82,40.75,69.0,9.0,0.125,40.0,42.0,IV,5,4,0,5
83,40.875,67.0,7.0,0.125,40.0,42.0,IV,5,4,0,5
84,41.0,69.0,9.0,0.25,40.0,42.0,IV,5,4,0,5
85,41.25,69.0,9.0,0.125,40.0,42.0,IV,5,4,0,5
86,41.375,67.0,7.0,0.375,40.0,42.0,IV,5,4,0,5
87,41.75,65.0,5.0,0.25,40.0,42.0,IV,5,4,0,5
88,42.0,64.0,4.0,0.375,40.0,42.0,IV,5,4,0,5
89,42.375,62.0,2.0,0.125,42.0,44.0,I,0,1,0,0
90,42.5,60.0,0.0,0.375,42.0,44.0,I,0,1,0,0
91,42.875,57.0,9.0,0.125,42.0,44.0,I,0,1,0,0
92,43.0,55.0,7.0,1.25,42.0,44.0,I,0,1,0,0
93,44.25,69.0,9.0,0.25,44.0,46.0,IV,5,4,0,5
94,44.5,69.0,9.0,0.25,44.0,46.0,IV,5,4,0,5
95,44.75,69.0,9.0,0.25,44.0,46.0,IV,5,4,0,5
96,45.0,69.0,9.0,0.75,44.0,46.0,IV,5,4,0,5
97,45.75,69.0,9.0,0.25,44.0,46.0,IV,5,4,0,5
98,46.0,69.0,9.0,0.375,44.0,46.0,IV,5,4,0,5
99,46.375,67.0,7.0,0.125,46.0,48.0,iii,4,3,0,4
100,46.5,67.0,7.0,1.25,46.0,48.0,iii,4,3,0,4
101,47.75,64.0,4.0,0.125,46.0,48.0,iii,4,3,0,4
102,47.875,62.0,2.0,0.125,46.0,48.0,iii,4,3,0,4
103,48.0,62.0,2.0,0.125,46.0,48.0,iii,4,3,0,4
104,48.125,60.0,0.0,0.625,48.0,49.0,vi,9,6,0,9
105,48.75,64.0,4.0,0.125,48.0,49.0,vi,9,6,0,9
106,48.875,64.0,4.0,0.125,48.0,49.0,vi,9,6,0,9
