,time,note,scale degree,length,start,end,numeral,chromatic root,diatonic root,key,absolute root
0,4.25,55.0,4.0,0.125,4.0,5.0,I,0,1,3,3
1,4.375,53.0,2.0,0.125,4.0,5.0,I,0,1,3,3
2,4.5,55.0,4.0,0.125,4.0,5.0,I,0,1,3,3
3,4.625,53.0,2.0,0.125,4.0,5.0,I,0,1,3,3
4,4.75,55.0,4.0,0.25,4.0,5.0,I,0,1,3,3
5,5.0,55.0,4.0,0.0620000000000002,4.0,5.0,I,0,1,3,3
6,5.062,55.0,4.0,1.1879999999999995,5.0,6.0,IV7,5,4,3,8
7,6.25,53.0,2.0,0.125,6.0,7.0,V6,7,5,3,10
8,6.375,53.0,2.0,0.25,6.0,7.0,V6,7,5,3,10
9,6.625,58.0,7.0,0.125,6.0,7.0,V6,7,5,3,10
10,6.75,53.0,2.0,0.25,6.0,7.0,V6,7,5,3,10
11,7.0,55.0,4.0,0.375,6.0,7.0,V6,7,5,3,10
12,7.375,56.0,5.0,0.0629999999999997,7.0,8.0,iii,4,3,3,7
13,7.438,55.0,4.0,0.0620000000000002,7.0,8.0,iii,4,3,3,7
14,7.5,53.0,2.0,0.875,7.0,8.0,iii,4,3,3,7
15,8.375,48.0,9.0,0.125,8.0,11.0,vi,9,6,3,0
16,8.5,51.0,0.0,0.125,8.0,11.0,vi,9,6,3,0
17,8.625,51.0,0.0,0.125,8.0,11.0,vi,9,6,3,0
18,8.75,50.0,11.0,0.125,8.0,11.0,vi,9,6,3,0
19,8.875,51.0,0.0,0.5,8.0,11.0,vi,9,6,3,0
20,9.375,50.0,11.0,0.25,8.0,11.0,vi,9,6,3,0
21,9.625,51.0,0.0,0.625,8.0,11.0,vi,9,6,3,0
22,10.25,51.0,0.0,0.125,8.0,11.0,vi,9,6,3,0
23,10.375,55.0,4.0,0.25,8.0,11.0,vi,9,6,3,0
24,10.625,51.0,0.0,0.25,8.0,11.0,vi,9,6,3,0
25,10.875,54.0,3.0,0.125,8.0,11.0,vi,9,6,3,0
26,11.0,53.0,2.0,0.125,8.0,11.0,vi,9,6,3,0
27,11.125,51.0,0.0,0.25,11.0,12.0,IV,5,4,3,8
28,11.375,48.0,9.0,0.25,11.0,12.0,IV,5,4,3,8
29,11.625,51.0,0.0,0.75,11.0,12.0,IV,5,4,3,8
30,12.375,51.0,0.0,0.25,12.0,13.0,I64,0,1,3,3
31,12.625,51.0,0.0,0.125,12.0,13.0,I64,0,1,3,3
32,12.75,51.0,0.0,0.25,12.0,13.0,I64,0,1,3,3
33,13.0,55.0,4.0,0.0619999999999993,12.0,13.0,I64,0,1,3,3
34,13.062,53.0,2.0,0.3130000000000006,13.0,14.0,V,7,5,3,10
35,13.375,51.0,0.0,0.25,13.0,14.0,V,7,5,3,10
36,13.625,51.0,0.0,0.125,13.0,14.0,V,7,5,3,10
37,13.75,53.0,2.0,0.5,13.0,14.0,V,7,5,3,10
38,14.25,55.0,4.0,0.125,14.0,15.0,V6/vi,4,3,3,7
39,14.375,58.0,7.0,0.25,14.0,15.0,V6/vi,4,3,3,7
40,14.625,60.0,9.0,0.375,14.0,15.0,V6/vi,4,3,3,7
41,15.0,53.0,2.0,0.1880000000000006,14.0,15.0,V6/vi,4,3,3,7
42,15.188,51.0,0.0,0.0619999999999993,15.0,16.0,vi,9,6,3,0
43,15.25,48.0,9.0,1.0,15.0,16.0,vi,9,6,3,0
44,16.25,51.0,0.0,0.125,16.0,17.0,I,0,1,3,3
45,16.375,51.0,0.0,0.25,16.0,17.0,I,0,1,3,3
46,16.625,55.0,4.0,0.125,16.0,17.0,I,0,1,3,3
47,16.75,58.0,7.0,0.25,16.0,17.0,I,0,1,3,3
48,17.0,60.0,9.0,0.375,16.0,17.0,I,0,1,3,3
49,17.375,55.0,4.0,0.0629999999999988,17.0,18.0,ii,2,2,3,5
50,17.438,53.0,2.0,0.0620000000000011,17.0,18.0,ii,2,2,3,5
51,17.5,51.0,0.0,0.125,17.0,18.0,ii,2,2,3,5
52,17.625,53.0,2.0,0.625,17.0,18.0,ii,2,2,3,5
53,18.25,48.0,9.0,0.125,18.0,19.0,IV,5,4,3,8
54,18.375,51.0,0.0,0.25,18.0,19.0,IV,5,4,3,8
55,18.625,51.0,0.0,0.375,18.0,19.0,IV,5,4,3,8
56,19.0,51.0,0.0,0.125,18.0,19.0,IV,5,4,3,8
57,19.125,53.0,2.0,2.25,19.0,21.0,V,7,5,3,10
58,21.375,46.0,7.0,0.125,21.0,22.0,I,0,1,3,3
59,21.5,55.0,4.0,0.125,21.0,22.0,I,0,1,3,3
60,21.625,55.0,4.0,0.125,21.0,22.0,I,0,1,3,3
61,21.75,53.0,2.0,0.125,21.0,22.0,I,0,1,3,3
62,21.875,55.0,4.0,0.25,21.0,22.0,I,0,1,3,3
63,22.125,55.0,4.0,1.25,22.0,23.0,IV7,5,4,3,8
64,23.375,53.0,2.0,0.125,23.0,24.0,V6,7,5,3,10
65,23.5,53.0,2.0,0.0620000000000011,23.0,24.0,V6,7,5,3,10
66,23.562,58.0,7.0,0.0629999999999988,23.0,24.0,V6,7,5,3,10
67,23.625,53.0,2.0,0.5,23.0,24.0,V6,7,5,3,10
68,24.125,55.0,4.0,0.75,24.0,25.0,iii,4,3,3,7
69,24.875,51.0,0.0,0.0629999999999988,24.0,25.0,iii,4,3,3,7
70,24.938,50.0,11.0,0.0620000000000011,24.0,25.0,iii,4,3,3,7
71,25.0,51.0,0.0,0.625,24.0,25.0,iii,4,3,3,7
72,25.625,51.0,0.0,0.125,25.0,28.0,vi,9,6,3,0
73,25.75,51.0,0.0,0.25,25.0,28.0,vi,9,6,3,0
74,26.0,51.0,0.0,0.125,25.0,28.0,vi,9,6,3,0
75,26.125,51.0,0.0,0.25,25.0,28.0,vi,9,6,3,0
76,26.375,51.0,0.0,0.25,25.0,28.0,vi,9,6,3,0
77,26.625,51.0,0.0,0.875,25.0,28.0,vi,9,6,3,0
78,27.5,51.0,0.0,0.125,25.0,28.0,vi,9,6,3,0
79,27.625,55.0,4.0,0.125,25.0,28.0,vi,9,6,3,0
80,27.75,51.0,0.0,0.125,25.0,28.0,vi,9,6,3,0
81,27.875,55.0,4.0,0.125,25.0,28.0,vi,9,6,3,0
82,28.0,53.0,2.0,0.125,25.0,28.0,vi,9,6,3,0
83,28.125,51.0,0.0,0.25,28.0,29.0,IV,5,4,3,8
84,28.375,48.0,9.0,0.25,28.0,29.0,IV,5,4,3,8
85,28.625,51.0,0.0,0.875,28.0,29.0,IV,5,4,3,8
86,29.5,51.0,0.0,0.0620000000000011,29.0,30.0,I64,0,1,3,3
87,29.562,51.0,0.0,0.1879999999999988,29.0,30.0,I64,0,1,3,3
