time,note,scale degree,length
8.250,59,4,0.25
8.500,62,7,0.25
8.750,59,4,0.125
8.875,64,9,0.375
9.250,59,4,0.125
9.375,62,7,0.375
9.750,64,9,0.5
10.250,59,4,2.0
12.250,55,0,0.125
12.375,59,4,0.375
12.750,60,5,0.25
13.000,59,4,0.125
13.125,57,2,0.125
13.250,55,0,0.5
13.750,57,2,0.25
14.000,52,9,0.25
14.250,59,4,0.125
14.375,59,4,1.875
16.250,59,4,0.25
16.500,62,7,0.25
16.750,62,7,0.125
16.875,64,9,0.375
17.250,59,4,0.25
17.500,62,7,0.25
17.750,64,9,0.25
18.000,59,4,2.25
20.250,55,0,0.25
20.500,59,4,0.25
20.750,60,5,0.25
21.000,59,4,0.25
21.250,57,2,0.125
21.375,55,0,0.25
21.625,57,2,0.125
21.750,55,0,2.5
24.250,55,0,0.25
24.500,59,4,0.25
24.750,60,5,0.25
25.000,59,4,0.25
25.250,57,2,0.125
25.375,55,0,0.25
25.625,57,2,0.125
25.750,55,0,2.5
28.250,62,7,0.25
28.500,62,7,0.125
28.625,62,7,0.25
28.875,64,9,0.375
29.250,59,4,0.25
29.500,62,7,0.125
29.625,64,9,0.25
29.875,59,4,2.375
32.250,55,0,0.25
32.500,59,4,0.125
32.625,60,5,0.25
32.875,59,4,0.25
33.125,57,2,0.375
33.500,55,0,0.25
33.750,57,2,0.125
33.875,52,9,0.375
34.250,59,4,0.25
34.500,59,4,1.75
36.250,59,4,0.25
36.500,62,7,0.25
36.750,59,4,0.25
37.000,64,9,0.125
37.125,59,4,0.375
37.500,62,7,0.125
37.625,64,9,0.375
38.000,59,4,2.25
40.250,55,0,0.25
40.500,59,4,0.25
40.750,60,5,0.25
41.000,59,4,0.25
41.250,57,2,0.125
41.375,55,0,0.625
42.000,59,4,0.125
42.125,58,3,0.125
42.250,59,4,0.125
42.375,58,3,0.125
42.500,59,4,0.125
42.625,58,3,0.125
42.750,59,4,0.125
42.875,58,3,0.125
43.000,59,4,0.125
43.125,58,3,0.125
43.250,59,4,0.125
43.375,58,3,0.125
43.500,59,4,0.25
43.750,64,9,0.25
44.000,67,0,2.25
46.250,59,4,0.25
46.500,62,7,0.25
46.750,59,4,0.25
47.000,64,9,0.25
47.250,59,4,0.125
47.375,62,7,0.375
47.750,64,9,0.5
48.250,59,4,2.0
50.250,55,0,0.25
50.500,59,4,0.25
50.750,60,5,0.125
50.875,59,4,0.375
51.250,57,2,0.25
51.500,55,0,0.25
51.750,57,2,0.25
52.000,52,9,0.25
52.250,59,4,0.125
52.375,59,4,1.875
54.250,59,4,0.25
54.500,62,7,0.25
54.750,59,4,0.25
55.000,64,9,0.125
55.125,59,4,0.375
55.500,62,7,0.25
55.750,64,9,0.125
55.875,59,4,2.375
58.250,55,0,0.125
58.375,59,4,0.375
58.750,60,5,0.25
59.000,59,4,0.25
59.250,57,2,0.125
59.375,55,0,1.125
60.500,59,4,0.25
60.750,60,5,0.25
61.000,59,4,0.5
61.500,64,9,0.5
62.000,67,0,1.75
63.750,64,9,0.25
64.000,67,0,0.5
64.500,64,9,0.5
65.000,59,4,0.125
65.125,60,5,0.125
65.250,59,4,0.125
65.375,60,5,0.125
65.500,59,4,0.125
65.625,60,5,0.125
65.750,59,4,0.125
65.875,60,5,0.125
66.000,59,4,0.125
66.125,60,5,0.125
66.250,59,4,0.125
66.375,60,5,0.125
66.500,59,4,0.125
66.625,60,5,0.125
66.750,59,4,0.125
66.875,60,5,0.125
67.000,59,4,0.125
67.125,60,5,0.125
67.250,59,4,0.125
67.375,60,5,0.125
67.500,59,4,0.125
67.625,60,5,0.125
67.750,59,4,0.125
67.875,60,5,23.875
91.750,56,4,0.125
91.875,59,7,0.75
92.625,56,4,0.125
92.750,59,7,0.125
92.875,58,6,0.125
93.000,59,7,0.75
93.750,59,7,0.125
93.875,56,4,0.125
94.000,59,7,0.375
94.375,56,4,0.125
94.500,50,10,0.25
94.750,50,10,0.125
94.875,52,0,1.875
96.750,56,4,0.125
96.875,57,5,0.125
97.000,59,7,0.125
