time,note,scale degree,length
8.438,55,7,0.06199999999999939
8.500,64,4,0.125
8.625,62,2,0.06300000000000061
8.688,64,4,0.12399999999999878
8.812,62,2,0.12600000000000122
8.938,62,2,0.12399999999999878
9.062,62,2,0.06300000000000061
9.125,60,0,0.06300000000000061
9.188,60,0,0.3739999999999988
9.562,57,9,0.06300000000000061
9.625,55,7,0.8130000000000006
10.438,60,0,0.12399999999999878
10.562,57,9,0.06300000000000061
10.625,62,2,0.06300000000000061
10.688,62,2,0.06199999999999939
10.750,57,9,0.1880000000000006
10.938,60,0,0.06199999999999939
11.000,57,9,0.06199999999999939
11.062,60,0,0.06300000000000061
11.125,57,9,1.25
12.375,59,11,0.06300000000000061
12.438,57,9,0.06199999999999939
12.500,59,11,0.06199999999999939
12.562,59,11,0.12600000000000122
12.688,57,9,0.12399999999999878
12.812,57,9,0.06300000000000061
12.875,57,9,0.125
13.000,55,7,0.125
13.125,55,7,0.06300000000000061
13.188,57,9,1.25
14.438,55,7,0.06199999999999939
14.500,64,4,0.25
14.750,62,2,0.06199999999999939
14.812,60,0,0.06300000000000061
14.875,60,0,0.1869999999999994
15.062,57,9,0.06300000000000061
15.125,64,4,1.3129999999999988
16.438,60,0,0.062000000000001165
16.500,62,2,0.125
16.625,60,0,0.06299999999999883
16.688,60,0,0.062000000000001165
16.750,60,0,0.125
16.875,57,9,0.06299999999999883
16.938,60,0,0.12400000000000233
17.062,60,0,0.06299999999999883
17.125,62,2,1.3129999999999988
18.438,57,9,0.03100000000000236
18.469,57,9,0.030999999999998806
18.500,59,11,0.125
18.625,59,11,0.125
18.750,57,9,0.062000000000001165
18.812,57,9,0.06299999999999883
18.875,57,9,0.06299999999999883
18.938,57,9,0.12400000000000233
19.062,55,7,1.3129999999999988
20.375,62,2,0.06299999999999883
20.438,64,4,0.12400000000000233
20.562,67,7,0.12599999999999767
20.688,67,7,0.12400000000000233
20.812,67,7,0.06299999999999883
20.875,64,4,0.06299999999999883
20.938,67,7,0.062000000000001165
21.000,69,9,0.3440000000000012
21.344,64,4,0.25
21.594,62,2,0.030999999999998806
21.625,64,4,0.125
21.750,64,4,0.062000000000001165
21.812,62,2,0.06299999999999883
21.875,60,0,0.5
22.375,60,0,0.06299999999999883
22.438,62,2,0.18700000000000117
22.625,60,0,0.06299999999999883
22.688,62,2,0.18700000000000117
22.875,57,9,0.06299999999999883
22.938,60,0,0.12400000000000233
23.062,57,9,0.43799999999999883
23.500,64,4,0.18799999999999883
23.688,64,4,0.18700000000000117
23.875,67,7,0.125
24.000,69,9,0.375
24.375,67,7,0.375
24.750,62,2,0.125
24.875,64,4,0.18700000000000117
25.062,62,2,0.06299999999999883
25.125,60,0,0.125
25.250,60,0,0.31200000000000117
25.562,62,2,0.06299999999999883
25.625,64,4,0.75
26.375,60,0,0.06299999999999883
26.438,60,0,0.12400000000000233
26.562,62,2,0.06299999999999883
26.625,60,0,0.125
26.750,60,0,0.125
26.875,57,9,0.18700000000000117
27.062,60,0,0.06299999999999883
27.125,57,9,1.3129999999999988
28.438,59,11,0.062000000000001165
28.500,57,9,0.062000000000001165
28.562,59,11,0.12599999999999767
28.688,57,9,0.062000000000001165
28.750,59,11,0.18799999999999883
28.938,57,9,0.12400000000000233
29.062,57,9,0.12599999999999767
29.188,55,7,0.062000000000001165
29.250,57,9,0.625
29.875,57,9,0.18700000000000117
30.062,60,0,0.06299999999999883
30.125,60,0,0.125
30.250,60,0,0.062000000000001165
30.312,57,9,0.06299999999999883
30.375,55,7,0.5
30.875,57,9,0.06299999999999883
30.938,60,0,0.12400000000000233
31.062,64,4,0.12599999999999767
31.188,62,2,0.062000000000001165
31.250,60,0,9.311999999999998
40.562,55,7,0.06300000000000239
40.625,64,4,0.06300000000000239
40.688,62,2,0.06199999999999761
40.750,64,4,0.125
40.875,62,2,0.125
41.000,62,2,0.06199999999999761
41.062,60,0,0.06300000000000239
41.125,60,0,0.25
41.375,57,9,0.06300000000000239
41.438,55,7,1.0
42.438,60,0,0.030999999999998806
42.469,60,0,0.030999999999998806
42.500,62,2,0.125
42.625,57,9,0.06300000000000239
42.688,57,9,0.06199999999999761
42.750,60,0,0.125
42.875,57,9,0.06300000000000239
42.938,60,0,0.12399999999999523
43.062,57,9,1.3440000000000012
44.406,57,9,0.03200000000000358
44.438,57,9,0.06199999999999761
44.500,59,11,0.125
44.625,57,9,0.06300000000000239
44.688,59,11,0.12399999999999523
44.812,57,9,0.12600000000000477
44.938,57,9,0.1039999999999992
45.042,55,7,0.04099999999999682
45.083,55,7,0.04200000000000159
45.125,57,9,1.3130000000000024
46.438,64,4,0.12399999999999523
46.562,64,4,0.12600000000000477
46.688,62,2,0.06199999999999761
46.750,60,0,0.125
46.875,60,0,0.06300000000000239
46.938,64,4,0.1869999999999976
47.125,62,2,0.06300000000000239
47.188,60,0,1.1869999999999976
48.375,60,0,0.06300000000000239
48.438,60,0,0.06199999999999761
48.500,62,2,0.125
48.625,62,2,0.1869999999999976
48.812,60,0,0.12600000000000477
48.938,57,9,0.06199999999999761
49.000,60,0,0.125
49.125,62,2,1.25
50.375,57,9,0.030999999999998806
50.406,57,9,0.03200000000000358
50.438,59,11,0.12399999999999523
50.562,59,11,0.1880000000000024
50.750,57,9,0.06199999999999761
50.812,57,9,0.06300000000000239
50.875,57,9,0.125
51.000,55,7,1.375
52.375,62,2,0.06300000000000239
52.438,64,4,0.12399999999999523
52.562,69,9,0.1880000000000024
52.750,67,7,0.125
52.875,64,4,0.125
53.000,62,2,0.1880000000000024
53.188,60,0,0.06199999999999761
53.250,62,2,0.125
53.375,64,4,1.0
