time,note,scale degree,length
3.250,47,0,0.25
3.500,51,4,0.25
3.750,54,7,0.16699999999999982
3.917,59,0,0.08300000000000018
4.000,56,9,1.1669999999999998
5.167,56,9,0.41600000000000037
5.583,52,5,0.08399999999999963
5.667,47,0,0.08300000000000018
5.750,56,9,0.16699999999999982
5.917,54,7,0.08300000000000018
6.000,56,9,0.08300000000000018
6.083,54,7,1.1669999999999998
7.250,56,9,0.25
7.500,56,9,0.16699999999999982
7.667,54,7,0.08300000000000018
7.750,51,4,0.16699999999999982
7.917,51,4,0.08300000000000018
8.000,49,2,1.25
9.250,56,9,0.16699999999999982
9.417,56,9,0.3330000000000002
9.750,56,9,0.16699999999999982
9.917,56,9,0.08300000000000018
10.000,54,7,1.25
11.250,47,0,0.25
11.500,51,4,0.25
11.750,54,7,0.16699999999999982
11.917,59,0,0.08300000000000018
12.000,56,9,1.1669999999999998
13.167,56,9,0.41600000000000037
13.583,52,5,0.08399999999999963
13.667,47,0,0.08300000000000018
13.750,56,9,0.16699999999999982
13.917,54,7,0.08300000000000018
14.000,56,9,0.08300000000000018
14.083,54,7,1.1669999999999998
15.250,56,9,0.25
15.500,56,9,0.16699999999999982
15.667,54,7,0.08300000000000018
15.750,51,4,0.16699999999999982
15.917,51,4,0.08300000000000018
16.000,49,2,1.25
17.250,56,9,0.25
17.500,56,9,0.1670000000000016
17.667,54,7,0.08299999999999841
17.750,50,3,0.1670000000000016
17.917,49,2,0.08299999999999841
18.000,47,0,1.25
19.250,54,7,0.25
19.500,49,2,0.1670000000000016
19.667,51,4,0.16599999999999682
19.833,52,5,0.1670000000000016
20.000,54,7,0.4170000000000016
20.417,54,7,0.08299999999999841
20.500,54,7,0.75
21.250,54,7,0.25
21.500,49,2,0.1670000000000016
21.667,51,4,0.16599999999999682
21.833,52,5,0.1670000000000016
22.000,54,7,1.25
23.250,54,7,0.25
23.500,53,6,0.1670000000000016
23.667,54,7,0.16599999999999682
23.833,56,9,0.1670000000000016
24.000,58,11,0.4170000000000016
24.417,58,11,0.08299999999999841
24.500,58,11,0.75
25.250,58,11,0.25
25.500,53,6,0.1670000000000016
25.667,54,7,0.16599999999999682
25.833,56,9,0.08400000000000318
25.917,58,11,1.3329999999999984
27.250,47,0,0.25
27.500,51,4,0.25
27.750,54,7,0.1670000000000016
27.917,59,0,0.08299999999999841
28.000,56,9,1.1670000000000016
29.167,56,9,0.4159999999999968
29.583,52,5,0.08400000000000318
29.667,47,0,0.08299999999999841
29.750,56,9,0.1670000000000016
29.917,54,7,0.08299999999999841
30.000,56,9,0.08299999999999841
30.083,54,7,1.1670000000000016
31.250,56,9,0.25
31.500,56,9,0.1670000000000016
31.667,54,7,0.08299999999999841
31.750,51,4,0.1670000000000016
31.917,51,4,0.08299999999999841
32.000,49,2,1.25
33.250,56,9,0.25
33.500,56,9,0.1670000000000016
33.667,54,7,0.08299999999999841
33.750,50,3,0.1670000000000016
33.917,50,3,0.08299999999999841
34.000,47,0,1.3329999999999984
35.333,54,7,0.1670000000000016
35.500,49,2,0.1670000000000016
35.667,51,4,0.16599999999999682
35.833,52,5,0.1670000000000016
36.000,54,7,0.4170000000000016
36.417,54,7,0.08299999999999841
36.500,54,7,0.8329999999999984
37.333,54,7,0.1670000000000016
37.500,49,2,0.1670000000000016
37.667,51,4,0.16599999999999682
37.833,52,5,0.1670000000000016
38.000,54,7,1.25
39.250,54,7,0.25
39.500,53,6,0.1670000000000016
39.667,54,7,0.16599999999999682
39.833,56,9,0.1670000000000016
40.000,58,11,0.4170000000000016
40.417,58,11,0.08299999999999841
40.500,58,11,0.9170000000000016
41.417,54,7,0.08299999999999841
41.500,53,6,0.1670000000000016
41.667,54,7,0.16599999999999682
41.833,56,9,0.08400000000000318
41.917,58,11,1.3329999999999984
43.250,47,0,0.25
43.500,51,4,0.25
43.750,54,7,0.1670000000000016
43.917,59,0,0.08299999999999841
44.000,56,9,1.1670000000000016
45.167,56,9,0.4159999999999968
45.583,52,5,0.08400000000000318
45.667,47,0,0.08299999999999841
45.750,56,9,0.1670000000000016
45.917,54,7,0.08299999999999841
46.000,56,9,0.08299999999999841
46.083,54,7,1.1670000000000016
47.250,56,9,0.25
47.500,56,9,0.1670000000000016
47.667,54,7,0.08299999999999841
47.750,51,4,0.1670000000000016
47.917,51,4,0.08299999999999841
48.000,49,2,1.25
49.250,56,9,0.25
49.500,56,9,0.1670000000000016
49.667,54,7,0.08299999999999841
49.750,50,3,0.1670000000000016
49.917,50,3,0.08299999999999841
