time,note,scale degree,length
0.000,65,7,0.125
0.125,65,7,0.125
0.250,65,7,0.125
0.375,65,7,0.25
0.625,65,7,0.375
1.000,64,6,0.125
1.125,64,6,0.125
1.250,65,7,0.125
1.375,64,6,0.125
1.500,62,4,0.062000000000000055
1.562,60,2,0.43799999999999994
2.000,63,5,0.125
2.125,63,5,0.125
2.250,63,5,0.125
2.375,63,5,0.25
2.625,53,7,0.125
2.750,53,7,0.125
2.875,53,7,0.125
3.000,62,4,0.125
3.125,62,4,0.125
3.250,63,5,0.125
3.375,62,4,0.125
3.500,60,2,0.125
3.625,58,0,0.375
4.000,62,4,0.125
4.125,62,4,0.125
4.250,62,4,0.125
4.375,62,4,0.5
4.875,62,4,0.125
5.000,62,11,0.125
5.125,62,11,0.125
5.250,63,0,0.125
5.375,63,0,0.06299999999999972
5.438,65,2,0.18700000000000028
5.625,58,7,0.25
5.875,67,4,1.125
7.000,67,4,0.125
7.125,67,4,0.125
7.250,67,4,0.125
7.375,65,2,0.06299999999999972
7.438,67,4,0.18700000000000028
7.625,65,2,0.06299999999999972
7.688,67,4,0.3120000000000003
8.000,65,2,0.125
8.125,65,2,0.125
8.250,67,4,0.125
8.375,65,2,0.125
8.500,63,0,0.06199999999999939
8.562,60,9,0.06300000000000061
8.625,55,4,0.125
8.750,56,5,0.125
8.875,58,7,0.125
9.000,63,0,0.125
9.125,63,0,0.125
9.250,62,11,0.25
9.500,61,10,0.125
9.625,61,10,0.125
9.750,62,11,0.25
10.000,63,0,0.125
10.125,63,0,0.125
10.250,62,11,0.25
10.500,61,10,0.125
10.625,61,10,0.125
10.750,62,11,0.25
11.000,67,9,0.125
11.125,67,9,0.125
11.250,67,9,0.125
11.375,67,9,0.125
11.500,65,7,0.25
11.750,70,0,0.25
12.000,64,6,0.125
12.125,64,6,0.125
12.250,64,6,0.125
12.375,65,7,0.125
12.500,65,7,0.125
12.625,53,7,0.125
12.750,53,7,0.125
12.875,57,11,0.125
13.000,60,2,0.75
13.750,57,11,0.125
13.875,58,0,0.125
14.000,58,0,2.0
16.000,62,4,0.0940000000000012
16.094,60,2,0.030999999999998806
16.125,62,4,0.75
16.875,58,0,0.125
17.000,60,2,0.125
17.125,62,4,0.06299999999999883
17.188,62,4,0.6870000000000012
17.875,62,4,0.06299999999999883
17.938,62,4,0.062000000000001165
18.000,63,5,0.062000000000001165
18.062,65,7,0.12599999999999767
18.188,63,5,0.12400000000000233
18.312,62,4,0.12599999999999767
18.438,60,2,0.31200000000000117
18.750,60,2,0.125
18.875,62,4,0.125
19.000,63,5,0.062000000000001165
19.062,65,7,0.12599999999999767
19.188,63,5,0.12400000000000233
19.312,62,4,0.12599999999999767
19.438,60,2,0.5620000000000012
20.000,62,4,0.0940000000000012
20.094,60,2,0.030999999999998806
20.125,62,4,0.625
20.750,62,4,0.125
20.875,65,7,0.125
21.000,69,11,0.18799999999999883
21.188,67,9,0.062000000000001165
21.250,67,9,0.625
21.875,67,9,0.125
22.000,70,0,0.125
22.125,70,0,0.125
22.250,70,0,0.125
22.375,70,0,0.125
22.500,70,0,0.18799999999999883
22.688,67,9,0.062000000000001165
22.750,63,5,0.062000000000001165
22.812,62,4,0.25
23.062,60,2,0.06299999999999883
23.125,60,2,0.875
24.000,67,4,0.0940000000000012
24.094,65,2,0.030999999999998806
24.125,67,4,0.625
24.750,65,2,0.125
24.875,67,4,0.06299999999999883
24.938,68,5,0.062000000000001165
25.000,67,4,0.875
25.875,67,4,0.06299999999999883
25.938,67,4,0.062000000000001165
26.000,68,5,0.18799999999999883
26.188,67,4,0.062000000000001165
26.250,67,4,0.125
26.375,65,2,0.125
26.500,65,2,0.43799999999999883
26.938,58,7,0.062000000000001165
27.000,58,7,0.125
27.125,65,2,0.125
27.250,65,2,0.125
27.375,67,4,0.06299999999999883
27.438,67,4,0.18700000000000117
27.625,68,5,0.125
27.750,68,5,0.125
27.875,70,7,0.125
28.000,68,5,0.062000000000001165
28.062,67,4,0.06299999999999883
28.125,67,4,0.25
28.375,65,2,0.06299999999999883
28.438,67,4,0.062000000000001165
28.500,70,7,0.375
28.875,65,2,0.06299999999999883
28.938,67,4,0.062000000000001165
29.000,63,0,0.375
29.375,58,7,0.06299999999999883
29.438,58,7,0.062000000000001165
29.500,59,8,0.062000000000001165
29.562,61,10,0.12599999999999767
29.688,59,8,0.062000000000001165
29.750,61,10,0.125
29.875,58,7,0.125
30.000,58,7,4.0
34.000,62,4,0.125
34.125,60,2,0.030999999999998806
34.156,62,4,0.7190000000000012
34.875,58,0,0.125
35.000,60,2,0.125
35.125,62,4,0.06300000000000239
35.188,62,4,0.6869999999999976
35.875,62,4,0.125
36.000,63,5,0.06199999999999761
36.062,65,7,0.12600000000000477
36.188,63,5,0.12399999999999523
36.312,62,4,0.12600000000000477
36.438,60,2,0.3119999999999976
36.750,60,2,0.06199999999999761
36.812,62,4,0.1880000000000024
37.000,63,5,0.06199999999999761
37.062,65,7,0.06300000000000239
37.125,63,5,0.125
37.250,62,4,0.125
37.375,62,4,0.06300000000000239
37.438,60,2,0.5619999999999976
38.000,62,4,0.0940000000000012
38.094,60,2,0.030999999999998806
38.125,62,4,0.25
38.375,60,2,0.06300000000000239
38.438,58,0,0.06199999999999761
38.500,60,2,0.06199999999999761
38.562,62,4,0.3130000000000024
38.875,65,7,0.125
39.000,69,11,0.1880000000000024
39.188,67,9,0.06199999999999761
39.250,67,9,0.625
39.875,65,7,0.06300000000000239
39.938,67,9,0.06199999999999761
40.000,70,0,0.125
40.125,70,0,0.125
40.250,70,0,0.125
40.375,70,0,0.125
40.500,70,0,0.1880000000000024
40.688,67,9,0.06199999999999761
40.750,63,5,0.06199999999999761
40.812,62,4,0.25
41.062,60,2,0.06300000000000239
41.125,60,2,0.875
42.000,67,4,0.06199999999999761
42.062,65,2,0.06300000000000239
42.125,67,4,0.625
42.750,65,2,0.125
42.875,67,4,0.06300000000000239
42.938,68,5,0.06199999999999761
43.000,67,4,1.0
44.000,68,5,0.1880000000000024
44.188,67,4,0.06199999999999761
44.250,67,4,0.06199999999999761
44.312,65,2,0.12600000000000477
44.438,65,2,0.5
44.938,58,7,0.06199999999999761
45.000,58,7,0.125
45.125,65,2,0.125
45.250,65,2,0.125
45.375,67,4,0.125
45.500,67,4,0.06199999999999761
45.562,68,5,0.06300000000000239
45.625,68,5,0.125
45.750,68,5,0.125
45.875,70,7,0.06300000000000239
45.938,68,5,0.12399999999999523
46.062,67,4,9.938000000000002
56.000,62,5,0.25
56.250,61,4,0.125
56.375,61,4,0.125
56.500,60,3,0.125
56.625,60,3,0.125
56.750,61,4,0.125
56.875,61,4,0.125
57.000,62,5,0.125
57.125,62,5,0.125
57.250,61,4,0.125
57.375,61,4,0.125
57.500,60,3,0.25
57.750,64,7,0.125
57.875,64,7,0.125
58.000,69,0,0.25
58.250,64,7,0.125
58.375,64,7,0.125
58.500,69,0,0.25
58.750,64,7,0.125
58.875,64,7,0.125
59.000,63,6,0.125
59.125,63,6,0.125
59.250,64,7,0.25
59.500,66,9,0.25
59.750,64,7,0.25
60.000,65,8,0.125
60.125,65,8,0.125
60.250,65,8,0.125
60.375,65,8,0.125
60.500,66,9,0.25
60.750,66,9,0.25
61.000,67,10,0.125
61.125,67,10,0.125
61.250,67,10,0.125
61.375,67,10,0.125
61.500,68,11,0.25
61.750,68,11,0.25
62.000,69,0,0.25
62.250,76,7,0.125
62.375,76,7,0.125
62.500,77,8,0.125
62.625,76,7,0.125
62.750,57,0,0.125
62.875,57,0,0.125
