time,note,scale degree,length
8.500,62,7,0.125
8.625,60,5,0.125
8.750,59,4,0.125
8.875,60,5,0.125
9.000,62,7,1.375
10.375,59,4,0.25
10.625,57,2,0.125
10.750,55,0,0.125
10.875,57,2,0.25
11.125,59,4,1.25
12.375,62,7,0.25
12.625,62,7,0.125
12.750,62,7,0.125
12.875,62,7,0.125
13.000,60,5,0.06199999999999939
13.062,62,7,1.4380000000000006
14.500,59,4,0.125
14.625,59,4,0.125
14.750,55,0,0.125
14.875,57,2,0.25
15.125,59,4,1.375
16.500,59,4,0.125
16.625,62,7,0.125
16.750,62,7,0.125
16.875,62,7,0.125
17.000,62,7,0.125
17.125,60,5,0.25
17.375,62,7,0.25
17.625,60,5,0.125
17.750,62,7,0.75
18.500,59,4,0.125
18.625,59,4,0.125
18.750,57,2,0.125
18.875,55,0,0.125
19.000,57,2,0.125
19.125,57,2,1.125
20.250,62,7,0.125
20.375,62,7,0.125
20.500,62,7,0.25
20.750,62,7,0.125
20.875,62,7,0.25
21.125,60,5,0.25
21.375,62,7,0.25
21.625,60,5,0.875
22.500,59,4,0.375
22.875,50,7,0.125
23.000,57,2,0.25
23.250,57,2,0.125
23.375,59,4,0.25
23.625,59,4,0.125
23.750,57,2,0.125
23.875,57,2,0.06299999999999883
23.938,55,0,1.3120000000000012
25.250,50,7,0.125
25.375,59,4,0.18700000000000117
25.562,59,4,0.31299999999999883
25.875,57,2,0.06299999999999883
25.938,55,0,2.312000000000001
28.250,67,0,0.375
28.625,64,9,0.25
28.875,62,7,0.5
29.375,59,4,0.25
29.625,59,4,0.25
29.875,57,2,0.06299999999999883
29.938,55,0,2.562000000000001
32.500,55,0,0.125
32.625,62,7,0.06300000000000239
32.688,60,5,0.06199999999999761
32.750,59,4,0.125
32.875,60,5,0.125
33.000,62,7,1.25
34.250,50,7,0.125
34.375,59,4,0.25
34.625,57,2,0.125
34.750,55,0,0.125
34.875,57,2,0.25
35.125,59,4,1.125
36.250,62,7,0.125
36.375,62,7,0.125
36.500,62,7,0.25
36.750,62,7,0.125
36.875,62,7,0.25
37.125,60,5,0.125
37.250,62,7,0.1880000000000024
37.438,60,5,0.06199999999999761
37.500,60,5,0.75
38.250,59,4,0.25
38.500,59,4,0.25
38.750,55,0,0.125
38.875,57,2,0.25
39.125,57,2,0.125
39.250,59,4,1.375
40.625,59,4,0.125
40.750,62,7,0.06199999999999761
40.812,62,7,0.12600000000000477
40.938,62,7,0.06199999999999761
41.000,62,7,0.125
41.125,60,5,0.25
41.375,62,7,0.25
41.625,60,5,0.75
42.375,59,4,0.125
42.500,59,4,0.125
42.625,59,4,0.25
42.875,55,0,0.125
43.000,57,2,0.125
43.125,57,2,0.25
43.375,59,4,1.0
44.375,62,7,0.125
44.500,62,7,0.125
44.625,62,7,0.125
44.750,62,7,0.125
44.875,62,7,0.25
45.125,60,5,1.125
46.250,59,4,0.125
46.375,59,4,0.125
46.500,59,4,0.375
46.875,50,7,0.125
47.000,57,2,0.125
47.125,57,2,0.25
47.375,59,4,0.25
47.625,59,4,0.125
47.750,57,2,0.06199999999999761
47.812,55,0,1.4380000000000024
49.250,50,7,0.125
49.375,59,4,0.1869999999999976
49.562,59,4,0.3130000000000024
49.875,57,2,0.06300000000000239
49.938,55,0,2.3119999999999976
52.250,67,0,0.375
52.625,64,9,0.25
52.875,62,7,0.5
53.375,59,4,0.25
53.625,59,4,0.25
53.875,57,2,0.06300000000000239
53.938,55,0,1.3119999999999976
55.250,57,2,0.25
55.500,57,2,0.25
55.750,59,4,0.125
55.875,60,5,0.125
56.000,59,4,0.125
56.125,62,7,1.375
57.500,60,5,0.125
57.625,59,4,0.125
57.750,57,2,0.125
57.875,55,0,0.375
58.250,62,7,0.125
58.375,62,7,0.25
58.625,62,7,0.25
58.875,64,9,0.25
59.125,60,5,0.25
59.375,62,7,0.25
59.625,60,5,0.25
59.875,60,5,0.25
60.125,59,4,0.25
60.375,57,2,0.125
60.500,59,4,0.25
60.750,55,0,0.125
60.875,57,2,1.375
62.250,62,7,0.125
62.375,62,7,0.25
62.625,62,7,0.25
62.875,64,9,0.25
63.125,60,5,0.25
63.375,62,7,0.25
63.625,60,5,0.25
63.875,60,5,0.25
64.125,59,4,0.25
64.375,57,2,0.125
64.500,59,4,0.25
64.750,55,0,0.125
64.875,57,2,0.625
65.500,59,4,0.125
65.625,59,4,0.25
65.875,57,2,0.06300000000000239
65.938,55,0,8.436999999999998
74.375,65,10,0.125
74.500,64,9,0.25
74.750,62,7,0.125
74.875,64,9,0.25
75.125,64,9,0.125
75.250,64,9,1.125
76.375,64,9,0.25
76.625,62,7,0.125
76.750,62,7,0.125
76.875,62,7,0.125
77.000,62,7,0.125
77.125,62,7,0.25
77.375,62,7,1.125
78.500,59,4,0.125
78.625,62,7,0.125
78.750,62,7,0.125
78.875,62,7,0.125
79.000,60,5,0.125
79.125,62,7,0.125
79.250,62,7,0.125
79.375,64,9,1.0
80.375,59,4,0.5
80.875,55,0,0.125
81.000,57,2,0.125
81.125,57,2,0.25
81.375,59,4,1.0
82.375,59,4,0.125
82.500,62,7,0.125
82.625,62,7,0.125
82.750,62,7,0.125
82.875,62,7,0.25
83.125,60,5,0.25
83.375,62,7,1.0
84.375,59,4,0.25
84.625,59,4,0.125
84.750,55,0,0.125
84.875,57,2,0.125
85.000,57,2,0.125
85.125,57,2,0.25
85.375,59,4,0.125
85.500,57,2,0.125
85.625,57,2,0.125
85.750,55,0,0.625
86.375,62,7,0.125
86.500,62,7,0.125
86.625,62,7,0.125
86.750,62,7,0.125
86.875,62,7,0.125
87.000,62,7,0.125
87.125,60,5,0.125
87.250,62,7,1.0
88.250,59,4,0.125
88.375,59,4,0.5
88.875,55,0,0.125
89.000,57,2,0.25
89.250,57,2,0.125
89.375,59,4,0.25
89.625,59,4,0.25
89.875,57,2,0.06300000000000239
89.938,55,0,1.3119999999999976
91.250,54,11,0.125
91.375,59,4,0.1869999999999976
91.562,59,4,0.3130000000000024
91.875,59,4,2.375
94.250,67,0,0.375
94.625,64,9,0.25
94.875,62,7,0.5
95.375,59,4,0.25
95.625,59,4,0.25
95.875,57,2,0.06300000000000239
95.938,55,0,1.3119999999999976
97.250,57,2,0.25
97.500,57,2,0.25
97.750,59,4,0.125
97.875,60,5,0.125
98.000,59,4,0.125
98.125,62,7,1.375
99.500,60,5,0.125
99.625,59,4,0.125
99.750,57,2,0.125
99.875,55,0,0.375
100.250,62,7,0.125
100.375,62,7,0.25
100.625,62,7,0.25
100.875,64,9,0.25
101.125,60,5,0.25
101.375,62,7,0.25
101.625,60,5,0.25
101.875,60,5,0.25
102.125,59,4,0.25
102.375,57,2,0.125
102.500,59,4,0.25
102.750,55,0,0.125
102.875,57,2,1.375
104.250,62,7,0.125
104.375,62,7,0.25
104.625,62,7,0.25
104.875,64,9,0.25
105.125,60,5,0.25
105.375,62,7,0.25
105.625,60,5,0.25
105.875,60,5,0.25
106.125,59,4,0.25
106.375,57,2,0.125
106.500,59,4,0.25
106.750,55,0,0.125
106.875,57,2,1.375
108.250,62,7,0.125
108.375,62,7,0.25
108.625,62,7,0.25
108.875,64,9,0.25
109.125,60,5,0.25
109.375,62,7,0.25
109.625,60,5,0.25
109.875,60,5,0.25
110.125,59,4,0.25
110.375,57,2,0.125
110.500,59,4,0.25
110.750,55,0,0.125
