time,note,scale degree,length
9.250,52,4,0.125
9.375,52,4,0.125
9.500,52,4,0.1880000000000006
9.688,50,2,0.06199999999999939
9.750,52,4,0.125
9.875,55,7,0.375
10.250,59,11,0.06199999999999939
10.312,55,7,0.1880000000000006
10.500,55,7,0.375
10.875,60,0,0.06300000000000061
10.938,60,0,0.06199999999999939
11.000,60,0,0.375
11.375,57,9,0.375
11.750,55,7,0.06199999999999939
11.812,55,7,0.1880000000000006
12.000,57,9,0.1880000000000006
12.188,50,2,0.06199999999999939
12.250,50,2,0.125
12.375,52,4,0.125
12.500,52,4,0.06199999999999939
12.562,52,4,0.1880000000000006
12.750,50,2,0.125
12.875,48,0,0.5
13.375,52,4,0.06300000000000061
13.438,50,2,0.06199999999999939
13.500,52,4,0.1880000000000006
13.688,52,4,0.06199999999999939
13.750,52,4,0.125
13.875,55,7,0.375
14.250,57,9,0.06199999999999939
14.312,59,11,0.1880000000000006
14.500,59,11,0.1880000000000006
14.688,55,7,0.06199999999999939
14.750,57,9,0.1880000000000006
14.938,60,0,0.06199999999999939
15.000,60,0,0.375
15.375,57,9,0.125
15.500,60,0,0.125
15.625,62,2,0.25
15.875,64,4,1.0
16.875,64,4,0.06299999999999883
16.938,65,5,0.062000000000001165
17.000,67,7,0.25
17.250,64,4,0.25
17.500,62,2,0.125
17.625,60,0,0.125
17.750,62,2,0.125
17.875,59,11,0.25
18.125,55,7,0.06299999999999883
18.188,57,9,0.75
18.938,60,0,0.062000000000001165
19.000,60,0,0.25
19.250,60,0,0.062000000000001165
19.312,60,0,0.12599999999999767
19.438,60,0,0.062000000000001165
19.500,60,0,0.125
19.625,64,4,1.125
20.750,64,4,0.125
20.875,65,5,0.125
21.000,67,7,0.125
21.125,64,4,0.25
21.375,60,0,0.125
21.500,64,4,0.25
21.750,64,4,0.125
21.875,60,0,0.125
22.000,55,7,0.062000000000001165
22.062,57,9,0.5629999999999988
22.625,60,0,0.125
22.750,60,0,0.125
22.875,60,0,0.125
23.000,60,0,0.25
23.250,57,9,0.125
23.375,60,0,0.25
23.625,64,4,0.125
23.750,64,4,0.375
24.125,65,5,0.125
24.250,65,5,0.125
24.375,65,5,0.125
24.500,65,5,0.125
24.625,67,7,0.25
24.875,64,4,0.125
25.000,64,4,0.375
25.375,64,4,0.125
25.500,67,7,0.25
25.750,69,9,0.125
25.875,60,0,0.25
26.125,64,4,0.125
26.250,64,4,0.125
26.375,69,9,0.25
26.625,67,7,0.125
26.750,64,4,0.625
27.375,60,0,0.125
27.500,60,0,0.062000000000001165
27.562,60,0,0.12599999999999767
27.688,60,0,0.062000000000001165
27.750,60,0,0.125
27.875,62,2,0.125
28.000,62,2,0.125
28.125,64,4,1.0
29.125,65,5,0.125
29.250,65,5,0.125
29.375,65,5,0.125
29.500,65,5,0.125
29.625,67,7,0.25
29.875,64,4,0.125
30.000,64,4,0.375
30.375,64,4,0.125
30.500,67,7,0.25
30.750,69,9,0.125
30.875,60,0,0.25
31.125,64,4,0.125
31.250,64,4,0.125
31.375,69,9,0.25
31.625,67,7,0.125
31.750,64,4,0.625
32.375,60,0,0.125
32.500,60,0,0.06199999999999761
32.562,60,0,0.12600000000000477
32.688,60,0,0.06199999999999761
32.750,60,0,0.125
32.875,60,0,0.06300000000000239
32.938,60,0,0.06199999999999761
33.000,62,2,0.125
33.125,62,2,0.25
33.375,64,4,0.625
34.000,64,4,0.3329999999999984
34.333,62,2,0.08400000000000318
34.417,64,4,0.25
34.667,60,0,0.3329999999999984
35.000,65,5,0.8329999999999984
35.833,64,4,0.1670000000000016
36.000,64,4,0.3329999999999984
