time,note,scale degree,length
2.250,60,10,0.125
2.375,62,0,0.125
2.500,65,3,0.125
2.625,62,0,0.125
2.750,65,3,0.125
2.875,67,5,0.5
3.375,65,3,0.875
4.250,69,7,0.125
4.375,67,5,0.125
4.500,65,3,0.125
4.625,62,0,0.125
4.750,65,3,0.125
4.875,62,0,0.5
5.375,60,10,0.875
6.250,60,10,0.125
6.375,62,0,0.125
6.500,65,3,0.125
6.625,62,0,0.125
6.750,65,3,0.125
6.875,67,5,0.5
7.375,65,3,0.875
8.250,69,7,0.125
8.375,67,5,0.125
8.500,65,3,0.125
8.625,62,0,0.125
8.750,65,3,0.125
8.875,62,0,0.5
9.375,60,10,1.25
10.625,57,4,0.25
10.875,53,0,0.5
11.375,50,9,0.25
11.625,50,9,0.125
11.750,48,7,0.06199999999999939
11.812,50,9,0.8130000000000006
12.625,50,9,0.125
12.750,50,9,0.06199999999999939
12.812,50,9,0.06300000000000061
12.875,50,9,0.06300000000000061
12.938,50,9,0.1869999999999994
13.125,50,9,0.1869999999999994
13.312,45,4,0.06300000000000061
13.375,48,7,0.3130000000000006
13.688,50,9,0.12399999999999878
13.812,53,0,0.1880000000000006
14.000,55,2,0.5619999999999994
14.562,53,0,0.06300000000000061
14.625,57,4,0.1869999999999994
14.812,60,7,0.1880000000000006
15.000,55,2,0.06199999999999939
15.062,56,3,0.06300000000000061
15.125,55,2,0.06300000000000061
15.188,53,0,0.1869999999999994
15.375,55,2,0.25
15.625,50,9,0.1869999999999994
15.812,50,9,0.12600000000000122
15.938,48,7,0.06199999999999939
16.000,50,9,0.625
16.625,50,9,0.125
16.750,50,9,0.062000000000001165
16.812,50,9,0.06299999999999883
16.875,50,9,0.06299999999999883
16.938,50,9,0.062000000000001165
17.000,50,9,0.18799999999999883
17.188,45,4,0.062000000000001165
17.250,48,7,1.375
18.625,56,3,0.25
18.875,55,2,0.375
19.250,53,0,0.43799999999999883
19.688,50,9,0.062000000000001165
19.750,53,0,0.18799999999999883
19.938,50,9,0.062000000000001165
20.000,55,2,0.6879999999999988
20.688,50,9,0.062000000000001165
20.750,50,9,0.062000000000001165
20.812,50,9,0.06299999999999883
20.875,50,9,0.06299999999999883
20.938,48,7,0.062000000000001165
21.000,50,9,1.5
22.500,57,4,0.25
22.750,55,2,0.18799999999999883
22.938,53,0,0.5
23.438,48,7,0.062000000000001165
23.500,50,9,0.18799999999999883
23.688,45,4,0.062000000000001165
23.750,48,7,0.25
24.000,48,7,0.5
24.500,50,9,0.25
24.750,50,9,0.062000000000001165
24.812,48,7,0.06299999999999883
24.875,50,9,0.06299999999999883
24.938,48,7,0.062000000000001165
25.000,50,9,0.375
25.375,50,9,0.06299999999999883
25.438,48,7,0.062000000000001165
25.500,50,9,0.125
25.625,53,0,0.125
25.750,53,0,0.125
25.875,43,2,0.375
26.250,62,9,0.125
26.375,62,9,0.125
26.500,65,0,0.125
26.625,62,9,0.125
26.750,65,0,0.125
26.875,69,4,0.5
27.375,67,2,0.875
28.250,69,4,0.125
28.375,67,2,0.125
28.500,65,0,0.125
28.625,62,9,0.125
28.750,65,0,0.125
28.875,69,4,0.31299999999999883
29.188,67,5,0.12400000000000233
29.312,65,3,0.06299999999999883
29.375,62,0,11.063000000000002
40.438,56,3,0.06199999999999761
40.500,55,2,0.125
40.625,55,2,0.06300000000000239
40.688,55,2,0.12399999999999523
40.812,57,4,0.12600000000000477
40.938,53,0,0.06199999999999761
41.000,55,2,0.125
41.125,53,0,0.4369999999999976
41.562,50,9,0.12600000000000477
41.688,53,0,0.12399999999999523
41.812,53,0,0.06300000000000239
41.875,55,2,0.75
42.625,43,2,0.06300000000000239
42.688,46,5,0.06199999999999761
42.750,46,5,0.06199999999999761
42.812,51,10,0.1880000000000024
43.000,50,9,0.06199999999999761
43.062,48,7,0.06300000000000239
43.125,50,9,0.125
43.250,50,9,0.06199999999999761
43.312,48,7,0.06300000000000239
43.375,50,9,0.25
43.625,45,4,0.125
43.750,43,2,0.125
43.875,41,0,0.125
44.000,38,9,0.625
44.625,56,3,0.125
44.750,55,2,0.125
44.875,53,0,0.25
45.125,55,2,0.25
45.375,50,9,0.4369999999999976
45.812,45,4,0.06300000000000239
45.875,48,7,0.75
46.625,50,9,0.125
46.750,50,9,0.06199999999999761
46.812,48,7,0.06300000000000239
46.875,50,9,0.06300000000000239
46.938,48,7,0.06199999999999761
47.000,50,9,0.125
47.125,50,9,0.125
47.250,50,9,0.6880000000000024
47.938,50,9,0.06199999999999761
48.000,55,2,0.06199999999999761
48.062,56,3,0.1880000000000024
48.250,55,2,0.06199999999999761
48.312,53,0,0.06300000000000239
48.375,50,9,0.3130000000000024
48.688,50,9,0.06199999999999761
48.750,56,3,0.1880000000000024
48.938,55,2,0.06199999999999761
49.000,56,3,0.06199999999999761
49.062,53,0,0.1880000000000024
49.250,50,9,0.06199999999999761
49.312,48,7,0.06300000000000239
49.375,50,9,0.125
49.500,45,4,0.125
49.625,48,7,0.5630000000000024
50.188,50,9,0.12399999999999523
50.312,55,2,0.1880000000000024
50.500,53,0,0.25
50.750,50,9,0.06199999999999761
50.812,57,4,0.1880000000000024
51.000,55,2,0.1880000000000024
51.188,53,0,0.1869999999999976
51.375,50,9,0.06300000000000239
51.438,48,7,0.06199999999999761
51.500,50,9,0.1880000000000024
51.688,45,4,0.1869999999999976
51.875,48,7,0.125
52.000,50,9,0.4380000000000024
52.438,50,9,0.06199999999999761
52.500,56,3,0.25
52.750,55,2,0.25
53.000,56,3,0.06199999999999761
53.062,55,2,0.06300000000000239
53.125,53,0,0.3130000000000024
53.438,50,9,0.06199999999999761
53.500,48,7,0.06199999999999761
53.562,50,9,0.25
53.812,45,4,0.1880000000000024
54.000,48,7,0.125
54.125,50,9,0.06300000000000239
54.188,50,9,0.06199999999999761
54.250,53,0,0.1880000000000024
54.438,53,0,0.06199999999999761
54.500,53,0,0.06199999999999761
54.562,55,2,0.3130000000000024
54.875,50,9,0.06300000000000239
54.938,48,7,0.06199999999999761
55.000,50,9,0.1880000000000024
55.188,45,4,0.1869999999999976
55.375,48,7,0.1869999999999976
55.562,50,9,0.06300000000000239
55.625,50,9,0.06300000000000239
55.688,53,0,0.1869999999999976
55.875,53,0,0.06300000000000239
55.938,53,0,0.06199999999999761
56.000,43,2,0.25
56.250,62,9,0.125
56.375,62,9,0.125
56.500,65,0,0.125
56.625,62,9,0.125
56.750,65,0,0.125
56.875,69,4,0.5
57.375,67,2,0.875
58.250,69,4,0.125
58.375,67,2,0.125
58.500,65,0,0.125
58.625,62,9,0.125
58.750,65,0,0.125
58.875,62,9,0.5
59.375,60,7,0.875
60.250,62,9,0.125
60.375,62,9,0.125
60.500,65,0,0.125
60.625,62,9,0.125
60.750,65,0,0.125
60.875,69,4,0.5
61.375,67,2,0.875
62.250,69,4,0.125
62.375,67,2,0.125
62.500,65,0,0.125
62.625,62,9,0.125
62.750,65,0,0.125
62.875,69,4,0.3130000000000024
63.188,67,5,0.12399999999999523
63.312,65,3,0.06300000000000239
63.375,62,0,3.875
67.250,60,10,0.125
67.375,62,0,0.125
67.500,65,3,0.125
67.625,62,0,0.125
67.750,65,3,0.125
67.875,67,5,0.5
68.375,65,3,0.875
69.250,69,7,0.125
69.375,67,5,0.125
69.500,65,3,0.125
69.625,62,0,0.125
69.750,65,3,0.125
69.875,62,0,0.5
70.375,60,10,0.875
71.250,60,10,0.125
71.375,62,0,0.125
71.500,65,3,0.125
71.625,62,0,0.125
71.750,65,3,0.125
71.875,67,5,0.5
72.375,65,3,0.875
73.250,69,7,0.125
73.375,67,5,0.125
73.500,65,3,0.125
73.625,62,0,0.125
73.750,65,3,0.125
73.875,62,0,0.5
74.375,60,10,4.875
79.250,62,9,0.125
79.375,62,9,0.125
79.500,65,0,0.125
79.625,62,9,0.125
79.750,65,0,0.125
79.875,69,4,0.5
