time,note,scale degree,length
1.875,58,5,0.125
2.000,57,4,0.125
2.125,58,5,0.125
2.250,60,7,0.125
2.375,60,7,0.06300000000000017
2.438,53,0,0.12399999999999967
2.562,53,0,0.31300000000000017
2.875,58,5,0.125
3.000,57,4,0.125
3.125,57,4,0.125
3.250,58,5,0.125
3.375,60,7,0.06300000000000017
3.438,53,0,0.43699999999999983
3.875,56,3,0.125
4.000,57,4,0.125
4.125,57,4,0.125
4.250,58,5,0.125
4.375,59,6,0.06299999999999972
4.438,60,7,0.18700000000000028
4.625,53,0,0.25
4.875,53,0,0.25
5.125,56,3,0.06299999999999972
5.188,56,3,0.12400000000000055
5.312,56,3,0.18799999999999972
5.500,56,3,0.375
5.875,56,3,0.125
6.000,55,2,0.125
6.125,53,0,0.125
6.250,55,2,0.125
6.375,53,0,0.125
6.500,55,2,0.125
6.625,53,0,0.5
7.125,56,3,0.06299999999999972
7.188,55,2,0.18700000000000028
7.375,53,0,0.25
7.625,56,3,0.18700000000000028
7.812,55,2,0.06299999999999972
7.875,53,0,0.06299999999999972
7.938,48,7,1.8120000000000003
9.750,57,4,0.06199999999999939
9.812,57,4,0.1880000000000006
10.000,55,2,0.25
10.250,55,2,0.125
10.375,53,0,0.06300000000000061
10.438,55,2,0.1869999999999994
10.625,48,7,0.5
11.125,48,7,0.125
11.250,48,7,0.125
11.375,48,7,0.125
11.500,48,7,0.125
11.625,46,5,0.125
11.750,44,3,0.125
11.875,43,2,0.125
12.000,41,0,0.875
12.875,57,4,0.06300000000000061
12.938,57,4,0.1869999999999994
13.125,57,4,0.125
13.250,58,5,0.125
13.375,60,7,0.06300000000000061
13.438,53,0,0.12399999999999878
13.562,53,0,0.3130000000000006
13.875,57,4,0.125
14.000,57,4,0.125
14.125,57,4,0.06300000000000061
14.188,58,5,0.1869999999999994
14.375,60,7,0.125
14.500,53,0,0.5
15.000,56,3,0.125
15.125,57,4,0.125
15.250,58,5,0.06199999999999939
15.312,59,6,0.12600000000000122
15.438,60,7,0.1869999999999994
15.625,53,0,0.25
15.875,53,0,0.125
16.000,55,2,0.062000000000001165
16.062,55,2,0.18799999999999883
16.250,55,2,0.125
16.375,55,2,0.125
16.500,55,2,0.062000000000001165
16.562,56,3,0.25
16.812,56,3,0.06299999999999883
16.875,56,3,0.125
17.000,55,2,0.125
17.125,53,0,0.125
17.250,55,2,0.125
17.375,53,0,0.125
17.500,55,2,0.125
17.625,53,0,0.5
18.125,56,3,0.125
18.250,55,2,0.125
18.375,53,0,0.125
18.500,55,2,0.25
18.750,53,0,0.25
19.000,48,7,1.75
20.750,57,4,0.062000000000001165
20.812,57,4,0.18799999999999883
21.000,55,2,0.125
21.125,55,2,0.125
21.250,55,2,0.062000000000001165
21.312,53,0,0.18799999999999883
21.500,55,2,0.125
21.625,48,7,0.5
22.125,48,7,0.125
22.250,48,7,0.125
22.375,48,7,0.125
22.500,48,7,0.125
22.625,46,5,0.125
22.750,45,4,0.125
22.875,43,2,0.125
23.000,41,0,11.875
34.875,57,4,0.125
35.000,58,5,0.06199999999999761
35.062,57,4,0.1880000000000024
35.250,60,7,0.125
35.375,60,7,0.125
35.500,53,0,0.125
35.625,53,0,0.125
35.750,53,0,0.06199999999999761
35.812,53,0,0.12600000000000477
35.938,57,4,0.1869999999999976
36.125,58,5,0.06300000000000239
36.188,59,6,0.1869999999999976
36.375,60,7,0.06300000000000239
36.438,53,0,0.4369999999999976
36.875,57,4,0.125
37.000,58,5,0.125
37.125,57,4,0.125
37.250,58,5,0.125
37.375,59,6,0.06300000000000239
37.438,60,7,0.12399999999999523
37.562,53,0,0.3130000000000024
37.875,56,3,0.125
38.000,56,3,0.125
38.125,56,3,0.125
38.250,56,3,0.125
38.375,56,3,0.06300000000000239
38.438,55,2,0.1869999999999976
38.625,56,3,0.125
38.750,55,2,0.06199999999999761
38.812,56,3,0.12600000000000477
38.938,55,2,0.1869999999999976
39.125,53,0,0.125
39.250,55,2,0.125
39.375,53,0,0.125
39.500,55,2,0.125
39.625,53,0,0.5
40.125,56,3,0.06300000000000239
40.188,55,2,0.12399999999999523
40.312,53,0,0.1880000000000024
40.500,56,3,0.125
40.625,55,2,0.125
40.750,53,0,0.25
41.000,48,7,1.75
42.750,57,4,0.06199999999999761
42.812,57,4,0.1880000000000024
43.000,55,2,0.125
43.125,55,2,0.125
43.250,55,2,0.125
43.375,53,0,0.06300000000000239
43.438,55,2,0.1869999999999976
43.625,48,7,0.5
44.125,48,7,0.06300000000000239
44.188,48,7,0.1869999999999976
44.375,48,7,0.125
44.500,48,7,0.125
44.625,46,5,0.125
44.750,44,3,0.125
44.875,43,2,0.125
45.000,41,0,11.625
56.625,60,7,0.06300000000000239
56.688,60,7,0.12399999999999523
56.812,60,7,0.1880000000000024
57.000,60,7,0.125
57.125,60,7,0.125
57.250,58,5,0.06199999999999761
57.312,57,4,0.06300000000000239
57.375,57,4,0.125
57.500,53,0,0.125
57.625,53,0,0.125
57.750,53,0,0.125
57.875,53,0,0.125
58.000,60,7,0.125
58.125,60,7,0.125
58.250,58,5,0.06199999999999761
58.312,57,4,0.06300000000000239
58.375,57,4,0.125
58.500,53,0,0.375
58.875,60,7,0.125
59.000,60,7,0.06199999999999761
59.062,60,7,0.12600000000000477
59.188,60,7,0.06199999999999761
59.250,57,4,0.125
59.375,57,4,0.06300000000000239
59.438,53,0,0.1869999999999976
59.625,53,0,0.125
59.750,55,2,0.06199999999999761
59.812,53,0,0.1880000000000024
60.000,56,3,0.06199999999999761
60.062,55,2,0.06300000000000239
60.125,53,0,0.06300000000000239
60.188,55,2,0.1869999999999976
60.375,53,0,0.06300000000000239
60.438,56,3,0.12399999999999523
60.562,55,2,0.06300000000000239
60.625,53,0,0.375
61.000,56,3,0.06199999999999761
61.062,55,2,0.06300000000000239
61.125,53,0,0.125
61.250,56,3,0.06199999999999761
61.312,55,2,0.06300000000000239
61.375,53,0,0.125
61.500,55,2,0.125
61.625,53,0,0.5
62.125,57,4,0.125
62.250,55,2,0.125
62.375,53,0,0.125
62.500,56,3,0.125
62.625,55,2,0.125
62.750,53,0,0.25
63.000,48,7,1.75
64.750,55,2,0.06199999999999761
64.812,55,2,0.1880000000000024
65.000,55,2,0.125
65.125,55,2,0.06300000000000239
65.188,55,2,0.1869999999999976
65.375,53,0,0.125
65.500,55,2,0.125
65.625,48,7,0.5
66.125,48,7,0.25
66.375,48,7,0.125
66.500,48,7,0.125
66.625,46,5,0.125
66.750,44,3,0.125
66.875,43,2,0.125
