time,note,scale degree,length
4.417,59,4,0.125
4.542,62,7,0.9160000000000004
5.458,59,4,0.08399999999999963
5.542,57,2,0.9580000000000002
6.500,59,4,0.08300000000000018
6.583,64,9,0.125
6.708,62,7,0.125
6.833,59,4,0.08399999999999963
6.917,57,2,0.04100000000000037
6.958,55,0,0.9589999999999996
7.917,55,0,0.08300000000000018
8.000,57,2,0.08300000000000018
8.083,59,4,0.16699999999999982
8.250,62,7,0.125
8.375,64,9,1.0419999999999998
9.417,55,0,0.08300000000000018
9.500,57,2,0.08300000000000018
9.583,55,0,0.08399999999999963
9.667,59,4,0.125
9.792,59,4,0.08300000000000018
9.875,59,4,1.9580000000000002
11.833,59,4,0.08399999999999963
11.917,59,4,0.04100000000000037
11.958,59,4,0.041999999999999815
12.000,64,9,0.125
12.125,62,7,0.08300000000000018
12.208,62,7,0.041999999999999815
12.250,64,9,1.125
13.375,59,4,0.125
13.500,57,2,1.0
14.500,59,4,0.08300000000000018
14.583,64,9,0.125
14.708,62,7,0.16699999999999982
14.875,59,4,0.041999999999999815
14.917,57,2,0.04100000000000037
14.958,55,0,0.125
15.083,52,9,0.08399999999999963
15.167,55,0,0.25
15.417,57,2,0.5410000000000004
15.958,55,0,0.0840000000000014
16.042,57,2,0.125
16.167,59,4,0.08299999999999841
16.250,62,7,0.125
16.375,64,9,0.9170000000000016
17.292,52,9,0.04099999999999682
17.333,59,4,0.125
17.458,55,0,0.2920000000000016
17.750,55,0,0.08299999999999841
17.833,55,0,0.08400000000000318
17.917,55,0,2.4579999999999984
20.375,52,9,0.125
20.500,55,0,0.08299999999999841
20.583,57,2,0.3340000000000032
20.917,57,2,0.08299999999999841
21.000,59,4,0.1670000000000016
21.167,55,0,0.125
21.292,52,9,0.125
21.417,55,0,0.9579999999999984
22.375,52,9,0.125
22.500,55,0,0.08299999999999841
22.583,57,2,0.25
22.833,59,4,0.5
23.333,62,7,0.08400000000000318
23.417,59,4,0.08299999999999841
23.500,61,6,0.875
24.375,52,9,0.2079999999999984
24.583,55,0,0.25
24.833,57,2,0.08400000000000318
24.917,59,4,0.125
25.042,62,7,0.16599999999999682
25.208,64,9,0.125
25.333,64,9,0.04200000000000159
25.375,66,11,0.04200000000000159
25.417,64,9,0.25
25.667,66,11,0.2079999999999984
25.875,59,4,0.04200000000000159
25.917,62,7,0.4579999999999984
26.375,59,4,0.08299999999999841
26.458,62,7,0.375
26.833,58,3,0.08400000000000318
26.917,58,3,0.08299999999999841
27.000,57,2,0.7079999999999984
27.708,59,4,0.125
27.833,59,4,0.125
27.958,64,9,0.08400000000000318
28.042,62,7,0.08299999999999841
28.125,62,7,1.0420000000000016
29.167,59,4,0.16599999999999682
29.333,59,4,0.125
29.458,59,4,0.04200000000000159
29.500,57,2,0.875
30.375,59,4,0.125
30.500,64,9,0.1670000000000016
30.667,62,7,0.125
30.792,59,4,0.04099999999999682
30.833,57,2,0.04200000000000159
30.875,55,0,0.25
31.125,52,9,0.04200000000000159
31.167,55,0,0.2909999999999968
31.458,58,3,0.5
31.958,55,0,0.04200000000000159
32.000,55,0,0.04200000000000159
32.042,59,4,0.2079999999999984
32.250,62,7,0.08299999999999841
32.333,64,9,1.0
33.333,52,9,0.08400000000000318
33.417,58,3,0.125
33.542,55,0,0.04099999999999682
33.583,57,2,0.08400000000000318
33.667,55,0,0.16599999999999682
33.833,55,0,0.08400000000000318
33.917,55,0,0.125
34.042,55,0,2.375
36.417,52,9,0.08299999999999841
36.500,55,0,0.08299999999999841
36.583,57,2,0.3340000000000032
36.917,57,2,0.04099999999999682
36.958,59,4,0.125
37.083,55,0,0.125
37.208,52,9,0.08400000000000318
37.292,55,0,1.0409999999999968
38.333,52,9,0.08400000000000318
38.417,55,0,0.08299999999999841
38.500,57,2,0.5
39.000,59,4,0.25
39.250,62,7,0.08299999999999841
39.333,59,4,0.08400000000000318
39.417,61,6,1.0
40.417,52,9,0.16599999999999682
40.583,55,0,0.3340000000000032
40.917,57,2,0.08299999999999841
41.000,59,4,0.08299999999999841
41.083,62,7,0.1670000000000016
41.250,64,9,0.1670000000000016
41.417,66,11,0.08299999999999841
41.500,64,9,0.3329999999999984
41.833,66,11,0.04200000000000159
41.875,62,7,0.5
42.375,59,4,0.125
42.500,62,7,0.3329999999999984
42.833,58,3,0.08400000000000318
42.917,58,3,0.08299999999999841
43.000,57,2,0.6670000000000016
43.667,59,4,0.08299999999999841
43.750,57,2,0.08299999999999841
43.833,71,4,0.08400000000000318
43.917,69,2,0.04099999999999682
43.958,67,0,0.25
44.208,71,4,0.25
44.458,59,4,0.04200000000000159
44.500,57,2,0.08299999999999841
44.583,57,2,0.04200000000000159
44.625,59,4,0.7920000000000016
45.417,59,4,0.16599999999999682
45.583,59,4,0.04200000000000159
45.625,57,2,0.75
46.375,64,9,0.125
46.500,64,9,0.375
46.875,59,4,0.08299999999999841
46.958,57,2,0.04200000000000159
47.000,55,0,0.04200000000000159
47.042,57,2,0.125
47.167,55,0,0.2909999999999968
47.458,58,3,0.4590000000000032
47.917,55,0,0.08299999999999841
48.000,57,2,0.04200000000000159
48.042,59,4,0.2079999999999984
48.250,62,7,0.125
48.375,62,7,0.04200000000000159
48.417,64,9,0.9159999999999968
49.333,52,9,0.08400000000000318
49.417,59,4,0.125
49.542,55,0,0.04099999999999682
49.583,57,2,0.08400000000000318
49.667,55,0,0.08299999999999841
49.750,59,4,0.08299999999999841
49.833,59,4,0.125
49.958,59,4,0.9590000000000032
50.917,59,4,0.08299999999999841
51.000,52,9,0.8329999999999984
