time,note,scale degree,length
11.250,70,3,0.125
11.375,70,3,0.25
11.625,70,3,0.125
11.750,69,2,0.25
12.000,67,0,0.25
12.250,64,9,1.125
13.375,70,3,0.25
13.625,69,2,0.25
13.875,67,0,0.125
14.000,67,0,0.875
14.875,79,0,0.375
15.250,69,2,0.125
15.375,70,3,0.1869999999999994
15.562,70,3,0.12600000000000122
15.688,70,3,0.1869999999999994
15.875,69,2,0.125
16.000,67,0,0.125
16.125,67,0,1.25
17.375,70,3,0.25
17.625,69,2,0.25
17.875,64,9,0.125
18.000,67,0,0.25
18.250,64,9,1.0
19.250,69,2,0.125
19.375,70,3,0.125
19.500,69,2,0.125
19.625,70,3,0.125
19.750,69,2,0.125
19.875,67,0,0.125
20.000,69,2,0.25
20.250,69,2,0.125
20.375,67,0,0.75
21.125,65,10,0.25
21.375,67,0,0.125
21.500,70,3,0.125
21.625,69,2,0.25
21.875,67,0,0.125
22.000,67,0,0.062000000000001165
22.062,64,9,0.06299999999999883
22.125,62,7,1.625
23.750,69,2,0.125
23.875,67,0,0.125
24.000,70,3,0.125
24.125,70,3,0.125
24.250,67,0,0.125
24.375,64,9,0.125
24.500,67,0,0.125
24.625,67,0,0.125
24.750,64,9,0.125
24.875,62,7,0.125
25.000,67,0,0.125
25.125,67,0,0.125
25.250,67,0,0.125
25.375,65,10,0.125
25.500,70,3,0.25
25.750,69,2,0.125
25.875,70,3,0.125
26.000,69,2,0.125
26.125,70,3,0.125
26.250,70,3,0.125
26.375,70,3,0.125
26.500,69,2,0.125
26.625,70,3,0.125
26.750,70,3,0.125
26.875,70,3,0.125
27.000,70,3,0.125
27.125,70,3,0.125
27.250,70,3,0.125
27.375,70,3,0.375
27.750,70,3,0.125
27.875,70,3,0.375
28.250,70,3,0.25
28.500,70,3,0.5
29.000,67,0,0.25
29.250,79,0,1.125
30.375,70,3,0.25
30.625,69,2,0.25
30.875,67,0,0.125
31.000,67,0,0.25
31.250,64,9,1.0
32.250,69,2,0.125
32.375,69,2,0.125
32.500,69,2,0.125
32.625,67,0,0.125
32.750,69,2,0.125
32.875,67,0,0.125
33.000,69,2,0.25
33.250,76,9,0.875
34.125,64,9,0.25
34.375,67,0,0.125
34.500,69,2,0.125
34.625,69,2,0.25
34.875,67,0,0.125
35.000,67,0,0.06199999999999761
35.062,64,9,0.06300000000000239
35.125,62,7,1.875
37.000,71,4,0.125
37.125,71,4,0.125
37.250,69,2,0.125
37.375,67,0,0.125
37.500,67,0,0.125
37.625,67,0,0.125
37.750,67,0,0.125
37.875,64,9,0.125
38.000,67,0,0.125
38.125,64,9,0.125
38.250,67,0,0.125
38.375,67,0,0.125
38.500,69,2,0.25
38.750,70,3,0.125
38.875,70,3,0.125
39.000,70,3,0.25
39.250,70,3,0.125
39.375,70,3,0.125
39.500,70,3,0.125
39.625,70,3,0.125
39.750,70,3,0.125
39.875,70,3,0.125
40.000,70,3,0.125
40.125,70,3,0.125
40.250,70,3,0.125
40.375,70,3,0.125
40.500,70,3,0.25
40.750,70,3,0.125
40.875,70,3,0.375
41.250,70,3,0.25
41.500,70,3,0.5
42.000,67,0,0.25
42.250,79,0,1.125
43.375,69,2,0.25
43.625,70,3,0.25
43.875,67,0,0.125
44.000,67,0,0.25
44.250,64,9,1.0
45.250,69,2,0.125
45.375,67,0,0.125
45.500,69,2,0.125
45.625,67,0,0.125
45.750,69,2,0.125
45.875,67,0,0.125
46.000,69,2,0.25
46.250,78,11,0.875
47.125,67,0,0.25
47.375,69,2,0.06300000000000239
47.438,70,3,0.1869999999999976
47.625,69,2,0.125
47.750,67,0,0.1880000000000024
47.938,67,0,0.06199999999999761
48.000,64,9,0.06199999999999761
48.062,62,7,13.188000000000002
61.250,70,3,0.125
61.375,70,3,0.25
61.625,70,3,0.125
61.750,70,3,0.25
62.000,67,0,0.25
62.250,64,9,1.125
63.375,70,3,0.25
63.625,69,2,0.25
63.875,64,9,0.125
64.000,67,0,0.25
64.250,64,9,0.625
64.875,79,0,0.375
65.250,70,3,0.125
65.375,72,5,0.125
65.500,73,6,0.125
65.625,74,7,0.25
65.875,69,2,0.125
66.000,67,0,0.125
66.125,67,0,1.25
67.375,70,3,0.25
67.625,71,4,0.25
67.875,64,9,0.125
68.000,67,0,0.25
68.250,64,9,1.0
69.250,70,3,0.125
69.375,71,4,0.125
69.500,70,3,0.125
69.625,70,3,0.125
69.750,70,3,0.125
69.875,71,4,0.125
70.000,69,2,0.25
70.250,78,11,0.875
71.125,67,0,0.25
71.375,69,2,0.06300000000000239
71.438,70,3,0.1869999999999976
