time,note,scale degree,length
0.000,63,0,1.167
1.167,58,7,0.08299999999999996
1.250,58,7,0.16700000000000004
1.417,58,7,0.08299999999999996
1.500,63,0,0.16700000000000004
1.667,63,0,0.08299999999999996
1.750,66,3,0.25
2.000,68,5,0.25
2.250,61,10,0.16699999999999982
2.417,61,10,0.25
2.667,59,8,0.08300000000000018
2.750,58,7,0.9169999999999998
3.667,56,5,0.25
3.917,58,7,0.08300000000000018
4.000,59,8,0.25
4.250,61,10,0.25
4.500,56,5,0.25
4.750,58,7,0.25
5.000,59,8,0.25
5.250,58,7,0.16699999999999982
5.417,56,5,0.25
5.667,54,3,0.25
5.917,56,5,0.25
6.167,54,3,0.08300000000000018
6.250,53,2,1.75
8.000,70,7,1.25
9.250,70,7,0.16699999999999982
9.417,70,7,0.08300000000000018
9.500,70,7,0.16699999999999982
9.667,68,5,0.08300000000000018
9.750,66,3,0.25
10.000,61,10,0.25
10.250,63,0,0.25
10.500,58,7,0.4169999999999998
10.917,56,5,0.08300000000000018
11.000,53,2,0.6669999999999998
11.667,56,5,0.25
11.917,58,7,0.08300000000000018
12.000,59,8,0.25
12.250,61,10,0.25
12.500,56,5,0.25
12.750,58,7,0.25
13.000,59,8,0.25
13.250,58,7,0.25
13.500,56,5,0.16699999999999982
13.667,54,3,0.25
13.917,56,5,0.25
14.167,54,3,0.08300000000000018
14.250,53,2,2.0
16.250,54,0,0.25
16.500,52,10,0.1670000000000016
16.667,52,10,0.08299999999999841
16.750,51,9,0.25
17.000,42,0,0.25
17.250,44,2,0.25
17.500,47,5,0.25
17.750,49,7,0.5
18.250,54,0,0.25
18.500,52,10,0.1670000000000016
18.667,52,10,0.08299999999999841
18.750,51,9,0.25
19.000,42,0,0.25
19.250,44,2,0.25
19.500,47,5,0.25
19.750,49,7,0.5
20.250,54,0,0.25
20.500,52,10,0.1670000000000016
20.667,52,10,0.08299999999999841
20.750,51,9,0.25
21.000,42,0,0.25
21.250,44,2,0.25
21.500,47,5,0.25
21.750,49,7,0.5
22.250,54,0,0.25
22.500,52,10,0.1670000000000016
22.667,52,10,0.08299999999999841
22.750,51,9,0.25
23.000,42,0,0.25
23.250,44,2,0.25
23.500,47,5,0.25
23.750,49,7,0.25
24.000,72,4,0.5
24.500,73,5,0.5
25.000,75,7,0.4170000000000016
25.417,68,0,0.25
25.667,68,0,0.25
25.917,70,2,0.25
26.167,72,4,1.8329999999999984
28.000,74,4,0.5
28.500,75,5,0.5
